PUBLISHER|NAME|KEY|COVER|DEMOGRAPHY|FORMAT|TYPE|FREQUENCY|STATUS|TOTAL_ISSUES|RELEASE_DATE|GENRES|AUTHORS|WHAKOOM URL|PUBLISHER URL|TITLE ID
641e8eaeb967fc598f96bcf8|Joy|joy|-|Yaoi|Tankōbon|manga|bimonthly|completed|2|2022-11-25|Boys Love, Drama, Slice of Life, Erotica|Author: Etsuko|/ediciones/633474/joy-rustica_208_pp/todos|/mx/content/498-sagas?id=315225&cod_agrup=03099|642103badcb3a52e7beff514
641e8eaeb967fc598f96bcf8|As the Gods Will|as-the-gods-will|-|Shōnen|Tankōbon|manga|bimonthly|ongoing|5|2022-11-25|Psychological Thriller, Survival|Writer: Muneyuki Kaneshiro; Illustrator: Akeji Fujimura|/ediciones/634790/as_the_gods_will-rustica/todos|/mx/content/498-sagas?id=316857&cod_agrup=02913|642103badcb3a52e7beff515
641e8eaeb967fc598f96bcf8|Complex Age|complex-age|-|Seinen|Tankōbon|manga|bimonthly|ongoing|6|2022-11-25|Drama, Slice of Life|Author: Yui Sakuma|/ediciones/634792/complex_age-rustica/todos|/mx/content/498-sagas?id=315228&cod_agrup=02909|642103badcb3a52e7beff516
641e8eaeb967fc598f96bcf8|Hiraeth, el final de la travesía|hiraeth|-|Seinen|Tankōbon|manga|bimonthly|completed|3|2022-11-25|Drama|Author: Yuhki Kamatani|/ediciones/632247/hiraeth_el_final_de_la_travesia-rustica/todos|/mx/content/498-sagas?id=324779&cod_agrup=02914|642103badcb3a52e7beff517
641e8eaeb967fc598f96bcf8|Los asesinatos de la mansión decagonal|los-asesinatos-de-la-mansion-decagonal|-|Seinen|Tankōbon|manga|bimonthly|ongoing|5|2022-11-25|Horror, Mystery, Thriller|Writer: Yukito Ayatsuji; Illustrator: Hiro Kiyohara|/ediciones/633473/los_asesinatos_de_la_mansion_decagonal-rustica_192_pp/todos|/mx/content/498-sagas?id=316123&cod_agrup=02912|642103badcb3a52e7beff518
641e8eaeb967fc598f96bcf8|Love in Focus|love-in-focus|-|Shōjo|Tankōbon|manga|bimonthly|completed|3|2022-11-25|Romance|Author: Youko Nogiri|/ediciones/634791/love_in_focus-rustica_con_sobrecubierta/todos|/mx/content/498-sagas?id=323168&cod_agrup=02910|642103badcb3a52e7beff519
641e8eaeb967fc598f96bcf8|Shikimori es más que una cara bonita|shikimori|-|Shōnen|Tankōbon|manga|bimonthly|ongoing|18|2022-11-25|Romantic Comedy|Author: Keigo Maki|/ediciones/633472/shikimori_es_mas_que_una_cara_bonita-rustica_144_pp/todos|/mx/content/498-sagas?id=323173&cod_agrup=02907|642103badcb3a52e7beff51a
641e8eaeb967fc598f96bcf8|Ranger Reject|ranger-reject|-|Shōnen|Tankōbon|manga|bimonthly|ongoing|8|2022-11-25|Superhero|Author: Negi Haruba|/ediciones/634623/ranger_reject-rustica/todos|/mx/content/498-sagas?id=323174&cod_agrup=02911|642103badcb3a52e7beff51b
641e8eaeb967fc598f96bcf8|Old Boy|old-boy|-|Seinen|Hardcover|manga|quarterly|ongoing|8|2022-11-25|Action, Psychological Thriller|Writer: Garon Tsuchiya; Illustrator: Nobuaki Minegishi|/ediciones/634789/old_boy-cartone/todos|/mx/content/498-sagas?id=324417&cod_agrup=02963|642103badcb3a52e7beff51c
641e8eaeb967fc598f96bcf8|Beck|beck|-|Shōnen|Kanzenban|manga|bimonthly|ongoing|17|2023-02-18|Coming-of-Age, Musical Drama, Romance|Author: Harold Sakuishi|/ediciones/635612/beck-rustica/todos|/mx/content/498-sagas?id=324522&cod_agrup=02915|642103badcb3a52e7beff51d
641e8eaeb967fc598f96bcf8|Farewell, My Dear Cramer|farewell-my-dear-cramer|-|Shōnen|Tankōbon|manga|bimonthly|ongoing|14|2023-02-18|Sports|Author: Naoshi Arakawa|/ediciones/635613/farewell_my_dear_cramer-rustica/todos|/mx/content/498-sagas?id=324523&cod_agrup=02975|642103badcb3a52e7beff51e
