PUBLISHER|NAME|KEY|COVER|DEMOGRAPHY|FORMAT|TYPE|FREQUENCY|STATUS|TOTAL_ISSUES|RELEASE_DATE|GENRES|AUTHORS
641e8eaeb967fc598f96bcf8|Joy|joy|-|Yaoi|Tankōbon|manga|bimonthly|completed|2|2022-11-25|Boys Love, Drama, Slice of Life, Erotica|Author: Etsuko
641e8eaeb967fc598f96bcf8|As the Gods Will|as-the-gods-will|-|Shōnen|Tankōbon|manga|bimonthly|ongoing|5|2022-11-25|Psychological Thriller, Survival|Writer: Muneyuki Kaneshiro; Illustrator: Akeji Fujimura
641e8eaeb967fc598f96bcf8|Complex Age|complex-age|-|Seinen|Tankōbon|manga|bimonthly|ongoing|6|2022-11-25|Drama, Slice of Life|Author: Yui Sakuma
641e8eaeb967fc598f96bcf8|Hiraeth, el final de la travesía|hiraeth|-|Seinen|Tankōbon|manga|bimonthly|completed|3|2022-11-25|Drama|Author: Yuhki Kamatani
641e8eaeb967fc598f96bcf8|Los asesinatos de la mansión decagonal|los-asesinatos-de-la-mansion-decagonal|-|Seinen|Tankōbon|manga|bimonthly|ongoing|5|2022-11-25|Horror, Mystery, Thriller|Writer: Yukito Ayatsuji; Illustrator: Hiro Kiyohara
641e8eaeb967fc598f96bcf8|Love in Focus|love-in-focus|-|Shōjo|Tankōbon|manga|bimonthly|completed|3|2022-11-25|Romance|Author: Youko Nogiri
641e8eaeb967fc598f96bcf8|Shikimori es más que una cara bonita|shikimori|-|Shōnen|Tankōbon|manga|bimonthly|ongoing|18|2022-11-25|Romantic Comedy|Author: Keigo Maki
641e8eaeb967fc598f96bcf8|Ranger Reject|ranger-reject|-|Shōnen|Tankōbon|manga|bimonthly|ongoing|8|2022-11-25|Superhero|Author: Negi Haruba
641e8eaeb967fc598f96bcf8|Old Boy|old-boy|-|Seinen|Hardcover|manga|quarterly|ongoing|8|2022-11-25|Action, Psychological Thriller|Writer: Garon Tsuchiya; Illustrator: Nobuaki Minegishi
641e8eaeb967fc598f96bcf8|Beck|beck|-|Shōnen|Kanzenban|manga|bimonthly|ongoing|17|2023-02-18|Coming-of-Age, Musical Drama, Romance|Author: Harold Sakuishi
641e8eaeb967fc598f96bcf8|Farewell, My Dear Cramer|farewell-my-dear-cramer|-|Shōnen|Tankōbon|manga|bimonthly|ongoing|14|2023-02-18|Sports|Author: Naoshi Arakawa
