PUBLISHER|NAME|KEY|COVER|DEMOGRAPHY|FORMAT|TYPE|FREQUENCY|STATUS|TOTAL_ISSUES|RELEASE_DATE|GENRES|AUTHORS|WHAKOOM_URL|KAMITE_URL|TITLE ID
6313cd63e79ac634c6e80ccb|Octave|octave|-|Seinen|Tankōbon|manga|bimonthly|ongoing|6|2021-09-24|Drama, Romance, Slice of Life, Yuri|Author: Haru Akiyama|/ediciones/611329/octave-rustica_con_sobrecubierta/todos|/307-octave|637c38c50344f45672506011
6313cd63e79ac634c6e80ccb|Girl Friends|girl-friends|-|Seinen|Tankōbon|manga|bimonthly|completed|5|2016-10-21|Romance, Yuri|Author: Milk Morinaga|/ediciones/406318/girl_friends-rustica_con_sobrecubierta/todos|/39-girl-friends|637c38c50344f45672506012
6313cd63e79ac634c6e80ccb|Watashi No Sekai|watashi-no-sekai|-|Yuri|Tankōbon|manga|quarterly|completed|3|2021-01-28|Drama, Girls Love, Romance, Slice of Life, Erotica, Yuri|Author: Shuninta Amano|/ediciones/600616/aquello_como_el_polvo_que_conforma_mi_mundo-rustica_con_sobrecubierta/todos|/232-watashi-no-sekai|637c38c50344f45672506013
6313cd63e79ac634c6e80ccb|Netsuzou Trap|netsuzou-trap|-|Yuri|Tankōbon|manga|bimonthly|completed|6|2020-10-02|Drama, Girls Love, Yuri|Author: Naoko Kodama|/ediciones/595847/ntr_netsuzou_trap-rustica_con_sobrecubierta/todos|/225-netsuzou-trap|637c38c50344f45672506014
6313cd63e79ac634c6e80ccb|Citrus|citrus|-|Yuri|Tankōbon|manga|quarterly|ongoing|10|2019-07-29|Romance, Yuri|Author: Saburouta|/ediciones/553037/citrus-rustica_con_sobrecubierta/todos|/178-citrus|637c38c50344f45672506015
6313cd63e79ac634c6e80ccb|Kamisama Darling|kamisama-darling|-|Yaoi|Tankōbon|manga|quarterly|ongoing|8|2018-11-19|Boys Love, Comedy, Slice of Life, Erotica|Author: Aiba Kyouko|/ediciones/523853/kamisama_darling-rustica_con_sobrecubierta/todos|/160-kamisama-darling|637c38c50344f45672506016
6313cd63e79ac634c6e80ccb|Hoshino|hoshino|-|Shōnen|Tankōbon|manga|biannual|ongoing|13|2022-01-11|Comedy, Romance|Author: Kouhei Nagashii|/ediciones/617889/hoshino_cierra_tus_ojos_hoshino_me_wo_tsubutte-rustica_con_sobrecubierta/todos|/319-hoshino|637c38c50344f45672506017
6313cd63e79ac634c6e80ccb|Toradora|toradora|-|Shōnen|Tankōbon|manga|bimonthly|ongoing|9|2015-12-31|Romantic Comedy, Slice of Life|Writer: Yuyuko Takemiya; Illustrator: Yasu|/ediciones/397444/toradora-rustica_con_sobrecubierta/todos|/41-toradora|637c38c50344f45672506018
6313cd63e79ac634c6e80ccb|Sankarea|sankarea|-|Shōnen|Tankōbon|manga|bimonthly|completed|11|2018-10-27|Romantic Comedy, Zombie|Author: Mitsuru Hattori|/ediciones/512059/sankarea-rustica_con_sobrecubierta/todos|/156-sankarea|637c38c50344f45672506019
6313cd63e79ac634c6e80ccb|Oreimo|oreimo|-|Seinen|Tankōbon|manga|bimonthly|completed|4|2015-12-09|Comedy|Writer: Tsukasa Fushimi; Illustrator: Hiro Kanzaki|/ediciones/397065/oreimo-rustica_con_sobrecubierta/todos|/40-oreimo|637c38c50344f4567250601a
6313cd63e79ac634c6e80ccb|Nodame Cantabile|nodame-cantabile|-|Josei|Tankōbon|manga|biannual|ongoing|25|2018-11-17|Musical, Romantic Comedy|Writer: Tomoko Ninomiya|/ediciones/491257/nodame_cantabile-rustica_con_sobrecubierta/todos|/150-nodame-cantabile|637c38c50344f4567250601b
6313cd63e79ac634c6e80ccb|Mirai Nikki|mirai-nikki|-|Shōnen|Tankōbon|manga|bimonthly|completed|12|2015-01-10|Mystery, Psychological Thriller, Romance|Author: Sakae Esuno|/ediciones/378290/mirai_nikki-rustica_con_sobrecubierta/todos|/38-mirai-nikki|637c38c50344f4567250601c
6313cd63e79ac634c6e80ccb|King's Game|kings-game|-|Seinen|Tankōbon|manga|bimonthly|completed|5|2015-05-25|Horror|Author: Nobuaki Kanazawa|/ediciones/382098/kings_game-rustica_con_sobrecubierta/todos|/37-king-s-game|637c38c50344f4567250601d
6313cd63e79ac634c6e80ccb|Hellsing|hellsing|-|Seinen|Tankōbon|manga|bimonthly|completed|10|2013-10-11|Action, Dark Fantasy, Vampire|Author: Kouta Hirano|/ediciones/354926/hellsing-rustica_con_sobrecubierta/todos|/36-hellsing|637c38c50344f4567250601e
6313cd63e79ac634c6e80ccb|Deadman Wonderland|deadman-wonderland|-|Shōnen|Tankōbon|manga|bimonthly|completed|13|2014-12-13|Action Thriller, Dystopian, Post-Apocalyptic|Writer: Jinsei Kataoka; Illustrator: Kazuma Kondou|/ediciones/367591/deadman_wonderland-rustica_con_sobrecubierta/todos|/35-deadman-wonderland|637c38c50344f4567250601f
