PUBLISHER|NAME|KEY|COVER|DEMOGRAPHY|FORMAT|TYPE|FREQUENCY|STATUS|TOTAL_ISSUES|RELEASE_DATE|GENRES|AUTHORS
6313cd63e79ac634c6e80ccb|Octave|octave|-|Seinen|Tankōbon|manga|bimonthly|ongoing|6|2021-09-24|Drama, Romance, Slice of Life, Yuri|Author: Haru Akiyama
6313cd63e79ac634c6e80ccb|Girl Friends|girl-friends|-|Seinen|Tankōbon|manga|bimonthly|completed|5|2016-10-21|Romance, Yuri|Author: Milk Morinaga
6313cd63e79ac634c6e80ccb|Watashi No Sekai|watashi-no-sekai|-|Yuri|Tankōbon|manga|quarterly|completed|3|2021-01-28|Drama, Girls Love, Romance, Slice of Life, Erotica, Yuri|Author: Shuninta Amano
6313cd63e79ac634c6e80ccb|Netsuzou Trap|netsuzou-trap|-|Yuri|Tankōbon|manga|bimonthly|completed|6|2020-10-02|Drama, Girls Love, Yuri|Author: Naoko Kodama
6313cd63e79ac634c6e80ccb|Citrus|citrus|-|Yuri|Tankōbon|manga|quarterly|ongoing|10|2019-07-29|Romance, Yuri|Author: Saburouta
6313cd63e79ac634c6e80ccb|Kamisama Darling|kamisama-darling|-|Yaoi|Tankōbon|manga|quarterly|ongoing|8|2018-11-19|Boys Love, Comedy, Slice of Life, Erotica|Author: Aiba Kyouko
6313cd63e79ac634c6e80ccb|Hoshino|hoshino|-|Shōnen|Tankōbon|manga|biannual|ongoing|13|2022-01-11|Comedy, Romance|Author: Kouhei Nagashii
6313cd63e79ac634c6e80ccb|Toradora|toradora|-|Shōnen|Tankōbon|manga|bimonthly|ongoing|9|2015-12-31|Romantic Comedy, Slice of Life|Writer: Yuyuko Takemiya; Illustrator: Yasu
6313cd63e79ac634c6e80ccb|Sankarea|sankarea|-|Shōnen|Tankōbon|manga|bimonthly|completed|11|2018-10-27|Romantic Comedy, Zombie|Author: Mitsuru Hattori
6313cd63e79ac634c6e80ccb|Oreimo|oreimo|-|Seinen|Tankōbon|manga|bimonthly|completed|4|2015-12-09|Comedy|Writer: Tsukasa Fushimi; Illustrator: Hiro Kanzaki
6313cd63e79ac634c6e80ccb|Nodame Cantabile|nodame-cantabile|-|Josei|Tankōbon|manga|biannual|ongoing|25|2018-11-17|Musical, Romantic Comedy|Writer: Tomoko Ninomiya
6313cd63e79ac634c6e80ccb|Mirai Nikki|mirai-nikki|-|Shōnen|Tankōbon|manga|bimonthly|completed|12|2015-01-10|Mystery, Psychological Thriller, Romance|Author: Sakae Esuno
6313cd63e79ac634c6e80ccb|King's Game|kings-game|-|Seinen|Tankōbon|manga|bimonthly|completed|5|2015-05-25|Horror|Author: Nobuaki Kanazawa
6313cd63e79ac634c6e80ccb|Hellsing|hellsing|-|Seinen|Tankōbon|manga|bimonthly|completed|10|2013-10-11|Action, Dark Fantasy, Vampire|Author: Kouta Hirano
6313cd63e79ac634c6e80ccb|Deadman Wonderland|deadman-wonderland|-|Shōnen|Tankōbon|manga|bimonthly|completed|13|2014-12-13|Action Thriller, Dystopian, Post-Apocalyptic|Writer: Jinsei Kataoka; Illustrator: Kazuma Kondou
6313cd63e79ac634c6e80ccb|Another|another|-|Seinen|Tankōbon|manga|bimonthly|completed|4|2016-09-24|Horror, Mystery, Supernatural Thriller|Author: Yukito Ayatsuji
6313cd63e79ac634c6e80ccb|Clover|clover|-|Shōjo|Shinsōban|manga|monthly|completed|2|2019-04-30|Fantasy, Cyberpunk|Author: CLAMP
6313cd63e79ac634c6e80ccb|Prison School|prison-school|-|Seinen|Tankōbon|manga|in-hiatus|ongoing|28|2018-06-25|Sex Comedy|Author: Akira Hiramoto
6313cd63e79ac634c6e80ccb|Hybrid X Heart|hybrid-x-heart|-|Seinen|Tankōbon|manga|quarterly|completed|4|2020-12-18|Action, Fantasy, Harem|Author: Riku Ayakawa
6313cd63e79ac634c6e80ccb|Godeath|godeath|-|Seinen|Tankōbon|manga|monthly|completed|3|2016-05-20|Action, Fantasy, Horror, Supernatural, Ecchi|Author: Yuji Shiozaki
6313cd63e79ac634c6e80ccb|Trinity Seven|trinity-seven|-|Shōnen|Tankōbon|manga|biannual|ongoing|26|2019-06-24|Harem, Romantic Comedy, Urban Fantasy|Writer: Kenji Saitō; Illustrator: Akinari Nao
6313cd63e79ac634c6e80ccb|Saikin Imotono|saikin-imotono|-|Shōnen|Tankōbon|manga|bimonthly|completed|11|2016-09-23|Romantic Comedy, Supernatural|Author: Mari Matsuzawa
6313cd63e79ac634c6e80ccb|Hoshi Mamoru Inu|hoshi-mamoru-inu|-|Seinen|Tankōbon|manga|annual|completed|2|2015-02-14|Slice of Life|Author: Takashi Murakami
6313cd63e79ac634c6e80ccb|El Jardín De Las Palabras|el-jardin-de-las-palabras|-|Seinen|Tankōbon|manga|one-shot|completed|1|2019-05-02|Drama, Romance|Writer: Makoto Shinkai; Illustrator: Midori Motohashi
6313cd63e79ac634c6e80ccb|Aku No Hana|aku-no-hana|-|Shōnen|Tankōbon|manga|quarterly|ongoing|11|2019-03-15|Coming-of-Age, Psychological Drama, Suspense|Author: Shūzō Oshimi
6313cd63e79ac634c6e80ccb|xxx-holic|xxx-holic|-|Seinen|Tankōbon|manga|quarterly|ongoing|23|2018-10-27|Dark Fantasy|Author: CLAMP
6313cd63e79ac634c6e80ccb|Soy Una Araña Y Qué|so-im-a-spider-so-what|-|Seinen|Tankōbon|manga|quarterly|ongoing|11|2019-03-13|Adventure, Isekai|Author: Okina Baba
6313cd63e79ac634c6e80ccb|Kuroha Y Nijisuke|kuroha-y-nijisuke|-|Shōnen|Tankōbon|manga|one-shot|completed|1|2019-09-25|Action|Writer: Ryohgo Narita, Illustrator: Nazuna Shiraume
6313cd63e79ac634c6e80ccb|Konosubarashi|konosubarashi|-|Seinen|Tankōbon|manga|bimonthly|ongoing|15|2019-11-07|Fantasy Comedy, Isekai|Author: Jitakukeibihei (Natsume Akatsuki)
6313cd63e79ac634c6e80ccb|El Nieto Del Sabio|el-nieto-del-sabio|-|Seinen|Tankōbon|manga|biannual|ongoing|18|2019-08-05|Fantasy, Isekai|Author: Tsuyoshi Yoshioka
6313cd63e79ac634c6e80ccb|Magic Knight Rayearth|magic-knight-rayearth|-|Shōjo|Tankōbon|manga|bimonthly|completed|3|2019-01-25|Isekai, Mecha, Sword and Sorcery, Dark Fantasy|Author: CLAMP
6313cd63e79ac634c6e80ccb|Tokyo Babylon|tokyo-babylon|-|Shōjo|Aizōban|manga|quarterly|completed|3|2016-09-23|Dark Fantasy, Occult Detective|Author: CLAMP
6313cd63e79ac634c6e80ccb|Tsubasa: Reservoir Chronicle|tsubasa-reservoir-chronicle|-|Shōnen|Tankōbon|manga|quarterly|ongoing|28|2018-03-17|Adventure, Isekai, Romance|Author: CLAMP
6313cd63e79ac634c6e80ccb|Steins Gate|steins-gate|-|Shōnen|Tankōbon|manga|bimonthly|completed|3|2016-06-15|Mystery, Science Fiction, Thriller|Author: Yomi Sarachi
6313cd63e79ac634c6e80ccb|Saint Seiya Episodio G|saint-seiya-episodio-g|-|Seinen|Tankōbon|manga|bimonthly|completed|20|2014-02-22|Fantasy, Martial Arts, Mythological|Creator: Masami Kurumada; Author: Megumu Okada
6313cd63e79ac634c6e80ccb|Cardcaptor Sakura|cardcaptor-sakura|-|Shōjo|Kanzenban|manga|bimonthly|completed|9|2018-10-27|Magical Girl, Romance|Author: CLAMP
6313cd63e79ac634c6e80ccb|Akashic Records|akashic-records|-|Shōnen|Tankōbon|manga|annual|ongoing|16|2019-06-24|Action, Fantasy, Harem|Writer: Tarō Hitsuji; Illustrator: Kurone Mishima
6313cd63e79ac634c6e80ccb|Atrail|atrail|-|Seinen|Tankōbon|manga|biannual|ongoing|6|2019-06-24|Action, Drama, Romance, School Life|Writer: Goro Taniguchi; Illustrator: Akihiko Higuchi
