NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Deadman Wonderland #1|1|1|/kamite-manga/deadman-wonderland/deadman-wonderland-01.jpg|216|150.0|MXN|2014-12-13|Han pasado 10 años desde el Gran Terremoto de Tokio.|750301824453201|1|false
Deadman Wonderland #2|2|2|/kamite-manga/deadman-wonderland/deadman-wonderland-02.jpg|196|150.0|MXN|2015-02-25|"Acusado falsamente de haber matado a sus compañeros de clase, Ganta está preso en una extraña prisión conocida como Deadman Wonderland. En busca del verdadero asesino, ""El Hombre Rojo"", Ganta se aventura al sótano de la prisión, al misterioso Bloque G..."|750301824453202|1|false
Deadman Wonderland #3|3|3|/kamite-manga/deadman-wonderland/deadman-wonderland-03.jpg|196|150.0|MXN|2015-04-18|"Ganta arriesga su cuerpo y vida en el Carnaval Cadavérico, peleando contra otros usuarios de la Rama del Pecado. Después de vencer a Senji, ""El Cuervo"", el siguiente oponente de Ganta es Minatsuki, ""La Colibri"". ¿Cómo se va enfrentar Ganta a la débil y bella Minatsuki...?"|750301824466203|1|false
Deadman Wonderland #4|4|4|/kamite-manga/deadman-wonderland/deadman-wonderland-04.jpg|196|150.0|MXN|2015-06-06|"Ganta ha sido reclutado por la organización de resistencia ""Cadena de Cicatrices"". Que planea una fuga masiva. Pero, feliz al reencontrarse con Shiro, Ganta comienza a dudar... para cuando Nagi, su nuevo líder, logra convencerlo ya es muy tarde."|750301824475404|1|false
Deadman Wonderland #5|5|5|/kamite-manga/deadman-wonderland/deadman-wonderland-05.jpg|216|150.0|MXN|2015-07-27|La rebelión de la Cadena de Cicatrices fue destrozada por los Sepultadores. El líder, Nagi, fue tomado prisionero. Deprimido por la derrota, Ganta entra bajo la dirección de Senji para poder enfrentar a los Sepultadores...|750301824480805|1|false
Deadman Wonderland #6|6|6|/kamite-manga/deadman-wonderland/deadman-wonderland-06.jpg|216|150.0|MXN|2015-09-28|La Cadena de Cicatrices emergió victoriosa de su duelo contra los Enterradores. Y aunque perdieron a su líder, Nagi, logran escapar de Deadman Wonderland... pero Ganta no puede abandonar a Shiro.|750301824484606|1|false
Deadman Wonderland #7|7|7|/kamite-manga/deadman-wonderland/deadman-wonderland-07.jpg|216|150.0|MXN|2015-11-23|"Los prisioneros del Bloque G se preparan para atacar a los ""Apócrifos"". Deadmans falsos creados por el dueño de la prisión. Pero los ""Apócrifos"" son el resultado de crueles experimentos... y durante el primer Carnaval Cadavérico transmitido en público. Ganta encuentra a Azami, que ha sido transformada en una ""Apócrifa"" y ha perdido la cordura. Por salvar a Azami, Ganta hiere a sus compañeros, quienes ahora lo consideran un traidor. Abandonado por todos, ¿qué puede hacer Ganta?"|750301824526307|1|false
Deadman Wonderland #8|8|8|/kamite-manga/deadman-wonderland/deadman-wonderland-08.jpg|216|150.0|MXN|2015-12-21|Ganta se ha aliado con la ex capataz de Deadman Wonderland, Makina, para liberar a los Apócrifos del control de Tamaki. En ruta al cuarto de control, se encuentra frente a frente con el escuadrón uno de los Apócrifos, el más poderoso de todos.|750301824547808|1|false
Deadman Wonderland #9|9|9|/kamite-manga/deadman-wonderland/deadman-wonderland-09.jpg|180|150.0|MXN|2016-02-13|"Tras una violenta batalla, el ""Invencible"" primer batallón de los Apócrifos ha sido derrotado... pero los Deadman quedaron agotados por sus heridas. Ahora, Ganta y Makina persiguen al origen del caos, Tamaki al piso superior de Deadman Wonerland..."|750301824554609|1|false
Deadman Wonderland #10|10|10|/kamite-manga/deadman-wonderland/deadman-wonderland-10.jpg|180|150.0|MXN|2016-03-12|Después de una sorpresiva alianza con Makina, Ganta acorrala a Tamaki. Pero ahí aparece con la causa de todo, el hombre rojo enmascarado.|750301824566910|1|false
Deadman Wonderland #11|11|11|/kamite-manga/deadman-wonderland/deadman-wonderland-11.jpg|196|150.0|MXN|2016-05-21|"Ganta y Senji se adentran en Deadman Wondeland en busca de ""Bloque de Carne"", lo misteriosos objetos llave para aclarar el misterio de Shiro... pero su exploración queda interrumpida por Toto Sakagami. Para proteger a Senji, Ganta accede a ser tomado como rehén."|750301824616111|1|false
Deadman Wonderland #12|12|12|/kamite-manga/deadman-wonderland/deadman-wonderland-12.jpg|180|150.0|MXN|2016-06-27|¡Aprisionado por Toto Sakigami, Ganta finalmente recuerda su pasado en Deadman Wonderland, así como los terribles experimentos que transformaron a Shiro...!|750301824696312|1|false
Deadman Wonderland #13|13|13|/kamite-manga/deadman-wonderland/deadman-wonderland-13.jpg|212|150.0|MXN|2016-09-23|En las ruinas de Deadman Wonderland, Ganta y Shiro se enfrentan cara a cara.|750301824738013|1|false
