NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Hellsing #1|1|1|/kamite-manga/hellsing/hellsing-01.jpg|208|150.0|MXN|2013-10-11|La Orden Real de Caballeros Protestantes, liderados por Sir Integra Fairbrook Wingates Hellsing, se encarga de defender a la reina de Inglaterra de las amenazas sobrenaturales.|750301824408201|1|false
Hellsing #2|2|2|/kamite-manga/hellsing/hellsing-02.jpg|192|150.0|MXN|2013-12-01|En el cuartel general de Hellsing se convoca a una reunión para informar sobre el comportamiento de la intención y la agresividad de los vampiros y los ghouls. Sorpresivamente, en ese momento los hermanos Jan y Luke Valentine atacan la mansión de la Organización Hellsing con la ayuda de un ejército de Ghouls con equipo militar. La mayoría de los soldados de Hellsing son asesinados en una gran batalla y son convertidos en ghouls antes de que Alucard, Seras y Walter cambien el rumbo del combate. Jan Valentine revela que el grupo responsable del ataque es Millenium. Integra descubre que ese grupo podría ser quien desafió al mundo proclamando la Gloria del Imperio Milenario y estar conformado por sobrevivientes nazis.|750301824408202|1|false
Hellsing #3|3|3|/kamite-manga/hellsing/hellsing-03.jpg|192|150.0|MXN|2014-01-17|Alucard, Seras y el equipo de mercenarios viajan a Brasil para investigar acerca de Millenium. Ahí los espera un grupo de policías que al parecer son controlados por un miembro de la organización nazi. Alucard está feliz, ya que un digno rival por fin ha aparecido.|750301824408203|1|false
Hellsing #4|4|4|/kamite-manga/hellsing/hellsing-04.jpg|208|150.0|MXN|2014-03-01|Después de terminar su misión en Sudamérica, Alucard regresa a Inglaterra para presentar su reporte ante la reina. Millenium ha estada intentando durante años crear un ejército de vampiros, y parece que por fin lo ha logrado. Su líder da la cara a la organización Hellsing y le declara abiertamente la guerra.|750301824408204|1|false
Hellsing #5|5|5|/kamite-manga/hellsing/hellsing-05.jpg|208|150.0|MXN|2014-04-01|Alucard ha sido enviado a hacerse cargo de un buque de guerra que le ha estado causando problemas a la Marina Real Británica. Dicho navío pertenece a Millenium. Mientras Alucard permanece en medio del mar, el ejército nazi aterriza en Inglaterra.|750301824408205|1|false
Hellsing #6|6|6|/kamite-manga/hellsing/hellsing-06.jpg|192|150.0|MXN|2014-06-01|El ejército de Millenium ha invadido las calles de Inglaterra. En medio de un caos total, Integra sigue huyendo para salvar su vida. Los soldados del Vaticano, liderados por Alexander Anderson, han llegado para intervenir en la batalla. Mientras tanto, Seras lucha por defender el cuartel general de Hellsing.|750301824408206|1|false
Hellsing #7|7|7|/kamite-manga/hellsing/hellsing-07.jpg|192|150.0|MXN|2014-07-01|Seras es presa de las ilusiones de Zorin, y después de un acontecimiento trágico, por fin se convierte en un verdadero vampiro, obteniendo un poder incomparable. Los tres ejércitos han convergido, y la guerra se intensifica.|750301824408207|1|false
Hellsing #8|8|8|/kamite-manga/hellsing/hellsing-08.jpg|208|150.0|MXN|2014-08-01|Alucard ha regresado. Integra le ordena destruir completamente a los dos ejércitos enemigos, para eso, le permite liberar su verdadera fuerza. Los miembros del Vaticano y de Millenium son testigos de un horripilante poder. Para derrotar a Alucard, Anderson deberá traicionar sus propios principios.|750301824408208|1|false
Hellsing #9|9|9|/kamite-manga/hellsing/hellsing-09.jpg|232|150.0|MXN|2014-09-26|La pelea entre Alucard y Anderson ha llegado a su final. Un antiguo aliado aparece, pero sorpresivamente ahora está en el bando enemigo. La situación ha sido difícil para los miembros de Hellsing, pero aún deberán enfrentar al más poderoso de sus adversarios.|750301824408209|1|false
Hellsing #10|10|10|/kamite-manga/hellsing/hellsing-10.jpg|192|150.0|MXN|2014-12-20|El fin de la guerra está cerca. El líder de Millenium espera pacientemente mientras su plan para exterminar al vampiro más poderoso se lleva a cabo. Integra y Seras deberán terminar con todo sin ayuda de Alucard.|750301824456310|1|false
