NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Mirai Nikki #1|1|1|/kamite-manga/mirai-nikki/mirai-nikki-01.jpg|212|150.0|MXN|2015-01-10|¡Un juego de supervivencia en torno a un diario donde se escribe el futuro!|750301824454901|1|false
Mirai Nikki #2|2|2|/kamite-manga/mirai-nikki/mirai-nikki-02.jpg|196|150.0|MXN|2015-03-26|"Ya sea un enemigo o un aliado, ¡aparecerá el diario futuro ""el sexto dueño""!"|750301824454902|1|false
Mirai Nikki #3|3|3|/kamite-manga/mirai-nikki/mirai-nikki-03.jpg|212|150.0|MXN|2015-04-24|¡El quinto dueño del diario que apunta a Yuuki es un bebé! ?|000-0000000000|1|false
Mirai Nikki #4|4|4|/kamite-manga/mirai-nikki/mirai-nikki-04.jpg|212|150.0|MXN|2015-07-28|"¿La amiga de Yuuki? ¿enemigo? Aparece el niño misterioso ""Akise Aru"""|750301824478504|1|false
Mirai Nikki #5|5|5|/kamite-manga/mirai-nikki/mirai-nikki-05.jpg|212|150.0|MXN|2015-08-14|"Keigo Kurusu, traición. ¿Dónde está la ""Alianza Futura""?"|750301824483905|1|false
Mirai Nikki #6|6|6|/kamite-manga/mirai-nikki/mirai-nikki-06.jpg|212|150.0|MXN|2015-09-21|Yuuki, ¡Yuno desapareció! ¡Aki Aka desafía el misterio de la desaparición!|750301824512606|1|false
Mirai Nikki #7|7|7|/kamite-manga/mirai-nikki/mirai-nikki-07.jpg|196|150.0|MXN|2015-12-11|"La séptima guerra comienza. El ""amor"" de Yuuki se pondrá a prueba."|750301824539307|1|false
Mirai Nikki #8|8|8|/kamite-manga/mirai-nikki/mirai-nikki-08.jpg|204|150.0|MXN|2016-01-15|Yuma Azuma, 14 años. Su pasado, ahora contado|750301824555308|1|false
Mirai Nikki #9|9|9|/kamite-manga/mirai-nikki/mirai-nikki-09.jpg|196|150.0|MXN|2016-03-11|Novena vs Undécimo! Que sobrevivirá! ?|750301824567609|1|false
Mirai Nikki #10|10|10|/kamite-manga/mirai-nikki/mirai-nikki-10.jpg|196|150.0|MXN|2016-04-29|¡Yukiteru y novena, derrocan al undécimo!|750301824608610|1|false
Mirai Nikki #11|11|11|/kamite-manga/mirai-nikki/mirai-nikki-11.jpg|228|150.0|MXN|2016-07-15|¡La verdad al final del juego del asesinato! ?|750301824701411|1|false
Mirai Nikki #12|12|12|/kamite-manga/mirai-nikki/mirai-nikki-12.jpg|228|150.0|MXN|2016-08-15|Por fin completo! Yuuki y Yuno, el futuro de los dos ...|750301824708312|1|false
