NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Saint Seiya - Episodio G #0|0|0|/kamite-manga/saint-seiya-episodio-g/saint-seiya-episodio-g-00.jpg|194|150.0|MXN|2018-05-09|¡¡Finalmente se descubre el secreto de Aioros, el Caballero Dorado de Sagitario!! Dentro de esta emocionante historia aparece el joven Aioria. Aquí averiguarás todos los secretos de esta gran saga. Leyendo este tomo, entenderás a la perfección la apasionante historia de Episodio G.|750301825460900|1|false
Saint Seiya - Episodio G #1|1|1|/kamite-manga/saint-seiya-episodio-g/saint-seiya-episodio-g-01.jpg|176|150.0|MXN|2014-02-22|Aioria, un caballero de oro de Leo, no es muy apreciado por sus compañeros de armas por la traición que su hermano Aioros, cometió al intentar asesinar a la diosa Atena. Sin embargo, un nuevo peligro se avecina cuando los Titanes de la mitología griega intentan revivir a Cronos, por lo que los doce caballeros dorados deberán trabajar juntos para detenerlos.|750301824416701|1|false
Saint Seiya - Episodio G #2|2|2|/kamite-manga/saint-seiya-episodio-g/saint-seiya-episodio-g-02.jpg|186|150.0|MXN|2014-04-26|¡Desde los más oscuros rincones de la historia han vuelto los Dioses Titanes! Cuando se disponen a atacar el santuario, ¡entran en acción los Caballeros, dispuestos a hacerles frente! El primero de ellos fue el Caballero Dorado Aioria, quien se vio en la necesidad de hacer explotar todo su cosmos.|750301824416702|1|false
Saint Seiya - Episodio G #3|3|3|/kamite-manga/saint-seiya-episodio-g/saint-seiya-episodio-g-03.jpg|188|150.0|MXN|2014-05-31|Aioria destruye a un grupo de titanes, quienes portan armaduras doradas. Ahora se dirige a una tierra de espejismos, llamada Jamir. Sin embargo, ahí descubre a un caballero solitario, quien entrena sin descanso.|750301824416703|1|false
Saint Seiya - Episodio G #4|4|4|/kamite-manga/saint-seiya-episodio-g/saint-seiya-episodio-g-04.jpg|202|150.0|MXN|2014-07-30|Cuando la familia sagrada de titanes se encontraba invadiendo el santuario, el dios Chronos surge de la antigüedad para resucitar al clan de los “Gigas”.|750301824416704|1|false
Saint Seiya - Episodio G #5|5|5|/kamite-manga/saint-seiya-episodio-g/saint-seiya-episodio-g-05.jpg|218|150.0|MXN|2014-09-06|Para despertar a la raza de los titanes, se invocan a varias criaturas malignas. Y por el mandato del patriarca, deben salir al ataque para ayudar a las personas indefensas.|750301824416705|1|false
Saint Seiya - Episodio G #6|6|6|/kamite-manga/saint-seiya-episodio-g/saint-seiya-episodio-g-06.jpg|194|150.0|MXN|2014-11-13|Aioria protege a Shaka, y contraataca al enemigo. ¡Una impresionante batalla se desata, el poder del enemigo es abrumador!|750301824416706|1|false
Saint Seiya - Episodio G #7|7|7|/kamite-manga/saint-seiya-episodio-g/saint-seiya-episodio-g-07.jpg|194|150.0|MXN|2015-01-31|Finalmente llegan al palacio de los Titanes sobrepasando el laberinto de Cronos.|750301824416707|1|false
Saint Seiya - Episodio G #8|8|8|/kamite-manga/saint-seiya-episodio-g/saint-seiya-episodio-g-08.jpg|186|150.0|MXN|2015-03-26|Al fin Cronos aparece fisicamente en el santuario. Líder de los Titanes, poseedor del cosmos más poderoso.|750301824416708|1|false
Saint Seiya - Episodio G #9|9|9|/kamite-manga/saint-seiya-episodio-g/saint-seiya-episodio-g-09.jpg|186|150.0|MXN|2015-06-12|Durante la batalla no todo está perdido... Cuando Aioria y compañía se encontraban heridos, el Caballero Dorado que porta los cuernos en su armadura fue en su ayuda. ¡¡Aldebarán desafía los asombrosos poderes del linaje de los Titanes!!|750301824416709|1|false
