NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Sankarea #1|1|1|/kamite-manga/sankarea/sankarea-01.jpg|176|150.0|MXN|2018-10-27|"Furuya Chihiro es un estudiante de primer año de preparatoria. Tiene una especial obsesión por los zombies y por tener una novia zombie, de repente un día, su única mascota, un gato llamado Babu (nombre dado porque en vez de hacer ""nya"" dice ""babu"") es atropellado, al no aceptar su muerte Chihiro decide revivirlo mediante un cuaderno con notas el cual encontró en una almacén de la familia. Para ello asiste cada noche a una bolera abandonado donde hace sus experimentos."|750301825662701|1|false
Sankarea #2|2|2|/kamite-manga/sankarea/sankarea-02.jpg|192|150.0|MXN|2018-12-24|La chica zombi está a punto de descomponerse. ¿Rea al fin piensa en escapar para disfrutar por primera vez salir de compras… y tener un momento de tranquilidad? ¡Pero su padre tiene planeado algo perverso! ¿Chihiro lo ataca con un gran golpe final? Además, ¿por qué Rea está vestida de conejo?|750301825781502|1|false
Sankarea #3|3|3|/kamite-manga/sankarea/sankarea-03.jpg|160|150.0|MXN|2019-03-11|Rea se queda a vivir con la familia Furuya y regresa a la escuela gracias al apoyo de Chihiro. Pero ahora una extraña chica extranjera aparece y el abuelo se asusta ya que no es normal que una chica sepa sobre zombis. ¿¡Quién es ella en realidad!? ¡También hay una pequeña historia donde Mero es la protagonista!|750301825849203|1|false
Sankarea #4|4|4|/kamite-manga/sankarea/sankarea-04.jpg|176|150.0|MXN|2019-03-18|“Comerse... a los que ama...”. Rea se entera del destino cruel que le espera al convertirse totalmente en zombi, y sabe muy bien que ni su cuerpo ni su conciencia durarán mucho tiempo. Ella va a su primer festival de verano con el objetivo de divertirse, pero… ¡¡sucede algo inesperado!! ¡Babu, el gato zombi, también nos cuenta una breve historia!|000-0000000000|1|false
Sankarea #5|5|5|/kamite-manga/sankarea/sankarea-05.jpg|176|150.0|MXN|2019-04-03|Chihiro y Rea se miran mutuamente dentro de un edificio abandonado en llamas. Sin embargo, al entrar en el “periodo de confusión” se puede percibir una luz cautivadora en los ojos de Rea. ¿¡Será que a Chihiro le espera un trágico final!? ¿¡O será que…!? ¿¡¡Qué es lo que hará Ranko por el dolor que siente en su corazón!!? ¡¡La historia de amor de la chica zombi avanza rápidamente!!|000-0000000000|1|false
Sankarea #6|6|6|/kamite-manga/sankarea/sankarea-06.jpg|168|150.0|MXN|2019-08-09|Chihiro confiesa sus sentimientos justo cuando está a punto de morir. Eso hizo que Rea saliera del “periodo de confusión” y recobrara sus cinco sentidos milagrosamente. Sin embargo, Chihiro podría tener un final terrible por estar interesado en una zombi.|000-0000000000|1|false
Sankarea #7|7|7|/kamite-manga/sankarea/sankarea-07.jpg|176|150.0|MXN|2019-10-02|La condición de Babu estaba más avanzada de lo pensado. Al darse cuenta de esto, Chihiro se ve atrapado en un dilema considerando “la felicidad de Babu” y “los sentimientos de Rea”. ¡Pero Rea desaparece de repente! Solo dijo que se iría a AMZO con Darin… Claramente les espera un “lugar sagrado” para zombis, ¿pero qué les deparará el destino allí?|000-0000000000|1|false
Sankarea #8|8|8|/kamite-manga/sankarea/sankarea-08.jpg|176|150.0|MXN|2019-11-19|Chihiro y Rea viajan con Darin hasta AMZO (Antropología Medica de Zombis) para buscar una manera de controlar el periodo de confusión. Chihiro se sentía feliz de poder confirmar, mediante exámenes, si Rea seguía “viva”, pero ¡todo resulta ser una trampa del jefe Salva! Chihiro es rodeado por zombis y examinan con un bisturí el cerebro de Rea… ¡¡Es la primera vez que sufren tal crisis en esa lejana y solitaria isla!!|750301826095208|1|false
Sankarea #9|9|9|/kamite-manga/sankarea/sankarea-09.jpg|176|150.0|MXN|2020-01-15|Darin trata de ayudar a Rea a escapar de AMZO, pero Salva se atraviesa en su camino. La confrontación de padre e hija termina en tragedia… Ella solo se tira al suelo sin esperanza alguna, mientras espera su muerte. Por otra parte, Chihiro es aventado por Rea al no recordarlo, así que después intenta recuperar sus recuerdos a través de “terapia electroconvulsiva”. ¡¡El escenario de los próximos capítulos es en Japón nuevamente!!|000-0000000000|1|false
Sankarea #10|10|10|/kamite-manga/sankarea/sankarea-10.jpg|176|150.0|MXN|2020-04-13|La carta del abuelo lleva a Chihiro a una cueva de hielo en donde le esperaba una zombi congelada llamada Otoki, quien podría decirle acerca de la tragedia de la creación de la poción de resurrección y sobre el destino tan lamentable de su mamá. Por otra parte, ¡ocurre un incidente con Rea, quien aparentemente había regresado a su rutina diaria después de perder la memoria! ¡¡Todos temen que Rea sea dominada por su “apetito” y resulte en una terrible matanza!!|000-0000000000|1|false
Sankarea #11|11|11|/kamite-manga/sankarea/sankarea-11.jpg|176|150.0|MXN|2020-08-11|¡LA HISTORIA DE AMOR DE LA CHICA ZOMBI LLEGA A SU FINAL!|000-0000000000|1|false
