NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Trinity Seven - Siete Hechiceras #1|1|1|/kamite-manga/trinity-seven/trinity-seven-01.jpg|164|150.0|MXN|2019-06-24|¡EL SOL NEGRO BRILLA SOBRE EL CIELO DE TOKIO!|000-0-00-000000-0|1|false
Trinity Seven - Siete Hechiceras #2|2|2|/kamite-manga/trinity-seven/trinity-seven-02.jpg|164|150.0|MXN|2020-01-18|Arata es ahora un estudiante en la Real Academia de Magia Biblia, pero ¿por qué lo llaman “candidato a Rex Magus”? ¿Y por qué hay una ninja en la academia? Bajo la tutela de Lilith, Arata continúa sus estudios de magia, pero ¿qué le espera en el laberinto oculto bajo los cimientos de la escuela?|000-0-00-000000-0|1|false
Trinity Seven - Siete Hechiceras #3|3|3|/kamite-manga/trinity-seven/trinity-seven-03.jpg|164|150.0|MXN|2020-05-20|¡Arata lo ha decidido, él será quien controle la terrible magia conocida como “Fenómeno de Ruptura”!|000-0-00-000000-0|1|false
Trinity Seven - Siete Hechiceras #4|4|4|/kamite-manga/trinity-seven/trinity-seven-04.jpg|164|150.0|MXN|2020-10-02|¡Aparece una nueva villana! Liselotte Sherlock, la última Trinity Seven, ataca a Arata y a sus compañeras, y con un beso roba la magia de Arata...|000-0-00-000000-0|1|false
Trinity Seven - Siete Hechiceras #5|5|5|/kamite-manga/trinity-seven/trinity-seven-05.jpg|164|150.0|MXN|2021-03-25|Después de vencer a Liselotte, Arata se transforma en algo inesperado… ¡un buen estudiante! Conmovida, Lilith le ofrece las clases privadas, pero… ¿la clase incluye un curso de hidroterapia en aguas termales? Mientras tanto, hay rumores de que una de las tres más importantes escuelas de magia del mundo, la Academia Liber, fue atacada y destruida. Arata se une al escuadrón de censura para investigar, sin embargo, lo que encuentra es una reunión inesperada que no es lo que aparenta. ¡El quinto tomo contiene comedia, trajes de baño y, de vez en cuando, batallas mágicas!|000-0-00-000000-0|1|false
Trinity Seven - Siete Hechiceras #6|6|6|/kamite-manga/trinity-seven/trinity-seven-06.jpg|164|150.0|MXN|2021-08-23|Suena el preludio a la destrucción: ¡El amo de los demonios, la “Trinidad Astral”, ha aparecido! Arata pierde control de su magia y revela una forma monstruosa. Mira deberá devolverlo a lanormalidad, pero ¿cómo? Mientras tanto, Levi arriesga su vida para defender a la academia de un nuevo oponente: Lugh, usuaria de la magia “ildanach”. Para proteger la academia y a todas sus compañeras, ¡Levi tendrá que usar su arma secreta! ¡El sexto tomo de una historia de comedia y batallas mágicas! ¡Por primera vez, más batallas que comedia!|000-0-00-000000-0|1|false
Trinity Seven - Siete Hechiceras #7|7|7|/kamite-manga/trinity-seven/trinity-seven-07.jpg|164|150.0|MXN|2021-09-24|¡Las Trinity Seven se han reunido! Inicia la complicada batalla entre Arata, las Trinity Seven y la oscura versión de Hijiri. Eso los lleva a un nuevo escenario: la Biblioteca Celestial que flota en el cielo. Rodeados de hechicería perdida y armas que solo aparecen en leyendas, ¿qué les espera a Arata y a sus compañeras? ¿Y por qué Akio se volvió pequeña repentinamente? ¡Séptimo tomo lleno de misterios, comedia y magia!|000-0-00-000000-0|1|false
Trinity Seven - Siete Hechiceras #8|8|8|/kamite-manga/trinity-seven/trinity-seven-08.jpg|164|169.0|MXN|2022-03-18|Un nuevo oponente ha aparecido: el padre de Lilith, Rex Magus de un mundo alterno, la Trinidad Abisal. Su Thema es “Vanitas”, el vacío que consume todo, que regresa la vida a la muerte. ¡La Biblioteca Celestial es el escenario de una batalla desesperada! Con Lilith prisionera, ¿qué puede hacer Arata? Pero en algún lugar de la biblioteca duerme una poderosa arma, ¡la llave para cambiar el rumbo del encuentro! ¿Podrá Arata salvar a Lilith? ¡Nunca ha existido peligro como el que hay en este octavo tomo!|000-0-00-000000-0|1|false
Trinity Seven - Siete Hechiceras #9|9|9|/kamite-manga/trinity-seven/trinity-seven-09.jpg|164|169.0|MXN|2022-06-01|¡Arata ha obtenido la espada imperial negra, Judeca! Es tan poderosa que sacude incluso la Biblioteca Celestial. Armado y con una nueva estrategia, ¡inicia el ataque contra el Rex Magus Carmesí, Trinidad Abisal! Pero este tiene un as bajo la manga, el poder que duerme dentro de Lilith. La puerta entre mundos se abre y el poder resultante es inesperado. ¿Qué les depara la suerte a Arata y a las Trinity Seven? ¡Una batalla como ninguna hasta ahora y una nueva historia!|000-0-00-000000-0|1|false
Trinity Seven - Siete Hechiceras #10|10|10|/kamite-manga/trinity-seven/trinity-seven-10.jpg|164|169.0|MXN|2022-07-01|¡Trinity Seven vs. Trinity Seven! El momento más esperado del festival de investigación mágica ha llegado, ¡el torneo! En la arena de batalla, Arata se enfrentará no solo a las Trinity Seven, sino también a Hijiri, quien se encuentra de regreso, así como a la misteriosa chica de cabello negro, Ana. Pero antes necesita ganar el primer encuentro: ¡Arata y Lise vs. Arin y Yui! ¿Qué equipo resultará victorioso en esta batalla de ingenio mágico? Y en medio de todo esto, hay amor en el aire… ¡Nuevos encuentros en el décimo tomo lleno de magia y acción!|000-0-00-000000-0|1|false
