NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
20th Century Boys #1|1|1|/panini-manga-mx/20th-century-boys/20th-century-boys-01.jpg|194|99|MXN|2015-11-03|Del autor de Monster, llega 20th Century Boys, un manga de ciencia ficción escrito y dibujado por Naoki Urosawa. En esta historia conoceremos a Kenji, el encargado de una pequeña tienda de conveniencia, quien se encarga de criar a Kanna, la bebé que su hermana dejó antes de desaparecer. Un día, Kenji encuentra en la calle un misterioso símbolo que cree conocer de algún lado, y que se relaciona con la organización secreta de un tal “Amigo”. Mientras tanto, una ola de sangrientos crímenes ocurre en Tokio… ¡Ayuda a Kenji a resolver este misterio!|978-6-075-28888-8|1|FALSE
20th Century Boys #2|2|2|/panini-manga-mx/20th-century-boys/20th-century-boys-02.jpg|194|99|MXN|2015-04-22|ras recuperar la caja que Kenji y sus amigos desenterraron cuando eran niños surgen más y más dudas alrededor de la organización de Amigo, ¿por qué estaba su símbolo en la caja de los chicos? Ellos recurrirán a Yukiji para aclarar este misterio, y los recuerdos sobre su infancia comienzan a aflorar. ¿Finalmente Yukiji proporcionará las claves para resolver los terribles crímenes que están ocurriendo en Tokio?|978-6-075-48597-3|1|FALSE
20th Century Boys #3|3|3|/panini-manga-mx/20th-century-boys/20th-century-boys-03.jpg|194|99|MXN|2015-05-13|El plan hacia la destrucción lo elaboró Kenji cuando era sólo un niño… Los ataques bacteriológicos en contra de San Francisco y Londres se vuelven realidad a manos de Amigo. ¿Qué pasará después? La única persona que lo sabe, la única persona que puede salvar al mundo es… Kenji. Ahora él ha encendido su guitarra, está decidido a levantarse y se dirige solo al concierto en el auditorio donde Amigo lo espera.|978-6-075-48598-0|1|FALSE
20th Century Boys #4|4|4|/panini-manga-mx/20th-century-boys/20th-century-boys-04.jpg|194|99|MXN|2015-06-24|En su niñez, Kenji escribió “El libro de las profecías”. Un escenario simple y carente de sentido que sirve como base para el plan de Amigo para destruir a la humanidad. Kenji busca una oportunidad para contraatacar. Mientras tanto, las malvadas manos de la misteriosa organización se acercan a un hombre llamado Shogun, que vive en el mundo de la mafia de Bangkok. Los misterios se profundizan y el miedo se vuelve más intenso conforme nos acercamos a la batalla final y a punto de iniciar un nuevo siglo… ¿Habrá alguna forma de salvar al mundo del exterminio?|978-6-075-48599-7|1|FALSE
20th Century Boys #5|5|5|/panini-manga-mx/20th-century-boys/20th-century-boys-05.jpg|194|99|MXN|2015-07-22|¡El robot gigante ya está construido! Ahora sólo queda esperar el gran despertar… Mientras “Amigo” sigue sin ser identificado, los días transcurren en la cuenta regresiva para el 31 de diciembre de 2000… El día en el que la Tierra verá su final. Los únicos que pueden salvar al mundo son los “nueve amigos”, quienes escribieron “El libro de las profecías” durante su niñez. ¿La humanidad llegará al nuevo siglo sana y salva?|978-6-075-48600-0|1|FALSE
20th Century Boys #6|6|6|/panini-manga-mx/20th-century-boys/20th-century-boys-06.jpg|194|99|MXN|2015-08-19|En 2014, catorce años después de la “sangrienta víspera de año nuevo” que sumió al mundo en el terror a la extinción, Neo Tokio recuperó la paz y se convirtió en una próspera metrópolis que atrae a gente de todo el mundo. En medio del caos, Kanna cumplió 17 años y se enteró de una terrible verdad que podría cambiar su destino. ¿Cuál es esa verdad? ¡A diez kilómetros de la zona urbana el hombre seguía con vida en un fuerte construido en el centro de la bahía de Tokio! ¿Quién será el que consiga traer la verdadera paz?|978-6-075-48601-7|1|FALSE
20th Century Boys #7|7|7|/panini-manga-mx/20th-century-boys/20th-century-boys-07.jpg|194|99|MXN|2015-09-16|En el centro de la bahía de Tokio un hombre llamado “Shogun”, con la intención de salvar al mundo, sufría al escapar de la prisión Umihotaru, la cual se creía que era un fuerte de hierro del que era imposible salir. Ahora Shogun se dirige a Tokio… ¡la ciudad donde vive la niña de “la última esperanza”! pero un asesinato en Chinatown desata el terror en cadena. De repente, la falsa paz creada por “amigo”, ¡quedará al descubierto! ¿Cuál fue el truco detrás del desastre del último día del siglo XX?|978-6-075-48602-4|1|FALSE
20th Century Boys #8|8|8|/panini-manga-mx/20th-century-boys/20th-century-boys-08.jpg|194|99|MXN|2015-07-10|"""¿Cuál fue la realidad que la humanidad presenció en la ""sangrienta víspera de año nuevo""? Como si su destino hubiera sido determinado desde un principio, Kenji y compañía fueron invadidos por un impulso desmesurado. Sus valientes siluetas, que se alzaron contra el plan de destrucción de la Tierra, se grabaron en la mente de Kanna. ¡Ella heredó la voluntad implacable de Kenji y ahora está cambiando al mundo! Y, ¿qué le espera a Otcho en su gran escape? La crisis de Tokio en el año 2014. ¡Ahora los verdaderos héroes se levantan para salvar nuestro nuevo siglo!"""|978-6-075-48586-7|1|FALSE
20th Century Boys #9|9|9|/panini-manga-mx/20th-century-boys/20th-century-boys-09.jpg|194|99|MXN|2015-04-11|"En 2014... Neotokio estaba bajo el control total de ""Amigo"", un líder desconocido. Kanna ha decidido tomar venganza para cumplir la última voluntad de Kenji, quien fue asesinado en la ""Sangrienta víspera de año nuevo"". Justo cuando estaba reuniendo gente que se uniría a su lucha, Kyoko Koizumi estaba envuelta en el verdadero terror. En ""Amigo land"", la fábrica de lavado de cerebros, Kyoko conoció a Kenji de niño y vio algo que jamás debió haber visto... ¡La cara de ""Amigo""! ¿Quién sobrevivirá hasta el final en un mundo donde no se sabe quién es amigo o enemigo?"|978-6-075-48587-4|1|FALSE
20th Century Boys #10|10|10|/panini-manga-mx/20th-century-boys/20th-century-boys-10.jpg|194|99|MXN|2015-02-12|"¡Por favor! ¡Dame toda tu fuerza!\nLa poderosa voluntad de Kanna calentó los corazones de las furiosas personales de Shinjuko.\nElla está a punto de cambiar la historia ahora, jura venganza por Kenji y lucha contra el misterioso dominador ""Amigo"", quien manipula Japón de las oscuras sombras.\nPero entonces, ¿cuál es el propósito del misterioso hombre que apareció en el campus? ¡¡crisis enseguida de crisis!!"|978-6-075-48580-5|1|FALSE
