NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Ajin #1|1|1|/panini-manga-mx/ajin/ajin-01.jpg|196|99|MXN|2016-09-14|"Hace 17 años en un campo de batalla en África apareció u ser humano que no moría. Más tarde, en raras ocasiones aparece entre los seres humanos una nueva criatura desconocida que nunca muere. A esta criatura los humanos la conocen como ""Ajin"".\nJusto antes de las vacaciones de verano, un estudiante japonés de preparatoria murió al instante en un accidente vial mientras regresaba de la escuela. Dado que el chico revivió, se ha ofrecido una gran recompensa por él.\nAsí comenzó la fuga del chico, pues toda la humanidad se ha puesto en su contra."|978-6-075-28127-8|1|FALSE
Ajin #2|2|2|/panini-manga-mx/ajin/ajin-02.jpg|196|99|MXN|2016-10-12|"Kei Nagai se ha convertido en la nueva especie inmortal: un ""ajin"". Mientras huye de toda la humanidad que intenta capturarlo para conseguir la recompensa, Kei se da cuenta de la verdad escondida sobre los ajin. Se ha informado que entre los ajin hay seres inofensivos, pero hay otros que representan un alto riesgo si son capaces de invocar un ""fantasma negro"". Kei se separa de su único aliado, Kai, que lo ayudó en la fuga, para ponerse en contacto con un ajin. ""Si los otros ""ajin"" fueran terroristas, ¿qué es lo peor que podría sucederme?"" - Kai ""Por la manera en que reacciona al dolor, se puede decir que ha muerto varias veces."" ""¿No creen que los ""ajin"" son iguales a los humanos?"" "|978-6-075-28200-8|1|FALSE
Ajin #3|3|3|/panini-manga-mx/ajin/ajin-03.jpg|196|99|MXN|2016-11-09|"¿La existencia humana representa una simbiosis o una hostilidad? Desde un principio, un semejante de Kei Nagai ha intentado contactarlo a partir de que se descubrió como un ""ajin"". Sato, también conocido como ""el hombre del gorro"", resultó ser un feroz terrorista. Ahora Kei Nagai tiene en sus manos la vida de los investigadores que efectuaron espantosos experimentos en su cuerpo, pero irónicamente emprende una confrontación contra Sato. ¿Qué sucederá ahora? "|978-6-075-28261-9|1|FALSE
Ajin #4|4|4|/panini-manga-mx/ajin/ajin-04.jpg|196|99|MXN|2016-12-14|"Los ajin de la ciudad de Sano viven como personas normales ocultando el hecho de que son inmortales. El ""hombre del gorro"", Sato, les envía un mensaje, invitándolos a participar en la primera reunión de ajin. Siete responden al llamado. ¿Qué es lo que deberían hacer? ¿Conocerá Kei las intenciones de Sato? ¡Descúbrelo en el tomo 4 de Ajin!"|978-6-075-28320-3|1|FALSE
Ajin #5|5|5|/panini-manga-mx/ajin/ajin-05.jpg|196|99|MXN|2017-01-17|"Sato, el hombre del gorro y el ajin más despreciable, ha lanzado una amenaza a la humanidad. y ha cumplido llevándose la vida de varias personas. Los ajin deben decidir si lo apoyan o si quieren enfrentarlo sabiendo que es uno de los más poderosos ajin existentes. Kei sabe que lo odia, pero también sabe que él solo no lograría vencerlo, así que decide buscar aliados que quieran unírsele mientras, a la vez evita los ataques que los humanos le hacen por considerarlo peligroso. ¿Logrará su objetivo? Descúbrelo en el tomo 5 de ""Ajin. Semihumano"". ""Lo importante es.¡Arriesgarnos a un peligro que podemos aprovechar!"" ""¡Ayúdame! Quiero hacer algo contra Sato."" Kei Nagai "|978-6-075-28358-6|1|FALSE
Ajin #6|6|6|/panini-manga-mx/ajin/ajin-06.jpg|196|99|MXN|2017-03-08|"Kei Nagai ha tomado la decisión de formar un frente unido con el máximo representante del comité de control ajin, Tosaki, para derrotar a toda costa al ajin terrorista Sato; pero Sato tiene más aliados y va matando una a una a las víctimas que aparecen en la lista de asesinatos. Antes de que el enemigo cometa una atrocidad, aquellos que tienen algún motivo para luchar comienzan a reunirse. ¿Lograrán idear un plan para detener a Sato? ¡Descúbrelo en el tomo 6 de tu serie ""Ajin. Semihumano""!"|978-6-075-28421-7|1|FALSE
Ajin #7|7|7|/panini-manga-mx/ajin/ajin-07.jpg|196|99|MXN|2017-05-10|El terrorista ajin Sato y sus aliados continúan asesinando una a una a las once personas importantes de acuerdo con su plan. Su daño ha alcanzado al ministro de salud, trabajo y bienestar y a su comitiva. El gabinete que ha sentido el estremecimiento comienza a buscar un cambio radical contra el sistema terrorista ajin. Por otro lado, Tosaki, quien lidera un frente de combate extraoficial contra los ajin con los mejores elementos del comité de control ajin, emprende una averiguación de los antecedentes de Sato y nos ayuda a echar un vistazo a su terrible naturaleza. ¿Lograrán detenerlo? ¿Continuarán los asesinatos? ¿Quién será el próximo? Descúbrelo en el número 7 de tu serie Ajin: semihumano.|978-6-075-28471-2|1|FALSE
Ajin #8|8|8|/panini-manga-mx/ajin/ajin-08.jpg|196|99|MXN|2017-07-12|ei Nagai ha elegido tender una emboscada contra los ajin terroristas de Sato y sus hombres en el edificio de Seguros Forge, donde laboran dos personas que se encuentran en la lista de Sato. Al mismo tiempo que se lleva acabo el acto terrorista de Sato, se inicia la emboscada liderada por Kei... En la torre de gran altura que se encuentra aislada del exterior se enfrentan en fuego cruzado gente mortal contra inmortales. ¿Lograrán detenera al terrorista? ¿Qué tácticas usará Sato para sorprender a Kei? ¡Descúbrelo en el tomo 8 de Ajin: semihumano!|978-6-075-28491-0|1|FALSE
Ajin #9|9|9|/panini-manga-mx/ajin/ajin-09.jpg|196|99|MXN|2017-09-13|Para prevenir el asesinato del presidente Kai de Seguros Forge, se logra la captura a los ajin del grupo de Sato que continúan con su terrorismo. El plan que había diseñado Kei Nagai se viene abajo cuando Sato se infiltra solo al edificio de Seguros Forge desfasado en el tiempo del plan. Sato se da rienda suelta poco a poco, sobrepasando las expectativas de Kei, quien se se ve obligado a tomar una decisión por la fuerte presión que siente... ¿Cuál será el desenlace de este enfrentamiento? ¡No te lo pierdas en el tomo 9 de Ajin: Semihumano!|978-6-075-28595-5|1|FALSE
Ajin #10|10|10|/panini-manga-mx/ajin/ajin-10.jpg|196|99|MXN|2017-11-08|Luego de que fracasara la emboscada tendida al ajin terrorista Sato, Kei Nagai decide desaparecer y despedirse de la vida que conoce para intentar rehacerla en otro lugar en donde no se sepa de su poder de ajin. Los atroces experimentos que se llevan a cabo con los ajin han levantado la alerta en el mundo, pero... ¿Escapar es la solución? ¿Qué motiva a Kei a tomar esa decisión? Descúbrelo en el tomo 10 de tu serie Ajin: Semihumano. ¡Búscala ya!|978-6-075-28666-2|1|FALSE
