NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Akame Ga Kill! #1|1|1|/panini-manga-mx/akame-ga-kill/akame-ga-kill-01.jpg|196|109|MXN|2018-08-15|La facción Night Raid del ejército revolucionario tiene como objetivo enfrentar a las fuerzas opresoras del imperio. Akame es una asesina consumada que se une al Night Raid y en una misión conoce a Tatsumi, un chico que dejó su pueblo para dirigirse a la capital del imperio y salvar a su gente de la pobreza con la fortuna que consiga amasar trabajando. Después de perder a sus amigos y ser engañado respecto a las intenciones del Night Raid, se une a ellos para cobrar venganza y cumplir sus objetivos. Tatsumi entabla amistad con Bulat, uno de los miembros del Night Raid que hace las veces de su mentor y quien, antes de morir, le entrega la teigu Incursio, una de las 48 raras y poderosas armas y armaduras creadas por orden del primer Emperador para ser utilizadas después de su muerte para evitar la desaparición del Imperio.|978-6-075-48407-5|1|FALSE
Akame Ga Kill! #2|2|2|/panini-manga-mx/akame-ga-kill/akame-ga-kill-02.jpg|196|109|MXN|2018-10-17|El valor de las teigu, las poderosas armas forjadas por órdenes del primer emperador, se pone a prueba en este nuevo volumen. Night Raid continúa su misión de limpiar a la capital para liberarla de la corrupción y la maldad, pero eso provoca la ira de los aliados más fuertes del imperio y se ven envueltos en una lucha encarnizada. La leyenda dice que en una batalla entre dos usuarios de teigu forzosamente alguno tiene que morir. ¿quién cumplirá con este mandato?|978-6-075-48503-4|1|FALSE
Akame Ga Kill! #3|3|3|/panini-manga-mx/akame-ga-kill/akame-ga-kill-03.jpg|196|109|MXN|2018-12-19|Tras la muerte de Sheele, Tatsumi se da cuenta de la pesada carga que los integrantes de Night Raid llevan sobre sus hombros. El Imperio no permanece impávido ante la creciente amenaza rebelde, así que le encomienda a Esdeath, la sádica general que regresa después de conquistar el norte, la seguridad de la capital y la labor de eliminar toda oposición. Pronto Tatsumi y Bulat conocerán la fuerza de las Tres Bestias, soldados devotos a su general y poseedores de Teigus y técnicas letales.|978-6-075-48521-8|1|FALSE
Akame Ga Kill! #4|4|4|/panini-manga-mx/akame-ga-kill/akame-ga-kill-04.jpg|196|109|MXN|2019-02-20|"Como si no representara una enorme amenaza por sí misma, Esdeath reúne a un grupo de guerreros portadores de Teigu con el objetivo de aniquilar a Night Raid, y los bautiza como ""Jaegers""; mientras tanto, Tatsumi entra en un torneo de artes marciales tras la recomendación de Lubbock, sin saber que llamará la atención de la terrible general imperial, que se enamora de él tras verlo triunfar. Por otro lado, Stylish, uno de los Jaegers, se prepara para atacar el escondite de Night Raid."|978-6-075-48718-2|1|FALSE
Akame Ga Kill! #5|5|5|/panini-manga-mx/akame-ga-kill/akame-ga-kill-05.jpg|196|109|MXN|2019-04-24|El Dr. Stylish está a punto de acabar con Tatsumi y los demás, pero cuando todo parece perdido, Najenda regresa con dos nuevos aliados: Chelsea, la maestra del engaño, y Susanoo, el poderoso guerrero que inclina la balanza a favor de Night Raid. Tras superar esta crisis, el equipo traslada su base a las regiones desconocidas para ocultarse y entrenar; no obstante, parece que la convivencia con uno de los nuevos integrantes será más difícil de lo que esperaban.|978-6-075-48870-7|1|FALSE
Akame Ga Kill! #6|6|6|/panini-manga-mx/akame-ga-kill/akame-ga-kill-06.jpg|196|109|MXN|2019-06-19|Debido a los terribles estragos que una nueva especie de Bestia Peligrosa ha infligido en la capital, Night Raid decide tomar cartas en el asunto, pero no son los únicos; los Jaegers tienen la misma misión. En medio de caos Tatsumi se reunirá nuevamente con Esdeath y, gracias a la aparición de un extraño portador de Teigu, serán transportados mágicamente a una isla desierta. ¿Quién es este nuevo personaje? Y, ¿qué descubrirá Tatsumi sobre Esdeath durante su estadía en la isla?|978-6-076-34018-9|1|FALSE
Akame Ga Kill! #7|7|7|/panini-manga-mx/akame-ga-kill/akame-ga-kill-07.jpg|196|109|MXN|2019-08-21|El plan de Night Raid para alejar a Esdeath y a algunos Jaegers funciona a la perfección, así que deciden exterminar a Bols y a Kurome, pero no cuentan con la habilidad de la Teigu Yatsufusa, la cual confiere a portadora el poder de controlar a un terrible equipo de no-muertos que pondrá en grave peligro a Tatsumi y los demás, al grado de que Najenda y Susanoo se unirán al combate para pelear con todo su poder. sin embargo, la muerte de más de uno de los contendientes será inevitable. ¡¿Quiénes sobrevivirán?!|978-6-076-34171-1|1|FALSE
Akame Ga Kill! #8|8|8|/panini-manga-mx/akame-ga-kill/akame-ga-kill-08.jpg|196|109|MXN|2019-10-30|Tras llegar a Kyoroku, Night Raid comienza a ejecutar el plan para asesinar a Bolic, el segundo al mando del grupo religioso; no obstante, este cuenta con los Cuatro Demonios Rakshasa, un grupo de asesinos profesionales que le sirven fielmente y que son dignos rivales aunque no porten Teigu. Por otro lado, los Jaegers siguen el rastro de Tatsumi y los demás y, gracias a la ayuda de Suzuka, Seryu descubre la ubicación de Mine. ¡La batalla para vengar a Sheele finalmente tendrá lugar!|978-6-076-34307-4|1|FALSE
Akame Ga Kill! #9|9|9|/panini-manga-mx/akame-ga-kill/akame-ga-kill-09.jpg|196|109|MXN|2019-12-18|Después de relajase gracias a una agradable velada, Night Raid se prepara para infiltrarse en la catedral a fin de asesinar a Bolic; no obstante, el plan es una medida desesperada sumamente peligrosa. Una vez dentro, y debido al ataque sorpresa de Run y Wave, Tatsumi, Susanoo, Leone y Najenda se ven obligados a combatir contra Esdeath, quien desarrolló una nueva técnica devastadora. ¡El éxito de la misión está en riesgo. así como la vida de todos los asesinos revolucionarios!|978-6-076-34452-1|1|FALSE
Akame Ga Kill! #10|10|10|/panini-manga-mx/akame-ga-kill/akame-ga-kill-10.jpg|196|109|MXN|2020-02-16|¡Después de cazar algunas bestias para la cena, Mine encuentra la determinación para confesarle a Tatsumi lo que siente por él! ¿Cómo reaccionará? Por otro lado, el hijo del ministro, Syura, forma una policía secreta integrada por diversos usuarios de Teigu; no obstante, actúan con tal perversión y violencia que sumen a la Capital en el caos y provocan la furia tanto de Night Raid como de los Jaegers. ¿Qué sucederá ahora que los grupos rivales tienen un enemigo común?|978-6-076-34591-7|1|FALSE
