NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Aoha Raido #1|1|1|/panini-manga-mx/aoha-raido/aoha-raido-01.jpg|192|99|MXN|2016-04-27|"Futaba, alumna de primero de preparatoria, no puede olvidar a ""Tanaka-kun"" que fue su primer amor de secundaria. Ahora pasa los días engañándose a sí misma desde que vivió la mala experiencia de ser excluida por las chicas cuando iba en secundaria. Ella acaba de encontrarse a un chico que le recuerda a ""Tanaka-kun"", pero él."|978-6-079-71454-3|1|FALSE
Aoha Raido #2|2|2|/panini-manga-mx/aoha-raido/aoha-raido-02.jpg|192|99|MXN|2016-06-01|El nuevo periodo escolar inicia con la sorpresa de que Kou fue transferido del grupo especial al de Futaba. En un intento por cambiar su modo de ser Futaba se ofrece como representante de grupo y Kou debe trabajar junto con ella. Hay un curso de entrenamiento para los representantes de grupo que da pie a accidentes afortunados y alguna que otra confesión.|978-6-079-71881-7|1|FALSE
Aoha Raido #3|3|3|/panini-manga-mx/aoha-raido/aoha-raido-03.jpg|192|99|MXN|2016-06-29|Definitivamente, Kou ha cambiado. Su aire de indiferencia y su frialdad son notorios. Pero Futaba lo sigue amando, porque ella alcanza a ver que, en el fondo, es el mismo chico que conoció en la secundaria. Así que el reto para ella será reconquistarlo. Pero además de otros obstáculos, hay uno que le duele especialmente a Futaba: su mejor amiga, Yuuri, ¡también se enamoró de Kou! Futaba quiere ser fiel a su amistad... pero también al amor. Creo que el mundo está lleno de personas buenas. Kou era un chico muy tranquilo y no se hacía notar. ¡Muy diferente al de hoy! No puede ser... Mi corazón late por culpa de Kou, pero sólo puedo pensar en la cara de Yuuri. ¿Qué pasa si te enamoras de la misma persona que tu amiga? Si así se siente, será mejor que no lo haga... Pero ¡quiero enamorarme de él! Si Kou sube al tren, lo olvidaré. Pero si se baja, me enamoraré de él. Perdón, Yuuri. ¡Yo también estoy enamorada de Kou! A partir de hoy, no importa quién gane su amor|978-6-079-71883-1|1|FALSE
Aoha Raido #4|4|4|/panini-manga-mx/aoha-raido/aoha-raido-04.jpg|192|99|MXN|2016-07-27|"Este día descubrí el gran misterio de Kou. Ahora lo entiendo todo, desde su falta de interés por el estudio, hasta el motivo por el cual hace dos años faltó a nuestra cita. Por eso tengo que ayudarlo. Quiero hacerle ver todo lo que se está perdiendo y a los amigos de los que se está alejando. También quiero decirle cuánto me gusta... Antes de que Yuuri lo haga, pues ha sabido demostrar lo encantadora que puede ser, incluso más que yo. Cuando mis labios se abran, ¿escucharé a Kou decir: ""Tú también me gustas, Futaba""?"|978-6-079-71884-8|1|FALSE
Aoha Raido #5|5|5|/panini-manga-mx/aoha-raido/aoha-raido-05.jpg|192|99|MXN|2016-08-24|"Kou y Futaba tienen una cita para asistir al festival del templo al que no pudieron ir en la secundaria. Pero Futaba, que esperaba que fuera diferente la relación con Kou, cambió de dirección inesperadamente. Touma comenzó a preocuparse por Futaba. Cada vez que Futaba mira a Kou, sus sentimientos amorosos se hacen más grandes. Frases ""Cuando Kou sonríe así me olvido de cualquier enojo."" - Futaba""Hablarte de Kou, todavía es un poco difícil."" - Futaba a Yuuri ""Si tan solo la distancia entre nosotros se hubiera reducido a nada."" - pensamiento de Futaba"|978-6-079-71885-5|1|FALSE
Aoha Raido #6|6|6|/panini-manga-mx/aoha-raido/aoha-raido-06.jpg|192|99|MXN|2016-09-28|¿Puede el amor compasivo chocar con el amor romántico? Es justo lo que vive Kou al tratar de apoyar a Narumi, casi por encima de su amor por Futaba. Incluso más en este momento, en el que Kou se entera de un dramático secreto en la vida de Narumi. Mientras tanto, Futaba se desespera, se frustra y se llena de dudas ante la actitud distante de Kou. Además, dos festivales escolares, un chico que la corteja y hasta un beso accidental terminarán de poner el mundo de Futaba al revés en este tomo 6 de Aoharaido.Frases: Quiero preparar todo para que, cuando me declare, puedas aceptarme. Pensé que era la única que podía entrar en el corazón de Kou. Es mejor que olvides las cosas que no significan nada. ¿Entiendes lo que significa apoyar a una chica a la que le puedes despertar sentimientos por ti? Si piensas a cada rato que te dañarán, tal vez nunca harás amigos aquí. ¡Si no aprendes de esta experiencia, volverá a pasarte lo mismo!|000-0-000-00000-0|1|FALSE
Aoha Raido #7|7|7|/panini-manga-mx/aoha-raido/aoha-raido-07.jpg|192|99|MXN|2016-10-16|Todos los acontecimientos pasados han provocado que ahora, en este volumen 7 de Aoharaido, Futaba se encuentre en una serie de encrucijadas: sufre al estar en medio del amor compasivo de Kou y el amor obsesivo de Narumi por él. Después, un malentendido la pone en medio de los dos hermanos Tanaka -Kou y su hermano profesor-. Ese mismo problema la coloca en el centro del conflicto amoroso entre Shuuko y Tanaka-Sensei. ¿Cómo podrá Futaba enfrentar estos dilemas, mientras sigue luchando por el amor de Kou?Frases: En este momento, Kou siente mucha compasión hacia Narumi. El problema es que ¡la compasión puede convertirse en amor! Soy una completa tonta. Aún me aferro de esta forma a este tipo que me rompió el corazón. Un profesor debe ser guía de sus alumnos. En adelante, si no estás consciente de ello, no podrás ser un ejemplo para ellos. Estoy triste. Pero si pienso en lo que he aprendido de esta experiencia, estoy feliz por haberlo querido.|000-0-000-00000-0|1|FALSE
Aoha Raido #8|8|8|/panini-manga-mx/aoha-raido/aoha-raido-08.jpg|192|99|MXN|2016-11-28|"Futaba es una chica que resulta difícil de entender para los chicos de su clase debido a su forma de actuar ruda, lo cual hace a propósito. Pero un día se reencuentra con su primer amor de la secundaria Kou Tanaka (Mabuchi) enamorándose de él nuevamente. Kou poco a poco empieza a esbozar una sonrisa sobre su rostro, sin embargo, esta felicidad dura muy poco cuando aparece Yui, su compañera de clase cuando vivía en Kyushu, cerrándose y cambiando nuevamente. Kou simpatiza con las circunstancia de Yui provocando la preocupación de Futaba quien le pide a Yui que ""libere a Kou"", pero se encuentra con la negativa de Yui. Futaba decidió decirle a Kou que ""le gusta"" para por fin terminar de una vez por todas..."|000-0-000-00000-0|1|FALSE
Aoha Raido #9|9|9|/panini-manga-mx/aoha-raido/aoha-raido-09.jpg|192|99|MXN|2016-12-26|Después de su situación con Kou, Futaba decide seguir adelante mientras que al mismo tiempo Touma la presiona para que le de una respuesta. Antes de esto, y para hacer las cosas bien, Kou se preocupa por resolver completamente y para siempre la situación con Narumi.|000-0-000-00000-0|1|FALSE
Aoha Raido #10|10|10|/panini-manga-mx/aoha-raido/aoha-raido-10.jpg|192|99|MXN|2017-01-18|Cada día que pasa, Kou sigue arrepentido por haber rechazado a Futaba. La extraña, la espía e incluso se entromete en el noviazgo de ella con Kikuchi. Futaba tampoco está muy feliz que digamos al lado de Kikuchi, pero se esfuerza por ser la novia que este tierno chico se merece. ¿Qué emociones se despertarán y qué conflictos surgirán ahora que su grupo viajará a Nagasaki, la ciudad donde murió la madre de Kou? Aoharaido 10 estará lleno de diversión, lágrimas y atardeceres. Frases: Ahora que lo pienso, ¿alguna vez sentiste una pizca de emoción mientras estabas conmigo? De entre todos ellos, entre una multitud, él es el único que puede distinguirme con facilidad.  Puede que mis recuerdos dolororos nunca desaparezcan. Pero si hago un nuevo recuerdo que los incluya a ustedes, mis amigos, creo que estaré bien.|000-0-000-00000-0|1|FALSE
Aoha Raido #11|11|11|/panini-manga-mx/aoha-raido/aoha-raido-11.jpg|192|99|MXN|2017-03-22|¿Por qué Kou invita a Futaba a hacer un recorrido en Nagasaki por los lugares que le provocan tristeza? ¿Qué motiva a Futaba a perseguir a un ladrón? ¿Quién termina rescatando a Futaba de las manos de ese malechor? ¿Por qué Touma vuelve a enfrentar a Kou? ¿Y por qué Touma finge ignorar el paseo de Futaba con Kou? Intensos sentimientos estarán a punto de desbordarse en este tomo 11 de Aoharaido.|000-0-000-00000-0|1|FALSE
Aoha Raido #12|12|12|/panini-manga-mx/aoha-raido/aoha-raido-12.jpg|192|99|MXN|2017-05-24|Dos rupturas amorosas, dos corazones rotos, un chico tenaz, una bufanda con aroma a anhelo, una llamada crucial y un accidente de tráfico. En el penúltimo volumen de Aoharaido, todo empieza a acomodarse para que surja el tan esperado romance entre Futaba y Kou. ¿Lograrán estar juntos luego de todo lo que han pasado?|000-0-000-00000-0|1|FALSE
Aoha Raido #13|13|13|/panini-manga-mx/aoha-raido/aoha-raido-13.jpg|192|99|MXN|2017-06-21|Si Futaba Yoshioka pudiera regresar en el tiempo, podría decirle a su yo del pasado que deje de llorar, que no albergue dudas sobre Kou, que él la ama y que algún día crecerán juntos y dejarán atrás los dolores que no les permiten amarse. ¿Pero eso significa que hoy todo ha cambiado? ¿Ya no la acecha la incertidumbre y puede ver con claridad el corazón de Kou? Ciclos que cerrar, confesiones de amor, un largo viaje y una realidad que parece un desolador sueño en el último tomo de Aoharaido.|000-0-000-00000-0|1|FALSE
