NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Assassination Classroom #1|1|1|/panini-manga-mx/assassination-classroom/assassination-classroom-01.jpg|192|99|MXN|2015-11-25|"Llega a México uno de los mangas más pedidos por los lectores: ¡Assassination Classroom, de Yusei Matsui! Como ya sabes, en esta historia los protagonistas deben asesinar (sí, ¡asesinar!"") a su profesor: el encantador Korosensei. Para ello, deben idear la mejor manera, ¡pues no será una tarea nada fácil! Las razones son desconocidas, así que lo único que saben es que matándolo salvarán a la Tierra de la completa destrucción. ¿Cuáles son los motivos reales? ¿Lo lograrán por sí mismos o necesitarán la ayuda de otros? ¡No te pierdas ni un solo tomo de esta serie y descúbrelo por ti mismo mes a mes!"|977-2-385-03697-4|1|FALSE
Assassination Classroom #2|2|2|/panini-manga-mx/assassination-classroom/assassination-classroom-02.jpg|192|99|MXN|2015-12-16|Los jóvenes alumnos de la clase 3-E de la secundaria Kunugigaoka siguen fallando en sus intentos de asesinato. Sin embargo, Korosensei se empeña en enseñarles la mejor manera de hacerlo y no solo eso, también se toma muy en serio su papel como profesor. Por otro lado, un nuevo personaje llega a la escuela para cumplir con el objetivo de manera más rápida. ¿Lo logrará? ¡No te quedes con la duda y averígualo en esta nueva entrega de Assassination Classroom!|977-2-385-03697-402|1|FALSE
Assassination Classroom #3|3|3|/panini-manga-mx/assassination-classroom/assassination-classroom-03.jpg|192|99|MXN|2016-01-27|¡¡Kayano y Kanzaki son secuestradas durante el viaje escolar!! Nagisa y los chicos se disponen a investigar el paradero de las dos chicas usando la guía de viaje que Korosensei preparó. Ahora ¡¡los asesinatos sucederán en Kioto!!|978-1-401-25228-103|1|FALSE
Assassination Classroom #4|4|4|/panini-manga-mx/assassination-classroom/assassination-classroom-04.jpg|192|99|MXN|2016-02-24|Irina reivindica su papel como asesina y planta cara a su maestro, quien reconoce las avanzadas técnicas de su joven alumna. Por otro lado, se decidió enviar a un nuevo estudiante cuya misión es asesinar a Koro-sensei y quien resulta ser nada más y nada menos que. ¿cuál será la extraña relación entre ambos personajes? ¡No te lo pierdas en este cuarto volumen de Assassination Classroom!|978-1-401-25228-104|1|FALSE
Assassination Classroom #5|5|5|/panini-manga-mx/assassination-classroom/assassination-classroom-05.jpg|192|99|MXN|2016-03-30|El partido de beisbol entre la clase E y el Club de Beisbol de la Secundaria Kunugigaoka continúa. Sin que nadie lo esperara, la clase 3-E supera por mucho las expectativas de todos los presentes. Mientras, el director Asano quiere sabotear al equipo de Koro-sensei, mientras que este pretende hacer lo mismo con el de Asano. Por otro lado, una vez superado el reto, ¡una nueva debilidad del profesor pulpo sale a relucir!|978-1-401-25228-105|1|FALSE
Assassination Classroom #6|6|6|/panini-manga-mx/assassination-classroom/assassination-classroom-06.jpg|192|99|MXN|2016-04-27|"¡¿La mayor debilidad de Koro-sensei es el agua?! Los estudiantes de la Clase E esperan una oportunidad para ejecutar el ""aquasinato"", pero un traidor interfiere. ¡""Aquellos dos"" serán los encargados de inmiscuirlo! Por otro lado, ¡los exámenes finales se acercan! La Clase A, de nivel académico excelente, reta a la Clase E y hacen una feroz apuesta."|978-1-401-25228-106|1|FALSE
Assassination Classroom #7|7|7|/panini-manga-mx/assassination-classroom/assassination-classroom-07.jpg|192|99|MXN|2016-05-25|Al comenzar las vacaciones de verano, la Clase E llega a una isla del sur. Una vez ahí, intentarán ejecutar un plan de asesinato en contra de Koro-sensei en una escala sin precedentes. Pero. ¡los estudiantes deciden avanzar con los preparativos en secreto!|978-1-401-25228-107|1|FALSE
Assassination Classroom #8|8|8|/panini-manga-mx/assassination-classroom/assassination-classroom-08.jpg|192|99|MXN|2016-06-22|"¡Inesperadamente la Clase E sufrió un ataque terrorista viral durante las vacaciones de verano! Con el fin de arrebatarles el antídoto, los estudiantes sanos se infiltraron en el hotel donde los criminales los esperan. ¡¿Podrán esos asesinos profesionales descifrar las técnicas de asesinato de los estudiantes?! ""Usarás tu derrota como una fuente significativa de motivación para tomar ventaja. Entonces te convertirás en alguien importante en el futuro."" Karma Akabane""No sé si fumar los hace ver cool o no. Pero, con seguridad, será doloroso vivir"". Koro-senseiEs muy difícil, ¿verdad? Ser chico. La próxima vez que nos veamos, intenta actuar cool. Si es posible, con algo más que drogas y baile sería genial."" Nagisa Shiota"|000-0-000-00000-000|1|FALSE
Assassination Classroom #9|9|9|/panini-manga-mx/assassination-classroom/assassination-classroom-09.jpg|192|99|MXN|2016-07-27|Nagisa enfurece después de que Takaoka explotara el antídoto frente a sus ojos. Sin embargo, la pelea es frente a frente y no es posible usar técnicas de asesinato, por lo que Takaoka tiene la ventaja. ¿Nagisa podrá usar las técnicas secretas que le enseñó Lovro y, con ello, cambiar el curso del encuentro?|000-0-000-00000-000|1|FALSE
Assassination Classroom #10|10|10|/panini-manga-mx/assassination-classroom/assassination-classroom-10.jpg|192|99|MXN|2016-08-24|"Un nuevo intento para asesinar a Koro-sensei surge de la mente de Kayano. En tanto, Karasuma enseña a la Clase E una nueva forma de entrenamiento, la cual pueden poner en práctica gracias a la intervención de un personaje que intenta desprestigiar al profesor pulpo. Finalmente, un nuevo e inesperado miembro se une a la clase e idea, junto con los chicos, nuevas formas de asesinar.Frases:""No importa qué pase, siempre me mantendré al lado de mis alumnos."" Koro-sensei ""Solo aquellos que hacen un esfuerzo sincero pueden hacerse fuertes."" Padre de Itona Horibe""No te salgas del camino solo porque perdiste una o dos veces. Lo único que tienes que haces es ganar algún día."" Terasaka"|000-0-000-00000-000|1|FALSE
