NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Ataque de los Titanes: Before the Fall #1|1|1|/panini-manga-mx/ataque-de-los-titanes-before-the-fall/ataque-de-los-titanes-before-the-fall-01.jpg|184|99|MXN|2016-08-16|Para defenderse de la súbita amenaza de los titanes, la humanidad construyó murallas inmensas para vivir dentro. Treinta años después de su construcción, apareció un titán dentro de Shiganshina, uno de los sus puntos más externos. Lo que siguió fue una masacre. Sin embargo, durante este evento, milagrosamente nació un niño, encontrado dentro del cuerpo de su madre en el vómito de un titán. ¡Así comienza esta nueva historia de Ataque de los titanes, que tiene lugar setenta años antes de los eventos originales!|978-607-528-035-6|1|FALSE
Ataque de los Titanes: Before the Fall #2|2|2|/panini-manga-mx/ataque-de-los-titanes-before-the-fall/ataque-de-los-titanes-before-the-fall-02.jpg|208|99|MXN|2016-09-07|"Buscando escapar de una vida de esclavo, Kuklo se dirige al lugar de su nacimiento maldito: Shiganshina, al tiempo que el Cuerpo de Investigación busca reabrir el acceso a dicho distrito. Se esconde en una de las carretas del Cuerpo a fin de verificar si es o no ""hijo del titán"". No tenía cómo imaginar que afuera de los muros lo esperaba un infierno sin límites..."|978-607-528-112-4|1|FALSE
Ataque de los Titanes: Before the Fall #3|3|3|/panini-manga-mx/ataque-de-los-titanes-before-the-fall/ataque-de-los-titanes-before-the-fall-03.jpg|192|99|MXN|2016-10-05|A fin de verificar su humanidad, Kuklo busca estar frente a un titan, pero al que encuentra es un monstruo de más de diez metros. El Cuerpo de Investigación se retira en dirección a Shiganshina, pero el carruaje en el que está escondido Kuklo es destruido y el titán lo atrapa junto con otro soldado. ¡Aquí comienza la batalla antes de la existencia del equipo de maniobra tridimensional!|978-607-528-188-9|1|FALSE
Ataque de los Titanes: Before the Fall #4|4|4|/panini-manga-mx/ataque-de-los-titanes-before-the-fall/ataque-de-los-titanes-before-the-fall-04.jpg|200|99|MXN|2016-11-16|"Milagrosamente, Kuklo logra alentar al titán que los persigue y huyen hacia la muralla María. Pero ahí se encuentran con la policía militar, que busca al ""hijo del titán"" por el asesinato de Darío. Kuklo es arrestado frente a Sharle, y sin que haya un juicio es condenado a morir fuera de los muros como comida de titanes."|978-607-528-246-6|1|FALSE
Ataque de los Titanes: Before the Fall #5|5|5|/panini-manga-mx/ataque-de-los-titanes-before-the-fall/ataque-de-los-titanes-before-the-fall-05.jpg|228|99|MXN|2016-12-07|"Quien usó la herramienta que luego se conocería como ""equipo de maniobra tridimensional"" para salvar a Kuklo y Cardina de una muerte segura resultó ser el primer humano que derrotó a un titán: Jorge Pikale, ""El Héroe"". Ahora Kuklo está por conocer la verdad sobre la última expedición del cuerpo de investigación directo de alguien que la vivió."|978-607-528-310-4|1|FALSE
Ataque de los Titanes: Before the Fall #6|6|6|/panini-manga-mx/ataque-de-los-titanes-before-the-fall/ataque-de-los-titanes-before-the-fall-06.jpg|192|99|MXN|2017-02-17|Hace 15 años hubo una expedición del Cuerpo de Investigación, cuyo propósito era descubrir el punto débil de los titanes. Sin embargo, durante las pruebas, los soldados fueron atacados por un titán de diez metros. Entre los participantes de la expedición se encontraba el genio artesano Ángel, quien trató, junto con los otros soldados, de huir hacia la Muralla María.|978-607-528-349-4|1|FALSE
Ataque de los Titanes: Before the Fall #7|7|7|/panini-manga-mx/ataque-de-los-titanes-before-the-fall/ataque-de-los-titanes-before-the-fall-07.jpg|232|99|MXN|2017-04-05|"Xavi, el hermano mayor de Sharle, se vuelve objeto de interés de la capitana Gloria e ingresa en las filas de la Policía Militar. Con ello aumentan sus recursos para encontrar a Sharle. Por otro lado, Kulklo deja a Sharle en la Ciudad Industrial y se dirige al distrito de Shiganshina para realizar una prueba del nuevo ""dispositivo"" contra un titán real."|978-607-528-447-7|1|FALSE
Ataque de los Titanes: Before the Fall #8|8|8|/panini-manga-mx/ataque-de-los-titanes-before-the-fall/ataque-de-los-titanes-before-the-fall-08.jpg|224|99|MXN|2017-06-07|Sharle espera en el taller el regreso de Kuklo, quien fue a Shiganshina a probar el nuevo modelo del dispositivo. Sin embargo, aunque llegó el día en que estaba programado su regreso, él no apareció. En ese momento, una organización rebelde pone en marcha sus planes de revuelta. Y entre ellos se encuentra Xavi, quien se infiltró en la organización por órdenes de sus supero. Llega un tomo cargado con traiciones y acción.|978-607-528-454-5|1|FALSE
Ataque de los Titanes: Before the Fall #9|9|9|/panini-manga-mx/ataque-de-los-titanes-before-the-fall/ataque-de-los-titanes-before-the-fall-09.jpg|240|99|MXN|2017-08-02|La Ciudad Industrial es bloqueada por la Policía Militar de Shiganshina para suprimir la revuelta de la Organización Rebelde. Kuklo, preocupado por la seguridad de Sharle, ingresa solo en la ciudad con ayuda del dispositivo. Sin embargo, lo que le espera es una cita con el destino.|978-607-528-532-0|1|FALSE
Ataque de los Titanes: Before the Fall #10|10|10|/panini-manga-mx/ataque-de-los-titanes-before-the-fall/ataque-de-los-titanes-before-the-fall-10.jpg|240|99|MXN|2017-10-04|Sharle, quien era prisionera en la mansión Inocencio, decide escapar luego de confirmar que Kuklo sigue vivo. Así que aprovecha un descuido de su hermano para hacerlo. El lugar al que se dirige es a infame Ciudad Subterránea, donde podría encontrar a Ángel, el inventor del dispositivo. Sigue este emocionante spin-off de una de las series más aplaudidas de esta época.|978-607-528-632-7|1|FALSE
Ataque de los Titanes: Before the Fall #11|11|11|/panini-manga-mx/ataque-de-los-titanes-before-the-fall/ataque-de-los-titanes-before-the-fall-11.jpg|224|99|MXN|2017-12-06|Sharle ha tomado el asunto en sus propias manos para reclutar al ángel solitario, el inventor original del Dispositivo que algún día podría ayudar a la humanidad a luchar contra los Titanes. Pero las angustiosas experiencias de Angel lo han dejado marcado, y es posible que necesite un estímulo adicional para volver a unirse a la lucha. Mientras tanto, Kuklo sigue desaparecido, su destino en la balanza...|978-607-528-717-1|1|FALSE
Ataque de los Titanes: Before the Fall #12|12|12|/panini-manga-mx/ataque-de-los-titanes-before-the-fall/ataque-de-los-titanes-before-the-fall-12.jpg|216|99|MXN|2018-02-05|Sharle, quien fue llevada de regreso a la mansión Inocencio, se entera de que Kuklo puede seguir con vida y decide escapar de la mansión para buscar a Ángel, el inventor del dispositivo, y convencerlo de que los ayude a mejorarlo.aal mismo tiempo, la policía militar, en busca de los remanentes de la organización rebelde, se acerca a la cabaña donde Kuklo se recupera.|978-607-528-912-0|1|FALSE
Ataque de los Titanes: Before the Fall #13|13|13|/panini-manga-mx/ataque-de-los-titanes-before-the-fall/ataque-de-los-titanes-before-the-fall-13.jpg|216|99|MXN|2018-04-25|"Tras ser rescatado por Rosa, la hija del soldado que derrotó al titán hace quince años, Sorum Kuklo es ahora ayudante del instructor Jorge. El capitán Carlo y Jorge entrenan a los cadetes seleccionados con el fin de reorganizar el Cuerpo de Investigación. Sharle y Ángel llegan inesperadamente al campo de entrenamiento. Su llegada anuncia el diseño del formato definitivo del ""dispositivo"": el ""Equipo de maniobras tridimensionales"". Kuklo queda fascinado por las posibilidades del Equipo de maniobras tridimensionales en la lucha contra los titanes."|978-607-528-990-8|1|FALSE
Ataque de los Titanes: Before the Fall #14|14|14|/panini-manga-mx/ataque-de-los-titanes-before-the-fall/ataque-de-los-titanes-before-the-fall-14.jpg|216|99|MXN|2018-09-12|Finalmente está conformado un equipo de cadetes a quienes muestran por primera vez a los titanes. Muchos desertan, pero los que persisten serán entrenados en el uso del Equipo de Maniobras Tridimensionales. ¿Qué papel jugará Kuklo en esta nueva etapa? ¿La nueva agrupación será capaz de usar el dispositivo y derrotar a los titanes con tan poco tiempo para el entrenamiento?|978-607-548-173-9|1|FALSE
Ataque de los Titanes: Before the Fall #15|15|15|/panini-manga-mx/ataque-de-los-titanes-before-the-fall/ataque-de-los-titanes-before-the-fall-15.jpg|200|99|MXN|2019-03-13|Tras haber salido victoriosa en la prueba de aptitud para el Equipo de Maniobras Tridimensionales, Rosa casi pierde la vida durante su primer entrenamiento debido a que alguien saboteó su equipo, así que el Cuerpo de Investigación comienza a indagar para descubrir al culpable. Sharle sospecha de su hermano, Xavi Inocencio. ¿Estará en lo correcto? Mientras tanto, Félix y los demás cadetes se disponen a investigar por su cuenta.|978-607-548-331-3|1|FALSE
Ataque de los Titanes: Before the Fall #16|16|16|/panini-manga-mx/ataque-de-los-titanes-before-the-fall/ataque-de-los-titanes-before-the-fall-16.jpg|216|99|MXN|2019-07-10|Después de mucho tiempo de entrenamiento y planeación, ¡por fin es momento de partir en la expedición que pondrá a prueba el Equipo de Maniobras Tridimensionales! Y a pesar de que la lluvia constante dificulta el avance a través del terreno de la zona exterior, el Cuerpo de Investigación debe aventurarse pues, de no obtener resultados, será desmantelado. En estas condiciones, Kuklo, Rosa y los demás soldados de la humanidad parten al reconocimiento de la zona sin sospechar que el peligro los aguarda.|978-607-548-931-5|1|FALSE
