NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Ataque de los Titanes #1|1|1|/panini-manga-mx/ataque-de-los-titanes/ataque-de-los-titanes-01.jpg|192|99|MXN|2014-11-05|Este es un mundo controlado por los titanes... La humanidad, convertida en alimento de gigantes, ha construido paredes gigantescas, y pagó el poder evitar los ataques con su libertad. Sin embargo, la aparición del gran gigante destruye la paz simbólica que se había conseguido, y provoca el inicio de una guerra sin esperanza.¡Este es el inicio de la esperada serie!|978-6-075-28061-5|1|FALSE
Ataque de los Titanes #2|2|2|/panini-manga-mx/ataque-de-los-titanes/ataque-de-los-titanes-02.jpg|192|99|MXN|2014-12-24|En un mundo controlado por los gigantes, Eren, un muchacho que desea desesperadamente ver el mundo detrás de los muros de la ciudad, y sus compañeros, se han convertido en reclutas y refinan su técnica con cada día. Sin embargo, la aparición del gran titán provoca que incontables gigantes entren a la ciudad, y tratando de salvar a su amigo Armin, ¡Eren termina por ser devorado...!|978-6-075-28070-7|1|FALSE
Ataque de los Titanes #3|3|3|/panini-manga-mx/ataque-de-los-titanes/ataque-de-los-titanes-03.jpg|192|99|MXN|2015-01-28|El titán colosal reapareció y destruyó el muro, por lo que un gran número de titanes entró en la ciudad. Mikasa eliminó a todos los que pudo, pero saber de la muerte de Eren la sacudió y puso en peligro. Entonces, apareció un titán misterioso que atacaba a los otros y salvó a Mikasa. Después de derrotar a golpes a varios más, este titán se quedó sin fuerza y se reveló su verdadera identidad.|978-6-075-28090-5|1|FALSE
Ataque de los Titanes #4|4|4|/panini-manga-mx/ataque-de-los-titanes/ataque-de-los-titanes-04.jpg|192|99|MXN|2015-02-25|Se ha puesto en acción un plan para cerrar el hoyo que hay en la muralla Rosé: que Eren, convertido en titán, mueva una roca enorme para taparlo. Con la vida de la humanidad en los hombros, el titán Eren pierde entonces la noción de si mismo y comienza a enloquecer. Ni siquiera responde a las preguntas desesperadas de Armin...|978-6-075-28102-5|1|FALSE
Ataque de los Titanes #5|5|5|/panini-manga-mx/ataque-de-los-titanes/ataque-de-los-titanes-05.jpg|192|99|MXN|2015-03-25|Aunque Eren, en su forma titánica, selló el muro de Trost, ahora está encarcelado, pues la gente le tiene miedo. Erwin, comandante del cuerpo de investigación, tiene un plan que podría ser el primer rayo de luz para la humanidad en años, pero para llevarlo a cabo necesita que lo liberen. Descubre en Ataque de los Titanes #5 cómo fueron entrenados los cadetes del grupo de Eren, Mikasa y Armin, y qué ocurre con las conspiraciones del territorio central.|978-6-075-28135-3|1|FALSE
Ataque de los Titanes #6|6|6|/panini-manga-mx/ataque-de-los-titanes/ataque-de-los-titanes-06.jpg|192|99|MXN|2015-04-29|Gracias a una arriesgada jugada de Erwin y Levi, Eren ha sido puesto en custodia de un grupo especial del cuerpo de investigación. Sin embargo, luego del asesinato de los titanes capturados, el ambiente está lleno de desconfianza. Y aunque Armin parece haber descubierto algo al respecto de la conspiración, quizá no sobreviva para contarlo, ahora que una titán inteligente ha destruido a su grupo y va tras él. ¡Tu misión es conseguir Ataque de los titanes #6 en los puntos de venta de Panini Manga! ¡Cúmplela antes de que sea tarde!|978-6-075-28136-0|1|FALSE
Ataque de los Titanes #7|7|7|/panini-manga-mx/ataque-de-los-titanes/ataque-de-los-titanes-07.jpg|192|99|MXN|2015-06-17|La primera expedición de Eren en el cuerpo de investigación ha sido sanguinaria. Muchos soldados han muerto, pero no ha sido en vano, pues el plan secreto de Erwin Smith ha resultado: usando a Eren como carnada, lograron inmovilizar a la inteligente titán mujer y pronto verán qué humano está dentro. Sin embargo, deben hacerlo rápido, porque cada vez llegan más titanes a los límites del bosque, y la mujer titán podría no estar dispuesta a revelar sus secretos.|978-6-075-28168-1|1|FALSE
Ataque de los Titanes #8|8|8|/panini-manga-mx/ataque-de-los-titanes/ataque-de-los-titanes-08.jpg|192|99|MXN|2015-07-08|Luego de que el cuerpo de la titán mujer fuera devorado, ella reapareció cerca del grupo de Levi, a quien prácticamente aniquiló para capturar a Eren. De no haber sido por Mikasa, la titán habría tenido éxito, pero la victoria no significa mucho viendo a todos los soldados que perdieron. Ahora les queda un último recurso antes de que la policía militar ejecute a Eren: encontrar a la titán mujer dentro de una ciudad.|978-6-075-28159-9|1|FALSE
Ataque de los Titanes #9|9|9|/panini-manga-mx/ataque-de-los-titanes/ataque-de-los-titanes-09.jpg|192|99|MXN|2015-08-12|Aunque capturaron con éxito a la titán mujer, ahora Eren y los demás deben enfrentar un nuevo misterio que duerme dentro de los muros de la ciudad. Además, en medio de la confusión, llega el anuncio de que la Muralla Rose ha caído.|978-6-075-28179-7|1|FALSE
Ataque de los Titanes #10|10|10|/panini-manga-mx/ataque-de-los-titanes/ataque-de-los-titanes-10.jpg|192|99|MXN|2015-09-16|Apareció una manada de titanes en las cercanías de la Muralla Rose. Un grupo del cuerpo de investigación que incluye a varios graduados de la generación 104, se dirige a toda velocidad al lugar de donde se cree que vinieron, y debe pasar la noche en el castillo Utgard. Sin embargo, a pesar de que se supone que los titanes no atacan de noche, de repente el castillo se ve rodeado por ellos.|978-6-075-28203-9|1|FALSE
