NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Atom: The Beginning #1|1|1|/panini-manga-mx/atom-the-beginning/atom-the-beginning-01.jpg|196|109|MXN|2019-01-30|"Dos jóvenes científicos construyen un robot inteligente que desarrolla conciencia. ¿y acaso emociones? Únete a Seis, el ""amable hijo de la ciencia"", mientras apoya a sus propietarios a resolver un misterio. y a descubrir qué significa estar vivo. ¡Por fin en México, la precuela a Astroboy!"|978-6075486970|1|FALSE
Atom: The Beginning #2|2|2|/panini-manga-mx/atom-the-beginning/atom-the-beginning-02.jpg|196|109|MXN|2019-03-27|Después del triunfo de A-106 en las roboluchas, un misterio sigue sin responderse. ¿Quién era la hermosa Doctora Lolo, creadora de Mars? Seis, Umataro, Hiroshi y los demás viajan a una isla que no aparece en ningún mapa en busca de pistas. ¡Continúa la precuela de Astroboy!|978-6075488233|1|FALSE
Atom: The Beginning #3|3|3|/panini-manga-mx/atom-the-beginning/atom-the-beginning-03.jpg|200|109|MXN|2019-05-15|Las cosas se complican para Umataro y Hiroshi: después de una inspección sorpresa con no muy buenos resultados, alguien intenta secuestrarlos. Por suerte, una joven con su propio robot los rescata… ¿pero eso significa que están a salvo? ¡Sigue disfrutando la precuela de Astroboy!|978-6075489711|1|FALSE
Atom: The Beginning #4|4|4|/panini-manga-mx/atom-the-beginning/atom-the-beginning-04.jpg|196|109|MXN|2019-07-24|El terrible Ivan parece haber desarrollado la misma conciencia que Mars y Seis, ¿pero será realmente así? Mientras Seis sigue preguntándose qué significa estar vivo, Umataro y Hiroshi reciben la inesperada visita. ¡ni más ni menos que de la misteriosa Doctora Lolo! ¡Sigue disfrutando la precuela de Astroboy!|978-6076341025|1|FALSE
Atom: The Beginning #5|5|5|/panini-manga-mx/atom-the-beginning/atom-the-beginning-05.jpg|200|109|MXN|2019-09-25|Umataro y Hiroshi reciben la encomienda de diseñar un robot capaz de participar en la próxima Lucha Mundial de Robots. Su creación, una robot pequeña, infantil y amoral, cambiará la vida de Seis. Integrantes del Laboratorio Siete, ¡conozcan a Uran! ¡Sigue disfrutando la precuela de Astroboy!|978-6076342039|1|FALSE
Atom: The Beginning #6|6|6|/panini-manga-mx/atom-the-beginning/atom-the-beginning-06.jpg|196|109|MXN|2019-11-20|Durante la Lucha Mundial de Robots, Uran compite contra máquinas provenientes de todo el mundo. Pero cuando una intensa reacción de la “hermanita” de Seis afecta a los otros robots, ¡el caos se desata y pone en peligro a los asistentes! Además, ¡Hiroshi descubre el secreto de la Doctora Lolo! ¡Sigue disfrutando la precuela de Astroboy!|978-6076343982|1|FALSE
Atom: The Beginning #7|7|7|/panini-manga-mx/atom-the-beginning/atom-the-beginning-07.jpg|192|119|MXN|2020-01-29|¡El caos se desata en la Lucha Mundial de Robots! Sin querer, Uran ha afectado a todos sus rivales y puesto en peligro a los asistentes, ¡y por eso Mars llega a destruirla! Su única esperanza es que Seis razone con su viejo enemigo, ¿lo logrará? Además, Motoko y Tenma tienen sus propias teorías sobre quién es la Doctora Lolo. ¡Sigue disfrutando la precuela de Astroboy!|978-6076345177|1|FALSE
Atom: The Beginning #8|8|8|/panini-manga-mx/atom-the-beginning/atom-the-beginning-08.jpg|192|119|MXN|2020-03-25|¡El abuelo de Ochanomizu está de visita y, con él, llega una nueva aventura! Su búsqueda de un “niño robot con corazón”, al parecer del futuro, lo está llevando a Vietnam, y le pide a su nieto, a Umataro y a Seis que lo acompañen. Allá conocerán a una misteriosa hacker, una amable doctora, ¡y a un robot cirujano que necesita ayuda! ¡Sigue disfrutando la precuela de Astroboy!|978-6076346419|1|FALSE
Atom: The Beginning #9|9|9|/panini-manga-mx/atom-the-beginning/atom-the-beginning-09.jpg|192|119|MXN|2020-07-22|¡La aventura en Vietnam continúa! A-106 se conectó con Dian, el robot cirujano, ¡y ha dejado de responder! Pero antes de que puedan recuperar su sistema, llegan los mafiosos que amenazaron a la Doctora Tam… ¡con consecuencias letales para Hiroshi! ¿Lograrán salvarle la vida? ¿Y qué significa “ser humano”? ¡Sigue disfrutando la precuela de Astroboy!|978-6076347751|1|FALSE
Atom: The Beginning #10|10|10|/panini-manga-mx/atom-the-beginning/atom-the-beginning-10.jpg|192|119|MXN|2020-09-23|¡La aventura en Vietnam continúa! Atrapados en las ruinas de un proyecto comercial, el Abuelo Ocha y Seis encuentran aliados inesperados. ¿Qué hacen ahí, también prisioneros, Tsukie, el Conde Bemner y North?¿Lograrán escapar del Guardián de 100 Ojos y, más importante, encontrar pistas acerca del “niño robot del futuro”? ¿Y cuál será el secreto que North le ha ocultado a Seis? ¡Sigue disfrutando la precuela de Astroboy!|978-6076348925|1|FALSE
