NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Bakemonogatari #1|1|1|/panini-manga-mx/bakemonogatari/bakemonogatari-01.jpg|200|129.0|MXN|2020-12-02|Koyomi Araragi rescata a la extraña Hitagi Senjogahara cuando ella cae de lo alto de un edificio. Pero, en vez de darle las gracias a Araragi, Senjogahara le engrapa la boca. Lo que más sorprende a Araragi es que la joven ¡no pesa nada! Ante tal fenómeno, Araragi le ofrece la ayuda de un viejo conocido que posee los conocimientos para devolverle su masa. Así que acuden a Meme Oshino, quien logra descubrir, a través de un complejo ritual, la terrible verdad que encierra el pasado de la atribulada adolescente. ¡Adéntrate en las hipnóticas páginas de Bakemonogatari 1, el nuevo manga que Panini trae para ti!|978-6-076-34480-4|1|false
Bakemonogatari #2|2|2|/panini-manga-mx/bakemonogatari/bakemonogatari-02.jpg|200|129.0|MXN|2021-03-03|Luego de recuperarse de la rareza del cangrejo, Senjogahara le ofrece a Araragi, como agradecimiento, cualquier cosa que él desee. Mientras piensa lo que le pedirá, Araragi se topa con Mayoi Hachikuji, una niña rara que no encuentra su casa. Cuando intentan ayudarla en su búsqueda, se dan cuenta que solo están dando vueltas sin sentido. Es entonces cuando la niña revela que su confusión se debe a un caracol gigante que le ha contagiado su rareza. ¿Podrán ayudarla con el poder del excéntrico Meme Oshino? No te pierdas el segundo tomo del divertido y caótico manga Bakemonogatari.|978-6-076-34665-5|1|false
Bakemonogatari #3|3|3|/panini-manga-mx/bakemonogatari/bakemonogatari-03.jpg|194|129.0|MXN|2021-05-05|"¡Una nueva rareza! Mayoi Hachikuji, la niña de primaria que conoció Koyomi Araragi, encontró un ""caracol perdido"" que simplemente no puede llegar a su destino. ""Mi deber es llevarla sana y salva con su mamá"". Debe hacerlo antes de que sus sentimientos sean erosionados."|978-6-076-34707-2|1|false
Bakemonogatari #4|4|4|/panini-manga-mx/bakemonogatari/bakemonogatari-04.jpg|200|129.0|MXN|2021-07-07|"Mayoi Hachikuji era una ""caracol perdida"" que jamás lograría llegar a la casa de su mamá. Sin embargo, Koyomi Araragi y Hitagi Senjougahara lograron guiarla hasta su casa gracias a la ayuda de Meme Oshino. Tras su logro, Hitagi confesó su amor a Koyomi, con lo que ambos comenzaron a salir. El asunto en manos quedó resuelto, y comenzaron una nueva etapa en su relación, todo comenzaba a ir bien y aparentemente sin problemas hasta que un día una misteriosa figura envuelta en un impermeable amarillo atacó a Koyomi."|978-6-076-34901-4|1|false
Bakemonogatari #5|5|5|/panini-manga-mx/bakemonogatari/bakemonogatari-05.jpg|200|129.0|MXN|2021-08-04|"Suruga Kanbaru, la superestrella escolar que vive en un mundo muy diferente al de Koyomi Araragi pero por alguna razón desconocida, esta chica comienza a acosarlo. Mientas busca la razón, Koyomi se topa con la existencia de una nueva rareza, ¡¿Cuál fue el ""deseo"" que expresó Suruga?!"|978-6-076-34918-2|1|false
Bakemonogatari #6|6|6|/panini-manga-mx/bakemonogatari/bakemonogatari-06.jpg|192|129.0|MXN|2021-10-20|"Las vidas de Suruga Kanbaru y Koyomi Araragi se encuentran en posiciones por completo distintas. Lo que atacó a Koyomi, quien comenzó a notar su tremenda ingenuidad, fueron los ""deseos reales"" de Suruga, los cuales comenzaron a manifestarse como si se tratara de una maldición."|978-6-075-68343-0|1|false
Bakemonogatari #7|7|7|/panini-manga-mx/bakemonogatari/bakemonogatari-07.jpg|192|129.0|MXN|2021-12-01|Koyomi Araragi y Suruga Kanbaru se topan con la grotesca y terrible escena de serpientes cortadas en el santuario que visitan. En medio de esa terrible escena, a Koyomi le viene algo a la mente. El nombre de una antigua amiga de su hermana, Nadeko Sengoku, a quien había olvidado.|978-6-075-68438-3|1|false
Bakemonogatari #8|8|8|/panini-manga-mx/bakemonogatari/bakemonogatari-08.jpg|192|139.0|MXN|2022-02-02|"La ""serpiente"" que tiene apresado el cuerpo de Nadeko Sengoku en realidad eran dos. Con la vida de la chica peligrando al borde de la muerte, ¿cómo podrá salvarla Koyomi Araragi? Y por fin, Koyomi revelará la verdad detrás de la ""herida"" que dio inicio a esta historia: ""No tengo opción más que hablar sobre ello. Sobre el día que mi infierno comenzó."""|978-6-075-68564-9|1|false
Bakemonogatari #9|9|9|/panini-manga-mx/bakemonogatari/bakemonogatari-09.jpg|192|139.0|MXN|2022-03-02|"Esta es la historia del ""origen"" de nuestro narrador, Koyomi Araragi. Todo comenzó con su encuentro con la noble, hermosa y arrogante vampira herida. Y así llegarían a él aquellos días a los que se refiere como ""el infierno"". Este es el capítulo 0, la precuela de ""Bakemonogatari"": ¡""Kizumonogatari""!"|978-6-075-68841-1|1|false
Bakemonogatari #10|10|10|/panini-manga-mx/bakemonogatari/bakemonogatari-10.jpg|192|139.0|MXN|2022-04-06|"¡Kizumonogatari! Para poder volver a ser humano, Koyomi Araragi debe derrotar a tres cazadores de vampiros... Y así recuperar las cuatro extremidades de Kiss-Shot. Su primer oponente es el vampiro que elimina a los de su propia raza: ¡Dramaturgy! Sin embargo, él le hace a Koyomi una propuesta inesperada: ""Vuélvete mi camarada""."|978-6-075-68843-5|1|false
Bakemonogatari #11|11|11|/panini-manga-mx/bakemonogatari/bakemonogatari-11.jpg|194|139.0|MXN|2022-05-04|"Esta es la precuela de Bakemonogatari, el capítulo cero: ¡Kizumonogatari! Koyomi Araragi lucha para volver a ser ""humano"". Con la derrota de Dramaturgy, Koyomi ha recuperado el brazo derecho de Kiss-Shot. Su próximo oponente es Episode un ser que es ""mitad vampiro"", pero que ¡¿carece de las debilidades de los vampiros?! ""Vuélvete mi camarada""."|978-6-076-36021-7|1|false
Bakemonogatari #12|12|12|/panini-manga-mx/bakemonogatari/bakemonogatari-12.jpg|194|139.0|MXN|2022-06-15|"La precuela de ""Bakemonogatari"", el capítulo cero: ¡""Kizumonogatari""! Para salvar a Kiss-Shot, y poder volver a ser humano, Koyomi Araragi pelea. Habiendo superado a dos de sus enemigos, su último oponente es ""solo un humano"""|978-6-076-36112-2|1|false
Bakemonogatari #13|13|13|/panini-manga-mx/bakemonogatari/bakemonogatari-13.jpg|194|139.0|MXN|2022-07-20|¡¡Koyomi Araragi!! Recuperar su humanidad está cada vez más cerca. Sin embargo, ahora que Kissshot, la reina de las anomalías, vuelve a estar completa y brilla en todo su esplendor, Koyomi cae en la cuenta de un terrible error…|978-6-076-36184-9|1|false
Bakemonogatari #14|14|14|/panini-manga-mx/bakemonogatari/bakemonogatari-14.jpg|194|139.0|MXN|2022-08-17|"La precuela de Bakemonogatari, el capítulo cero: ¡Kizumonogatari! Koyomi Araragi se ha dado cuenta que salvar a Kiss-Shot fue un acto incorrecto para un ""humano"". Por lo tanto, él ha decidido encarar y enfrentar a la ""Reina de las rarezas"" por sí mismo. ¡Y así comienza la verdadera batalla final! ¿Al fin se dio cuenta del error crucial que cometió!"|978-6-076-36267-9|1|false
