NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Bakuman #1|1|1|/panini-manga-mx/bakuman/bakuman-01.jpg|208|99|MXN|2015-03-11|"Dos chicos han decidido seguir el severo ""camino del manga"" para conseguir la gloria que solo un puñado de personas han alcanzado. ¡La gran habilidad de Moritaka ""Saiko"" Mashiro en el dibujo y el talento literario de Akito ""Shuujin"" Takagi se han unido en un gran equipo para crear una nueva leyenda en el manga! Tsugumi Ohba y Takeshi Obata, el equipo creativo detrás de ""Death Note"" nos sorprende con una mirada profunda al mundo del manga y sus creativos dentro de una historia llena de metas e ilusiones."|977-228262700801|1|FALSE
Bakuman #2|2|2|/panini-manga-mx/bakuman/bakuman-02.jpg|192|99|MXN|2015-04-08|"Saiko y Shuujin han completado por fin, su primera colaboración en el manga y han presentado su proyecto al departamento editorial de la Revista Jump. El editor Hattori leyó a la ligera su manga, a pesar de eso, ambos se encontraban nerviosos. ¡¿Será que los evaluaron como ellos esperaban?! ¿Qué ""planes"" tiene el editor Hattori para ellos? Por otro lado, Azuki y Saiko enfrentan las primeras dificultades para mantener su promesa de no hablarse hasta que se cumplan sus sueños."|977-228262700802|1|FALSE
Bakuman #3|3|3|/panini-manga-mx/bakuman/bakuman-03.jpg|192|99|MXN|2015-05-20|"Con el objetivo de convertirse en los mejores mangakas de Japón, Moritaka ""Saiko"" Mashiro y Akito ""Shuujin"" Takagi ya han luchado para tomar el camino hacia la realeza del manga. Ambos persisten tras pruebas y errores, han completado una obra pero aún no consiguen la aprobación editorial. Por otro lado, la serie en la que trabaja Eiji Niizuma está a punto causar una gran sorpresa a los editores de Shueisha."|977-228262700803|1|FALSE
Bakuman #4|4|4|/panini-manga-mx/bakuman/bakuman-04.jpg|200|99|MXN|2015-06-17|¡¿Combinación disuelta?! Durante las vacaciones de verano no se han respetado las fechas límite porque Shuujin no ha trabajado en los bocetos de la historia ¡Así que Saiko declara que su colaboración está disuelta! ¿Será que los chicos deberán alcanzar sus sueños por caminos separados? Sin embargo, ¡los sentimientos de estos dos chicos se sincronizan de manera sorprendente!|977-228262700804|1|FALSE
Bakuman #5|5|5|/panini-manga-mx/bakuman/bakuman-05.jpg|192|99|MXN|2015-07-15|¡Shuujin y Saiko cada vez están más cerca de lograr sus sueños! Tras descubrir que ambos trabajaban en un manga de detectives, y con el apoyo de Hattori, su editor, estos chicos están listos para debutar con una serie. Sin embargo, parece que tras conseguir la serialización enfrentarán nuevos inconvenientes, como. ¿un cambio de editor? ¡No te pierdas este sensacional manga que Panini trae para ti!|977-228262700805|1|FALSE
Bakuman #6|6|6|/panini-manga-mx/bakuman/bakuman-06.jpg|192|99|MXN|2015-08-05|Mientras se supone que todo debería estar saliendo bien, Saiko cae enfermo por exceso de trabajo y eso es un gran problema para la serialización. Aunque Shuujin contactó a Azuki para tratar de detener a Saiko, él insiste en seguir dibujando los originales en la habitación del hospital.¡¡Además, el editor en jefe ha llegado a la conclusión de que todos los rivales se repelen!! |977-228262700806|1|FALSE
Bakuman #7|7|7|/panini-manga-mx/bakuman/bakuman-07.jpg|192|99|MXN|2015-09-02|La junta sobre las series ha terminado. ¿Cuál es el manga que está a punto de ser cancelado? Saiko y Shuujin están perplejos por el rumbo que su obra debe tomar a partir de este momento. ¡El editor de estos chicos, quienes tenían la intención de dibujar un manga serio, les aconsejó que dibujaran un manga cómico!|977-228262700807|1|FALSE
Bakuman #8|8|8|/panini-manga-mx/bakuman/bakuman-08.jpg|192|99|MXN|2015-10-07|"""Para publicar una nueva serie, Saiko y Shuujin deciden probar con una historia corta cómica. Ellos necesitan obtener un buen resultado para conseguir la publicación de la serie, pero. Por otro lado, ¡la relación amorosa entre Takagi y Miyoshi se ve afectada debido a que Takagi se reencontró con Iwase! ¡Y además, ese hecho también afecta la relación entre Saiko y Azuki! """|977-228262700808|1|FALSE
Bakuman #9|9|9|/panini-manga-mx/bakuman/bakuman-09.jpg|192|99|MXN|2015-11-04|¡Pasaron la prueba y por fin inician la publicación de una serie! ¡Sin embargo, al mismo tiempo también publicarán Eiji e Iwase! Para ganar los primeros lugares, Saiko y Shuujin se esfuerzan mucho, pero debido a la angustia que le produce tener que inventar bromas, ¡¿Shuujin comienza a atrasarse en el trabajo?!|977-228262700809|1|FALSE
Bakuman #10|10|10|/panini-manga-mx/bakuman/bakuman-10.jpg|192|99|MXN|2015-12-02|Saiko y Shuujin decidieron acabar su serie para volverse unos autores populares. Ellos iniciaron los preparativos para una nueva serie siguiendo por completo las indicaciones de su actual editor, Miura, sin saber que su primer editor, Hattori, está ayudándolos desde las sombras.|977-228262700810|1|FALSE
