NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Banana Fish #1|1|1|/panini-manga-mx/banana-fish/banana-fish-01.jpg|200|189|MXN|2020-07-14|"Año 1973, Vietnam. Un soldado estadounidense enloquece repentinamente luego de susurrar las palabras ""banana fish""...\nAño 1985, Nueva York. Ashintenta averiguar qué se esconde detrás de esas misteriosas palabras, tras las cuales parece cernirse la oscura sombra de Papa Dino, un capo mafioso del bajo mundo."|978-6076348093|1|FALSE
Banana Fish #2|2|2|/panini-manga-mx/banana-fish/banana-fish-02.jpg|200|189|MXN|2020-08-21|Ash logra salir de prisión y reunir un grupo de aliados que lo ayudarán en su búsqueda de nuevas pistas sobre el misterioso Banana Fish por Estados Unidos. Sin embargo, Papa Dino realiza una nueva alianza que pondrá en peligro la misión de Ash y sus amigos.|978-6076349649|1|FALSE
Banana Fish #3|3|3|/panini-manga-mx/banana-fish/banana-fish-03.jpg|376|189|MXN|2020-11-11|"Yut-Lung hace que sus hombres ataquen a la familia de Max y aprovecha la ausencia de Ash para secuestrar a Eiji. Ash se enfurece, pero justo entonces descubre al doctor Dawson escondido en la casa, que es el único que sabe todo sobre el ""Banana Fish"" Shorter, ahora un conejillo de indias para probar los efectos del Banana Fish, se abalanza sobre Eiji tan pronto lo ve. El grito desesperado de Ash hace que por un instante Shorter recobre la cordura y, en esos segundos de lucidez, aprovecha para pedirle a su amigo que lo mate."|978-6075680958|1|FALSE
Banana Fish #4|4|4|/panini-manga-mx/banana-fish/banana-fish-04.jpg|376|199|MXN|2021-02-09|Griff, el hermano de Ash, ha muerto. Ash se entera de la noticia estando en la cárcel y, el mismo día que obtiene la libertad condicional, desaparece junto a Eiji. ¡Su objetivo es Papa Dino, el asesino de su hermano. Conteniendo la respiración, Ash espera el momento para verse frente a frente con él.|978-6075681788|1|FALSE
Banana Fish #5|5|5|/panini-manga-mx/banana-fish/banana-fish-05.jpg|368|199|MXN|2021-04-05|Finalmente, se produce el enfrentamiento entre Ash y Arthur. Con Eiji y los delincuentes juveniles de toda Nueva York como testigos, Ash logra por fin derrotar a su rival. Sin embargo, resulta gravemente herido y los policías que habían acudido a calmar los disturbios se lo llevan arrestado.|978-6075683379|1|FALSE
Banana Fish #6|6|6|/panini-manga-mx/banana-fish/banana-fish-06.jpg|368|199|MXN|2021-06-30|Ash logra superar los obstáculos del sofisticado sistema de seguridad del Centro de Salud Mental en su épica huida. Pero el barón Zakharev da la orden de disparar a matar en cuanto lo vean. Por su parte, Max e Ibe, que se habían infiltrado en el centro, ¿¡acaban capturados.!?|978-6075684208|1|FALSE
Banana Fish #7|7|7|/panini-manga-mx/banana-fish/banana-fish-07.jpg|368|199|MXN|2021-08-25|Dino se alía con Yut-Lung y contrata a Blanca, un asesino experto, para que haga de Eiji su objetivo y, así, chantajear a Ash. Con tal de que no le pase nada a Eiji, Ash acepta las exigencias de Dino y rapta al doctor Dawson. ¿¡También pone en marcha un plan para conseguir todos los datos acerca del Banana Fish.!?|978-6075685502|1|FALSE
Banana Fish #8|8|8|/panini-manga-mx/banana-fish/banana-fish-08.jpg|368|199|MXN|2021-10-14|Durante una fiesta organizada por Dino, Eiji lanzó un ataque sorpresa para rescatar a Ash y, perseguidos por los hombres de Dino y Yut-Lung, se meten en el alcantarillado. ¿¡Conseguirán Ash y Eiji escapar de los tiroteos que hay en la calle y bajo tierra. ?|978-6075687018|1|FALSE
Banana Fish #9|9|9|/panini-manga-mx/banana-fish/banana-fish-09.jpg|368|199|MXN|2022-01-18|Foxx captura a Ash y le propone una alianza para tomar juntos el control de la Unione Corsa. Pero para eso, le pide a Ash que le revele el secreto que la Unione comparte con el centro del poder del gobierno de Estados Unidos. ¿¡Cómo va a reaccionar Ash al conocer las ambiciones de Foxx. ?|978-6075687919|1|FALSE
Banana Fish #10|10|10|/panini-manga-mx/banana-fish/banana-fish-10.jpg|328|199|MXN|2022-02-23|La batalla terminó. Dino desapareció en medio de las llamas y Blanca se marchó al Caribe. Cuando todo empieza a perderse en el paso del tiempo, los sobrevivientes parecen gozar de una renovada paz y tranquilidad. Se acerca el día del alta de Eiji y de su regreso a Japón. ¿¡Qué será de Ash, que tomó la decisión de no volverlo a ver...!?|000-0000000000|1|FALSE
