NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Beastars #1|1|1|/panini-manga-mx/beastars/beastars-01.jpg|208|109.0|MXN|2019-03-13|La Academia Cherryton abre sus puertas a jóvenes estudiantes: animales carnívoros y herbívoros que conviven pacíficamente, dejando a un lado sus instintos. Sin embargo, la misteriosa muerte de Tem, una alpaca macho, genera conmoción entre los estudiantes, sobre todo, entre los integrantes del Club de Teatro. Las últimas reacciones y actitudes de Legosi, el lobo gris, levantan sospechas, ¿tendrá algo que ver con la muerte de Tem?|978-6-075-48783-0|1|false
Beastars #2|2|2|/panini-manga-mx/beastars/beastars-02.jpg|200|109.0|MXN|2019-05-08|El Club de Teatro no descansa, se acerca la presentación de su gran obra. Louis, el ciervo rojo y líder de los actores, se muestra completamente apasionado en el escenario con el fin de consagrarse como un Beastar. Mientras, Legoshi sigue con su lucha interna para controlar sus instintos depredadores, pero el encuentro con la conejita Haru no lo ayuda.|978-6-075-48911-7|1|false
Beastars #3|3|3|/panini-manga-mx/beastars/beastars-03.jpg|200|109.0|MXN|2019-07-10|La Academia Cherryton está lista para organizar el gran evento del verano: el Festival del Meteorito. Mientras el ambiente se llena de emoción por el festival, Legoshi y Hary se reencuentran, y un asesinato más conmociona a la comunidad de estudiantes. Acompaña a Legoshi y a sus compañeros a descubrir la retorcida realidad del mundo adulto.|978-6-076-34020-2|1|false
Beastars #4|4|4|/panini-manga-mx/beastars/beastars-04.jpg|208|109.0|MXN|2019-09-11|¡El Festival del Meteorito está muy cerca! Los miembros del Club del Teatro se encuentran muy ocupados, ya que deben tener listos todos los arreglos y lo relacionado con el baile. Los sentimientos de Legoshi hacia Haru son cada día más intensos, pero Juno, una nueva estudiante, está decidida a luchar por el amor del fuerte lobo gris. Bill revela un gran secreto de Louis. ¿Qué es lo que esconde?|978-6-076-34163-6|1|false
Beastars #5|5|5|/panini-manga-mx/beastars/beastars-05.jpg|192|109.0|MXN|2019-11-13|El Festival del Meteorito está a punto de iniciar, Juno y Louis tienen un enfrentamiento, pues ambos quieren distinguirse como beastar. Por su parte, Legoshi sigue atormentándose por los sentimientos que tiene hacia Haru y su constante deseo de devorarla. Finalmente, decide hablar con ella y confesarle lo que siente, pero Haru desaparece, ¡¿la secuestraron?! ¡¿Quién la rescatará?!|978-6-076-34313-5|1|false
Beastars #6|6|6|/panini-manga-mx/beastars/beastars-06.jpg|192|109.0|MXN|2020-01-15|Tras la pelea encarnizada con los carnívoros de Shishi-Gumi, Legoshi y Haru no llegan a tiempo para abordar el último tren de regreso a la Academia Cherryton y deciden alojarse en un hotel. Al estar solos, Legoshi confiesa que estuvo a punto de devorarla. Mientras tanto, Louis se encuentra rodeado por los más temibles carnívoros y se enfrenta con el líder, ¿logrará escapar?|978-6-076-34560-3|1|false
Beastars #7|7|7|/panini-manga-mx/beastars/beastars-07.jpg|192|109.0|MXN|2020-03-11|Legoshi, nuestro protagonista, jura volverse fuerte para hacer feliz a Haru. Louis, por su lado, asciende hasta convertirse en jefe de la Shishi-Gumi y así dirigir el mercado clandestino. En la Academia Cherryton soplan vientos de cambio. Llegó el momento de que el Concejo General de Organismos elija a su BEASTAR tras cinco años de ausencia. Mientras el mundo ruge sin parar, ¡una sombra siniestra acecha a Legoshi!|978-6-076-34642-6|1|false
Beastars #8|8|8|/panini-manga-mx/beastars/beastars-08.jpg|200|109.0|MXN|2020-06-10|Louis, ahora jefe del Shishi-Gumi, está afligido por las diferencias que se viven en una sociedad carnívora. No es para menos, pero está decidido a encontrar, desde el bajo mundo, la esencia de la sociedad y el mundo actual. Legoshi, por otro lado, continúa buscando al culpable del asesinato de Tem, ¡pero fue atacado por alguien! Desafortunadamente, sufre una apabullante derrota ante la temible fuerza bruta de quien lo atacó.|978-6-076-34777-5|1|false
Beastars #9|9|9|/panini-manga-mx/beastars/beastars-09.jpg|192|109.0|MXN|2020-08-12|El asesino de la adorable alpaca Tem sigue caminando impunemente por los pasillos de la escuela, sin que nadie pueda descubrirlo... Excepto Legoshi, quien sabe perfectamente cuál de los carnívoros la ha devorado. Pero revelarlo y señalar al culpable le puede costar la vida, pues se trata de uno de los animales más... En fin, Legoshi tiene más cosas en qué pensar, sobre todo su entrenamiento con Gohin y su patrullaje nocturno, cuyo peligro es mayor de lo que el lobo gris percibe. ¡Deja salir a la bestia que llevas dentro y adéntrate en las páginas del tomo 9 de Beastars!|978-6-076-34895-6|1|false
Beastars #10|10|10|/panini-manga-mx/beastars/beastars-10.jpg|200|109.0|MXN|2020-10-07|Legoshi está harto de Liz. El imponente oso se dedica a dar lecciones a sus compañeros sobre el respeto a los hervíboros y el control de instintos, lo que le parece a Legoshi una gran hipocresía, ya que, ¡Liz asesinó a Tem! Por eso, Legoshi lo desafía a un combate a muerte. Sin embargo, con todo y su entrenamiento especial, ¿Legoshi estará preparado para enfrentar la garra mortal y poderosa de Liz? ¡Libera tu instinto más salvaje en las páginas del tomo 10 de Beastars!|978-6-075-68009-5|1|false
