NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Berserk #1|1|1|/panini-manga-mx/berserk/berserk-01.jpg|232|99.0|MXN|2014-09-29|Un hombre completamente vestido de negro que se hace llamar Guts, que tiene una mano artificial de hierro duro y que carga una espada gigantesca que supera su estatura. En el lugar al cual se dirige llueve sangre y hay montañas de cadáveres apilados. Puck, un elfo que se mantiene a su lado desde que Guts le salvó la vida, quedó impresionado por su increíble fuerza, aunque a la vez le causa temor lo violento que es el mundo en el que él vive. Una horda de espíritus malignos que obstaculizan su camino. ¿acaso la marca que tiene en el cuello lo incita a buscar la venganza...?No te pierdas el primer tomo de esta increíble saga.|9781401240844-00001|1|false
Berserk #2|2|2|/panini-manga-mx/berserk/berserk-02.jpg|232|99.0|MXN|2014-11-06|El malvado Conde usa sus poderes oscuros para transformar a un capitán de guardia derrotado en un horror inhumano para combatir a Guts, el Espadachín Negro. Puck, el coqueto hada del tamaño de Guts, es capturado cuando intenta detener la ejecución de un viejo médico, y se le da como un regalo a la hija del conde, una niña dulce en una jaula dorada, encarcelada por su padre en su propia habitación . Guts, decidido a hacer carne picada del conde, asalta el castillo y esculpe una franja de destrucción empapada de sangre a través de los secuaces del conde. Cara a cara con el Espadachín Negro por fin, el Conde revela su verdadera forma e incluso la espada de gran tamaño de Guts puede no ser lo suficientemente grande como para contender con esta monstruosidad demoníaca.|9781401240844-00002|1|false
Berserk #3|3|3|/panini-manga-mx/berserk/berserk-03.jpg|240|99.0|MXN|2014-12-16|"Un hombre completamente vestido de negro que se hace llamar Guts, que tiene una mano artificial de hierro duro y que carga una espada gigantesca que supera su estatura, continúa su viaje con Puck, el elfo que se unió a él sin su permiso. En una ciudad dominada por el miedo, sin planearlo, Guts se vende al mal y, durante una batalla contra el conde convertido en monstruo, que estaba masacrando a su propio pueblo, finalmente encuentra a los cinco miembros de ""La Mano de Dios"", a quienes tanto había estado buscando.¿Por qué los está buscando? ¡Para descubrir ese secreto, la historia da un giro y vuelve al momento de su nacimiento...!"|-|1|false
Berserk #4|4|4|/panini-manga-mx/berserk/berserk-04.jpg|240|99.0|MXN|2015-01-30|Luego de ser encontrado llorando bajo el cadáver de su madre, Guts es criado con crueldad por el mercenario Gambino, quien a base de mucho abuso, lo educa para ser un guerrero. Gracias a él, Guts aprende poderosas técnicas de espada y hace un debut espectacular en su primera batalla. Sin embargo, no sabe por qué Gambino lo trata con tanta frialdad. Una noche, el compañero de batalla de Gambino, Donovan, decide atacar a Guts. ¡¿Por qué...?! ¡Es la historia de la juventud llena de guerra y emociones de Guts, el guerrero más fuerte!|978140124084404|1|false
Berserk #5|5|5|/panini-manga-mx/berserk/berserk-05.jpg|240|99.0|MXN|2015-02-25|"Un hombre completamente vestido de negro que se hace llamar Guts, que tiene una mano artificial de hierro duro y que carga una espada gigantesca que supera su estatura, continuó su viaje en busca de ""La mano de Dios"", los cinco líderes de la historia de la oscuridad. Junto con Puck, el elfo que se unió a él sin su permiso, Guts llegó a una ciudad dominada por el miedo. Sin ayuda de nadie, decide desafiar al conde que está masacrando a su propia gente, uno a uno, usando como excusa una ""cacería de herejes"". ¡¿Qué es lo que le espera a Guts, el héroe sin ley?"|978140124084405|1|false
Berserk #6|6|6|/panini-manga-mx/berserk/berserk-06.jpg|224|99.0|MXN|2015-03-25|Finalmente, Guts se ha ganado su lugar en la Banda del Halcón. La pelea contra Zodd casi le cuesta la vida a Griffith, quien expresa su agradecimiento a Guts después de su increíble actuación en el combate. Mientras tanto, la Banda del Halcón cada vez gana más reconocimiento en Midland por sus hazañas en el campo de batalla, pero esto causará gran molestia entre algunos miembros de la nobleza, quienes consideran que los integrantes de esta tropa no son más que vulgares mercenarios, y harán lo que sea necesario con tal de eliminarlos.|978140124084406|1|false
Berserk #7|7|7|/panini-manga-mx/berserk/berserk-07.jpg|232|99.0|MXN|2015-04-22|Después de caer por el acantilado, Kasca le cuenta a Guts su pasado, cómo conoció a Griffith y por qué es tan importante. Tras arriesgar la vida por ella, ¿finalmente Kasca aceptará a Guts como un miembro más de la Banda del Halcón? Además, Griffith y su grupo de mercenarios se preparan para conseguir lo que ningún ejército de Midland ha logrado: tomar el castillo de Doldrey. ¡Comienza la batalla! ¡Descubre el destino de Guts, el guerrero más fuerte, en Berserk 7!|978140124084407|1|false
Berserk #8|8|8|/panini-manga-mx/berserk/berserk-08.jpg|232|99.0|MXN|2015-06-03|Comienza la batalla final entre Midland y Chuder por la supremacía, y la Banda del Halcón, el grupo de mercenarios más fuerte, se muestra más poderoso que nunca antes. Los 5 mil caballeros de la Banda del Halcón atacaron la impenetrable fortaleza de Doldrey, y llevaron a los protectores del castillo, los Caballeros del Rinoceronte Púrpura, a un lugar lejos de este. Mientras tanto, según el plan de Griffith, la tropa de Kasca está por infiltrarse en el castillo. Comienza una batalla contra el tiempo.|978140124084408|1|false
Berserk #9|9|9|/panini-manga-mx/berserk/berserk-09.jpg|240|99.0|MXN|2015-07-15|Tras años de formar parte del grupo y vivir en camaradería, Guts finalmente decide abandonar la Banda del Halcón para encontrarse a sí mismo. Sin embargo, Griffith no lo dejará ir tan fácilmente y sólo le permitirá irse al derrotarlo en un duelo. Ahora el destino de la Banda del Halcón depende de Griffith, quien queda devastado tras la partida de Guts. ¿Podrá sobreponerse ante esta pérdida? ¿Qué encontrará Guts en esta etapa en solitario?|978140124084409|1|false
Berserk #10|10|10|/panini-manga-mx/berserk/berserk-10.jpg|240|99.0|MXN|2015-08-05|Luego de que Guts abandonara la Banda del Halcón, Griffith provocó la ira del rey al tener relaciones con su hija, la princesa Charlotte, por lo que fue capturado y torturado. Además, el ejército de Midland acorraló y atacó a la Banda del Halcón. Después de eso, los miembros de la banda vivieron como fugitivos durante un año con Kasca como líder. Tras escuchar los rumores, Guts regresa para ahuyentar a quienes perseguían a la Banda del Halcón y jura a sus integrantes que rescatará a Griffith. A la mañana siguiente, Kasca deja fluir sus sentimientos, Guts le hace el amor y, con ello, sus heridas emocionales surgen nuevamente.|978140124084410|1|false
Berserk #11|11|11|/panini-manga-mx/berserk/berserk-11.jpg|240|99.0|MXN|2015-08-26|Luego de que Guts abandonara a la Banda del Halcón, Griffith provocó la ira del rey de Midland, por lo que fue capturado y torturado. Además, el ejército de Midland atacó a la Banda del Halcón. Un año después, y a punto de colapsar, la banda hizo a Kasca su líder y todos comenzaron una vida de fugitivos. Tras escuchar los rumores, Guts regresa para repeler a quienes perseguían a la Banda del Halcón. Él y Kasca aclaran todo entre ellos y se piden perdón el uno al otro.Guts y los demás rescatan a Griffith y en las cañerías acaban con Bakiraka, el asesino. ¡Después, el rey envía a los Caballeros del Perro Negro, encabezados por Wyald!|978140124084411|1|false
