NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Black Butler #1|1|1|/panini-manga-mx/black-butler/black-butler-01.jpg|192|109|MXN|2017-11-15|Sebastian Michaelis. Mayordomo, cocinero, guardaespaldas, jardinero y experto en etiqueta. Siempre hace que su joven jefe, Ciel Phantomhive, mantenga el prestigio y la integridad física. Nunca permite que algo quede fuera de lugar o que los sirvientes caigan en la holgazanería. ¿Pero qué misterio guarda este singular hombre, que observa una agilidad y fuerza inimaginables y a quien las balas no le afectan? ¡Un personaje que no debe estar fuera de la mente fantástica de los asiduos lectores de mangas, y a quien podrás conocer en este primer tomo de Black butler!|978-6075287089|1|FALSE
Black Butler #2|2|2|/panini-manga-mx/black-butler/black-butler-02.jpg|200|109|MXN|2017-12-20|Un horrendo crimen donde se mezclan la mutilación, la magia negra y los cultos satánicos. Una cruel subasta y un baile aristocrático. Un disfraz indignante y una atracción irresistible. El vampiro demonio que informa a cambio de hacerlo reír. Y un giro insólito que revela una cruda verdad. Son algunas de las vicisitudes que tendrán que sortear el mayordomo Sebastian Michaelis y su amo Ciel Phantomhive para atrapar al criminal más sangriento de Londres.|978-6075287195|1|FALSE
Black Butler #3|3|3|/panini-manga-mx/black-butler/black-butler-03.jpg|192|109|MXN|2018-01-17|Habiendo descubierto la verdadera identidad de Jack el destripador, Sebastian y Ciel deberán enfrentarse a un cruel shinigami y a una despiadada asesina. Sin armas para defenderse, tendrán que eludir una potente pistola y una letal sierra eléctrica. ¿Serán suficientes las habilidades de Sebastian para vencerlos? ¿Cómo podrá derrotarlos, y al mismo tiempo defender la integridad del frágil conde Ciel?|978-6075288642|1|FALSE
Black Butler #4|4|4|/panini-manga-mx/black-butler/black-butler-04.jpg|194|109|MXN|2018-02-21|El Londres victoriano amanece con una nueva amenaza: varios ingleses que han radicado en la India aparecen atados y colgados de los pies. Scotland Yard de inmediato llama al hombre que puede descubrir quién está detrás de estos atentados: Ciel Phantomhive, quien se embarcará en una nueva aventura acompañado de su fiel y diestro mayordomo Sebastian Michaelis. Juntos conocerán a un príncipe hindú, a un avaricioso lord inglés y a otro mayordomo que parece aun más poderoso que Sebastian.|978-6075289137|1|FALSE
Black Butler #5|5|5|/panini-manga-mx/black-butler/black-butler-05.jpg|178|109|MXN|2018-03-18|Para liberar a una mujer hindú secuestrada por Lord West, el conde Ciel Phantomhive tendrá que ganarle en la competencia de curry y obtener así el codiciado sello real. Pero no será una empresa fácil: Sebastian, el mayordomo diabólico, deberá enfrentarse a los mejores chefs de curry de Inglaterra y, especialmente, al imbatible Agni -mayordomo del príncipe Soma-, cuya mano parece dirigida por los mismos dioses. Sebastian tendrá no solo que igualar la exquisitez del curry de Agni, ¡sino, además, sobrepasarlo!|978-6075289663|1|FALSE
Black Butler #6|6|6|/panini-manga-mx/black-butler/black-butler-06.jpg|178|109|MXN|2018-04-18|Varios niños comienzan a desaparecer a lo largo de toda Inglaterra. La policía no encuentra rastros de ellos ni tampoco sus cadáveres. El único indicio es la presencia de un circo itinerante en los lugares donde los niños se han extraviado. Preocupada por esas dolorosas ausencias, la reina Victoria convoca a Ciel Phantomhive para que haga una investigación exhaustiva y descubra el paradero de los pequeños. Así que el conde y su fiel mayordomo Sebastian se adentran en los terrenos del Noah´s Ark Circus, donde se topan con personajes extravagantes y siniestros cuyo pasado será la clave para hallar a los niños.|978-6075480107|1|FALSE
Black Butler #7|7|7|/panini-manga-mx/black-butler/black-butler-07.jpg|176|109|MXN|2018-05-23|Ciel y Sebastian continúan en su misión de dar con el paradero de los niños desaparecidos por toda Inglaterra. Cuando descubren dónde se encuentran, no pueden evitar horrorizarse ante el cruento espectáculo que tienen ante sus ojos. Una macabra función que involucra a varios niños desamparados, ahora convertidos en artistas de circo; a un asilo infantil que es cuna de futuros asesinos; y a un noble inglés que forma parte del oscuro pasado de Ciel Phantomhive.|978-6075481524|1|FALSE
Black Butler #8|8|8|/panini-manga-mx/black-butler/black-butler-08.jpg|178|109|MXN|2018-06-20|Por la noche, son cuatro soldados con habilidades para vencer a los más grandes, disparar varios rifles a la vez, lanzar pesadas columnas, manipular armas mortales, asesinar con sus propias manos a sicarios profesionales... Por la mañana, visten su uniforme y sirven a un joven amo de rostro inocente y adorable. Mientras los miembros del Noah´s Ark Circus atacan la mansión Phantomhive, Ciel da a Sebastian una orden cruel e irreversible que abrirá en el corazón del pequeño conde una herida difícil de cicatrizar. |978-6075481906|1|FALSE
Black Butler #9|9|9|/panini-manga-mx/black-butler/black-butler-09.jpg|176|109|MXN|2018-07-18|Los invitados de la mansión Phantomhive reciben con falsa alegría al distinguido huésped que viene desde Alemania con enigmáticos motivos que solo conoce la reina Victoria. Todo es fiesta y alegría, especialmente por un vino singular que anula todas las inhibiciones. Pero al llegar la madrugada, el escenario festivo se convertirá en una casa luctuosa: poco a poco empiezan a morir asesinados varios de los invitados... Y el más querido empleado del conde Ciel. ¡Ayuda a resolver el misterio que amenaza la mansión Phantomhive en el tomo 9 de Black butler!|978-6075482613|1|FALSE
Black Butler #10|10|10|/panini-manga-mx/black-butler/black-butler-10.jpg|178|109|MXN|2018-08-15|Los asesinatos ocurridos en el marco de una cena de honor en la mansión Phantomhive han permitido asomarse a ciertas realidades que estaban ocultas: el origen de los empleados del conde Ciel, el uso gastronómico de ciertas hierbas, la capacidad organizativa del señor Tanaka, el interior de la habitación de Sebastian, la importancia del olor de cada persona y la existencia del capellán de las tierras que pertenecen a los Phantomhive. Un poder deductivo nunca antes visto y la inusual colaboración de Bardroy, Finnian y Mey-Rin podrían ser las claves para revelar este misterio. ¡Sigue la pista para descubrir al asesino en las páginas de Black butler 10!|978-6075483306|1|FALSE
Black Butler #11|11|11|/panini-manga-mx/black-butler/black-butler-11.jpg|178|109|MXN|2018-09-19|Tras explicar al doctor Conan Doyle las claves del misterio de los asesinatos en la mansión Phantomhive, Sebastian le revela al conde Ciel la identidad del verdadero asesino. Luego de reclutar al pequeño rufián como nuevo lacayo, Ciel y Sebastian se embarcan en un lujoso crucero para infiltrarse entre los miembros de la Sociedad Aurora, un poderoso y siniestro grupo que asegura poseer el remedio al gran mal que aqueja a la humanidad: la muerte. Pero lo que parecía ser un viaje de descanso y una simple investigación, podría tornarse en un infierno sin salida en altamar. ¡Un nuevo y palpitante arco da inicio en el tomo 11 de Black Butler!|978-6075484044|1|FALSE
Black Butler #12|12|12|/panini-manga-mx/black-butler/black-butler-12.jpg|178|109|MXN|2018-10-17|Sobre las frías aguas del Atlántico surca el Campania con una macabra amenaza a bordo: los experimentos fallidos de la Sociedad Aurora, que cobran la forma de cadáveres ambulantes dispuestos a devorar a todo ser vivo. Solo existe una manera de acabar con ellos, pero los pocos tripulantes con vida no son capaces de hacerles frente. Ciel, Lizzy, Snake y Sebastian tendrán que hacer uso de recursos hasta ahora ocultos para salvar sus vidas. Pero hay amenazas igual de letales que también viajan en ese barco y que tomarán forma cuando todos crean que están a salvo. ¡Navega con el mayordomo más diabólico del mundo del manga en el tomo 12 de Black butler!|978-6075484228|1|FALSE
Black Butler #13|13|13|/panini-manga-mx/black-butler/black-butler-13.jpg|200|109|MXN|2015-11-21|No se sueltan a incontables cadáveres andantes por un crucero de lujo sin una intención malévola... y oculta. Ciel y Sebastian descubren el verdadero propósito de la feroz masacre que acontece en el barco Campania, pero ellos saben que es demasiado tarde: la revelación del gran secreto también incluye la manifestación del verdadero guardián de los cuerpos sin vida, un feroz guerrero que hará lo imposible para que el barco arribe a tierras norteamericanas. ¡Traspasa el delicado límite entre la vida y la muerte en el tomo 13 de Black butler!|000-0000000000|1|FALSE
