NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Blade of the Immortal #1|1|1|/panini-manga-mx/blade-of-the-immortal/blade-of-the-immortal-01.jpg|440|199|MXN|2018-03-28|"Durante la era Edo de Japón, Manji, un guerrero con grandes cualidades para pelear, es conocido como el ""asesino de los cien"", porque logró matar a ese número de samuráis. Yaobikuni, la anciana inmortal, es una sacerdotisa de más de 800 años que le concedió el don de la inmortalidad introduciéndole unos gusanos llamados kessenchuu, que curan cualquier herida e incluso restauran miembros amputados. Al morir su hermana, Manji desea redimir su culpa y adopta una misión: matar a 1,000 criminales. "|978-607-528-982-3|1|FALSE
Blade of the Immortal #2|2|2|/panini-manga-mx/blade-of-the-immortal/blade-of-the-immortal-02.jpg|200|199|MXN|2018-06-06|"Rin Asano continúa su entrenamiento para llevar a cabo la venganza de la muerte de sus padres con la ayuda de Manji. Sin embargo, ella aún es débil y no tiene suficiente destreza con la espada. Practica con Manji el ataque con lanza, pero sus armas personales son las ""avispas doradas"", unos cuchillos pequeños que sujeta entre los dedos para lanzar varios al mismo tiempo y tener más posibilidades de atinar al enemigo. En medio del camino, Rin salva a un niño que está siendo atacado cruelmente por unos bravucones; luego lo acompaña a casa, donde descubre que su padre es uno de los asesinos que mataron a su padre y violaron a su madre."|978-6-075-48165-4|1|FALSE
Blade of the Immortal #3|3|3|/panini-manga-mx/blade-of-the-immortal/blade-of-the-immortal-03.jpg|200|199|MXN|2018-08-01|La organización de Anotsu está ganando prominencia, pero eso tiene un costo: muchos espadachines enojados por la destrucción de sus dojo. El Mugairyuu aparece en franca oposición al Ittoryuu y comienza una serie de asesinatos de sus miembros, pero, ¿simplemente buscan venganza? Rin y Manji, al quedar en medio de ambas organizaciones, deciden apoyar a los recién llegados, pero quizá no deberían aliarse con extraños solo porque parecen tener el mismo objetivo.|978-6-075-48246-0|1|FALSE
Blade of the Immortal #4|4|4|/panini-manga-mx/blade-of-the-immortal/blade-of-the-immortal-04.jpg|464|199|MXN|2018-09-26|¿Cómo conseguir un salvoconducto para cruzar el control de Kobotoke? Rin necesita resolver esta situación si quiere continuar su persecución de Anotsu. Manji finalmente está dispuesto a ayudar a Rin, pero ella no lo sabe, así que escapa con el objetivo de llegar a Kaga. El asesinato de dos farmacéuticos parece involucrar a Rin, pero eso es solo una parte de la historia.|978-6-075-48387-0|1|FALSE
Blade of the Immortal #5|5|5|/panini-manga-mx/blade-of-the-immortal/blade-of-the-immortal-05.jpg|200|199|MXN|2018-12-05|Aparentemente, el objetivo principal de Kensui Ibane es que el dojo forme a los mejores espadachines y para ello está dispuesto a pagar más de lo que cualquiera haya imaginado. Anotsu lo cuestiona y la pregunta es ¿aceptará el reto?|978-6-075-48501-0|1|FALSE
Blade of the Immortal #6|6|6|/panini-manga-mx/blade-of-the-immortal/blade-of-the-immortal-06.jpg|200|199|MXN|2019-01-30|Cuando Rin no tiene más remedio que aliarse con un herido Anotsu para que ambos logren sobrevivir, lo acompaña cuando este accede a un matrimonio arreglado, se reencuentra con Makie y caen en una emboscada mortal. |978-6-075-48664-2|1|FALSE
Blade of the Immortal #7|7|7|/panini-manga-mx/blade-of-the-immortal/blade-of-the-immortal-07.jpg|200|199|MXN|2019-03-27|La reunión entre Manji, Rin, Anotsu y Make tiene un final sangriento, así como un descubrimiento inesperado para la joven. Cuando parece que podrán descansar y sanar un poco, Giichi reaparece con una propuesta para Manji. No te pierdas el inicio del siguiente arco de la historia.|978-6-075-48821-9|1|FALSE
Blade of the Immortal #8|8|8|/panini-manga-mx/blade-of-the-immortal/blade-of-the-immortal-08.jpg|448|199|MXN|2019-05-19|Habaki quiere obtener el secreto de la inmortalidad de Manji. aunque para eso, tengan que cortarle las extremidades una y otra y otra vez. Él puede resistirlo pero, ¿y sus compañeros de experimento? Al mismo tiempo, Hyakurin recibe una noticia y tiene un reencuentros, mientras que Rin alberga dos huéspedes inesperados y peligrosos.|978-6-075-48976-6|1|FALSE
Blade of the Immortal #9|9|9|/panini-manga-mx/blade-of-the-immortal/blade-of-the-immortal-09.jpg|200|199|MXN|2019-07-24|Manji sigue siendo sujeto a experimentos para obtener el secreto de su inmortalidad, sin que den resultados para frustración de los cirujanos. Las cosas se complican cuando Isaku es hecho prisionero, y la libertad de ambos depende de Rin y Doa. ¿Podrán entrar al castillo? Al mismo tiempo, Giichi revela que conoce un secreto que Hyakurin le ha estado ocultando.|978-6-076-34120-9|1|FALSE
Blade of the Immortal #10|10|10|/panini-manga-mx/blade-of-the-immortal/blade-of-the-immortal-10.jpg|432|199|MXN|2019-10-02|Con Isaku muerto y Doa devastada, Rin es la única que puede seguir adelante para rescatar a Manji. Pero en esa prisión llena de grotescos experimentos médicos y edificada junto a un foso que se está desbordando, la pesadilla está lejos de terminar. ¡Enemigos sanguinarios y aliados inesperados marcarán el final de este arco narrativo! |978-6-076-34262-6|1|FALSE
