NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Bleach #1|1|1|/panini-manga-mx/bleach/bleach-01.jpg|192|99|MXN|2015-06-03|"Ichigo Kurosaki de 15 años de edad, es un chico que puede ver y contactar con fantasmas. A pesar de tener ese don especial, Ichigo lleva una vida tranquila pero, de repente, aparece ante él una chica que se hace llamar a sí misma ""Shinigami""(Dios de la Muerte), y son atacados por un espíritu maligno llamado ""Hollow"" que aparentemente es un devorador de almas. Los miembros de su familia caen uno a uno frente a él. ¿Qué hará Ichigo?"|978-6-075-28014-1|1|FALSE
Bleach #2|2|2|/panini-manga-mx/bleach/bleach-02.jpg|192|99|MXN|2015-07-01|Ichigo Kurosaki, de 15 años, sigue desempeñando su trabajo como Shinigami mientras espera que Rukia se recupere para devolverle sus poderes. En esta entrega, mientras Ichigo y compañía buscan a Chad, se encuentran con una muy débil Karin que se queja y llora por la resonancia con el espíritu. ¿Qué tendrá que ver el Hollow que aparece en el triste pasado del niño?|978-6-075-28054-7|1|FALSE
Bleach #3|3|3|/panini-manga-mx/bleach/bleach-03.jpg|200|99|MXN|2015-07-29|Ichigo quiere descansar de su trabajo como Shinigami por un día, por la muerte de su madre. Rukia se da cuenta de que Ichigo se culpa a sí mismo por la muerte de su madre, pero pronto se darán cuenta de que fue un Hollow el culpable. Camino al cementerio a visitar la tumba de su madre con su familia, Ichigo se enfrentará a un poderoso Hollow. ¿logrará salvar a sus hermanas? ¿será el mismo enemigo que lo dañó en el pasado? ¡Busca Bleach 3, a la venta en puntos de distribución!|978-6-075-28047-9|1|FALSE
Bleach #4|4|4|/panini-manga-mx/bleach/bleach-04.jpg|192|99|MXN|2015-08-26|La familia Kurosaki y algunos de los amigos de Ichigo van a la filmación en vivo de un programa de televisión acerca de un medium llamado Kanonji Don. Ahí, lejos de divertirse, Ichigo y RUkia enfrentan a un Hollow y el medium, con sus poderes espirituales, ayuda a Ichigo para derrotarlo. ¿de dónde ha salido ese hollow y por qué aparece justo cuando se graba el programa? Descúbrelo en el número 4 de Bleach.|978-6-075-28072-1|1|FALSE
Bleach #5|5|5|/panini-manga-mx/bleach/bleach-05.jpg|192|99|MXN|2015-08-23|Con una trama que comienza a tornarse más y más emocionante, el quinto tomo de Bleach nos presenta la lucha de Ichigo por salvar a todos los residentes de su pueblo del ataque de los hollows que Quincy Uryu ha convocado. ¿Cómo logrará Ichigo resolver esto sin dañar a nadie? Descúbrelo en el tomo 5, a la venta en nuestros puntos de distribución.|978-6-075-28087-5|1|FALSE
Bleach #6|6|6|/panini-manga-mx/bleach/bleach-06.jpg|192|99|MXN|2015-10-28|¡Ichigo y Uryu se enfrentan con la gran cantidad de hollows que han acudido al llamado de Quincy Uryu!Durante su competencia, Ichigo se entera de la razón por la cual los Quincy odian a los shinigami. Por otra parte, Uryu es consciente de su fuerza está disminuyendo, pero ¡los hollows continúan aumentando sus fuerzas más allá de sus expectativas! Además, la nueva habilidad de Ichigo se probará más que útil. ¡No te pierdas esta emocionante aventura! ¡Búscala en todos nuestros puntos de distribución!|978-6-075-28104-9|1|FALSE
Bleach #7|7|7|/panini-manga-mx/bleach/bleach-07.jpg|192|99|MXN|2015-11-25|¡Los persecutores de la Soul Society, Renji y Byakuya, han capturado a Rukia! ¡Ichigo percibe el peligro y se dirige hacia donde está Rukia, pero es abrumado por la fenomenal fuerza de Renji! A pesar de sus esfuerzos, en un instante recibe el fatal golpe de Byakuya. ¡¡y Rukia es llevada a la Soul Society!! ¿Cómo logrará salvarla? No te pierdas el tomo 7 de esta fascinante historia.|978-6-075-28139-1|1|FALSE
Bleach #8|8|8|/panini-manga-mx/bleach/bleach-08.jpg|200|99|MXN|2015-12-16|"Las lecciones de Urahara se han sumergido en ""el pozo hecho pedazos"". ¡Si Ichigo no logra salir de aquí, en vez de ser un Shinigami, se convertirá en un Hollow! Mientras la autocorrosión continúa, un misterioso hombre se aparece en la conciencia de Ichigo guiándolo para encontrar la salida, pero tal vez ya es demasiado tarde. en la última etapa, ¿se habrá convertido en hollow? Descúbrelo en este número."|978-6-075-28170-4|1|FALSE
Bleach #9|9|9|/panini-manga-mx/bleach/bleach-09.jpg|192|99|MXN|2016-01-27|Finalmente Ichigo y los demás están en camino a la Soul Society. Su objetivo es la ciudad donde viven los shinigami, ¡el Seireitei! Pero antes, se enfrentarán al guardián de las puertas del Seireitei, Jidanbou. Ichigo blandirá su Zanpakutou contra un héroe excepcional de la Soul Society, Jidanbou. ¿Podrá vencerlo? ¡Descúbrelo en este número de Bleach!|978-6-075-28162-9|1|FALSE
Bleach #10|10|10|/panini-manga-mx/bleach/bleach-10.jpg|200|99|MXN|2016-02-24|Cuando Ichigo recibió los poderes de Rukia, jamás pensó que su vida cambiaría tanto. Hoy, ya en la Soul Society, Ichigo debe enfrentar enemigos muy poderosos para poder encontrar a Rukia y rescatarla antes de que sea ejecutada. ¿Lograrán él y sus acompañantes su cometido? ¿Qué enemigos nuevos -y antiguos- enfrentarán? Descúbrelo siguiendo esta emocionante y galardonada serie. A la venta en tus puntos de distribución.|978-6-075-28171-1|1|FALSE
