NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Blood Lad #1|1|1|/panini-manga-mx/blood-lad/blood-lad-01.jpg|180|99|MXN|2016-07-16|El vampiro Staz es jefe territorial de cierta región del mundo de los demonios. Él rechaza su naturaleza de vampiro y le encanta la cultura otaku. Cierto día, en su territorio apareció Fuyumi Yanagi, una joven de Japón. Staz no pudo contener su emoción por encontrarse al fin con una humana y, mejor aún: ¡una chica japonesa! Sin embargo, cuando Staz salió a encargarse de un intruso ¡un monstruo devoró a Fuyumi! Ella reapareció como un fantasma que había perdido todo su encanto. Staz está decidido a revivirla a toda costa.|978-6079721275|1|FALSE
Blood Lad #2|2|2|/panini-manga-mx/blood-lad/blood-lad-02.jpg|184|99|MXN|2016-08-03|"Durante la búsqueda de una pista para encontrar el ""Libro de resurrección humana"", Staz y Wolf se enfrentan en un duelo. Esta será una pelea en la cual sus puños resolverán las cosas: ¡¿una pelea de box?! ¿Cuál será el resultado? Y ¡¿quiénes son esos hermanos a los que Staz teme tanto?!"|978-6075280295|1|FALSE
Blood Lad #3|3|3|/panini-manga-mx/blood-lad/blood-lad-03.jpg|184|99|MXN|2016-09-07|Las cosas marchan como Braz, hermano de Staz, las planeó. ¡¿Quién es el enemigo que orilla a Staz a pelear en serio?! ¡¿Será imposible que Staz, encerrado por Liz, venza a los zombies?! Por otro lado, Wolf lucha contra el demonio artificial creado por Franken a fin de salvar a Fuyumi, cuyo cuerpo ¡está a punto de desaparecer! ¡¿Staz y Wolf serán el equipo más fuerte.|978-6075281117|1|FALSE
Blood Lad #4|4|4|/panini-manga-mx/blood-lad/blood-lad-04.jpg|180|99|MXN|2016-10-16|La pelea entre Staz y Akimu concluye. Luego, Staz efectúa el intercambio con su hermano, Braz, para resucitar a Fuyumi. En un momento de paz, mientras Liz duerme con Fuyumi. ¡La joven desaparece! ¡¿Qué será esta atmósfera de calamidades que se cierne sobre el mundo de los demonios.|978-6075281872|1|FALSE
Blood Lad #5|5|5|/panini-manga-mx/blood-lad/blood-lad-05.jpg|184|99|MXN|2016-11-02|El secuestro de Fuyumi, el plan de Braz y el amor de Bell. ¿Qué sucederá? Con el propósito de salvar a Fuyumi, quien está secuestrada, Staz se dirige al mundo de los demonios del sur. Cuando al fin encuentra al secuestrador, Bell se interpone en su camino... ¡La batalla entre Bell y Staz se vuelve candente! Por otro lado, Braz, quien fue llevado ante el rey, hace una declaración impactante.|000-0000000000|1|FALSE
Blood Lad #6|6|6|/panini-manga-mx/blood-lad/blood-lad-06.jpg|184|99|MXN|2016-12-16|En la casa de la familia de Bell, Fuyumi y los demás escuchan una revelación impactante: ¡Bell y Fuyumi son hermanas! Fuyumi al fin se encuentra con su madre y, por alguna razón, Staz y el padre de Bell, el mago espacial más poderoso, ¡comienzan a pelear! Además, Braz, después de escapar del castillo del rey, es perseguido por el teniente Goyle y se encuentra en aprietos.|000-0000000000|1|FALSE
Blood Lad #7|7|7|/panini-manga-mx/blood-lad/blood-lad-07.jpg|184|99|MXN|2017-02-01|Staz, el antihéroe, se encuentra en un gran problema ¡y a punto de morir! Después de escapar de la casa de los Hydra, los Cazadores de Vampiros ?el Equipo Fearless contratado por Neyn? aparecen frente a Staz y Fuyumi. Debido a los continuos ataques de armas de plata y la habilidad del líder del Equipo Fearless, Siam Kid, ¡Staz queda gravemente herido y Fuyumi es secuestrada nuevamente! Por otro lado, Bell huye de casa y se va a recorrer el mundo de los humanos, pero. ¡¿por qué Wolf está ahí?!|978-6075283463|1|FALSE
Blood Lad #8|8|8|/panini-manga-mx/blood-lad/blood-lad-08.jpg|184|99|MXN|2017-04-05|El padre de Staz, Richarz, el antiguo rey del Mundo de los Demonios, ¡al fin resucitó! Staz y Fuyumi entran de manera ilegal en la Acrópolis utilizando el dirigible del Equipo Fearless, ¡pero Goyle los persigue y se desata una batalla! Por otro lado, la investigación de Braz entra en su última fase y resucita a Richarz, su padre, antiguo rey del Mundo de los Demonios. Braz desea que Richarz recupere el trono de las manos de Wolf Daddy.|978-6075284484|1|FALSE
Blood Lad #9|9|9|/panini-manga-mx/blood-lad/blood-lad-09.jpg|184|99|MXN|2017-06-07|"¡¡Un duelo entre padres!! Además. ¡¿Staz muere?! Después de diez años, Wolf Daddy y Richarz, padre de Staz, se enfrentan. Casi al mismo tiempo, Staz y Braz llegan al palacio, ¡¿pero Richarz los asesina?! ¡Se revela la verdad de hace diez años y todo comienza a moverse hacia la ""puerta"" del Mundo de los Demonios!"|978-6075284583|1|FALSE
Blood Lad #10|10|10|/panini-manga-mx/blood-lad/blood-lad-10.jpg|180|99|MXN|2017-08-02|Akimu revivió después de consumir el poder demoniaco de Richarz y se autoproclamó rey. A fin de vencerlo, ¡Staz y los demás deciden consultar manga! Mientras, Braz es capturado y forzado a ayudar en la creación de demonios artificiales. Akimu continúa aumentando sus fuerzas, ¡no es momento para leer manga!|978-6075284897|1|FALSE
