NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Blue Exorcist #1|1|1|/panini-manga-mx/blue-exorcist/blue-exorcist-01.jpg|192|99.0|MXN|2016-01-13|Rin Okumura es un joven que ha heredado sangre demoniaca. Ante él se aparece Satán declarando que es su padre e intenta llevárselo a Gehenna, el mundo donde viven los demonios. Su padre adoptivo, que es un destacado exorcista, lo protege con su vida y muere… Rin siente coraje por su incompetencia ¡y decide con gran determinación convertirse en exorcista para combatir a Satán!|978-6-075-28009-7|1|false
Blue Exorcist #2|2|2|/panini-manga-mx/blue-exorcist/blue-exorcist-02.jpg|200|99.0|MXN|2016-02-10|Uno de los requisitos para ser exorcista es aprobar el Examen Exwire, por lo que Yukio decide organizar un seminario con el fin de reforzar conocimientos. En un momento de descanso, los chicos son atacados por un demonio que los pone en grave peligro. Sin embargo, gracias a Rin y Shiemi, logran ponerse a salvo. ¿Quién lo mandó y cuáles son sus intenciones?|978-6-075-28033-2|1|false
Blue Exorcist #3|3|3|/panini-manga-mx/blue-exorcist/blue-exorcist-03.jpg|200|99.0|MXN|2016-03-09|Rin y sus compañeros ascienden al grado exwire y se les asigna la misión de investigar un fantasma en el parque de diversiones. Durante esta, Rin se encuentra con el Rey de la tierra, Amaimon, quien durante un momento de distracción le roba la Koumaken, recuerdo de su padre, Shiro. Rin, que ya no puede controlar la llama, es salvado de pronto.|978-6-075-28041-7|1|false
Blue Exorcist #4|4|4|/panini-manga-mx/blue-exorcist/blue-exorcist-04.jpg|192|99.0|MXN|2016-04-20|Rin y sus amigos están en medio de un entrenamiento en un campamento, del cual depende la posibilidad de participar en una misión de batalla real. El objetivo es llevar unas linternas, pero al encontrarlas se dan cuenta de que son enormes y que es imposible que una sola persona pueda con ellas, ¡así que deciden unir fuerzas! Rin aprende la importancia de tener compañeros, sin embargo, ¡Mephisto planea algo!|978-6-075-28065-3|1|false
Blue Exorcist #5|5|5|/panini-manga-mx/blue-exorcist/blue-exorcist-05.jpg|192|99.0|MXN|2016-05-11|El Rey Impuro es el demonio que mató a más de cuarenta mil personas en la segunda mitad de la Era Edo, en Japón. Después de suprimirlo, ¡alguien robó el “ojo izquierdo del Rey Impuro”, que se encontraba sellado dentro de la Academia! Cuando Rin escucha que el sospechoso tiene a un niño como rehén, ¡entra en escena junto con Yukio!|978-6-075-28078-3|1|false
Blue Exorcist #6|6|6|/panini-manga-mx/blue-exorcist/blue-exorcist-06.jpg|200|99.0|MXN|2016-06-08|La verdad revelada en la reunión de la Orden Myoda sirvió para incrementar las sospechas hacia Tatsuma, el padre de Suguro. El joven se impacienta con su padre cuando este se niega a revelar sus verdaderas intenciones, pero… ¡mientras las dudas se arremolinan, se descubre quién traicionó a la Orden Myoda!|978-6-075-28097-4|1|false
Blue Exorcist #7|7|7|/panini-manga-mx/blue-exorcist/blue-exorcist-07.jpg|184|99.0|MXN|2016-07-13|Mamushi huye junto con Toudou y se llevan ambos ojos del Rey Impuro. Se dirigen al Fudou Buji, el templo que antes era la base de la Orden Myoda. ¡¿Qué vio Mamushi en ese templo en ruinas?! ¡El secreto de la Orden Myoda que el zasu había protegido es revelado!|978-6-075-28124-7|1|false
Blue Exorcist #8|8|8|/panini-manga-mx/blue-exorcist/blue-exorcist-08.jpg|184|99.0|MXN|2016-08-10|La fuerza de Toudou aumenta tras engullir a Karura y acorrala a Yukio, a quien intenta desconcentrar con sus palabras. Por otro lado, Rin y Suguro se dirigen a las faldas del Rey Impuro. Sin embargo, ¡la ruptura del esporangio que se tragará la ciudad de Kioto ya está ante sus ojos!|978-6-075-28125-4|1|false
Blue Exorcist #9|9|9|/panini-manga-mx/blue-exorcist/blue-exorcist-09.jpg|192|99.0|MXN|2016-09-14|Rin toma prestada la fuerza de Ucchusma depositada en la Koumaken e invoca el “kashou zanmai”, una llama que quema todo hasta consumirlo. Sin embargo, parece que la gran llama también devora la consciencia de Rin, ¡pero en su mente emerge la imagen de sus compañeros! ¡Por fin la batalla contra el Rey Impuro llega a su fin!|978-6-075-28152-0|1|false
Blue Exorcist #10|10|10|/panini-manga-mx/blue-exorcist/blue-exorcist-10.jpg|192|99.0|MXN|2016-10-12|Un compañero de clase de Rin que supuestamente es incapaz de ver demonios, grita ante la presencia de un demonio que deambula por el salón de clases. Además, cosas como la resurrección de la Princesa Impura, del linaje del Rey Impuro, y otras señales alarmantes comienzan a llenar el mundo… Y durante esos sucesos, ¡¿Mephisto invita a in a una cena?!|978-6-075-28199-5|1|false
Blue Exorcist #11|11|11|/panini-manga-mx/blue-exorcist/blue-exorcist-11.jpg|200|99.0|MXN|2016-11-09|Rin y sus amigos se disponen a resolver los Siete Misterios de la Academia. Konekomaru le pide a Rin, quien había estado resolviendo todo usando su llama, que participe como el último recurso del equipo para que todos tomen participen y se apoyen. Por otro lado, la incertidumbre crece en Yukio ante el poder demoniaco que quizá duerme en su interior.|978-6-075-28259-6|1|false
Blue Exorcist #13|13|13|/panini-manga-mx/blue-exorcist/blue-exorcist-13.jpg|196|99.0|MXN|2017-01-11|La razón por la que los Illuminati se acercaron a Izumo cuando era pequeña fue para apoderarse del poder del zorro de nueve colas. Usaron a su madre, Tamamo, como un experimento de laboratorio. Ella, junto con Tsukumo, hermana de Izumo, están prisioneras. Después de conocer el impresionante pasado de la familia Kamiki, ¡Rin desea salvar lo más pronto posible a Izumo!|978-6-075-28355-5|1|false
Blue Exorcist #14|14|14|/panini-manga-mx/blue-exorcist/blue-exorcist-14.jpg|192|99.0|MXN|2017-03-08|Durante la batalla contra las quimeras zombies, Rin y sus amigos quedan perplejos al saber que los zombies aún tienen consciencia humana. ¿Serán capaces de superar ese dilema a salvo? A la par, ¡la operación para trasplantar el zorro de nueve colas a Izumo se acerca! ¡Es el clímax de la historia!|978-6-075-28428-6|1|false
Blue Exorcist #15|15|15|/panini-manga-mx/blue-exorcist/blue-exorcist-15.jpg|192|99.0|MXN|2017-05-10|¡Con la ayuda de Uke y Mike, Izumo usa el “Exorcismo de Mitamashizume” en Gedouin, quien se convirtió en demonio, y de ese modo puso fin a su pasado con sus propias manos! Sin embargo, Shima aparece y se lleva al moribundo científico. ¡Suguro le pregunta a Shima si él fue el culpable de su traición, pero…!|978-6-075-28472-9|1|false
