NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Btooom! #1|1|1|/panini-manga-mx/btooom/btooom-01.jpg|200|99|MXN|2017-12-06|Ryota Sakamoto es un chico que vive encerrado en su cuarto jugando videojuegos en línea. Un día decide conseguir un empleo que vaya de acuerdo con sus intereses así que acude a la compañía Tyrannos Japan para participar en un proyecto de mejoras de sus juegos. De forma inesperada, Ryota despierta en una isla de algún país tropical. Pero él no está solo, mientras recupera poco a poco la memoria, se cruza con otras personas cuyo objetivo es asesinar a sus adversarios mediante el uso de un tipo de bombas llamadas BIM. ¿Será que está inmerso en un mundo virtual?, ¿o acaso ese mundo ha traspasado la línea que separa la ficción de la realidad?|978-607-528-706-5|1|FALSE
Btooom! #2|2|2|/panini-manga-mx/btooom/btooom-02.jpg|194|99|MXN|2018-01-10|Ryota Sakamoto y Kiyoshi Taira recorren la isla en busca de algún maletín con provisiones, temen encontrarse con otros contrincantes. Han decidido evitar a toda costa el asesinato. Pero, poco después, son interceptados por un muchacho misterioso que parece inofensivo. A pesar de sus intentos, son detectados por el radar de Kousuke Kira. ¿Podrán alejarse antes de ser atacados? ¿Lograrán sobrevivir si no pelean?|978-607-528-861-1|1|FALSE
Btooom! #3|3|3|/panini-manga-mx/btooom/btooom-03.jpg|194|99|MXN|2018-02-07|Ryota se enfrenta a la misteriosa chica rubia de ojos azules. Su belleza es tal que Sakamoto por un momento no puede pensar en otra cosa, olvidando por un instante aquello de no hacerle daño a los otros. Poco después, Taira y Sakamoto escuchan ruidos extraños y movimientos que los radares no detectan, ¿serán otros contrincantes? Deberán averiguar de qué se trata y escapar para no ser aniquilados. Mientras tanto, la chica misteriosa permanece con Sakamoto y Taira tras sufrir una descarga al intentar atacar a Ryota.|978-607-528-893-2|1|FALSE
Btooom! #4|4|4|/panini-manga-mx/btooom/btooom-04.jpg|194|99|MXN|2018-03-07|El juego por la supervivencia sigue su curso. Sakamoto y Taira siguen adelante después de haberse enfrentado con unos dragones de Komodo, y de rescatar a la chica cuya actitud hacia los hombres es muy hostil e identidad hasta ahora es desconocida. De manera inesperada se encuentran con un tipo terrible, diestro con el uso del cuchillo y que, para sorpresa de todos, no usa bombas BIM: Masashi Miyamoto acompañado por Souichi Natsume, abogado de Kousuke. Su oscuro pasado y habilidades harán temblar a Sakamoto. Taira está en peligro y también la chica. |978-607-528-940-3|1|FALSE
Btooom! #5|5|5|/panini-manga-mx/btooom/btooom-05.jpg|210|99|MXN|2018-04-04|Ryota rescata a Himiko después de pelear contra Miyamoto. Ahora es preciso hallar provisiones y medicinas pues Taira resultó gravemente herido. Así que deberán atravesar la jungla arriesgándose a ser vistos por otros contrincantes. Mientras tanto, Taira se encuentra herido de gravedad al perder los dedos de una de sus manos. Himiko y Sakamoto deberán pasar la noche en un antiguo edificio abandonado para continuar después el trayecto de regreso con Taira. Pero parece que no están solos en aquel lugar. ¿Qué es lo que sucederá? ¿Himiko logrará enfrentar sus miedos y confiar en Ryota? |978-607-548-002-2|1|FALSE
Btooom! #6|6|6|/panini-manga-mx/btooom/btooom-06.jpg|194|99|MXN|2018-05-09|Es el cuarto día en la isla. Sakamoto y Himiko han pasado pruebas extremas para sobrevivir, y aunque tuvieron un momento de tranquilidad después de la pelea con Shiki en aquel lugar donde pasaron la noche, deben seguir adelante para encontrarse con Taira. Ambos se toparán nuevamente con peligrosos y calculadores contrincantes y deberán separarse para luchar. ¡Se revelan secretos que cambian el destino de los participantes!|978-607-548-109-8|1|FALSE
Btooom! #7|7|7|/panini-manga-mx/btooom/btooom-07.jpg|192|99|MXN|2018-06-06|Himiko y Sakamoto se encuentran con un tipo que dice ser médico, quien cura a Taira de las heridas que sufrió al ser atacado por un dragón de Komodo. Además, aparecen dos nuevos contrincantes: Nobutaka Oda y Hidemi Kinoshita, quienes los atacan sin piedad, buscando obtener las bombas y las provisiones a como dé lugar. A este paso, Sakamoto volverá a encontrarse con un viejo enemigo... |978-607-548-184-5|1|FALSE
Btooom! #8|8|8|/panini-manga-mx/btooom/btooom-08.jpg|192|99|MXN|2018-07-04|¡Ya está aquí el tomo 8 de BTOOOM! Himiko y Ryota logran derrotar a Date, quien está herido de gravedad. Mientras que Taira comienza a sufrir alucinaciones que hacen más difícil distinguir la realidad. Comienza a perder el juicio y a tener pensamientos retorcidos que lo pondrán en contra de quienes eran hasta ahora sus aliados. ¡No te pierdas esta alucinante historia llena de acción y adrenalina!|978-607-548-213-2|1|FALSE
Btooom! #9|9|9|/panini-manga-mx/btooom/btooom-09.jpg|192|99|MXN|2018-08-01|Ryota tristemente tuvo que aceptar la muerte de Taira, quien decidió suicidarse tras haber librado varias batallas juntos desde los primeros días de iniciado el juego. ¡Así es como Himiko y Sakamoto deciden buscar nuevos aliados, reunir los chips necesarios y salir de este infierno llamado BTOOOM! Sin embargo, las cosas se complican ya que Kousuke Kira planea enfrentarse de nuevo con Sakamoto. Además, Oda y Hidemi vuelven a encontrarse con Ryota y Himiko.|978-607-548-298-9|1|FALSE
Btooom! #10|10|10|/panini-manga-mx/btooom/btooom-10.jpg|192|99|MXN|2018-09-05|Tyrannos Japan envía a Iida Tsuneaki, uno de los programadores a la isla, para solucionar un problema técnico que inabilitó la detección de chips y los radares, pero aprovecha para encontrar a Sakamoto. ¡El juego es cada vez más hostil y es necesario que alguien lo detenga! Kousuke se enfrenta con Ryota y el equipo de Togo, así que aprovechará la oportunidad para hacerse de más aliados que quieran salir de la isla sin tener que asesinar. |978-607-548-372-6|1|FALSE
Btooom! #11|11|11|/panini-manga-mx/btooom/btooom-11.jpg|194|99|MXN|2018-10-03|¡Ya está aquí el tomo 11 de BTOOOM! Ryota se encuentra con Iida Tsuneaki, uno de los programadores del juego online y de esta versión de la vida real. Él le contará de una vez por todas lo que hay detrás de esta horrible competencia y decidirán aliarse para evitar que el proyecto siga su curso. Mientras tanto, el plan de secuestrar el helicóptero de rescate continúa, pero un fallo en la estrategia cambiará el destino de Ryota, Himiko, Oda y los demás competidores aliados. ¡No te pierdas ningún tomo de esta alucinante historia!|978-607-548-427-3|1|FALSE
Btooom! #12|12|12|/panini-manga-mx/btooom/btooom-12.jpg|192|99|MXN|2018-11-07|¿Ryota y sus amigos podrán por fin escapar de la isla? El plan orquestado por Ryota y Date se puso en marcha, pero en pocos segundos fue desmantelado por aquellos que iban a llevar a Date fuera del peligro de ese remoto lugar. Algunas bajas y compañeros heridos son el resultado de esta hazaña. Su destino inmediato es seguir luchando por sobrevivir. ¡No te pierdas el cierre de este emocionante ciclo!|978-607-548-495-2|1|FALSE
Btooom! #13|13|13|/panini-manga-mx/btooom/btooom-13.jpg|200|99|MXN|2018-12-05|"Ryota logra escapar del equipo táctico de Tyrannos Japan arrojándose al mar. Inesperadamente es encontrado por una niña que lo lleva a un lugar llamado el ""santuario"". Este sitio aparentemente pacífico se verá afectado por la llegada de Sakamoto, ya que su presencia alterará el equilibrio en número de personas y chips. Mientras tanto, Himiko y Oda buscan ponerse a salvo... ¿Qué sucederá? ¡No te pierdas ningún número de esta intrigante historia!"|978-607-548-532-4|1|FALSE
Btooom! #14|14|14|/panini-manga-mx/btooom/btooom-14.jpg|194|99|MXN|2019-01-09|Continúa la riña en el santuario. Después de la llegada de Sakamoto se cometió un segundo asesinato. Ryota cree que Amakusa pudo ser el asesino, pero los otros creen que Ryota podria estar planeando desaparecer a cada uno de los integrantes del grupo. Sin embargo, las cosas son distintas pues Torio es quien desea destruir todo lo que el grupo había logrado. ¿Quieres saber más? No te pierdas el #14 de BTOOOM!, y completa tu colección.|978-607-548-656-7|1|FALSE
Btooom! #15|15|15|/panini-manga-mx/btooom/btooom-15.jpg|194|99|MXN|2019-02-06|Es el séptimo día desde que inició el juego. Himiko y Oda permanecen juntos mientras tratan de encontrarse con Ryota. Sin embargo, Sakamoto se encuentra en mal estado y comienza a tener alucinaciones, lo que pone en riesgo a Soga y a Kayuga. Inesperadamente, aparece el padre de Ryota acompañado por uno de sus tíos: deciden investigar más a fondo lo que planea Tyrannos Japan y consiguen hablar con Iida Tsuneaki... ¿Qué sucederá? ¡No te pierdas esta nueva entrega de BTOOOM!|978-607-548-689-5|1|FALSE
Btooom! #16|16|16|/panini-manga-mx/btooom/btooom-16.jpg|194|99|MXN|2019-03-06|¡La cuenta regresiva para el final del juego está corriendo! Los sobrevivientes crean nuevos equipos. Oda y Himiko se separan, mientras que Togo continúa con Kira, Uesugi y Yoko. Sakamoto sigue fuera de la realidad, ¿podrá salir del trance que lo aqueja antes de que cometa algún error? Sin embargo, esta paranoia no hace más que generar expectativa entre los miembros del Proyecto Themis. Takanohashi anuncia cambios que marcarán el destino de cada uno de los jugadores. ¡No te pierdas el volumen #16 de BTOOOM! |978-607-548-765-6|1|FALSE
Btooom! #17|17|17|/panini-manga-mx/btooom/btooom-17.jpg|194|99|MXN|2019-04-03|La muerte de Soga fue un duro golpe para Sakamoto, quien perdió todo contacto con la realidad y actuó de manera irresponsable. Ahora está empecinado en completar el juego. Sin embargo, Kira y Togo se disponen a atacar a Ryota... pero el plan no resulta ser satisfactorio y Kousuke se ve inmerso en un problema del que será difícil escapar. Además, en este episodio se revelará el oscuro pasado de Oda. ¡Averigua todos los detalles de este seinen creado por Junya Inoue!|978-607-548-845-5|1|FALSE
Btooom! #18|18|18|/panini-manga-mx/btooom/btooom-18.jpg|194|99|MXN|2019-05-01|El juego se torna errático y los jugadores sobrevivientes que fueron aliados comienzan a enemistarse. Sakamoto, después de la muerte de Soga, se enfrenta a otra lucha, ahora con Kira y Togo. Mientras tanto, la pequeña Kaguya encuentra accidentalmente a Togo, quien de inmediato la protege... Además, aparece Okita en el juego y remueve recuerdos no muy gratos para uno de los jugadores.|978-607-548-982-7|1|FALSE
Btooom! #19|19|19|/panini-manga-mx/btooom/btooom-19.jpg|194|99|MXN|2019-06-05|Ryota se enfrentará a un nuevo enemigo. Se desata una aguerrida lucha para conseguir los medicamentos que están en el maletín que lanzaron los organizadores... Mientras tanto, el padrastro y el tío de Sakamoto, quienes buscan la manera de ventilar la información del horripilante plan que gesta el Proyecto Themis, son interceptados por el personal de Tyrannos Japan... ¿Qué sucederá?|978-607-548-989-6|1|FALSE
Btooom! #20|20|20|/panini-manga-mx/btooom/btooom-20.jpg|194|99|MXN|2019-07-03|En este volumen, Kousuke logra conseguir las medicinas después de vencer a Xaviera. Mientras tanto, Togo se enfrentará contra Yoshioka el misterioso contrincante de este juego mortal, quien se encontraba escondido portando una ametralladora, y cuyo plan es ser el ganador. Himiko se encuentra en grave peligro y Sakamoto debe actuar con cautela pues la vida de todos a quienes protege está en sus manos....|978-607-634-031-8|1|FALSE
Btooom! #21|21|21|/panini-manga-mx/btooom/btooom-21.jpg|299|99|MXN|2019-08-07|Las horas para el fin del juego se agotan mientras que los sobrevivientes viven fuertes enfrentamientos entre bandos. La muerte de Togo rompe con los planes que Kira y sus aliados habían organizado, lo que le causa un gran dolor y hace recobrar su ímpetu de venganza. Sakamoto lucha por encontrar a Himiko y detener al demente de Yoshioka. Sin embargo, ¡Tyrannos Japan orquesta un contraataque!|978-607-634-132-2|1|FALSE
Btooom! #22|22|22|/panini-manga-mx/btooom/btooom-22.jpg|200|99|MXN|2019-09-04|La hora de la verdad se acerca y los sobrevivientes se preparan para enfrentarse con todo en contra de Yoshioka, sin embargo, Sakamoto idea un plan que le permite salir para combatir a Kira, quien se encuentra dominado por una fuerte convicción: ser el mejor en la batalla final contra Ryota. Mientras tanto, Iida y el padrastro de Sakamoto toman las instalaciones de Tyrannos Japan poniendo en cautiverio a todos sus trabajadores, incluido su mecenas, el multimillonario Longer Schwaritz.|978-607-634-170-4|1|FALSE
Btooom! #23|23|23|/panini-manga-mx/btooom/btooom-23.jpg|210|99|MXN|2019-10-02|El momento decisivo en la isla ha llegado con la incursión del grupo de rescate encabezado por Perrier y remotamente por Iida Tsuneaki y Hisanobu Sakamoto. Sin embargo, Perrier debe reiniciar el sistema central para que se desactiven los chips y todos puedan salir de la isla. Mientras tanto, los sobrevivientes Kira y Ryota pelean a muerte en un trance que pone al pequeño Kira al borde de la muerte. Además, el misterioso regreso de Yoshioka pondrá en peligro a Uesugi.|978-607-634-212-1|1|FALSE
Btooom! #24|24|24|/panini-manga-mx/btooom/btooom-24.jpg|200|99|MXN|2019-11-20|Las fuerzas de esta historia se dividen: en la isla todos los sobrevivientes luchan para escapar; mientras que en Tyrannos Japan, Iida se enfrenta cara a cara con el fundador de esta abominable masacre. Sin embargo, los planes de BTOOOM! GAMERS son transmitir las batallas, sin importar la llegada del Escuadrón de Fuerzas Especiales y de Matthew Perrier, quien tratará de interferir cibernéticamente el juego para desactivarlo. ¿Qué sucederá? Averígualo en BTOOOM! 24.|978-607-634-321-0|1|FALSE
Btooom! #25|25|25|/panini-manga-mx/btooom/btooom-25.jpg|208|99|MXN|2019-12-04|¡La entrega número 25 de BTOOOM! ya está aquí! Los sobrevivientes lucharán contra la nueva arma con la que cuenta el equipo de drones de Tyrannos Japan. Además, Perrier encabeza la revuelta para tomar el control del sistema central del juego enfrentándose a un despiadado escuadrón llamado Queen Angels ayudado por el grupo de las fuerzas especiales. Iida, Sakamoto y Himiko deberán ser más hábiles si desean salir de la isla. ¡Averigua todos los detalles y completa tu colección!|978-607-634-368-5|1|FALSE
Btooom! Dark #26|26-dark|26|/panini-manga-mx/btooom/btooom-dark-26.jpg|208|169|MXN|2020-02-05|¡Ya está aquí el final real de BTOOOM!! Ryota toma una decisión que cambiará el destino de todos los sobrevivientes. Oda decide pelear en solitario y olvidarse de alianzas con Sakamoto, Himiko y los otros. Además, en Tyrannos Japan, Iida es acorralado por los secuaces de Longer Schwaritz. ¡Ryota deberá usar todas sus cartas para salir de la isla a como dé lugar!|978-607-634-648-8|1|FALSE
Btooom! Light #26|26-light|26|/panini-manga-mx/btooom/btooom-light-26.jpg|208|169|MXN|2020-02-05|Ryota ha decidido hacer todo lo posible para salir de la isla con ayuda de Iida y Hisanobu, su padrastro. Para ello deberá poner todas sus fuerzas y su inteligencia para convencer a Kira y Oda de desistir en peleas sin sentido y luchar en un frente común para derrotar a los organizadores en sus dos líneas de ataque: la isla y las instalaciones de Tyrannos Japan. ¿Lograrán salir de esta isla infernal? ¡Averígualo y completa tu colección!|978-607-634-647-1|1|FALSE
