NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Bungo Stray Dogs #1|1|1|/panini-manga-mx/bungo-stray-dogs/bungo-stray-dogs-01.jpg|196|109.0|MXN|2018-01-24|"¡Llega de las mentes brillantes de Kafka Asagiri y Sango Harukawa la afamada serie Bungo Stray Dogs! Un joven llamado Atsushi Nakajima, expulsado de un orfanato y recién llegado a Yokohama, ayuda a cierto chico que intenta suicidarse: Osamu Dazai. integrante de la Agencia Armada de Detectives, organización que investiga el caso de un ""tigre come-hombres"" que abruma al mundo. Ahora, ¡¿Nakajima forma parte de la investigación?! ¡Comienza la batalla cuyo escenario será Yokohama!"|978-6-075-28827-7|1|false
Bungo Stray Dogs #2|2|2|/panini-manga-mx/bungo-stray-dogs/bungo-stray-dogs-02.jpg|194|109.0|MXN|2018-03-28|"Atsushi Nakajima despierta en la enfermería de la Agencia de Detectives tras una batalla a muerte contra Akutagawa, pero ya no podrá más con dicha agencia y escapará de sus problemas. ¡Sin embargo, la mafia también enviará, sin piedad alguna, a Ryuro Hirotsu, del Escuadrón de Combate ""Lagarto Negro""! Y no solo eso, también mandará al demonio de las explosiones, Motojiro Kaji, y a una niña con kimono, Kyoka Izumi. Los usuarios de habilidades de la mafia lanzan un ataque tras otro, ¡estas son las peleas con poderes!"|978-6-075-28936-6|1|false
Bungo Stray Dogs #3|3|3|/panini-manga-mx/bungo-stray-dogs/bungo-stray-dogs-03.jpg|192|109.0|MXN|2018-05-30|Kyoka Izumi es una chica que estaba siendo manipulada por la mafia para pelear y se quería suicidar, pero Atsushi Nakajima, quien la salvó, la invitará a comer tofu para obtener información acerca de la mafia. Sin embargo, esa paz momentánea no durará mucho, ya que la mafia logrará capturarlo. Por otro lado, un antiguo compañero de la mafia del anteriormente capturado Dazai aparece frente a él. ¡Se trata de Chuya Nakahara! ¡Veremos a Osamu Dazai vs Chuya Nakahara y a Ryunosuke Akutagawa vs. Atsushi Nakajima! ¡¿Qué rumbo tomarán estos frecuentes conflictos entre la mafia y la agencia de detectives?!|978-6-075-48108-1|1|false
Bungo Stray Dogs #4|4|4|/panini-manga-mx/bungo-stray-dogs/bungo-stray-dogs-04.jpg|180|109.0|MXN|2018-08-01|Atsushi Nakajima se verá envuelto en un trabajo común y corriente con su superior, Kenji Miyazawa, pero no solo eso ocurrirá, Kyoka también es aceptada en la agencia de detectives, pues ella siente que su relación con Port Mafia ha llegado a su conclusión tras el conflicto suscitado. ¡Ahora un multimillonario llamado Fitzgerald, líder de un grupo de usuarios de habilidades de Norteamérica, abordará a la agencia de detectives de forma directa! ¡¿Qué le querrá dar al presidente Fukuzawa?! ¡¿Y por qué la extraña y misteriosa asesina, Montgomery, atacará a Atsushi y sus amigos?!|978-6-075-48211-8|1|false
Bungo Stray Dogs #5|5|5|/panini-manga-mx/bungo-stray-dogs/bungo-stray-dogs-05.jpg|180|109.0|MXN|2018-09-26|¿Cuáles serán las verdaderas intenciones de Koyo Ozaki al tratar de recuperar a Kyoka Izumi? ¿Es en verdad importante la historia que compartieron? Aparentemente, el primer trabajo de Kyoka con Asumi en la Agencia de Detectives resulta sencillo, pero de cualquier manera, decide usar lo que aprendió en la mafia, aunque no resulte lo más ortodoxo. El conflicto en tres direcciones cada vez está más cerca de ocurrir: la Agencia Guild, Port Mafia y la Agencia de Detectives medirán sus fuerzas y podremos conocer cómo se desarrolla este conflicto donde los poderes tendrán que ser aprovechados de la manera más eficiente.|978-6-075-48363-4|1|false
Bungo Stray Dogs #6|6|6|/panini-manga-mx/bungo-stray-dogs/bungo-stray-dogs-06.jpg|200|109.0|MXN|2018-11-28|¿Cuál será el desenlace de este enfrentamiento a muerte entre Ryuunousuke Akutagawa y Nathaniel Hawthorne? En esta nueva entrega, Chuuya Nakahara tiene información sobre la manera en que se planea destruir la Agencia Especial de Detectives y es difícil imaginar el desarrollo de los acontecimientos. Además, Lovecraft y Steinbeck muestran de lo que son capaces.|978-6-075-48510-2|1|false
Bungo Stray Dogs #7|7|7|/panini-manga-mx/bungo-stray-dogs/bungo-stray-dogs-07.jpg|200|109.0|MXN|2019-01-30|Tras poner contra las cuerdas a Atsushi, Kyuusaku Yumeno, también conocido como Q, es derrotado por Lovecraft y capturado por Steinbeck, quien combina su habilidad con la de Q para maldecir a los habitantes de Yokohama. Mientras tanto, Fitzgerald secuestra a Atsushi, pues este es la clave para conseguir un misterioso libro que es de interés para Gremio, y además activa la maldición de Q, arrojando la ciudad en un caos de violencia incontrolable. En un intento desesperado por escapar, Atsushi se encuentra con Lucy. ¿Será capaz de detener la destrucción de Yokohama?|978-6-075-48666-6|1|false
Bungo Stray Dogs #8|8|8|/panini-manga-mx/bungo-stray-dogs/bungo-stray-dogs-08.jpg|192|109.0|MXN|2019-03-27|Con la intención de acordar un cese al fuego, Fukuzawa se reúne a negociar con Mori, pero solo consigue que Port Mafia no ataque a la Agencia durante un día. Poco después tendrá lugar un impresionante combate entre Dazai y Chuuya contra Lovecraft y Steinbeck, así como un lance de intelectos entre Ranpo y Poe. Posteriormente, Atsushi se infiltra en el Moby-Dick con la intención de destruirlo, sin saber que se precipita hacia las fauces de Gremio.|978-6-075-48819-6|1|false
Bungo Stray Dogs #9|9|9|/panini-manga-mx/bungo-stray-dogs/bungo-stray-dogs-09.jpg|200|109.0|MXN|2019-05-01|Tras infiltrarse en el Moby-Dick, Atsushi comienza a combatir contra Fitzgerald, líder de Gremio, quien lo somete con su poderosa habilidad, pero poco antes de que lo remate, Akutagawa hace su aparición. ¡Ahora, el joven tigre deberá enfrentar a dos terribles rivales! Aunque no parece que a Fitzgerald le agrade la intromisión del integrante de Port Mafia. ¡¿Habrá alguna manera de detener la caída del Moby-Dick sobre Yokohama?!|978-6-075-48908-7|1|false
Bungo Stray Dogs #10|10|10|/panini-manga-mx/bungo-stray-dogs/bungo-stray-dogs-10.jpg|200|109.0|MXN|2019-07-10|Gremio fue desmantelado: la Agencia de Detectives y Port Mafia están temporalmente en paz. Durante esta etapa aparentemente relajada, Atsushi tomará un caso que involucra a un terrible hombre de su pasado, Kunikida atravesará una prueba explosiva y un antiguo compañero de la Agencia vivirá una. peculiar historia de amor que arrastrará a Atsushi, Kunikida y una integrante de Port Mafia.|978-6-076-34009-7|1|false
