NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Chainsaw Man #1|1|1|/panini-manga-mx/chainsaw-man/chainsaw-man-01.jpg|192|129.0|MXN|2021-03-03|Denji es un chico huérfano y pobre que trabaja como devil hunter junto con Pochita, el demonio perruno de la motosierra, para unos yakuza. Estos también desean el poder de los demonios y atacan a Denji y a Pochita, pero, al borde de la muerte, los dos se unen para formar a Chainsaw Man y logran salvarse. Makima, una devil hunter de Seguridad Pública, llega a la escena y recluta a Denji para que trabaje para ella. Y la promesa de una vida mejor trabajando al lado de la bella joven lo motiva.|978-6-075-68289-1|1|false
Chainsaw Man #2|2|2|/panini-manga-mx/chainsaw-man/chainsaw-man-02.jpg|192|129.0|MXN|2021-04-07|Denji se enfrenta con el demonio de los murciélagos, causando muchos daños en la ciudad. Hayakawa sospecha que Power tuvo que ver en el asunto, pero Denji la defiende. Ella le da la recompensa que buscaba, pero no queda muy convencido. Luego, Makima le da la misión a Denji de acabar con un demonio muy poderoso. El escuadrón de Himeno se une al de Hayakawa yendo tras la pista de ese demonio en un hotel, pero quedan atrapados sin salida.|978-6-075-68293-8|1|false
Chainsaw Man #3|3|3|/panini-manga-mx/chainsaw-man/chainsaw-man-03.jpg|192|129.0|MXN|2021-06-02|El escuadrón de Himeno sigue atrapado en el octavo piso del hotel por el demonio de la eternidad, quien exige la vida de Denji para dejarlos salir. Unos están a favor, pero Denji pone en marcha un plan temerario para salvarlos a todos. Luego los devil hunters se dan un respiro para salir a tomar. ¿Qué será del primer beso de Denji? Y, al final, aparecen unas maleantes que atacan a los devil hunters ¿¡por órdenes del demonio de las armas de fuego!?|978-6-075-68440-6|1|false
Chainsaw Man #4|4|4|/panini-manga-mx/chainsaw-man/chainsaw-man-04.jpg|192|129.0|MXN|2021-08-04|Un grupo armado bajo órdenes del demonio de las armas de fuego ataca a los devil hunters. Makima y Kobeni los detienen lo suficiente para que Denji escape. Para hacerlos más fuertes y prepararlos para la siguiente batalla, Makima consigue que el mejor devil hunter entrene a Denji y a Power. Por otro lado, unas visitas en el hospital hacen que Aki decida permanecer en Seguridad Pública y continuar persiguiendo su máximo objetivo, lo que implica ir tras sus atacantes.|978-6-075-68554-0|1|false
Chainsaw Man #5|5|5|/panini-manga-mx/chainsaw-man/chainsaw-man-05.jpg|200|129.0|MXN|2021-10-20|Continúa la redada para aprehender a la banda de Samurai Sword. Al final, Denji tiene un enfrentamiento con él dentro de un vagón de tren, donde las cosas se tornan un tanto sucias. Después de tanta conmoción, Makima invita a Denji al cine, y él no cabe de felicidad. Pero, al siguiente día, una chica llamada Reze se aparece ante Denji, y empieza a mostrar interés por él. ¿Denji será capaz de resistirse y seguir siéndole fiel a Makima en su corazón?|978-6-075-68683-7|1|false
Chainsaw Man #6|6|6|/panini-manga-mx/chainsaw-man/chainsaw-man-06.jpg|192|129.0|MXN|2021-12-15|En el festival de fuegos artificiales, Reze le pide a Denji que escapen juntos de SP para que él ya pueda ir a la escuela. Pero él se rehúsa porque ya le va mejor en el trabajo. Ella sospecha que Denji quiere a alguien más, y esto desata una persecución por toda la ciudad llena de adrenalina y descargas de explosiones. ¡¡Incluso un tornado de tiburones hace su aparición!!|978-6-075-68793-3|1|false
Chainsaw Man #7|7|7|/panini-manga-mx/chainsaw-man/chainsaw-man-07.jpg|200|139.0|MXN|2022-02-02|Después de los estragos causados por Bomb en la ciudad, los medios hacen pública la existencia del demonio de las motosierras. Eso hace que asesinos de todas partes del mundo lleguen a Japón tras Denji justo cuando él estaba listo para salir de vacaciones con Makima y los demás. SP monta una operación para protegerlo, pero ¿por qué Denji es tan importante?|978-6-075-68914-2|1|false
Chainsaw Man #8|8|8|/panini-manga-mx/chainsaw-man/chainsaw-man-08.jpg|192|139.0|MXN|2022-04-06|Quanxi y sus poseídas lanzan su ataque contra el grupo de Denji, quienes apenas son capaces de defenderse. Por otro lado, Santa Claus establece un contrato con el demonio del infierno, y envía a todos al averno. Al ver a las poseídas temblando de miedo, Quanxi propone una tregua, y de repente se aparece ante ellos uno de los demonios primigenios...|978-6-076-36050-7|1|false
Chainsaw Man #9|9|9|/panini-manga-mx/chainsaw-man/chainsaw-man-09.jpg|192|139.0|MXN|2022-06-08|De regreso después de la batalla en el infierno, Power tiene un gran trauma y fobia a la oscuridad. Denji prefiere quedarse en casa a cuidarla en vez de salir de viaje con Makima. Por otro lado, Aki se reúne con Kishibe y le pide que no mande a Denji y a Power a la próxima operación contra el demonio de las armas porque no los quiere perder. Pero algo sale terriblemente mal.|978-6-076-36147-4|1|false
Chainsaw Man #10|10|10|/panini-manga-mx/chainsaw-man/chainsaw-man-10.jpg|192|139.0|MXN|2022-08-10|Makima acude en su ayuda, pero lo que parece por fin un momento de calma se convierte en el comienzo de una pesadilla… Cuando el joven abre la puerta prohibida de su alma, ¡las verdaderas intenciones de Makima y el secreto demoníaco de Denji chocan en un sangriento infierno!|978-6-076-36241-9|1|false
