NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
City Hunter #1|1|1|/panini-manga-mx/city-hunter/city-hunter-01.jpg|216|249|MXN|2019-07-24|Ryô Saeba parece un joven normal y despreocupado, pero en realidad es un experimentado mercenario de Tokio. Junto a su compañero Makimura, siempre cumple con los encargos que recibe de sus clientes gracias a su tremenda habilidad con las armas de fuego. En un mundo donde a veces la justicia no llega a todos, los hombres como él son necesarios. Un día, se ve envuelto en una terrible trama de narcotráfico... La vida no es fácil, pero no habrá nada que lo detenga. ¡No se pierdan esta excitante y dura aventura que transcurre en los rincones más oscuros de Japón!|978-6-076-34083-7|1|FALSE
City Hunter #2|2|2|/panini-manga-mx/city-hunter/city-hunter-02.jpg|200|249|MXN|2019-09-25|Ryô Saeba es un mercenario que vive de realizar encargos en los suburbios de Tokio. Tras la muerte de su compañero, se une a él la hermana de este. Juntos lucharán para vengarlo y acabar con la organización de narcotráfico que lo mató. No obstante, no es un mundo fácil, y cada vez aparecen nuevos personajes. ¿Serán amigos o enemigos? ¿Podrán Ryô y Kaori sobrevivir en un medio tan hostil? ¡No se pierdan esta vibrante historia!|978-6-076-34210-7|1|FALSE
City Hunter #3|3|3|/panini-manga-mx/city-hunter/city-hunter-03.jpg|208|249|MXN|2019-11-27|Ryo Saeba es uno de los mejores mercenarios de los suburbios de Tokio. Su día a día se ve truncado cuando se topa con una nueva organización de narcotráfico extranjera conocida como Unión Teope. Ahora Ryo va a tener que seguir investigando para desentrañar sus secretos mientras prosigue con su oficio junto con Kaori, la hermana de su compañero caído. A ambos se les une Sayaka, la hija de un poderoso capo de la mafia japonesa. No es más que una jovencita, pero aspira a convertirse en la esposa Ryo.|978-6-076-34389-0|1|FALSE
City Hunter #4|4|4|/panini-manga-mx/city-hunter/city-hunter-04.jpg|208|249|MXN|2020-01-15|Ryo Saeba es un habilidoso mercenario amado y temido a la vez. Trabaja junto a su compañera Kaori Makimura, la hermana pequeña de su anterior compañero asesinado por una malvada organización de narcotráfico. Mientras reúnen pistas para acabar con sus enemigos, su día a día consiste en ir cumpliendo con los trabajos que les encargan sus clientes.|978-6-076-34521-4|1|FALSE
City Hunter #5|5|5|/panini-manga-mx/city-hunter/city-hunter-05.jpg|208|249|MXN|2020-03-11|En esta ocasión, veremos cómo Ryo Saeba resuelve el conflicto en el reino de Roxia y cómo Saeko hace lo que quiere con él, aunque él se verá sorprendido con un agradable regalo. El siguiente encargo lo llevará a su barrio de nuevo, en Shinjuku, en una guerra territorial entre dos grandes grupos de la mafia yakuza que luchan por hacerse con el barrio entre los lujos de los casinos.|978-6-076-34645-7|1|FALSE
City Hunter #6|6|6|/panini-manga-mx/city-hunter/city-hunter-06.jpg|208|249|MXN|2020-06-10|Ryo Saeba cuida de sus clientes hasta después de que supuestamente haya terminado su servicio. Sobre todo con clientas atractivas como Yoko, que corre un peligro constante. Luego acepta un nuevo caso en el que hay un menor de por medio al que tendrá que proteger. Mientras lo hace, surgen tensiones amorosas que hacen titubear a Ryo y a Kaori. Kaori, que siempre está de supervisora de Ryo para que no meta la pata con su irrefrenable libido, se siente un poco confundida. |978-6-076-34783-6|1|FALSE
City Hunter #7|7|7|/panini-manga-mx/city-hunter/city-hunter-07.jpg|208|249|MXN|2020-07-12|La situación en Emalia sigue inestable; Ryo y Kaori mantienen escondidos a Takuya y a su maestra. Takuya quiere aprender a defenderse solo a toda costa para no perjudicar a su maestra y, sospechosamente, cada vez se va pareciendo más a Ryo... Después, nuestro City Hunter recibe un encargo peculiar de una joven estudiante de secundaria que hace que Ryo cambie su escala de valores acerca de las niñas de secundaria.|978-6-076-34920-5|1|FALSE
City Hunter #8|8|8|/panini-manga-mx/city-hunter/city-hunter-08.jpg|232|249|MXN|2020-10-14|Ryo y Kaori siguen cuidando de la sonrisa angelical de Yuki, que es una señorita criada en una casa de familia acaudalada que decidió ponerse a trabajar de repente, por cierto motivo en el que ella cree firmemente. Después, llega otro caso en el que tendrán que cuidar de un grupo de chicas que se presentan a una audición, pues un loco amenazó que si no se cancela esa audición que se celebra en público, las participantes sufrirán las consecuencias.|978-6-075-68013-2|1|FALSE
City Hunter #9|9|9|/panini-manga-mx/city-hunter/city-hunter-09.jpg|224|249|MXN|2020-12-01|El caso de la audición accidentada termina y todo parece que se calma, aunque Etsuko todavía guarda una duda sin resolver acerca de los sentimientos que unieron a sus padres. Después, Ryo y Kaori se ven envueltos en un caso relacionado con avispas asesinas cuyo creador murió con una industria bioquímica detrás. En la tercera aventura, un viejo excéntrico decide dejar la mitad de su fortuna a una enfermera y tendrán que protegerla.|978-6-075-68122-1|1|FALSE
City Hunter #10|10|10|/panini-manga-mx/city-hunter/city-hunter-10.jpg|216|249|MXN|2021-02-10|El caso de la enfermera a la que tienen que proteger porque un anciano millonario decide que ella va a heredar su fortuna sigue su curso. Ryo sigue en el hospital para estar lo más cerca de ella y el asesino se las ingeniará para intentar matarla. En el siguiente caso, Ryo se va a reencontrar con Saeko, con la que tiene una deuda pendiente. Ella le pide protección, ya que dice temer por su integridad física por unas amenazas que le llegaron.|978-6-075-68182-5|1|FALSE
