NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Claymore #1|1|1|/panini-manga-mx/claymore/claymore-01.jpg|192|119.0|MXN|2021-05-19|En este mundo, desde tiempos inmemorables existen monstruos devoradores de hombres llamados Yoma. Durante mucho tiempo, los humanos carecieron de los medios para poder enfrentar a estas criaturas. Sin embargo, un día apareciero feroces guerreras que portaban enormes espadas en su espalda y que empezaron a luchar incansablemente contra los Yoma. ¡Este es el inicio de la batalla de aquellas feroces guerreras llamadas Claymore!.|978-6-076-34576-4|1|false
Claymore #2|2|2|/panini-manga-mx/claymore/claymore-02.jpg|188|119.0|MXN|2021-06-16|En la Gran Gatedral de Rabona, la Ciudad Sagrada, un yoma está devorando a los fieles. Claire acepta el encargo de eliminarlo, pero ahora debe infiltrarse en la Catedral a pesar de la estricta vigilancia. Para lograrlo, debe suprimir su poder yoma. Entonces. ¿Cómo podrá rastrear a su presa?|978-6-076-34666-2|1|false
Claymore #3|3|3|/panini-manga-mx/claymore/claymore-03.jpg|196|119.0|MXN|2021-07-21|Dentro del sagrado recinto de la Gran Catedral de Rabona, Claire y los caballeros de la ciudad entablan un combate mortal contra un poderoso Yoma. En condiciones normales, Claire sería capaz de eliminar fácilmente a su enemigo. Sin embargo, debido a las heridas causadas por la batalla anterior, sus movimientos se encuentran limitados. ¡Claire continúa luchando aunque está a punto de llegarca su límite!|978-6-076-34702-7|1|false
Claymore #4|4|4|/panini-manga-mx/claymore/claymore-04.jpg|192|119.0|MXN|2021-08-18|"Por salvar a una niña de un grupo de bandidos despiadados, la Claymore más poderosa, Teresa, es ahora perseguida por un escuadrón de ejecutoras. A Teresa, la temible guerrera apodada ""la mujer de la sonrisa distante"", y a Claire, parece esperarles un cruel destino por causa de su rebelión. ¿Qué terribles castigos enfrentarán?"|978-6-076-34721-8|1|false
Claymore #5|5|5|/panini-manga-mx/claymore/claymore-05.jpg|200|119.0|MXN|2021-09-15|Claymore contra Claymore. Teresa, la guerrera más poderosa, se enfrenta sola contra el escuadrón de ejecución formado por sus antiguas compañeras. Los destinos de Teresa y de Claire penden de un hilo en esta lucha mortal. Además, la joven Priscilla, otra letal combatiente, verá su destino radicalmente transformado por esta batalla. ¿Llegará esta joven a liberar su yoki?|978-6-076-34722-5|1|false
Claymore #6|6|6|/panini-manga-mx/claymore/claymore-06.jpg|192|119.0|MXN|2021-10-27|Claire es elegida para participar en un escuadrón que tiene como tarea eliminar a un devorador anormal. Junto con otras tres Claymore, emprende la difícil misión, pero el enemigo resulta muchísimo más poderoso de lo que todas habían imaginado. Al borde de la desesperación, y tras ver caer a sus compañeras una tras otra, ¿podrá Claire empuñar su espada y levantarse nuevamente?|978-6-076-34781-2|1|false
Claymore #7|7|7|/panini-manga-mx/claymore/claymore-07.jpg|188|119.0|MXN|2021-11-24|Durante la cacería de una renacida, súbitamente estalla la maniática obsesión de Ophelia, la número 4 de la Organización. Bajo sospecha de ser una renacida, Claire se encuentra abrumada por el desmesurado poder de su oponente, pues ninguna de sus técnicas resultan útil para vencerla. Sin embargo, en el momento más peligroso para Claire, ¡una misteriosa guerrera aparece frente a ella!|978-6-076-34782-9|1|false
Claymore #8|8|8|/panini-manga-mx/claymore/claymore-08.jpg|192|119.0|MXN|2021-12-15|En el mundo espiritual de Rafaela, Claire se le enfrenta y recibe todos sus recuerdos y emociones. Inmediatamente después, Rafaela y Luciela renacen juntas, mientras Alicia y Beth se encuentran cara a cara con Riful del Oeste, la engendro del abismo, lo que augura una tremenda batalla sin precedentes.|978-6-076-34842-0|1|false
Claymore #9|9|9|/panini-manga-mx/claymore/claymore-09.jpg|192|129.0|MXN|2022-01-19|La antigua guerrera número 1, Riful del Oeste, una de las tres renacidas más poderosas, se aparece frente a Claire y las demás y deja escapar una pista sobre la enemiga mortal de Claire, ¡Priscilla! Ante el temible poder del oponente al que se enfrentan, ¿podrán Claire y las otras sobrevivir siquiera?|978-6-076-34843-7|1|false
Claymore #10|10|10|/panini-manga-mx/claymore/claymore-10.jpg|192|129.0|MXN|2022-02-16|Un escuadrón de renacidos, al servicio de Isley, se infiltra en la ciudad de Pieta para una misión de reconocimiento, mientras Claire y sus compañeras se reúnen para detenerlos. Bajo las órdenes de Miria, la número 6, Claire y las demás Claymore se alistan para librar una feroz batalla contra el caos y el terror encarnado en el ejército de renacidos.|978-6-075-68439-0|1|false
