NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Death Note #1|1|1|/panini-manga-mx/death-note/death-note-01.jpg|200|99.0|MXN|2016-02-17|El Reino de los Shinigami se ha vuelto aburrido, y Ryu, uno de ellos, ha decidido dejar caer su Death Note al mundo de los humanos, buscando un poco de diversión.|978889121707301|1|false
Death Note #2|2|2|/panini-manga-mx/death-note/death-note-02.jpg|200|99.0|MXN|2016-03-23|Light decidió usar la Deth Note para crear un mundo sin crimen. Ahora sigue experimentando con las muertes de los criminales y conocecada vez mejor el uso de la Death Note.|978889121707302|1|false
Death Note #3|3|3|/panini-manga-mx/death-note/death-note-03.jpg|200|99.0|MXN|2016-04-20|Light está sujeto a una extrema vigilancia por parte de L. Su casa ha sido llenada con cámaras y micrófonos, pero incluso eso no ha sido suficiente para detener a Light en su misión. Una emergencia médica familiar lo distrae y causa confusión, a pesar de que él no ha estado usando la Death Note, alguien más sí…|978889121707303|1|false
Death Note #4|4|4|/panini-manga-mx/death-note/death-note-04.jpg|208|99.0|MXN|2016-05-18|La Oficina Central de Investigación encuentra un segundo Kira, y para atraparlo deciden pedir la ayuda de Light Yagami, a quien por sugerencia de L, llaman a trabajar en las oficinas.|978889121707304|1|false
Death Note #5|5|5|/panini-manga-mx/death-note/death-note-05.jpg|208|99.0|MXN|2016-06-15|Las cosas se están saliendo de control para Light. Misa fue capturada y encerrada por L debido a que sospechaba de ella, pero Light traza un plan para renunciar a la propiedad de ambos Death Note, tanto el suyo como el de Misa, y así olvidar los recuerdos de éstos y poder rescatarla, sometiéndose igualmente a la vigilancia de L.|978889121707305|1|false
Death Note #6|6|6|/panini-manga-mx/death-note/death-note-06.jpg|224|99.0|MXN|2016-07-20|Cansado de tener a L pisándole los talones, Light idea una estrategia para evadir las sospechas de su enemigo, pero esto incluye, en cierto punto, renunciar a su libertad y estar bajo vigilancia constante las 24 horas del día. Misa sigue bajo el escrutinio de L, ajena por completo a la Death Note y sus implicaciones desde que reunció a ella…. ¿Podrá Light despistar lo suficiente a L para desviar sus sospechas? ¿Tendrá que renunciar a la Death Note para salvarse?|978889121707306|1|false
Death Note #7|7|7|/panini-manga-mx/death-note/death-note-07.jpg|216|99.0|MXN|2016-08-12|Los asesinatos no han cesado, el nuevo Kira sigue matado gente, pero esta vez está dejando rastros que resultan de gran utilidad para Light y L, quienes han unido fuerzas para descubrirlo y capturarlo. Light ahora vive encadenado a L, pues fue la única manera que encontró de convencerlo de que no es, ni fue nunca, Kira. Las pistas y estrategias los han llevado a Yotsuba, donde se sospecha que está Kira. Misa jugará un papel importantísimo en el intrincado plan para atrapar a Kira. Una nueva e increíble estrategia con giros inesperados está por llevarse a cabo. ¿Lograrán L y Light capturar a Kira? ¿Descubrirán de qué forma mata?|978889121707307|1|false
Death Note #8|8|8|/panini-manga-mx/death-note/death-note-08.jpg|208|99.0|MXN|2016-09-21|Se descubrió quién era Kira, ahora se sabe cómo funciona la Death Note y L ha vuelto a sospechar que hay otro Kira.|978-6-075-28167-4|1|false
Death Note #9|9|9|/panini-manga-mx/death-note/death-note-09.jpg|200|99.0|MXN|2016-10-25|L ha muerto. Light le ha ganado esta batalla, y no lo dejó ir sin antes dejarle saber que, en efecto, siempre tuvo razón y él era Kira. Las cosas se facilitaron por un tiempo, pero luego de cuatro años ha surgido el sucesor de L… y Light tiembla nuevamente.|978-6-075-28214-5|1|false
Death Note #10|10|10|/panini-manga-mx/death-note/death-note-10.jpg|192|99.0|MXN|2016-11-14|Near y Mello, sucesores reales de L, le están complicando mucho las cosas a Light. Ahora Near ha sembrado dudas dentro del equipo de investigación de Light, el falso L. La estrategia para deshacerse de ellos incluye a Misa y un antiguo amor…|978-6-075-28270-1|1|false
Death Note #11|11|11|/panini-manga-mx/death-note/death-note-11.jpg|216|99.0|MXN|2016-12-21|Near está seguro de que elnuevo L es Light Yagami, y peor aun, que Light Yagami es el nuevo L. Ha ideado un plan en el que pone en riesgo su propia vida, pero que si funciona pondrá al descuberto las identidades de Light Yagami, el Kira original. Sigue con detalle este duelo de intelectos, del que solo uno puede salir triunfador.|978-6-075-28329-6|1|false
Death Note #12|12|12|/panini-manga-mx/death-note/death-note-12.jpg|216|99.0|MXN|2017-01-17|El tan esperado, dramático y asombroso final ha llegado. El enfrentamiento entre Light y Near sucederá por fin. Las intrigas, los planes y el fantástico duelo de intelectos está por concluir. ¿Quién ganará? ¿Logrará Kira su mundo ideal? ¿Conseguirá Near acabar con Kira? ¿Mello intervendrá? ¿Quién apoyará a quién? Todas las interrogantes encuentran su respuesta en esta última e increíble entrega.|978-6-075-28352-4|1|false
Death Note #13|13|13|/panini-manga-mx/death-note/death-note-13.jpg|280|109.0|MXN|2017-09-17|¡El complemento ideal para la popular obra de Tsugumi Ohba y Takeshi Obata está aquí!|978-6-075-28568-9|1|false
