NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Defense Devil #1|1|1|/panini-manga-mx/defense-devil/defense-devil-01.jpg|208|99.0|MXN|2014-08-06|El demonio Kukabara fue exiliado del mundo de los demonios por su nobleza. Para recuperar su gloria, se convirtió en abogado de pecadores enviados al infierno injustamente. ¡Intentando superar las investigaciones de los shinigamis y de absolver a sus clientes, los litigios de Kukabara harán que el mundo de los demonios deba reorganizarse!|9788891203151-00001|1|false
Defense Devil #2|2|2|/panini-manga-mx/defense-devil/defense-devil-02.jpg|192|99.0|MXN|2014-09-09|"Un joven que decide ser abogado del infierno y salvar almas. Un demonio solitario que fue exiliado de su mundo por ser tan noble. Su nombre: Kukabara. Trabaja para recuperar sus poderes, por sus ideales y la justicia. ¡En este segundo número, terminan los capítulos ""Héroe"" y comienzan los capítulos ""Misteriosa""!"|9788891203151002|1|false
Defense Devil #3|3|3|/panini-manga-mx/defense-devil/defense-devil-03.jpg|192|99.0|MXN|2014-10-09|"Decidió ser abogado. Un abogado del infierno que salva a ""pecadores"". Un demonio solitario que fue exiliado de su mundo por ser tan noble, su nombre: Kukabara. ¡En este tercer volumen veremos la historia de Idamaría, el pasado de Kukabara y conoceremos el monasterio!"|978889120315103|1|false
Defense Devil #4|4|4|/panini-manga-mx/defense-devil/defense-devil-04.jpg|192|99.0|MXN|2014-11-07|Él es un abogado del infierno que ayuda a los pecadores. Un demonio solitario exiliado de su mundo por su nobleza. Su nombre es Kukabara. ¡En el tomo 4 tenemos la historia del monasterio, del tenis diabólico y de Júpiter! Kukabara ya tiene la llave para ir al mundo de los demonios...|978889120315104|1|false
Defense Devil #5|5|5|/panini-manga-mx/defense-devil/defense-devil-05.jpg|192|99.0|MXN|2014-12-12|Él es abogado. Un abogado del infierno que ayuda a los pecadores. Un demonio solitario exiliado de su mundo por su nobleza. Su nombre es Kukabara. ¡Kukabara y sus amigos se dirigen al mundo de los demonios para detener la terrible revolución de su hermano menor Legato! ¡Se abre el telón de esta emocionante aventura diabólica!|978889120315105|1|false
Defense Devil #6|6|6|/panini-manga-mx/defense-devil/defense-devil-06.jpg|192|99.0|MXN|2015-01-08|"Él es un abogado del infierno que ayuda a los pecadores. Un demonio solitario excluido de su mundo por su nobleza. Su nombre es Kukabara. ¡Kukabara regresa con Idamaría al mundo de los demonios y destrozan el infierno de la ""Salamandra"", que es controlado por la poderosa Brilhart! ¡Además, la historia del encuentro entre Kukabara y Bichula!"|978889120315106|1|false
Defense Devil #7|7|7|/panini-manga-mx/defense-devil/defense-devil-07.jpg|192|99.0|MXN|2015-02-04|Él es abogado, un abogado del infierno que ayuda a los pecadores. Un demonio solitario exiliado de su mundo por su nobleza. Su nombre es Kukabara. Kukabara y los otros continúan recorriendo el mundo de los demonios en busca de los padres de Júpiter pero hay alguien sospechoso que va tras ellos. ¿Será un enemigo o un aliado?|978889120315107|1|false
Defense Devil #8|8|8|/panini-manga-mx/defense-devil/defense-devil-08.jpg|208|99.0|MXN|2015-03-04|Él es un abogado del infierno que ayuda a los pecadores. Un demonio solitario exiliado de su mundo por su nobleza. Su nombre es Kukabara. Kukabara, Idamaría y los otros volvieron al mundo de los demonios, y en su búsqueda por los padres de Júpiter, entraron a un infierno mágico... ¡Kukabara hace de todo para aclarar una falsa acusación!|978889120315108|1|false
Defense Devil #9|9|9|/panini-manga-mx/defense-devil/defense-devil-09.jpg|208|99.0|MXN|2015-04-01|Él es abogado, un abogado del infierno que ayuda a los pecadores. Un demonio solitario exiliado de su mundo por su nobleza. Su nombre es Kukabara. ¡Kukabara e Idamaría por fin encontraron a los padres de Júpiter y finalmente lograron acorralar a Fénix, quien estaba detrás de todo!|978889120315109|1|false
Defense Devil #10|10|10|/panini-manga-mx/defense-devil/defense-devil-10.jpg|208|99.0|MXN|2015-05-20|Él es abogado, un abogado del infierno que ayuda a los pecadores. Un demonio solitario exiliado de su mundo por su nobleza. Su nombre es Kukabara.|978889120315110|1|false
