NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Dorohedoro #1|1|1|/panini-manga-mx/dorohedoro/dorohedoro-01.jpg|170|129.0|MXN|2021-10-13|Hole es un lugar miserable y peligroso: sus habitantes arriesgan su vida diariamente, pues corren el riesgo de ser usados como conejillos de indias por los hechiceros que visitan la ciudad para practicar sus extraños hechizos. Una de sus víctimas es un hombre cuya cabeza fue transformada en la de un caimán; ahora, al lado de Nikaido, su compañera, emprende una misión para vengarse de todos los hechiceros y averiguar quién es realmente. ¡No te pierdas esta fantasía oscura de la pluma de Q Hayashida!|978-6-075-68636-3|1|false
Dorohedoro #2|2|2|/panini-manga-mx/dorohedoro/dorohedoro-02.jpg|162|129.0|MXN|2021-11-03|¡Los zombies atacan Hole! Así que Caimán y Nikado salen a hacerles frente junto con un grupo de compañeros, pero los no muertos no son la peor amenaza en esa extraña noche, pues el equipo de hechiceros de En hace aparición para enfrentar a nuestros amigos. ¡Y durante el combate, Shin derrota a Caimán! Ante este terrible suceso, Nikaido revela un gran secreto a fin de salvar a su amigo.|978-6-075-68703-2|1|false
Dorohedoro #3|3|3|/panini-manga-mx/dorohedoro/dorohedoro-03.jpg|178|129.0|MXN|2021-12-01|Kasukabe, un profesor que se dedica a estudiar a los hechiceros, revela algo insólito: ¡una puerta para viajar al país mágico! Y, por supuesto, Caimán y Nikaido aprovechan la oportunidad de visitar un lugar tan extraño, pero ciertos sucesos inesperados provocan que Nikaido tenga que pelear contra Noi. Por otro lado, conoceremos algunos detalles sobre el pasado de Caimán gracias a Risu, el hombre decapitado.|978-6-075-68787-2|1|false
Dorohedoro #4|4|4|/panini-manga-mx/dorohedoro/dorohedoro-04.jpg|178|139.0|MXN|2022-01-05|A fin de vengar personalmente a Matsumura, Fujita emprende un viaje a Hole junto con Ebisu y se infiltran en un partido de beisbol en el cual compiten Caimán y Nikado, pero una sorpresa estremecedora los aguarda. Mientras tanto, el grupo de En descubre el poder de la magia de Ebisu: ¡transformar a la gente en terribles reptiles! Y Noi resulta enormemente afectada. Por su parte, Caimán parte solo al mundo de los hechiceros para recuperar sus recuerdos.|978-6-075-68865-7|1|false
Dorohedoro #5|5|5|/panini-manga-mx/dorohedoro/dorohedoro-05.jpg|178|139.0|MXN|2022-02-02|Caimán conoce a un hechicero amigable llamado Tanba y comienza a trabajar en su restaurante; poco después, decide infiltrarse en el Festival de la Noche Azul, un gran evento en el cual los hechiceros buscan compañero, a fin de buscar a Risu. Por su parte, En usa su magia para encontrar a Nikaido y crea a un monstruo fungiforme para que acabe con ella, pero la joven hechicera decide volver a usar su antigua máscara para terminar con la amenaza.|978-6-075-68944-9|1|false
Dorohedoro #6|6|6|/panini-manga-mx/dorohedoro/dorohedoro-06.jpg|170|139.0|MXN|2022-03-02|¡Nikaido es la misteriosa hechicera que controla el tiempo! Una vez que En se entera de este hecho, se las arregla para convertirla en su compañera por medio de un contrato demoniaco y, para empeorar las cosas, el doctor Kusakabe y los demás son hechos prisioneros. Por suerte, mientras intenta averiguar la verdad sobre su pasado, Caimán se entera de la situación de su amiga. ¡Y decide ir a rescatarla a como dé lugar!|978-6-075-68983-8|1|false
Dorohedoro #7|7|7|/panini-manga-mx/dorohedoro/dorohedoro-07.jpg|188|139.0|MXN|2022-04-06|Caimán ayuda a Tanba en una competencia culinaria contra Asuka, una exempleada del restaurante, pero. ¡de pronto Nikaido aparece en compañía de En! Así que Caimán decide ir a rescatarla, pero ella lo ataca. Mientras tanto, el equipo de habitantes de Hole se dirige a buscar a la esposa del profesor Kasukabe, pero en su lugar encuentran a un grupo de Ojos Cruzados. Parece que ellos la asesinaron.|978-6-076-36040-8|1|false
Dorohedoro #8|8|8|/panini-manga-mx/dorohedoro/dorohedoro-08.jpg|172|139.0|MXN|2022-05-04|Shin descubre que los Ojos Cruzados, quienes se dedican al tráfico de polvo negro y a otras actividades sucias, entrenan específicamente para acabar con los hechiceros, pero se las arregla para rescatar a Noi y vencer al grupo del Bosque Hidra. Por su parte, Caimán y Nikaido obtienen información relevante sobre los Ojos Cruzados y viajan a una ciudad que despierta algo en la memoria de Caimán. Finalmente, Dokuga derrota a Risu y lo toma prisionero.|978-6-076-36104-7|1|false
Dorohedoro #9|9|9|/panini-manga-mx/dorohedoro/dorohedoro-09.jpg|176|139.0|MXN|2022-06-08|Caimán visita la escuela de hechicería donde Risu aprendió magia, lo cual estimula sus recuerdos y provoca que las cruces en sus ojos desaparezcan. Por otro lado, los integrantes de los Ojos Cruzados intentan hacer que la muerte de la casera parezca un accidente, Chidaruma convierte a Asu en hechicero y Chota, quien estuvo leyendo el diario de Nikaido, regresa a su forma original justo cuando En va a buscarlo.|978-6-076-36148-1|1|false
Dorohedoro #10|10|10|/panini-manga-mx/dorohedoro/dorohedoro-10.jpg|178|139.0|MXN|2022-07-13|Ebisu se va de la residencia de En con intención de regresar al hogar de sus padres, pero una vez ahí, se percata de que ellos no están y de que la casa está habitada por una extraña copia de sí misma. Por otro lado, En recupera la consciencia y usa el poder del contrato mágico para localizar a Nikaido, pero cuando está a punto de llevársela, ¡Caimán aparece para impedirlo!|978-6-076-36182-5|1|false
