NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Dr. Slump #1|1|1|/panini-manga-mx/dr-slump/dr-slump-01.jpg|200|129.0|MXN|2020-11-11|Senbei Norimaki es un genio inventor que vive en la Aldea Pingüino. Cierto día, decide poner a prueba sus habilidades para crear a la chica perfecta. ¡pero el resultado es una niñita extremadamente fuerte y bastante miope: Arale Norimaki! Ahora, Arale debe conocer el mundo y aprender a vivir en él, y lo hará junto con sus nuevos amigos en divertidas aventuras. Doctor Slump se ha convertido en uno de los íconos del humor y de parodia a la cultura estadounidense y japonesa, lo que le ha valido su fama mundial, ¡y ahora podrás disfrutarla de la mano de Panini Manga México!|978-6-076-34942-7|1|false
Dr. Slump #2|2|2|/panini-manga-mx/dr-slump/dr-slump-02.jpg|188|129.0|MXN|2020-12-09|Cuando Arale ve a Gatchan volar, le parece buena idea pedirle a Senbei que también la haga volar. y como el doctor tiene muchísimo tiempo libre, decide construirle un avión. ¡pero esto estropea la cita romántica del Ogro del Rayo! Bubibinman decide llegar a la Tierra desde los confines del espacio exterior para proteger la paz. pero resulta que los terrícolas no son como le comentaron.|978-6-075-68121-4|1|false
Dr. Slump #3|3|3|/panini-manga-mx/dr-slump/dr-slump-03.jpg|192|129.0|MXN|2021-02-10|¡Un par de peligrosos alienígenas está por invadir la Tierra. Pero no contaban con la visita de Arale y Gatchan, y ahora sus nuevos amigos están varados en la Tierra. Repentinamente sucede un hecho insólito: ¡Arale se vuelve una niña educada y le causa terror a Senbei. Finalmente, llega el mayor y más poderoso superhéroe del universo a proteger nuestro planeta: Suppaman.|978-6-075-68185-6|1|false
Dr. Slump #4|4|4|/panini-manga-mx/dr-slump/dr-slump-04.jpg|192|129.0|MXN|2021-03-10|Senbei está cansado de la fuerza descomunal de Arale, así que decide hacerle unos ajustes para que sea una niña normal. ¡El temible monstruo Dodongadon pone en jaque a la policía de la Aldea Pingüino. pero el Escuadrón Ulteeny llega al rescate! Además, Senbei finalmente tendrá una cita con Midori. ¡en el espacio! ¿Por fin conquistará su corazón? Quien sí anda de rompecorazones es Arale, que también tendrá una cita más o menos romántica.|978-6-075-68259-4|1|false
Dr. Slump #5|5|5|/panini-manga-mx/dr-slump/dr-slump-05.jpg|184|129.0|MXN|2021-04-14|Arale está emocionada porque un médico llegará a hacer una revisión a todos los alumnos de la secundaria de Aldea Pingüino, pero a Senbei no le agrada mucho la idea porque. ¡nadie sabe que Arale es un robot! Aprovechando la situación, Senbei le instala una cámara a Arale para ver todos sus movimientos durante el día. y está a punto de presenciar lo más glorioso del universo: ¡a la profesora Yamabuki en la ducha! Además, Kinoko huye de casa para ser una chica rebelde y Peasuke conoce el amor.|978-6-075-68306-5|1|false
Dr. Slump #6|6|6|/panini-manga-mx/dr-slump/dr-slump-06.jpg|192|129.0|MXN|2021-05-12|¡Oh, no! ¡El temible doctor Mashirito construye un súper robot para conquistar el mundo! Pero Arale y su súper fuerza se interponen en sus malévolos planes. ¿Será que por fin alguien logre detener a Arale? Más tarde, Senbei es convocado a la Isla Metrópolis para mostrar al mundo el genio científico que es. ¡y vaya que logra impresionar a todos! Además, ¡no te pierdas la aparición especial del autor!|978-6-075-68379-9|1|false
Dr. Slump #7|7|7|/panini-manga-mx/dr-slump/dr-slump-07.jpg|192|129.0|MXN|2021-06-09|¡La hermana de Chiquidiablo está de visita y se desata el caos! Además, una tragedia cae sobre la Aldea Pingüino: ¡se acabó el papel higiénico! ¿Quién será el valiente que se lance a la aventura para comprar más? Inesperadamente, la profesora Yamabuki invita a Senbei al cine, pero él ya tenía otros planes. ¿La solución? Claro: ¡hay que crear otro Senbei! ¡No te pierdas este divertido tomo!|978-6-075-68457-4|1|false
Dr. Slump #8|8|8|/panini-manga-mx/dr-slump/dr-slump-08.jpg|0|129.0|MXN|2021-07-14|¡La temible Banda Hoyoyo está al acecho del preciado camote asado de Senbei! Pero el oficial Taro está para defenderlo. aunque primero hay que terminar la tarea. Con motivo del futuro aniversario 80 de la publicación de Dr. Slump, el autor decide organizar un Grand Prix con un jugoso premio, ¿quién se lo llevará? Y una vez más el doctor Mashirito está decidido a conquistar la Tierra y para ello reúne un súper equipo malévolo, ¡pero el gran Suppaman está aquí para defendernos!|978-6-075-68498-7|1|false
Dr. Slump #9|9|9|/panini-manga-mx/dr-slump/dr-slump-09.jpg|184|129.0|MXN|2021-08-11|¡¿Acaso Midori se golpeó la cabeza?! Por alguna extraña razón, ¡decide aceptar la propuesta de matrimonio de Senbei! Luego del festejo, viene una alocada luna de miel, ¡y Midori es secuestrada! Además, ¡Arale y sus amigos por fin entran a la preparatoria y conocerán a su nuevo profesor!|978-6-075-68556-4|1|false
Dr. Slump #10|10|10|/panini-manga-mx/dr-slump/dr-slump-10.jpg|0|129.0|MXN|2021-09-22|¡Llegan unos extraños visitantes a la Aldea Pingüino: la familia Tsun, de China! Los hermanos Tsukutsun y Tsururin poseen extrañas habilidades que saldrán a flote durante el emocionante festival deportivo de la preparatoria. ¿pero le podrán ganar a la superpoderosa Arale? Además, Taro ve la oportunidad de tener una cita con la bella Tsururin, ¡y por supuesto que todo se sale de control!|978-6-075-68623-3|1|false
