NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Dr. Stone #1|1|1|/panini-manga-mx/dr-stone/dr-stone-01.jpg|200|109.0|MXN|2019-06-12|El día que Taiju Oki, un alumno de bachillerato grande y fuerte pero algo torpe, decide declararle su amor a Yuzuriha, sucede un fenómeno inesperado: toda la humanidad se convierte en piedra en un abrir y cerrar de ojos. Miles de años más tarde, Taiju vuelve a la normalidad y se entera de que su amigo Senkû, un científico de mente ilustre, también ha sobrevivido. Juntos encuentran una fórmula para volver a la vida a las estatuas que siguen intactas y se ponen como objetivo construir una civilización desde cero.|978-6-076-34048-6|1|false
Dr. Stone #2|2|2|/panini-manga-mx/dr-stone/dr-stone-02.jpg|200|109.0|MXN|2019-08-14|La humanidad se convierte en piedra en un abrir y cerrar de ojos. Taiju Oki, un alumno de bachillerato grande y fuerte, y su amigo Senku, un científico de mente ilustre, reviven y se marcan como objetivo construir una civilización desde cero. Tras revivir a Yuzuriha, nuestros protagonistas se ponen manos a la obra para detener la masacre de Tsukasa y deciden dirigirse a Hakone con el objetivo de producir pólvora para combatir. Una vez allí, avistan señales de humo a lo lejos y Senku decide correr el riesgo de responder.|978-6-076-34164-3|1|false
Dr. Stone #3|3|3|/panini-manga-mx/dr-stone/dr-stone-03.jpg|200|109.0|MXN|2019-10-09|"Senku llega a la aldea de Kohaku, donde intenta reclutar más aliados. Tras su encuentro con Kinro y Ginro y dejarlos impresionados con sus ""hechizos"" se bate en un duelo de ciencia con Chrome, del que sale victorioso. Entonces, ambos deciden colaborar para crear una remedio que cure la enfermedad de la hermana de Kohaku, la sacerdotisa de la aldea. ¡El gran desafío de levantar el reino de la ciencia dio comienzo!"|978-6-076-34309-8|1|false
Dr. Stone #4|4|4|/panini-manga-mx/dr-stone/dr-stone-04.jpg|204|109.0|MXN|2019-12-11|Después de crear electricidad con éxito, Senku y sus nuevos compañeros empiezan a seguir su hoja de ruta, trazada con el objetivo de elaborar un remedio universal a base de sulfamida. Para ello, se dirigen a una zona muy peligrosa en busca del ingrediente más difícil de obtener, el ácido sulfúrico, pero no van a poder extraerlo sin antes haber diseñado unas máscaras de gas. Poco después, en la aldea está a punto de celebrarse un torneo de artes marciales en el que el cargo de jefe y la mano de la sacerdotisa están en juego.|978-6-076-34440-8|1|false
Dr. Stone #5|5|5|/panini-manga-mx/dr-stone/dr-stone-05.jpg|204|119.0|MXN|2020-02-12|El equipo del reino de la ciencia de Senku logra derrotar a Magma y obtener la victoria del torneo de lucha en presencia del jefe. Senku termina de elaborar el remedio universal para curar la neumonía de la sacerdotisa, quien, poco después de haber empezado con el tratamiento, revela cómo conoció a Senku.|978-6-076-34598-6|1|false
Dr. Stone #6|6|6|/panini-manga-mx/dr-stone/dr-stone-06.jpg|204|119.0|MXN|2020-06-10|"Byakuya, el padre de Senku, volvió a la Tierra después que toda la humanidad se convirtiera en piedra. ¿Cuál es el legado que le dejó a Senku miles de años atrás? La aldea Ishigami es atacada por el imperio de Tsukasa. Para defenderse, Senku desarrolla las espadas más poderosas: las ""hojas de la ciencia"". Después de la victoria, deciden llevar a cabo un ataque preventivo antes que Tsukasa regrese con un ejército más grande. Para ello, primero elaboran un plan para crear el arma más poderosa de la humanidad, que es, nada más y nada menos que... ¡los teléfonos celulares!"|978-6-076-34723-2|1|false
Dr. Stone #7|7|7|/panini-manga-mx/dr-stone/dr-stone-07.jpg|204|119.0|MXN|2020-07-08|Senku, Chrome y Magma realizan una expedición en busca de minerales raros para la fabricación de los teléfonos celulares. Después de mucho esfuerzo y gracias a la colaboración de todos los habitantes de la aldea, ¡consiguen fabricar dos unidades! Ahora solo falta hacerles llegar uno de los teléfonos a Taiju y Yuzuriha, quienes se encuentran infiltrados en el imperio de Tsukasa.|978-6-076-34846-8|1|false
Dr. Stone #8|8|8|/panini-manga-mx/dr-stone/dr-stone-08.jpg|204|119.0|MXN|2020-08-12|Después de librarse de la vigilancia de Homura, Chrome, Gen y Magma se infiltran sin problemas en la base del enemigo. Ahí terminan con éxito su misión de esconder el celular, pero tienen que enfrentarse a Ukyô y solo Gen y Magma pueden escapar.|978-6-076-34948-9|1|false
Dr. Stone #9|9|9|/panini-manga-mx/dr-stone/dr-stone-09.jpg|192|119.0|MXN|2020-10-14|Chrome logra escapar por su cuenta y se reúne con sus compañeros. Senku se reencuentra con Taiju y Yuzuriha después de un año sin verse, pero no tiene tiempo que perder y lanza un ataque sorpresa con el objetivo de recuperar la cueva milagrosa. ¡La batalla final entre el reino de la ciencia y el imperio de Tsukasa comenzó!|978-6-075-68021-7|1|false
Dr. Stone #10|10|10|/panini-manga-mx/dr-stone/dr-stone-10.jpg|192|119.0|MXN|2020-12-09|Después de ideárselas para criopreservar el cuerpo de Tsukasa, quien recibe una herida mortal en el combate contra Hyoga, Senku diseña un barco e inicia sus planes de viajar al otro lado del mundo. Logra encontrar un capitán, pero le falta el combustible, así que... ¡el reino de la ciencia se dispone a surcar los cielos para encontrar un yacimiento de petróleo!|978-6-075-68119-1|1|false
