NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Dragon Ball - Ultimate Edition #1|1|1|/panini-manga-mx/dragon-ball-kanzenban/dragon-ball-kanzenban-01.jpg|224|89.9|MXN|2019-10-23|Goku, es un niño muy especial que ha tenido que valerse por sí mismo en medio de la naturaleza y sin contacto con otras personas. Un día conoció a Bulma, una chica que busca las siete Esferas del Dragón, estos son elementos mágicos que al ser reunidos invocan a un dios dragón llamado Shenlong, el cual concederá un único deseo, cualquiera que este sea. Goku se une a Bulma en la búsqueda de las esferas sin imaginar que hay otros seres muy peligrosos que también las desean.|978-6-076-34376-0|1|false
Dragon Ball - Ultimate Edition #2|2|2|/panini-manga-mx/dragon-ball-kanzenban/dragon-ball-kanzenban-02.jpg|232|199.9|MXN|2019-11-06|Después de ayudar a Milk y a Ox Satán en el monte Frypan, Goku y Bulma se disponen a conseguir la última esfera no sin antes meterse en problemas con el Jefe Conejo y el terrible Pilaf que desea las esferas para dominar al Mundo. Veremos la primera aparición de Shenlong y aprenderemos porqué Goku y la Luna llena no son una buena combinación. Al final del tomo, Goku regresa con el Maestro Roshi para iniciar su entrenamiento.|978-6-076-34377-7|1|false
Dragon Ball - Ultimate Edition #3|3|3|/panini-manga-mx/dragon-ball-kanzenban/dragon-ball-kanzenban-03.jpg|236|249.9|MXN|2019-11-20|"Una vez cumplido el deseo, Shenlong no aparecerá por más de un año y las esferas se han dispersado por el mundo. Goku se prepara para una nueva búsqueda de las esferas y se dirige con el llamado ""Dios de las artes marciales"", el maestro Roshi, para convertirse en uno de sus discípulos. Después del entrenamiento, Goku y su condiscípulo, Krillin, ¡participarán en el torneo mundial de las artes marciales! ¿Estarán preparados para este reto?"|978-6-076-34364-7|1|false
Dragon Ball - Ultimate Edition #4|4|4|/panini-manga-mx/dragon-ball-kanzenban/dragon-ball-kanzenban-04.jpg|236|249.9|MXN|2019-12-04|Una chica con 16 años, ha iniciado un largo viaje para encontrar las esferas del dragón, de las que habla una leyenda. Cada una de estas esferas, según su orden, tiene un número concreto de estrellas. Si se encuentran las siete esferas del dragón y se reúnen, se podría convocar a un dragón sagrado, que concedería un deseo. Al iniciar la aventura se encuentra con un chico de 12 años bastante extraño, con cola de mono y una extraordinaria fuerza: Son Goku. Goku posee la esfera de cuatro estrellas, que parece que fue un regalo de su abuelo ya muerto y, de momento, lo utiliza para hablar con él. Goku, por tanto, aún no conoce la leyenda. Bulma se la cuenta y decide adoptarlo. Goku le servirá de gran ayuda en sus aventuras.|978-6-076-34427-9|1|false
Dragon Ball - Ultimate Edition #5|5|5|/panini-manga-mx/dragon-ball-kanzenban/dragon-ball-kanzenban-05.jpg|236|249.9|MXN|2019-12-18|Una chica con 16 años, ha iniciado un largo viaje para encontrar las esferas del dragón, de las que habla una leyenda. Cada una de estas esferas, según su orden, tiene un número concreto de estrellas. Si se encuentran las siete esferas del dragón y se reúnen, se podría convocar a un dragón sagrado, que concedería un deseo. Al iniciar la aventura se encuentra con un chico de 12 años bastante extraño, con cola de mono y una extraordinaria fuerza: Son Goku. Goku posee la esfera de cuatro estrellas, que parece que fue un regalo de su abuelo ya muerto y, de momento, lo utiliza para hablar con él. Goku, por tanto, aún no conoce la leyenda. Bulma se la cuenta y decide adoptarlo. Goku le servirá de gran ayuda en sus aventuras.|978-6-076-34428-6|1|false
Dragon Ball - Ultimate Edition #6|6|6|/panini-manga-mx/dragon-ball-kanzenban/dragon-ball-kanzenban-06.jpg|236|249.9|MXN|2020-01-15|Goku sube la torre músculo del ejército de la Red Ribbon con el fin de rescatar al alcalde que se encuentra cautivo en el último piso, pero primero ¡debe derrotar al temible ninja Murasaki, quien se encuentra en el piso cuatro! Pero este no es el único enemigo que debe vencer, pues el general White ha preparado un sinfín de obstáculos para liquidar de una vez por todas a Goku y encontrar más fácilmente las codiciadas esferas del dragón. ¿Cumplirá su malvado cometido?|978-6-076-34433-0|1|false
Dragon Ball - Ultimate Edition #7|7|7|/panini-manga-mx/dragon-ball-kanzenban/dragon-ball-kanzenban-07.jpg|200|249.9|MXN|2020-01-29|¡La Red Ribbon está tras los pasos de Goku y compañía! Uno de los generales de esta malvada asociación amenaza al maestro Roshi para que construya un radar de las esferas del dragón, pero no contaban con la presencia de Lunch, quien con un solo estornudo se convierte en una mujer temible. Además, mientras Goku y Bulma navegan por el océano encuentran un tesoro secreto, ¡y ahora deben conseguir el botín antes de que la cueva colapse y evitar que la Red Ribbon los atrape!|978-6-076-34441-5|1|false
Dragon Ball - Ultimate Edition #8|8|8|/panini-manga-mx/dragon-ball-kanzenban/dragon-ball-kanzenban-08.jpg|200|249.9|MXN|2020-02-12|El comandante Red envía al atroz mercenario Tao Pai Pai a la Tierra Sagrada de Karin, donde Goku logró encontrar la esfera del dragón de cuatro estrellas que le dejó su abuelo. Sin embargo, cuando este terrible bandido llega, asesina a Bora, el padre de Upa, y noquea a Goku. Ahora este chico tiene como misión subir a la Torre Karin para incrementar su fuerza con el agua sagrada y reunir las esferas para revivir a Bora. ¿Lo logrará? ¡Continúan la búsqueda en el tomo 8 de Dragon Ball!|978-6-076-34556-6|1|false
Dragon Ball - Ultimate Edition #9|9|9|/panini-manga-mx/dragon-ball-kanzenban/dragon-ball-kanzenban-09.jpg|200|249.9|MXN|2020-02-26|Después de escalar la Torre Karin Goku se volvió más poderoso gracias al entrenamiento del maestro Karin. Con esta increíble fuerza fue capaz de derrotar al terrible mercenario Tao Pai Pai y recuperar las esferas que guardaba este bandido. Goku ahora se dirige hacia su siguiente objetivo: ¡Acabar con la Red Ribbon y reunir las esferas que faltan para revivir a Bora! ¿Lo logrará?¡No te pierdas el divertido tomo 9 de Dragon Ball que Panini Manga trae para ti!|978-6-076-34557-3|1|false
Dragon Ball - Ultimate Edition #10|10|10|/panini-manga-mx/dragon-ball-kanzenban/dragon-ball-kanzenban-10.jpg|200|249.9|MXN|2020-03-11|Goku está por reunir las siete esferas del Dragón para hacer aparecer a Shenlong y poder revivir a Bora. La esfera que necesita. ¡la tiene Pilaf! Este villano piensa aprovecharse de la debilidad de Goku, ¡su cola! ¿Logrará derrotarlo? ¡Sigue la búsqueda en el tomo 10 de Dragon Ball!|978-6-076-34651-8|1|false
