NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Dragon Ball Super #1|1|1|/panini-manga-mx/dragon-ball-super/dragon-ball-super-01.jpg|0|109.0|MXN|2018-11-21|Tras la derrota de Majin Buu la Tierra vive un periodo de paz y prosperidad. Goku se dedica a la vida en el campo, pero sigue entrenando en espera de un nuevo villano. Mientras tanto, Bills, el Dios de la Destrucción, aniquila planetas a su paso. Bills desea hallar guerreros saiyajin capaces de ofrecer una pelea digna. Cuando recuerda que la mayoría de estos guerreros perecieron al momento en que destruyó el planeta Vegeta, se dirige hacia la Tierra. ¡Akira Toriyama y Toyotaro presentan la obra posterior a Dragon Ball Z! ¡No te pierdas este magnífico estreno!|978-6-075-48578-2|1|false
Dragon Ball Super #2|2|2|/panini-manga-mx/dragon-ball-super/dragon-ball-super-02.jpg|0|109.0|MXN|2019-01-23|Los guerreros de los Universos Seis y Siete participan en el torneo organizado por los Dioses de la Destrucción. En este duelo propuesto por Champa se está jugando el destino de las Súper Esferas del Dragón, esferas gigantescas que conceden cualquier deseo. Nuevas reglas y contrincantes nunca antes vistos esperan a los saiyajin. Goku está por enfrentar a Frost, un participante que guarda una impresionante similitud con Freezer, pero que, a diferencia de éste, es muy amable y no posee un ki maligno. ¿Qué sorpresas les depara este contrincante? ¡Descúbrelo en Dragon Ball Super 2!|978-6-075-48667-3|1|false
Dragon Ball Super #3|3|3|/panini-manga-mx/dragon-ball-super/dragon-ball-super-03.jpg|216|109.0|MXN|2019-03-20|El Torneo entre los Universos Seis y Siete concluyó con la victoria de Goku y sus amigos y el regreso de la civilización en la Tierra del Universo Seis. Sin embargo, en el futuro de un mundo paralelo la gente sobrevive con dificultad y enfrenta una enorme amenaza: se trata de Goku Black, un asesino que luce exactamente como Goku. La única esperanza es que Trunks viaje en el tiempo y pida ayuda a los saiyajin del pasado. ¡El tiempo se acaba! ¡No te pierdas Dragon Ball Super 3!|978-6-075-48801-1|1|false
Dragon Ball Super #4|4|4|/panini-manga-mx/dragon-ball-super/dragon-ball-super-04.jpg|200|109.0|MXN|2019-05-08|El presente y el futuro del Universo Siete unen esfuerzos para acabar con la amenaza de Goku Black. Mientras Goku acude una vez más con el Maestro Roshi para aprender la técnica del Mafuba, Trunks resiste con todas sus fuerzas y Gowas hace un último intento por enderezar el camino de su antiguo aprendiz. Además, Vegeta está listo para el enfrentamiento con una nueva y sorprendente transformación. ¿La unión de estos guerreros será capaz de contener el peligro?|978-6-075-48950-6|1|false
Dragon Ball Super #5|5|5|/panini-manga-mx/dragon-ball-super/dragon-ball-super-05.jpg|200|109.0|MXN|2019-07-17|Un error en el sello del Mafuba impidió terminar con la amenaza de Goku Black. Cuando el panorama no podía ser más desolador, Goku Black y Zamas del presente se fusionaron con los potara creando un villano mucho más poderoso. La única opción que parecían tener los guerreros era recurrir ellos mismos a la fusión y traer de vuelta a Vegetto. Ahora, cuando Zamas reveló que posee una máquina del tiempo para implementar su plan de cero humanos desde el pasado y en todos los universos, Goku tiene una idea que finalmente podría cambiar el curso de la batalla.|978-6-076-34108-7|1|false
Dragon Ball Super #6|6|6|/panini-manga-mx/dragon-ball-super/dragon-ball-super-06.jpg|200|109.0|MXN|2019-09-18|Cuando toda esperanza parecía perdida, Goku recurrió a su último recurso: pedir la ayuda de Zen'o-sama. Tras terminar con la amenaza de Goku Black y Zamas, Trunks finalmente pudo despedirse y la Tierra recuperó la paz. En este clima de tranquilidad, Goku decidió pedir una vez más a Zen'o-sama que realice el torneo de pelea entre universos, sin saber que el destino del planeta se jugará en dicho concurso.|978-6-076-34204-6|1|false
Dragon Ball Super #7|7|7|/panini-manga-mx/dragon-ball-super/dragon-ball-super-07.jpg|192|109.0|MXN|2019-11-20|Cuando Goku se entera de que el destino del universo depende del Torneo del Poder, decide reunir a los mejores combatientes. El equipo liderado por Goku está conformado por Vegeta, Freezer, Gohan, Piccolo, Krillin, Ten Shin Han, el Maestro Roshi y los androides # 17 y #18. Las reglas son sencillas: no se puede salir del ring, asesinar ni usar armas. Sin embargo, en el torneo se encuentran poderosos oponentes, como Jiren, que ponen en duda las habilidades de los guerreros. ¡El destino del universo depende de un combate contra tiempo!|978-6-076-34388-3|1|false
Dragon Ball Super #8|8|8|/panini-manga-mx/dragon-ball-super/dragon-ball-super-08.jpg|192|119.0|MXN|2020-01-22|El Torneo del Poder continúa. Los Universos Seis y Siete tienen la misma cantidad de participantes y el Universo Once, donde se encuentra Jiren, no ha perdido ni uno de sus combatientes. Cuando Caulifla se encontraba en peligro en el combate contra Freezer, despertó una increíble fuerza de pelea en Kale. Sin embargo, este poder incluso podría significar su autodestrucción y poner en riesgo al resto de los participantes.|978-6-076-34525-2|1|false
Dragon Ball Super #9|9|9|/panini-manga-mx/dragon-ball-super/dragon-ball-super-09.jpg|192|119.0|MXN|2020-03-25|Los finalistas del Torneo del Poder son Jiren, del Universo Once, y el grupo de Goku, del Universo Siete. ¿Goku podrá confrontar el aplastante poder de Jiren con el Ultra Instinto? Por otro lado, ¡¿Majin Buu corre peligro en la Tierra?!|978-6-076-34646-4|1|false
Dragon Ball Super #10|10|10|/panini-manga-mx/dragon-ball-super/dragon-ball-super-10.jpg|192|119.0|MXN|2020-07-15|La Patrulla Galáctica, en alianza con Goku y Vegeta, busca capturar a Moro e impedir que consiga las esferas del dragón. Cuando los saiyajin caen fuera de combate, el planeta Nameku queda vulnerable ante la devastación. ¡No te pierdas este emocionante número que incluye una historia corta adicional!|978-6-076-34786-7|1|false
Dragon Ball Super #11|11|11|/panini-manga-mx/dragon-ball-super/dragon-ball-super-11.jpg|192|119.0|MXN|2020-09-23|El supremo Kaioh-sama, quien habitaba dentro de Buu, se unió a la pelea contra el gran villano Moro. Después de esta batalla en el espacio, todos volvieron al nuevo planeta Nameku. Sin embargo, gracias a su tercer deseo, Moro ganó ventaja sobre Goku y compañía, así que decidieron retirarse. ¡¿Podrán encontrar una manera para enfrentar a Moro?!|978-6-076-34976-2|1|false
Dragon Ball Super #12|12|12|/panini-manga-mx/dragon-ball-super/dragon-ball-super-12.jpg|192|119.0|MXN|2020-11-18|Goku y la Patrulla Galáctica emprendieron la retirada para preparar un contraataque. Mientras tanto, Moro utiliza su ventaja para dirigirse a un planeta rebosante de energía para absorber: la Tierra. Él y los prófugos de la prisión galáctica ya conforman un equipo bastante fuerte pero su arma secreta es Seven Three, un ser artificial capaz de replicar los poderes de sus contrincantes con tan solo sujetarlos por el cuello. Además, un secreto sobre la identidad de Merus está a punto de revelarse.|978-6-075-68098-9|1|false
Dragon Ball Super #13|13|13|/panini-manga-mx/dragon-ball-super/dragon-ball-super-13.jpg|192|129.0|MXN|2021-02-17|Los guerreros en la Tierra se encontraban resistiendo el brutal ataque de Moro y los reclusos de la Prisión Galáctica cuando Goku finalmente llegó al planeta. Sin embargo, Moro está dispuesto a eliminar a sus propios soldados con tal de demostrar su poder e intimidar al saiyajin. Entonces Goku revela una nueva técnica llamada el ultrainstinto, pero debe aprender a dominarla en pleno combate. ¿Lo logrará?|978-6-075-68183-2|1|false
Dragon Ball Super #14|14|14|/panini-manga-mx/dragon-ball-super/dragon-ball-super-14.jpg|192|129.0|MXN|2021-05-12|"Vegeta regresa a la Tierra por su revancha tras obtener un nuevo poder. Mediante la técnica ""Partición forzada del espíritu"" intentará separar el poder de Moro. pero el Devorador de Energía también tiene un as bajo la manga, algo más aparte del respaldo de Seven Three."|978-6-075-68375-1|1|false
Dragon Ball Super #15|15|15|/panini-manga-mx/dragon-ball-super/dragon-ball-super-15.jpg|192|129.0|MXN|2021-08-18|Tras dominar el Ultrainstinto, Goku acorrala a Moro. Sin embargo, este aprovecha la mano que le fue cortada para obtener el Ultrainstinto usando la habilidad de Merus que estaba guardada en la extremidad. ¡¿Qué hará Goku frente a otro poder divino?! Además, un nuevo enemigo acecha los confines del universo.|978-6-075-68555-7|1|false
Dragon Ball Super #16|16|16|/panini-manga-mx/dragon-ball-super/dragon-ball-super-16.jpg|192|129.0|MXN|2021-11-24|Granola es un ceresiano, sobreviviente de una raza exterminada por el ejército de Freezer y los saiyajin. Busca las esferas del dragón del planeta Cereal para convertirse en el guerrero más fuerte y vengarse. Mientras tanto, ¡los Heeter le piden a Goku y a Vegeta que eliminen a Granola!|978-6-075-68754-4|1|false
Dragon Ball Super #17|17|17|/panini-manga-mx/dragon-ball-super/dragon-ball-super-17.jpg|192|139.0|MXN|2022-03-16|¡Goku y Vegeta pelean ferozmente contra Granola, quien hierve de furia y desea cobrar venganza contra aquellos que eliminaron a su raza! Entonces, Vegeta despierta el poder de un dios de la destrucción. pero parece que no es suficiente para enfrentar al guerrero más fuerte del universo. ¿Granola llegará a entender que los sayajin no son sus enemigos?|978-6-076-36016-3|1|false
Dragon Ball Super #18|18|18|/panini-manga-mx/dragon-ball-super/dragon-ball-super-18.jpg|192|139.0|MXN|2022-09-21|La pelea entre Granola, Goku y Vegeta se acerca a su clímax. Y aunque Granola intente un ataque arriesgando su vida, ¿podrá vencer a Vegeta? Además, ¡¿qué historia del pasado Monite tiene que contar?!|000-0-00-000000-0|1|false
