NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Dragon Ball #1|1|1|/panini-manga-mx/dragon-ball/dragon-ball-01.jpg|192|99.0|MXN|2015-04-29|Goku, es un niño muy especial que ha tenido que valerse por sí mismo en medio de la naturaleza y sin contacto con otras personas. Un día conoció a Bulma, una chica que busca las siete Esferas del Dragón, estos son elementos mágicos que al ser reunidos invocan a un dios dragón llamado Shenlong, el cual concederá un único deseo, cualquiera que este sea. Goku se une a Bulma en la búsqueda de las esferas sin imaginar que hay otros seres muy peligrosos que también las desean.|978889120559901|1|false
Dragon Ball #2|2|2|/panini-manga-mx/dragon-ball/dragon-ball-02.jpg|192|99.0|MXN|2015-06-10|Después de ayudar a Milk y a Ox Satán en el monte Frypan, Goku y Bulma se disponen a conseguir la última esfera no sin antes meterse en problemas con el Jefe Conejo y el terrible Pilaf que desea las esferas para dominar al Mundo. Veremos la primera aparición de Shenlong y aprenderemos porqué Goku y la Luna llena no son una buena combinación. Al final del tomo, Goku regresa con el Maestro Roshi para iniciar su entrenamiento.|978889120559902|1|false
Dragon Ball #3|3|3|/panini-manga-mx/dragon-ball/dragon-ball-03.jpg|192|99.0|MXN|2015-07-08|"Una vez cumplido el deseo, Shenlong no aparecerá por más de un año y las esferas se han dispersado por el mundo. Goku se prepara para una nueva búsqueda de las esferas y se dirige con el llamado ""Dios de las artes marciales"", el maestro Roshi, para convertirse en uno de sus discípulos. Después del entrenamiento, Goku y su condiscípulo, Krillin, ¡participarán en el torneo mundial de las artes marciales! ¿Estarán preparados para este reto?"|978889120559903|1|false
Dragon Ball #4|4|4|/panini-manga-mx/dragon-ball/dragon-ball-04.jpg|192|99.0|MXN|2015-08-05|Continúa la final en el Torneo Mundial de Artes Marciales. Krillin y Yamcha son derrotados por Jackie Chun, (un participante desconocido, que no es ni más ni menos que el Maestro Roshi). Goku derrota al monstruo Giran, Nam perdió y no puede más llegar a la final. Ahora Goku y su maestro se enfrentan. ¿Goku descubrirá la verdadera identidad de Jackie Chun?|978889120559904|1|false
Dragon Ball #5|5|5|/panini-manga-mx/dragon-ball/dragon-ball-05.jpg|192|99.0|MXN|2015-09-16|¡Continúa el torneo mundial de las artes marciales! Parece que Goku tiene ventaja sobre Jackie Chun, pero este anciano pronto le dará la vuelta al combate utilizando un sinfín de poderosas técnicas. ¿Quién se coronará como el mejor del mundo? Además, en su búsqueda por la esfera del dragón de su abuelo, Goku se encuentra con la malvada organización de la Red Ribbon, ¿qué sucederá en este encuentro?|978889120559905|1|false
Dragon Ball #6|6|6|/panini-manga-mx/dragon-ball/dragon-ball-06.jpg|192|99.0|MXN|2015-10-14|Goku sube la torre músculo del ejército de la Red Ribbon con el fin de rescatar al alcalde que se encuentra cautivo en el último piso, pero primero ¡debe derrotar al temible ninja Murasaki, quien se encuentra en el piso cuatro! Pero este no es el único enemigo que debe vencer, pues el general White ha preparado un sinfín de obstáculos para liquidar de una vez por todas a Goku y encontrar más fácilmente las codiciadas esferas del dragón. ¿Cumplirá su malvado cometido?|978889120559906|1|false
Dragon Ball #7|7|7|/panini-manga-mx/dragon-ball/dragon-ball-07.jpg|192|99.0|MXN|2015-11-04|¡La Red Ribbon está tras los pasos de Goku y compañía! Uno de los generales de esta malvada asociación amenaza al maestro Roshi para que construya un radar de las esferas del dragón, pero no contaban con la presencia de Lunch, quien con un solo estornudo se convierte en una mujer temible. Además, mientras Goku y Bulma navegan por el océano encuentran un tesoro secreto, ¡y ahora deben conseguir el botín antes de que la cueva colapse y evitar que la Red Ribbon los atrape!|978889120559907|1|false
Dragon Ball #8|8|8|/panini-manga-mx/dragon-ball/dragon-ball-08.jpg|192|99.0|MXN|2015-12-02|El comandante Red envía al atroz mercenario Tao Pai Pai a la Tierra Sagrada de Karin, donde Goku logró encontrar la esfera del dragón de cuatro estrellas que le dejó su abuelo. Sin embargo, cuando este terrible bandido llega, asesina a Bora, el padre de Upa, y noquea a Goku. Ahora este chico tiene como misión subir a la Torre Karin para incrementar su fuerza con el agua sagrada y reunir las esferas para revivir a Bora. ¿Lo logrará?|978889120559908|1|false
Dragon Ball #9|9|9|/panini-manga-mx/dragon-ball/dragon-ball-09.jpg|192|99.0|MXN|2016-01-06|Después de escalar la Torre Karin Goku se volvió más poderoso gracias al entrenamiento del maestro Karin. Con esta increíble fuerza fue capaz de derrotar al terrible mercenario Tao Pai Pai y recuperar las esferas que guardaba este bandido. Goku ahora se dirige hacia su siguiente objetivo: ¡Acabar con la Red Ribbon y reunir las esferas que faltan para revivir a Bora! ¿Lo logrará?|978140125835109|1|false
Dragon Ball #10|10|10|/panini-manga-mx/dragon-ball/dragon-ball-10.jpg|192|99.0|MXN|2016-02-03|Goku está por reunir las siete esferas del Dragón para hacer aparecer a Shenlong y poder revivir a Bora. La esfera que necesita… ¡la tiene Pilaf! Este villano piensa aprovecharse de la debilidad de Goku, ¡su cola! ¿Logrará derrotarlo?|978140125835110|1|false
