NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Edens Zero #1|1|1|/panini-manga-mx/edens-zero/edens-zero-01.jpg|192|109.0|MXN|2020-02-12|La vida de Shiki como el único humano que habita el planeta Granbell, un enorme parque de diversiones controlado por robots, se ve alterada con la llegada de Rebecca y su gato Happy. Tras huir juntos debido a una rebelión de robots, emprenden un viaje interestelar plagado de aventuras para buscar a Mother, una entidad femenina colosal que conoce toda la verdad sobre el poderoso Shiki. ¡Adéntrate en el tomo 1 de Edens Zero, la trepidante obra de Hiro Mishima, creador de Fairy Tail, que te enganchará desde sus primeras páginas!|978-6-076-34569-6|1|false
Edens Zero #2|2|2|/panini-manga-mx/edens-zero/edens-zero-02.jpg|208|109.0|MXN|2020-06-10|En búsqueda del profesor Weisz, quien les podría conseguir una potente nave espacial, Shiki, Rebecca y Happy llegan al planeta Norma, cuyo sentido del tiempo ha cambiado significativamente, pues los que deberían ser ancianos respetables, ¡se han transformado en unos jovencitos insolentes! Cuando encuentran la explicación, se dan cuenta de que esas alteraciones temporales podrían afectar su integridad y la misión de encontrar a la todopoderosa Mother. ¡Aventúrate en la trepidante historia de Edens Zero 2!|978-6-076-34726-3|1|false
Edens Zero #3|3|3|/panini-manga-mx/edens-zero/edens-zero-03.jpg|192|109.0|MXN|2020-08-12|A su llegada al planeta Blue Garden, Rebecca es secuestrada por una banda de mercenarios que sirven a un coleccionista de B-Cubers. De inmediato, Shiki y sus amigos emprenden un viaje hasta el planeta Guilst para recuperarla, pero se topan con un sitio horripilante, decadente y lleno de maleantes. Aunque cuentan con la ayuda especial de una diestra guerrera samurái y con el ingenio de Weisz, se enfrentan a una poderosa Estrella Brillante del Rey Oscuro y a su ejército de androides. ¿Lograrán salir ilesos de esa aventura? ¡Averígualo en las páginas del tomo 3 de Edens Zero!|978-6-076-34850-5|1|false
Edens Zero #4|4|4|/panini-manga-mx/edens-zero/edens-zero-04.jpg|192|109.0|MXN|2020-10-14|¡El Engullidor va hacia Guilst, pero Shiki y sus amigos siguen enfrascados en la pelea contra los mercenarios y en el rescate de Rebecca! Además, una de las cuatro Estrellas Brillantes surge del sitio más inesperado. Y otra es hallada en un estado de inconsciencia tal, que el único remedio es adentrarse en el último lugar en el que estuvo: un planeta virtual con letales amenazas y personajes sumamente peligrosos. ¡Aborda la nave de la aventura en las páginas de Edens Zero 4!|978-6-075-68027-9|1|false
Edens Zero #5|5|5|/panini-manga-mx/edens-zero/edens-zero-05.jpg|192|109.0|MXN|2020-12-02|La situación en el planeta Digitalis se vuelve caótica con el ataque de Jamilov, cuya guadaña lo hace tremendamente poderoso. Por si fuera poco, ese terrible villano puede controlar los monstruos virtuales y armarlos como un ejército contra todos los jugadores. Así que Shiki y sus amigos la tendrán difícil para vencerlo, sobre todo porque no logran convencer a Hermit, una de las cuatro estrellas brillantes, que vuelva a confiar en los humanos y que les preste su valiosa ayuda. ¡Adéntrate en el espacio profundo a través de las páginas de Edens Zero 5!|978-6-075-68123-8|1|false
Edens Zero #6|6|6|/panini-manga-mx/edens-zero/edens-zero-06.jpg|192|109.0|MXN|2021-03-03|Para lograr el objetivo de viajar hasta Mother, Shiki y sus amigos tienen que hallar a Valkiria, la última estrella brillante. Y la única que sabe dónde puede estar es la Adivina Legendaria, que conoce todo sobre el Cosmos Sakura. Sin embargo, el precio que ella pondrá por la información es un peligroso combate contra imponentes contrincantes. ¡Emprende el viaje interestelar con las páginas de Edens Zero 6!|978-6-075-68225-9|1|false
Edens Zero #7|7|7|/panini-manga-mx/edens-zero/edens-zero-07.jpg|192|119.0|MXN|2021-04-07|En el planeta Sun Jewel, Shiki y Homura son esclavizados por los esbirros de Madam Kurenai, la cruel gobernante que somete a sus siervos a una vida de trabajos forzados en las minas. En medio de ese injusto castigo, Homura descubre la terrible verdad sobre su maestra Valkiria y la razón de su orfandad. Traición, sacrificio y valentía son los ingredientes del tomo 7 de Edens Zero.|978-6-075-68296-9|1|false
Edens Zero #8|8|8|/panini-manga-mx/edens-zero/edens-zero-08.jpg|192|119.0|MXN|2021-06-02|Madam Kurenai ataca a Shiki con un armamento letal mientras Rebecca y Weiz tratan de defender el Distrito Obrero de los ejecutores celestiales, cuyas órdenes son arrasar con todos los esclavos. Los poderes de Shiki poco pueden hacer contra la imponente arma, así que improvisa para evitar la muerte y salvar a sus amigos. ¿Conseguirá vencer a los adversarios más poderosos contra los que se ha enfrentado desde que salió del planeta Granbell? ¡Navega por el espacio profundo en las páginas de Edens Zero 8!|978-6-075-68442-0|1|false
Edens Zero #9|9|9|/panini-manga-mx/edens-zero/edens-zero-09.jpg|192|119.0|MXN|2021-08-04|Cuatro guerreros que dominan los elementos, un alquimista imponente y perverso, magia invencible y todo un pueblo en busca de recompensas: sorpresas que Shiki y sus amigo encontrarán al interior del gigantesco acorazado Belial Gore, cuando decidan abordarlo clandestinamente para detener su persecución. ¿Estarán preparados para enfrentar tantos peligros? ¡Sumérgete en la aventura de Edens Zero 9!|978-6-075-68558-8|1|false
Edens Zero #10|10|10|/panini-manga-mx/edens-zero/edens-zero-10.jpg|192|119.0|MXN|2021-09-08|Drakken Joe captura a Rebecca y le revela que desea apropiarse de su poderoso eter gear. Shiki y Homura son vencidos por los guerreros elementales, mientras que Weisz desfallece tras el disparo que recibió. Los cuatro tripulantes del Edens Zero conocerán una crueldad que nunca habían experimentado, sin que exista ninguna posibilidad de ser rescatados. ¿Sus vidas terminarán a manos del despiadado Drakken? ¡Adéntrate en el tomo 10 de Edens Zero, uno de los más oscuros de toda la serie!|978-6-075-68600-4|1|false
