NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Fairy Tail #1|1|1|/panini-manga-mx/fairy-tail/fairy-tail-01.jpg|208|99.0|MXN|2014-11-01|El “gremio de la brujería” es una agencia intermediaria que brinda trabajo a los magos, ¡desde buscar objetos perdidos hasta suprimir fantasmas! Lucy, una chica que desea convertirse en una bruja hecha y derecha, conoce a Natsu y es invitada a su gremio, ¡el cual resulta ser “Fairy Tail”, un gremio divertido, un poquito peligroso y muy alocado, el cual ella idolatra! ¡Este es el inicio esta popular historia!|978-6-075-28058-5|1|false
Fairy Tail #2|2|2|/panini-manga-mx/fairy-tail/fairy-tail-02.jpg|208|99.0|MXN|2014-12-19|De este mundo repleto de gremios mágicos, ¡les presentamos el más lleno de chiflados! Entre sus miembros están Natsu, quien maneja el fuego a voluntad; Happy, el gato; Gray, el exhibicionista; Loke, el galán del gremio; Cana, quien bebe demasiado; y otro montón de locos. Lucy, quien controla espíritus celestiales y acaba de hacer equipo con Natsu y Happy, se dirige a su primer trabajo. Le han encargado... ¡¿robar algo?!|978-6-075-28075-2|1|false
Fairy Tail #3|3|3|/panini-manga-mx/fairy-tail/fairy-tail-03.jpg|192|99.0|MXN|2015-01-21|Eisenwald, el gremio de magos liderado por el “Dios de la muerte”, Erigor, ha robado una flauta mágica. Este artefacto, “Lullaby”, tiene una maldición prohibida, que le causa la muerte a todos los que escuchan sus notas. ¿Será que este gremio negro, que odia a los legales, quiere llevar a cabo un indiscriminado asesinato en masa?...Como Fairy Tail sospecha algo, su equipo más fuerte, conformado por Natsu, Gray y Erza, ¡va a confrontarlos! ¡Y claro que Lucy y Happy están con ellos!|978-6-075-28084-4|1|false
Fairy Tail #4|4|4|/panini-manga-mx/fairy-tail/fairy-tail-04.jpg|192|139.0|MXN|2015-02-11|"En el segundo piso de ""Fairy Tail"" existe un pizarrón de encargos sumamente peligrosos. ¡Los llaman trabajos nivel S! Se supone que solo cinco miembros tienen permiso para hacer estos trabajos, pero Natsu, Lucy y Happy sacaron uno sin permiso. El cliente es una isla maldita que convierte el cuerpo, el corazón y la mente en demonios de acuerdo al poder de la luna. Solo existe una manera de quitar la maldición... ¡¿destruir la luna?!"|978-6-075-28107-0|1|false
Fairy Tail #5|5|5|/panini-manga-mx/fairy-tail/fairy-tail-05.jpg|192|99.0|MXN|2015-03-18|Natsu, Lucy y Happy descubrieron que el hechizo que convierte a los aldeanos de la isla Galuna en demonios se debe a un rito para revivir a un demonio congelado. Y lo peor es que quien está detrás de todo es Lyon, el antiguo compañero de Gray, quien quiere sobrepasar a su antigua maestra, Ur, venciendo al demonio que ella selló al morir. Ya llegó Fairy Tail #5, donde se descubre más sobre la historia de Gray.|978-6-075-28183-4|1|false
Fairy Tail #6|6|6|/panini-manga-mx/fairy-tail/fairy-tail-06.jpg|192|99.0|MXN|2015-04-08|Natsu, Lucy y Happy vencieron a los secuaces de Lyon. Sin embargo, cuando Gray le reveló a éste que su antigua maestra, Ur, no murió años atrás sino que se convirtió en el hielo que detiene a Deliora, Lyon lo apuñaló con una espada de hielo, al tiempo que le revelaba que para él no había ahí sino un hielo insignificante. Aún con Erza ayudando en la batalla, la resurrección de Deliora está peligrosamente cerca, pues la luna morada sigue haciendo de las suyas.|978-6-075-28205-3|1|false
Fairy Tail #7|7|7|/panini-manga-mx/fairy-tail/fairy-tail-07.jpg|192|99.0|MXN|2015-05-06|Luego de vencer a Deliora y de que el misterioso mago que estaba usando a Lyon para cumplir sus planes, el equipo de Natsu regresó a su ciudad. Sin embargo, encontraron algo terrible: el gremio mágico Phantom Lord atacó a Fairy Tail. Además, cuando Gray, Erza y los demás fueron a ajustar cuentas, cayeron directo en la trampa: dejaron sola a Lucy y ella fue secuestrada. Ahora un guerra se ha desatado y toda la ciudad podría ser destruida.|978-6-075-28210-7|1|false
Fairy Tail #8|8|8|/panini-manga-mx/fairy-tail/fairy-tail-08.jpg|192|99.0|MXN|2015-06-17|La batalla a muerte entre Fairy Tail y Phantom Lord continúa. Y ya han caído dos magos de Element 4, pero los restantes son los más fuertes. Además, Gajeel, el dragón de hierro, por fin peleará contra Natsu. ¿Quieres saber qué pasa cuando dos matadragones se enfrentan? ¿Y qué tal un combate entre Erza y el maestro de Phantom, José Porla? Todo esto y más en este emocionante Fairy Tail #8. ¡Pelea por él en todos los puestos de Panini Manga!|978-6-075-28229-9|1|false
Fairy Tail #9|9|9|/panini-manga-mx/fairy-tail/fairy-tail-09.jpg|192|99.0|MXN|2015-07-15|Al concluir la guerra con Phantom, ¡Fairy Tail decide cambiar de actitud! Pero entre la decisión dictada por el Concilio Mágico y Lucy, quien, al sentirse responsable de la guerra, escribió una carta y regresó a casa, ¡los problemas se acumulan! Además, parece que Loke tiene un secreto increíble. El gremio vuelve a ser una locura, ¡así que no te pierdas Fairy Tail #9, que te espera en todos los puntos de venta de Panini Manga!|978-6-075-28242-8|1|false
Fairy Tail #10|10|10|/panini-manga-mx/fairy-tail/fairy-tail-10.jpg|192|99.0|MXN|2015-08-12|"""A veces hay que descansar, ¿no?"" Con esto en mente, Natsu y los demás se van a la playa. Sin embargo, la diversión dura solo hasta que ocurre una emergencia. Son atacados por sorpresa por una banda de locos, ¡quienes secuestran a Erza! El grupo se dirige a la ""Torre del cielo"", donde los espera Jellal... ¡y donde se esconde el trágico pasado de Erza! ¡No te pierdas Fairy Tail #10!"|978-6-075-28256-5|1|false
