NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Fate Stay Night #1|1|1|/panini-manga-mx/fate-stay-night/fate-stay-night-01.jpg|200|109.0|MXN|2018-12-19|Cuando Shiro presencia un combate que no debería, es salvado por la intervención de una hermosa joven con armadura que le pregunta si es el Maestro que está buscando. Sin saberlo, acaba de unirse a la Guerra por el Santo Grial, un combate mágico que ocurre cada diez años. ¿Será capaz de sobrevivir?|978-6-075-48610-9|1|false
Fate Stay Night #2|2|2|/panini-manga-mx/fate-stay-night/fate-stay-night-02.jpg|192|109.0|MXN|2019-01-16|Mientras Shiro comienza a aceptar las consecuencias de participar en la Guerra del Santo Grial, Tosaka recuerda cómo fue que Archer se convirtió en su Sirviente y un crimen podría revelar que hay un nuevo participante en el combate.|978-6-075-48651-2|1|false
Fate Stay Night #3|3|3|/panini-manga-mx/fate-stay-night/fate-stay-night-03.jpg|196|109.0|MXN|2019-02-13|La Guerra del Santo Grial empieza a volverse personal: Rider, un nuevo Sirviente, amenaza a Shiro… ¡y a todos los alumnos que acuden a su escuela!|978-6-075-48762-5|1|false
Fate Stay Night #4|4|4|/panini-manga-mx/fate-stay-night/fate-stay-night-04.jpg|180|109.0|MXN|2019-03-13|Dos nuevos Sirvientes entran en escena: Caster y Assassin. ¿Por qué parece que ambos están relacionados con cierto templo? Mientras tanto, Shiro empieza a entrenar con Saber. ¡y un capítulo especial sobre cómo Fuji aprendió a respetarla cuando descubrió que vivían juntos! ...|978-6-075-48794-6|1|false
Fate Stay Night #5|5|5|/panini-manga-mx/fate-stay-night/fate-stay-night-05.jpg|180|109.0|MXN|2019-04-10|¡Llega el enfrentamiento final contra Shinji! Mientras Tosaka descubre por qué puede usar magia aunque no tenga poderes, Rider decide quitarse el antifaz y revelar su Noble Phantasm. ¡Esto obligará a Saber a tomar medidas desesperadas!...|978-6-075-48857-8|1|false
Fate Stay Night #6|6|6|/panini-manga-mx/fate-stay-night/fate-stay-night-06.jpg|180|109.0|MXN|2019-05-08|¡Llega el enfrentamiento final contra Shinji! Mientras Tosaka descubre por qué puede usar magia aunque no tenga poderes, Rider decide quitarse el antifaz y revelar su Noble Phantasm. ¡lo que obligará a Saber a tomar medidas desesperadas!...|978-6-075-48939-1|1|false
Fate Stay Night #7|7|7|/panini-manga-mx/fate-stay-night/fate-stay-night-07.jpg|180|109.0|MXN|2019-06-12|¿Quién es Altria? ¿Cuál es la historia detrás del Noble Phantasm de Saber? Justo cuando las cosas parecen tranquilizarse, una nueva amenaza ataca. ¡y saca a Shiro de la Guerra del Santo Grial de una forma inesperada! Además, ¡la verdadera historia de Shinji! ...|978-6-076-34064-6|1|false
Fate Stay Night #8|8|8|/panini-manga-mx/fate-stay-night/fate-stay-night-08.jpg|200|109.0|MXN|2019-07-10|Con Shiro fuera de la Guerra del Santo Grial, ahora todo queda en manos de Tosaka y Archer. ¿Será posible que Saber no sea la única que está bajo el control de Caster? ¿Archer no correrá el mismo riesgo? Además, ¿qué significa ser un ´antihéroe´?...|978-6-076-34101-8|1|false
Fate Stay Night #9|9|9|/panini-manga-mx/fate-stay-night/fate-stay-night-09.jpg|200|109.0|MXN|2019-08-14|Con Shiro fuera de la Guerra del Santo Grial, ahora todo queda en manos de Tosaka y Archer. ¿Será posible que Saber no sea la única que está bajo el control de Caster? ¿Archer no correrá el mismo riesgo? Además, ¿qué significa ser un ´antihéroe´?...|978-6-076-34172-8|1|false
Fate Stay Night #10|10|10|/panini-manga-mx/fate-stay-night/fate-stay-night-10.jpg|200|109.0|MXN|2019-09-11|¡Llega la batalla que podría decidir el futuro de la Guerra del Santo Grial! ¡Shiro, Tosaka y Lancer contra Kuzuki, Caster y Archer! Pero cuando las cosas se complican para su equipo, Caster saca su arma secreta: ¡Saber, cuyo mantra de comando la obliga a atacar a Shiro!|978-6-076-34207-7|1|false
Fate Stay Night #11|11|11|/panini-manga-mx/fate-stay-night/fate-stay-night-11.jpg|180|109.0|MXN|2019-10-09|Después de derrotar a Caster, parece que Shiro, Saber, Tosaka y Archer por fin disfrutarán un momento de calma. En eso, Shiro recibe una llamada que podría convertirse en. ¿una trampa? Mientras tanto, Tosaka percibe que Saber está ocultando algo, ¡que podría ser muy peligroso para Maestro y Sirviente!|978-6-076-34261-9|1|false
Fate Stay Night #12|12|12|/panini-manga-mx/fate-stay-night/fate-stay-night-12.jpg|160|109.0|MXN|2019-11-13|¡Shiro ha sido capturado por Illyasviel y apresado en su castillo! Tosaka, Saber y Archer van a rescatarlo, sin saber que se dirigen a una trampa. Cuando Berserker y su Maestra les salen al paso, Tosaka toma una decisión que involucra a Archer. ¿Ha llegado el momento de realizar un sacrificio?|978-6-076-34387-6|1|false
Fate Stay Night #13|13|13|/panini-manga-mx/fate-stay-night/fate-stay-night-13.jpg|160|109.0|MXN|2019-12-11|Mientras Shiro observa más del pasado de Saber y sacrifica su poder mágico para salvarla, Illyasviel ordena a Berserker un ataque final. Con Archer muerto, y cuando el poder de Saber y la magia de Tosaka no sean suficientes, ¿tendrán alguna oportunidad de sobrevivir? ¿Y qué hará Shiro ahora que es un humano normal?|978-6-076-34447-7|1|false
Fate Stay Night #14|14|14|/panini-manga-mx/fate-stay-night/fate-stay-night-14.jpg|160|119.0|MXN|2020-01-08|Shiro está desesperado: tiene que encontrar la forma de apoyar a Saber antes de que Berserker mate a Tosaka y después a ellos. ¿Por qué, entonces, no deja de pensar en la última vez que habló con Archer? Además, ¿será posible que la relación entre Shiro y Saber esté cambiando a una que supere la que existe entre Maestro y Sirviente?|978-6-076-34566-5|1|false
Fate Stay Night #15|15|15|/panini-manga-mx/fate-stay-night/fate-stay-night-15.jpg|160|119.0|MXN|2020-02-12|Cuando Caster reaparece inesperadamente, un nuevo Archer interviene en la lucha: ¡el Octavo Sirviente que sobrevivió a la batalla anterior! Pero, ¿por qué Saber no está feliz de verlo? Después de una conversación con Kotomine, Shiro decide mostrarle a Saber lo que es la vida normal, y la invita. ¿a una cita?|978-6-076-34599-3|1|false
Fate Stay Night #16|16|16|/panini-manga-mx/fate-stay-night/fate-stay-night-16.jpg|160|119.0|MXN|2020-03-11|Shiro y Saber tienen una cita, pero a pesar de lo mucho que él se esfuerce, parece que ella no la disfruta. ¿Será por su deber como Sirviente? ¿Porque ya quiere terminar con la Guerra del Santo Grial? ¿O habrá otra razón? En eso, el Octavo Sirviente vuelve a enfrentarlos, ¡y Saber comprende por qué jamás podrán derrotarlo!|978-6-076-34669-3|1|false
Fate Stay Night #17|17|17|/panini-manga-mx/fate-stay-night/fate-stay-night-17.jpg|160|119.0|MXN|2020-04-08|Después de comprender mejor el pasado de Saber como rey, Shiro y ella dan un gran paso en su relación. Pero la felicidad no dura: al buscar consejo para que Saber sobreviva a la Guerra del Santo Grial, Shiro hace un descubrimiento horrendo en el sótano de un lugar inesperado. ¿Qué ocurrió realmente durante aquel incendio, hace diez años?|978-6-076-34727-0|1|false
Fate Stay Night #18|18|18|/panini-manga-mx/fate-stay-night/fate-stay-night-18.jpg|160|119.0|MXN|2020-07-08|¡La verdad salió a la luz! Kirei Kotomine no solo es el Maestro de Lancer y de Gilgamesh: también fue el último rival de Kiritsugu Emiya, el padre adoptivo de Shiro, hace diez años, ¡y perdió esa Guerra del Santo Grial! ¿Qué decidirá Lancer ante ese descubrimiento? ¿Y cuál es la última enseñanza que Rin quiere impartirle a Shiro antes del enfrentamiento final?|978-6-076-34788-1|1|false
