NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Fire Force #1|1|1|/panini-manga-mx/fire-force/fire-force-01.jpg|200|99.0|MXN|2018-06-20|De pronto, la gente comenzó a quemarse, sin motivo y sin explicación. En medio de la calle, sentados en sus sillones o comiendo, estallaban en llamas. Shinra Kusakabe se apresura para no llegar tarde a su primer día de trabajo, pero hay un incendio en la estación del tren que debe abordar. Llegan los bomberos para apagar el fuego, pero no son bomberos normales, son del cuerpo especial. Ahí comienza el camino de Shinra para cumplir una promesa que hizo hace mucho tiempo, y en cada oportunidad demostrará, gracias a su “habilidad”, que un héroe está hecho de algo más que deseos o promesas: el “homura bito” no es un fuego que se pueda apagar sólo con agua.|978-6-075-48229-3|1|false
Fire Force #2|2|2|/panini-manga-mx/fire-force/fire-force-02.jpg|200|99.0|MXN|2018-08-08|"El misterioso personaje que Shinra se encuentra en el concurso de bomberos novatos le revela algo sorprendente acerca del incendio en el que perdió a su familia. Shinra comienza a sospechar del jefe del primer cuerpo y debe elegir entre saber la verdad y unirse al misterioso personaje o seguir salvando vidas: ¿héroe o demonio? Lo más sospechoso es que los distintos cuerpos de bomberos especiales no trabajan juntos, es decir, la información que cada cuerpo obtiene acerca de los ""Homura Bito"" no es compartida con los demás cuerpos, por lo que existe la necesidad de crear a un cuerpo de bomberos que investigue a los demás. Hay muchos misterios que Shinra debe descubrir antes de convertirse en un verdadero héroe."|978-6-075-48294-1|1|false
Fire Force #3|3|3|/panini-manga-mx/fire-force/fire-force-03.jpg|192|99.0|MXN|2018-10-10|Mientras Arthur Boyle enfrenta al Homura Bito que fue mejorado gracias al medicamento experimental, y el Caballero se da cuenta de su falta de condición, Hinawa lucha contra las tres mujeres del Quinto Cuerpo. Shinra tendrá que enfrentarse a Hibana, quien posee un poder que dejará a su contrincante sin respiración. La hermana Airis también tiene un papel importante en esta lucha, pues posee información y conoce a la jefa del Quinto Cuerpo: algunos secretos harán que la batalla se convierta en una verdadera revelación|978-6-075-48424-2|1|false
Fire Force #4|4|4|/panini-manga-mx/fire-force/fire-force-04.jpg|192|99.0|MXN|2018-12-12|¡Alguien está creando a los Homura Bito! Para encontrar más pistas sobre el culpable de estos hechos, Shinra y Arthur se infiltran en el Primer Cuerpo de Bomberos Especiales. Al final de una persecución encuentran a los subjefes del Primer Cuerpo. ¡¿Serán ellos?! ¡Todos los bomberos se reúnen para lidiar con este claro enemigo de la humanidad! ¡El héroe Shinra se va de excursión y destruirá a ese mal imperdonable!|978-6-075-48509-6|1|false
Fire Force #5|5|5|/panini-manga-mx/fire-force/fire-force-05.jpg|192|99.0|MXN|2019-02-13|¡El hermano de Shinra está vivo! Joker, el hombre misterioso le cuenta a Shinra que su hermano menor, Sho, está vivo y forma parte del grupo del Predicador. ¿Sus compañeros del Octavo Cuerpo aceptarán esa verdad? ¡Además, se descubre el origen del Octavo Cuerpo y se dirigen a Asakusa siguiendo las pistas del Predicador y desafiando al Séptimo Cuerpo! ¡Confrontan al bombero más fuerte del Séptimo Cuerpo y se revela el arco de incendios y peleas en Asakusa!|978-6-075-48694-9|1|false
Fire Force #6|6|6|/panini-manga-mx/fire-force/fire-force-06.jpg|200|99.0|MXN|2019-04-17|Debido a las habilidades del astuto clan del Predicador, se crearon muchos malentendidos, y causaron que dos grandes héroes se enfrentaran. ¿Qué sucederá en una confrontación en la que ninguno de los dos se rendirá? Además del ejército enemigo que llega continuamente, el pueblo de Asakusa cae en un caos. ¿Qué harán el séptimo y octavo cuerpos en un pueblo en llamas y contra los feroces ataques de los encapuchados blancos? ¿Tendrán Shinra y compañía alguna técnica para ponerle fin al enfrentamiento?|978-6-075-48847-9|1|false
Fire Force #7|7|7|/panini-manga-mx/fire-force/fire-force-07.jpg|200|99.0|MXN|2019-06-19|El Octavo Cuerpo se apresura para acrecentar su poder de batalla y comienza a buscar reclutas para la posición de ingeniero; luego, se les une el sospechoso Licht como parte de su equipo científico, quien está relacionado con Joker. Ahora la meta es reclutar a un técnico genio llamado Vulcan que odia a los bomberos. Shinra intenta convencer a un Vulcan obstinado que se niega a unírseles, pero en ese momento aparece el jefe del Tercer Cuerpo, el Dr. Giovanni. ¡Una nueva pelea, un misterio que envuelve a la familia de Vulcan y una visita del destino llegan a Shinra!|978-6-076-34006-6|1|false
Fire Force #8|8|8|/panini-manga-mx/fire-force/fire-force-08.jpg|200|99.0|MXN|2019-08-21|"¡Los hermanos se reencuentran! El grupo del traidor Dr. Giovanni del Tercer Cuerpo invade el taller de Vulcan buscando la ""llave de Amaterasu"". Y, además, ¡el hermano menor de Shinra aparece como el comandante de los caballeros enemigos! ¡La batalla toma un giro sin precedente! ¡Sho empuña su espada contra Shinra y lo ataca con una poderosa habilidad! ¿Se extinguirán el destino de Shinra y compañía? ¡La pelea sube de temperatura! El misterioso complot se vuelve más complicado. ¿Qué camino seguirá el Octavo Cuerpo?"|978-6-076-34167-4|1|false
Fire Force #9|9|9|/panini-manga-mx/fire-force/fire-force-09.jpg|192|99.0|MXN|2019-10-16|¡Shinra va en busca de su hermano! ¡El equipo del Octavo Cuerpo comienza la batalla subterránea! Siguiendo las pistas de Sho y el Predicador, el Octavo Cuerpo se dirige bajo tierra para encontrar la base enemiga. ¡Atacan al ejército de encapuchados blancos en la región prohibida! Divididos por el enemigo, cada miembro del Octavo Cuerpo tendrá que pelear por separado. ¡Comienza la verdadera pelea de vida o muerte! Nuevamente se enfrentan hermano contra hermano. ¡Y Sho atacará a Shinra con su poder sobrenatural!|978-6-076-34205-3|1|false
Fire Force #10|10|10|/panini-manga-mx/fire-force/fire-force-10.jpg|208|99.0|MXN|2019-12-18|¡El poder de Sho es asombroso! ¡¿Podrán rescatarlo de la oscuridad subterránea?! Finalmente, Shinra llega con Sho, pero este no quiere escuchar lo que su hermano mayor le tiene que decir y ¡se desata una batalla! Aunque Licht lo apoya en un contraataque, Shinra no puede hacer nada para pelear o siquiera mitigar la terrible habilidad de Sho. ¡¿Podrá revelar los secretos de su misteriosa habilidad?! ¡La clave está en el Adolla Burst! ¡¿Cuál será el siguiente nivel de la llama de un Shinra moribundo?!|978-6-076-34443-9|1|false
Fire Force #11|11|11|/panini-manga-mx/fire-force/fire-force-11.jpg|208|99.0|MXN|2020-02-19|"¡Se revelará la verdad sobre el incendio de hace doce años! El jefe Burns aparece frente a Shinra, quien ha sufrido grandes heridas tras enfrentarse a Sho. ¿Qué causará en Shinra lo que dirá Burns después de mantenerse callado por tanto tiempo? El demonio. Adolla Burst. el Enlace Adolla. a medida que las piezas misteriosas se van juntando, ¡la pelea contra el Predicador da un nuevo giro! ¡¿La clave está en los chicos y chicas ""Pilar""?! ¡Se revela un nuevo capítulo! ¡Comienza el arco del Cuarto Cuerpo!"|978-6-076-34600-6|1|false
Fire Force #12|12|12|/panini-manga-mx/fire-force/fire-force-12.jpg|208|99.0|MXN|2020-06-24|¡Héroe vs. Caballero! ¡Shinra enloquece en una fogosa pelea contra Arthur por culpa de la misteriosa mujer que apareció frente a Shinra en el Enlace Adolla. Para regresarle la cordura, Arthur le habla sobre las aspiraciones que el héroe tenía. Además, el verdadero plan de los seguidores del Predicador se esclarece un poco más: ¡reunir a los pilares con el Adolla Burst y recrear el gran cataclismo! ¡Y el nacimiento de un nuevo Adolla Burst enfrentará a los bomberos con los seguidores del Predicador!|978-6-076-34728-7|1|false
Fire Force #13|13|13|/panini-manga-mx/fire-force/fire-force-13.jpg|192|99.0|MXN|2020-08-26|¡El grupo del Predicador busca a ocho personas que posean el Adolla Burst para un oscuro propósito! ¡¿El cuerpo de bomberos podrá proteger a Inca, la quinta poseedora?! Para descubrir la verdadera identidad del Predicador, Shinra y compañía salen del Imperio hacia un país desconocido dominado por llamas severas y donde yace el misterio más importante del Imperio. ¡Para salvar el mundo, la oscuridad debe esclarecerse!|978-6-076-34852-9|1|false
Fire Force #14|14|14|/panini-manga-mx/fire-force/fire-force-14.jpg|192|99.0|MXN|2020-10-28|"Shinra y un grupo de bomberos son elegidos para la operación de desembarco en China. Al llegar al noreste de Xinqing Tao, el equipo se dirige hacia la ""abertura espacial"", donde encuentran al topo Scop, quien fue expulsado de su ""oasis"" por un ""demonio"" que controla el lugar. Él los guía hasta el oasis para descubrir, entre los frondosos bosques, un Shintai que se parece mucho al Amaterasu del Imperio. ¡¿Cuál es el origen del Shintai y cómo se relaciona con el gran cataclismo de hace 250 años?!"|978-6-075-68029-3|1|false
