NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Food Wars! Shokugeki No Soma #1|1|1|/panini-manga-mx/food-wars/food-wars-01.jpg|192|139.0|MXN|2017-11-01|La casa Soma Yukihira, un estudiante de secundaria, es un restaurante de teishoku en un barrio popular. Soma practica todos los días para alcanzar su objetivo de superar a su padre, pero, de la nada, ¡¿su padre le dice que ingrese en una escuela de gastronomía?! ¡¡Aquí comienza la creación de un nuevo manga de cocina!!|978-6-075-28707-2|1|false
Food Wars! Shokugeki No Soma #2|2|2|/panini-manga-mx/food-wars/food-wars-02.jpg|192|99.0|MXN|2017-12-06|Soma dejó su casa y termino en el dormitorio de la escuela. ¡Ahí están reunidos una serie de estudiantes extraños dirigidos por una ama de casa demonio! Además, los tradicionales enfrentamientos de cocina en la Academia Totsuki están por comenzar.|978-6-075-28736-2|1|false
Food Wars! Shokugeki No Soma #3|3|3|/panini-manga-mx/food-wars/food-wars-03.jpg|192|139.0|MXN|2018-01-10|¡El campamento infernal de amistad y comunión ha comenzado! Muchos estudiantes expulsados si no completan los retos y, al aparecer los profesores que van a examinarlos, ¡aumenta la tensión! ¡¿Quién será el instructor que tome el destino de Soma y sus amigos?!|978-6-075-28857-4|1|false
Food Wars! Shokugeki No Soma #4|4|4|/panini-manga-mx/food-wars/food-wars-04.jpg|192|139.0|MXN|2018-02-07|¡Que empiece el shokugeki! Soma reta a Shinomiya, un graduado de Totsuki, para anular la expulsión de Totsuki, para anular la expulsión de Tadokoro.|978-6-075-28889-5|1|false
Food Wars! Shokugeki No Soma #5|5|5|/panini-manga-mx/food-wars/food-wars-05.jpg|192|139.0|MXN|2018-03-07|Un nuevo menú de desayuno que se ajuste al distinguido Totsuki Resort desafía a Soma y compañía. Mientras siguen apareciendo personas que han ganado confianza y experiencia en el campamento, Soma tiene un inicio tardío por un error fatal. ¡¿Cuál será el plan secreto para este dilema?!|978-6-075-28941-0|1|false
Food Wars! Shokugeki No Soma #6|6|6|/panini-manga-mx/food-wars/food-wars-06.jpg|192|139.0|MXN|2018-04-04|Al fin se anuncian los participantes de las Elecciones de Otoño. Justo en ese momento, ¡Joichiro, el padre de Soma, llega de visita al Dormitorio Estrella Polar y Fumio revela que fue alumno de la Academia y Segundo Asiento de los Diez Mejores! Soma acepta un desafío que le lanza su padre para ver si ha aprendido algo en los meses que lleva en Totsuki. Poco después se anuncia el tema de la eliminatoria para las Elecciones: un platillo con curry. En busca de información al respecto, Soma y Tadokoro visitan el seminario sobre especias de Jun Shiomi y ahí conocen a Akira Hayama, un estudiante de primer año con un sentido del olfato privilegiado que se perfila como el favorito para ganar la Elección|978-6-075-28985-4|1|false
Food Wars! Shokugeki No Soma #7|7|7|/panini-manga-mx/food-wars/food-wars-07.jpg|192|139.0|MXN|2018-05-02|¡Las eliminaciones para las Elecciones de Otoño están que arden! Los participantes despliegan sus habilidades en el escenario para demostrar su valor y los participantes más prominentes presentan un platillo supremo de curry tras otro...|978-6-075-48111-1|1|false
Food Wars! Shokugeki No Soma #8|8|8|/panini-manga-mx/food-wars/food-wars-08.jpg|192|139.0|MXN|2018-06-06|¡La continua batalla de las Elecciones de Otoño llega a su etapa final con gran entusiasmo en el salón! ¡¿Qué platillo de curry y preparó Soma con todo su poder para enfrentar a Hayama, el prodigio del aroma?!|978-6-075-48180-7|1|false
Food Wars! Shokugeki No Soma #9|9|9|/panini-manga-mx/food-wars/food-wars-09.jpg|192|139.0|MXN|2018-07-04|"Los contrincantes chocan entre sí en el primer enfrentamiento de la primera ronda de la competencia principal, cuyo tema es ""bento""."|978-6-075-48208-8|1|false
Food Wars! Shokugeki No Soma #10|10|10|/panini-manga-mx/food-wars/food-wars-10.jpg|192|139.0|MXN|2018-08-01|El último enfrentamiento que termina con la primera ronda de la competencia principal. Tamaki, quien tiene pactada una revancha con Soma, se enfrenta a Subaru Mimasaka, quien ´porta una sonrisa osada. La razón oculta de esa sonrisa... y el platillo que presenta, ¡cambian por completo la atmósfera del recinto! ¡Que comience el impaciente cuarto enfrentamiento!|978-6-075-48303-0|1|false
