NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Fruits Basket #1|1|1|/panini-manga-mx/fruits-basket/fruits-basket-01.jpg|392|219.0|MXN|2020-03-18|"En el transcurso de pocos meses, la estudiante Toru Honda pierde a su madre y su hogar, por lo que no le queda más remedio que vivir en una tienda de campaña en medio del bosque. Sin que ella lo supiera, muy cerca de allí viven Yuki Soma, considerado ""el príncipe"" de su instituto, con su primo Shigure. Cuando ven la situación de Toru, los Soma le ofrecen albergarla en su casa. Así es como la joven empieza a conocer a los integrantes de la familia Soma y a ser partícipe del extraño secreto que todos ellos ocultan."|978-6-076-34683-9|1|false
Fruits Basket #2|2|2|/panini-manga-mx/fruits-basket/fruits-basket-02.jpg|392|219.0|MXN|2020-06-17|Después de perder a su madre, Toru Honda se muda definitivamente con la familia Soma, cuyos integrantes ocultan un secreto: se transforman en los animales del horóscopo chino. Hatsuharu, pariente de Kyo y de Yuki, aparece de pronto durante el maratón del instituto para desafiar a Kyo a un combate de artes marciales. Tras ese incidente, Kagura se presenta el día previo a San Valentín para proponerles un plan: visitar un balneario de aguas termales. También reciben la visita de Ayame, el hermano de Yuki, que aparece de improviso y deja a todos sorprendidos.|978-6-076-34787-4|1|false
Fruits Basket #3|3|3|/panini-manga-mx/fruits-basket/fruits-basket-03.jpg|392|219.0|MXN|2020-08-19|Shigure sorprende a Toru y a los chicos invitándolos a pasar unos días de vacaciones en una casa de campo cercana a un lago. A su regreso, Toru conocerá primero a la chica poseída por el espíritu del tigre y, más adelante, a Kazuma, maestro y figura paterna de Kyo, quien le revelará el terrible secreto que oculta el espíritu del gato. Afectado por la presencia de Kazuma, Yuki decide dar un paso adelante en su relación con Ayame, aunque la visita a su tienda no resulta como él esperaba.|978-6-076-34922-9|1|false
Fruits Basket #4|4|4|/panini-manga-mx/fruits-basket/fruits-basket-04.jpg|392|219.0|MXN|2020-10-21|Toru pasa plácidamente los días en la casa de los Soma en compañía de la pequeña Kisa. Un día se presenta el jovencito Hiro, un nuevo miembro de los doce, quien no parece sentir ninguna simpatía por Toru, aunque parece que el origen de su antipatía está en los celos que siente por Kira...|978-6-075-68031-6|1|false
Fruits Basket #5|5|5|/panini-manga-mx/fruits-basket/fruits-basket-05.jpg|384|219.0|MXN|2021-01-20|Con la llegada del verano, algo empieza a moverse en el ambiente. Yuki se encuentra con quienes serán sus nuevos compañeros en el consejo escolar y Arisa conoce a un misterioso joven a quien no logra quitarse de la cabeza, mientras que Saki Hanajima recuerda su infancia y las circunstancias que la llevaron a conocer a sus amigas. Por su parte, el maestro invita a Toru y Kyo a visitar su casa, pero su encuentro se ve interrumpido de forma inesperada. En cuanto a los doce, los más jóvenes planean un viaje a una casa de verano a la vez que Shigure organiza un encuentro entre Mayu y Hatori.|978-6-075-68125-2|1|false
Fruits Basket #6|6|6|/panini-manga-mx/fruits-basket/fruits-basket-06.jpg|392|219.0|MXN|2021-03-17|Toru y los Soma disfrutan de sus vacaciones en la casa de verano junto al mar, hasta que Akito llega de manera repentina y todos se ven obligados a pasar el día con él en una casa independiente. Por ello, la actitud de Yuki cambia y Toru empieza a preocuparse. Akito empieza a perder la paciencia e incluso invita a Kyo en un intento desesperado por aislar a Toru del resto de la familia. Después de conocer al espíritu del caballo, la muchacha empieza a preguntarse si Akito será el último integrante de los doce.piedra.|978-6-075-68227-3|1|false
Fruits Basket #7|7|7|/panini-manga-mx/fruits-basket/fruits-basket-07.jpg|384|219.0|MXN|2021-04-21|Llega el día de la reunión escolar con la mamá de Yuki y el chico se encuentra cada vez más agobiado por los intentos de su familia por controlarlo cuando de pronto recibe la ayuda de un visitante inesperado. Por su parte, Toru necesita asegurarse si el Kureno del que se enamoró Arisa es en realidad Kureno Soma y trata de meterse en la casa principal de la familia con la ayuda de la hermana de Momiji.|978-6-075-68313-3|1|false
Fruits Basket #8|8|8|/panini-manga-mx/fruits-basket/fruits-basket-08.jpg|192|219.0|MXN|2021-06-16|En compañía de Kakeru, Yuki reflexiona sobre su pasado, sus sentimientos de ese entonces y las circunstancias que lo llevaron a buscar la estima de Toru. Mientras tanto, la clase de los muchachos sigue preparando la obra teatral que representarán en el festival cultural y que debe tener varios cambios debido a las personalidades contradictorias de sus actores.|978-6-075-68424-6|1|false
Fruits Basket #9|9|9|/panini-manga-mx/fruits-basket/fruits-basket-09.jpg|392|219.0|MXN|2021-08-25|"Los secretos de la maldición de los doce comienzan a salir a la luz. Algo extraño le sucede a Machi, y Yuki y Kakeru deciden ir a visitarla. Lo que no esperan es la revelación de los secretos de su pasado... Por otra parte, los problemas asoman por el horizonte cuando Hatsuharu finalmente descubre quién estaba en realidad detrás del ""accidente"" de Rin."|978-6-075-68561-8|1|false
Fruits Basket #10|10|10|/panini-manga-mx/fruits-basket/fruits-basket-10.jpg|192|219.0|MXN|2021-11-03|Algo está sucediendo con la maldición de los doce... ¿Es posible que el vínculo que unía a los doce con Akito no sea tan duradero como todos pensaban? Por su parte, Toru comienza a entender sus sentimientos con respecto a Kyo, pero este tiene que hacerle una impactante revelación.|978-6-075-68697-4|1|false
