NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Fullmetal Alchemist #1|1|1|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-01.jpg|192|99.0|MXN|2015-11-25|"Del grandioso trazo de Hiromu Arawaka llega el tan esperado primer tomo de ¡Fullmetal Alchemist! Acompaña a los hermanos Elric en su búsqueda de la piedra filosofal, la cual necesitan para regresar sus cuerpos a la normalidad. En el camino, conocerán nuevos amigos y enemigos y, claro, también se divertirán. Así las cosas, corre a tu distribuidor más cercano y ¡pon en práctica el ""intercambio equivalente"" con él!"|978889120960301|1|false
Fullmetal Alchemist #2|2|2|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-02.jpg|192|139.0|MXN|2015-12-16|Después de salvar al tren secuestrado, Edward y Al se dirigen a la oficina principal junto con Roy Mustang. Ahí, son enviados por el comandante a visitar a Shou Tucker, quien es famoso por crear quimeras capaces de entender el lenguaje humano. Una vez ahí, los hermanos Elric descubren una horrible verdad. Posteriormente conocen a Scar, un ¿enemigo? implacable y que los pone contra las cuerdas. ¿Serán derrotados? ¡Descúbrelo en este segundo tomo del Alquimista de Acero!|978889120960302|1|false
Fullmetal Alchemist #3|3|3|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-03.jpg|192|99.0|MXN|2016-01-20|Finalmente, Ed y Al llegan a Resembool y se encuentran con la abuela Pinako y con la energética Winry, quienes se disponen a arreglar el destruido automail de Edward. Posteriormente, reanudan la búsqueda de los archivos de Marcoh en la Biblioteca Central y descubren el misterio que envuelve la investigación del alquimista. ¿Qué será? ¡Descúbrelo en la tercera entrega de Fullmetal Alchemist!|978140124385203|1|false
Fullmetal Alchemist #4|4|4|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-04.jpg|192|139.0|MXN|2016-02-24|Edward termina muy mal herido después de su combate contra los guardianes del laboratorio 5 y Lust y Envy, por lo que es hospitalizado. Mientras su automail es reparado por Winry y Al se debate si su existencia es real, el teniente Hughes descubre algo terrible, pero esa información le acarreará terribles consecuencias. ¿Qué será? ¿Qué consecuencias traerá? ¡No te lo pierdas en esta nueva entrega de Fullmetal Alchemist!|978140124385204|1|false
Fullmetal Alchemist #5|5|5|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-05.jpg|192|99.0|MXN|2016-03-16|"Durante su estancia en Rush Valley, Ed, Al y Winry conocen a Dominic, un hombre algo huraño, pero que puede ofrecerle a Ed la oportunidad de ser más alto... si aceptara tomar a Winry como discípula. Por otro lado, finalmente los jóvenes alquimistas se encuentran con su antigua maestra, Izumi, quien los recibe ""cálidamente"", y nos enteraremos de cómo es que Ed y Al aprendieron mucho de lo que saben ahora. ¡Ve con tu distribuidor más cercano y adquiere este emotivo tomo 5 de Fullmetal Alchemist!"|978140124385205|1|false
Fullmetal Alchemist #6|6|6|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-06.jpg|192|99.0|MXN|2016-04-20|En este número conoceremos la etapa en Ed y Al comenzaron su entrenamiento con Izumi Curtis y también descubriremos los hechos que provocaron que ambos jóvenes estén en su situación actual. No te pierdas esta nueva entrega llena de sentimientos y emotividad. ¡Cómprala ya!|978140124385206|1|false
Fullmetal Alchemist #7|7|7|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-07.jpg|192|99.0|MXN|2016-05-18|Al es secuestrado por un grupo de quimeras liderados por Greed, un homúnculo. La razón es que necesitan saber cómo es que el alma de Al fue transmutada a la armadura. Ed e Izumi curtis se enteran y acuden al rescate del joven. No obstante, la inesperada aparición del führer King Bradley le da un giro extraño a los acontecimientos.|978140124385207|1|false
Fullmetal Alchemist #8|8|8|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-08.jpg|192|99.0|MXN|2016-06-15|"La pelea entre Greed y Bradley termina con un final inesperado. Además, descubriremos el gran secreto que guarda el Fürher. Por su parte, y luego de la experiencia con los homúnculos de Greed, Al atraviesa por una situación que cambia su vida. Él, junto con Ed, regresan con Winry para que repare el automail de Ed y durante esta visita, ambos chicos conocen a un peculiar personaje. ¿Quién será?Frases:1) ""Si estamos en el mismo bote, iré con usted hasta donde pueda. Si hay algo que pueda hacer, dígamelo y lo haré."" Vato Falman2) ""Lo único imposible es lo imposible"". Greed3) ""Regresa al lugar donde naciste... y devuélveme mi alma, Greed."" ""Padre"""|978140124385208|1|false
Fullmetal Alchemist #9|9|9|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-09.jpg|184|99.0|MXN|2016-07-27|Finalmente, Al, Ed y Winry se enteran de la trágica muerte de Hughes. En tanto, Maria Ross es acusada del homicidio de este y encarledada. Por su parte, Barry el Carnicero, se las ingenia para escapar de su encierro y acude a ayudar a Ross, pero no contaban con la súbita aparición de Mustang. ¿Realmente Ross se salvará de esta?|978140124385209|1|false
Fullmetal Alchemist #10|10|10|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-10.jpg|192|99.0|MXN|2016-08-17|Durante una pelea entre Barry, Alphonse y los guardias de Ling, Lust acorrala a Mustang y a Havoc, hiriendo de gravedad a este último. Cuando Lust está por matar a Hawkeye, Mustang aparece y hace arder a la villana con sus llamas. En tanto, Armstrong lleva a Ed a las ruinas de Xerxes para encontrarse con Maria Ross, quien está viva.|978140124385210|1|false
Fullmetal Alchemist #11|11|11|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-11.jpg|192|99.0|MXN|2016-09-21|Ed se encuentra con su padre, Hohenheim, hecho que no resulta muy grato para el joven alquimista. Sin embargo, ese encuentro lo hace reflexionar sobre su pasado y, debido a ello, descubre algo muy importante. Por otro lado, Al se entristece por su condición, pero Ed le inyecta nuevos ánimos. Scar vuelve a aparecer y una nueva pelea se avecina.|978140124385211|1|false
Fullmetal Alchemist #12|12|12|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-12.jpg|192|99.0|MXN|2016-10-26|La pelea entre Greed, Ed y Al toma un giro inesperado cuando Winry aparece en escena. En tanto, la verdadera identidad de Bradley poco a poco queda al descubierto, aunque sus intenciones siguen siendo un misterio. Cuando finalmente Ed y los demás creen haber obtenido una pequeña pieza de la piedra filosofal, algo realmente alarmante sucede.|978607528217612|1|false
Fullmetal Alchemist #13|13|13|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-13.jpg|192|99.0|MXN|2016-11-16|"Ed, Ling y Envy son engullidos por Gluttony y terminan en un lugar muy extraño. Mientras encuentran la forma de escapar, Al se dirige al lugar donde vive el ""padre"" de Gluttony, Envy y otros homúnculos sin saber qué sorpresa le espera. Por su parte, Roy Mustang se entera de algo impactante."|978-6-075-28288-6|1|false
Fullmetal Alchemist #14|14|14|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-14.jpg|184|99.0|MXN|2016-12-21|Ed y Ling consiguen salir del interior de Gluttony, pero se topan con alguien que parece ser su padre. De manera inesperada, Ling obtiene el poder de una piedra filosofal, pero, a cambio, su cuerpo cambia. Por su parte, Ed, Al y Mustang se reúnen con Bradley, quien les pone los puntos sobre las íes sin titubeos. Frases:1. Cuando me consideran un arma o un monstruo... cuando estoy luchando contra verdaderos monstruos. es que me doy cuenta de mi humanidad. - Roy Mustang2. ¡Si regreso con las manos vacías, no seré quién para darle la cara a los vasallos que se sacrificaron hasta el cansancio por mí! - Ling Yao3. Quizá oponerse sea la manera más inteligente de irse de este maldito sitio de guerra. - Roy Mustang|978-6-075-28326-5|1|false
Fullmetal Alchemist #15|15|15|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-15.jpg|184|99.0|MXN|2017-01-17|El conflicto armado en Isvhal dejó más cicatrices mentales que físicas en sus protagonistas. Miedo, dolor, sufrimiento y dudas son los sentimientos que los ahogan en una guerra sin razón. Sin embargo, otros se benefician de la pena de los soldados.|978-6-075-28360-9|1|false
Fullmetal Alchemist #16|16|16|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-16.jpg|192|99.0|MXN|2017-02-15|Scar y sus aliados viajan hacia el norte en busca de la herencia que el ishvalano recibió de su difunto hermano. En tanto, Al y Ed parten de Central en busca de May y el secreto de su alquimia. Luego de llegar a su destino, se encuentran con una no muy agradable sorpresa.Frases:1) Un alquimista es alguien que busca la verdad. - Berthold Hawkeye2) Si dejamos que la lástima guíe nuestras acciones, solo nos llevará a la ruina. - Fu3) A veces es necesario separarnos de nuestras emociones para cumplir nuestros objetivos. - Fu|978-6-075-28391-3|1|false
Fullmetal Alchemist #17|17|17|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-17.jpg|184|99.0|MXN|2017-03-15|-|978-6-075-28426-2|1|false
Fullmetal Alchemist #18|18|18|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-18.jpg|192|99.0|MXN|2017-04-19|La situación cada vez es más delicada: Riza descubre la perturbadora verdad tras la existencia de Selim Bradley. En tanto, Kimblee usa a Winry para asegurar la cooperación de los Elric en la captura de Scar. Sin embargo, la misión da un vuelco y terminan trabajando juntos. Olivier Armstrong es llamada a Central y un grupo de soldados se dirige a Briggs, lo que pone en peligro al grupo de Scar.|978-6-075-28475-0|1|false
Fullmetal Alchemist #19|19|19|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-19.jpg|184|99.0|MXN|2017-05-17|Riza le revela a Mustang una verdad aterradora sobre Selim Bradley. Mientras, Ed y Kimblee se enfrentan en una dura batalla que no deja bien parado al joven alquimista. Por otro lado, descubrimos los orígenes de Van Hohenheim y el misterio detrás de los homúnculos.|978-6-075-28506-1|1|false
Fullmetal Alchemist #20|20|20|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-20.jpg|192|99.0|MXN|2017-06-16|Envy encuentra a Marcoh y los demás, pero es derrotado y vuelvo a su forma original como parásito. May tiene la misión de llevarlo a Xing, pero el homúnculo, mediante engaños, la convence de regresar para ayudar a sus amigos. Por otro lado, Greed recupera sus recuerdos y se revela contra los homúnculos, tras lo cual se une al grupo de Ed a fin de derrotarlos.|978-6-075-28559-7|1|false
Fullmetal Alchemist #21|21|21|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-21.jpg|184|99.0|MXN|2017-07-01|El ejército y los aliados de Mustang comienzan a moverse, pero antes, King Bradley sufre un atentado, y todos lo consideran muerto. Mientras, Edward se encuentra con su padre, quien le cuenta la verdad sobre su origen y lo que pronto sucederá en Amestris. Más tarde, Ed, Greed, Darius y Heinkel se enfrentan a un poderoso Pride, quien tiene bajo su control a Al. Cuando todo parecía perdido, unos aliados aparecen y ayudan a plantar cara a la amenaza.|978-6-075-28593-1|1|false
Fullmetal Alchemist #22|22|22|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-22.jpg|184|99.0|MXN|2017-08-01|En un plan ideado junto con Hohenheim, Alphonse permite que Pride tome su cuerpo a fin de que ambos queden encerrados. Una vez sometido, Edward, Hohenheim y los demás se dirigen a enfrentarse a Padre. En tanto, Mustang reúne a sus soldados e inician una revuelta. Mientras, Pride se libera de su prisión y pone a Al en serios aprietos, lo que empeora cuando llega un enemigo más.|978-6-075-28612-9|1|false
Fullmetal Alchemist #23|23|23|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-23.jpg|192|99.0|MXN|2017-09-01|Al usa una piedra filosofal para pelear contra Kimblee, a quien le espera una no muy grata sorpresa. En tanto, Olivier Armstrong lucha por que tanto los soldados de Bradley como Sloth no la maten. Finalmente, Ed se encuentra con Mustang y Riza, y el coronel conoce la verdad detrás de la muerte de Hughes. La ira lo consume y lo saca de control, ¿podrá recuperar la cordura?|978-6-075-28644-0|1|false
Fullmetal Alchemist #24|24|24|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-24.jpg|192|99.0|MXN|2017-10-18|En los cuarteles de Central, los hermanos Armstrong libran una dura batalla contra Sloth. Cuando están por sucumbir, aliados le extienden la mano. En tanto, Hohenheim enfrenta a Padre, y Bradley regresa a defender su territorio. Greed se une a la pelea, pero no es suficiente. Lamentablemente, la pelea cobra dos vidas. El momento decisivo se acerca, y Ed, Al e Izumi Curtis son absorbidos por un círculo de transmutación.|978-6-075-28667-9|1|false
Fullmetal Alchemist #25|25|25|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-25.jpg|192|99.0|MXN|2017-11-01|Tras el sacrificio de sus compañeros, finalmente Greed logra dañar a Bradley. A fin de obtener la última pieza para concretar sus planes, Mustang es obligado a crear una transmutación humana, tras lo cual pierde la vista. Al se encuentra con aquello que ha estado buscando todo este tiempo, pero decide regresar a apoyar a los suyos.|978-6-075-28721-8|1|false
Fullmetal Alchemist #26|26|26|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-26.jpg|208|99.0|MXN|2017-12-01|Padre usa a los cinco alquimistas reunidos para activar el círculo de transmutación en Amestris con el fin de absorber todas las almas del país. Entonces, obtiene el poder similar al de un dios y un nuevo cuerpo físico. Sin embargo, Hohenheim usa su piedra filosofal para regresar las almas del país a sus cuerpos.|978-6-075-28727-0|1|false
Fullmetal Alchemist #27|27|27|/panini-manga-mx/fullmetal-alchemist/fullmetal-alchemist-27.jpg|224|99.0|MXN|2018-01-01|A pesar de la ayuda militar, Ed y los demás no pueden detener a Padre, quien no puede controlar a Dios, así que decide tomar las almas de los que están alrededor para recobrar su fuerza. En tanto, Al decide sacrificarse para que Ed recupere su brazo y, con ello, darle el golpe final a Padre con ayuda de Ling-Greed. Por fin, Padre es derrotado y los hermanos Elric recuperan sus cuerpos, ¿pero a qué precio? ¡Por fin llega la conclusión de una de las historias más emblemáticas de la historia del manga!|978-6-075-28856-7|1|false
