NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Gantz #1|1|1|/panini-manga-mx/gantz/gantz-01.jpg|216|99|MXN|2015-09-16|¡Vuelve a México el manga seinen Gantz de Hiroya Oku! Kurono y Kato debieron haber muerto tras ser arrollados por un tren dentro del metro, pero solo un segundo después se encuentran misteriosamente encerrados en un cuarto. Kurono y los demás reciben órdenes de una extraña esfera negra: deben asesinar a los alienígenas cebollenses. Sin entender claramente la situación, son llevados a donde se encuentran los alienígenas. De alguna manera logran matar a uno de los alienígenas, pero justo entonces aparece otro más grande y peligroso.|978-6075280226|1|FALSE
Gantz #2|2|2|/panini-manga-mx/gantz/gantz-02.jpg|224|99|MXN|2015-10-21|"""El cebollense adulto ?enfurecido por el asesinato del cebollense joven? mató cruelmente a los miembros del grupo y a los yakuza. Todo alrededor se volvió un mar de sangre. Kurono, quien apareció más tarde, huyó temeroso, pero fue alcanzado por el cebollense. Kato apareció en medio de esa crisis desesperada, sin embargo, fue cortado en pedazos cuando se interpuso como escudo para proteger a Kurono. Motivado por el sacrificio de Kato, Kurono por fin se levantó y luchó contra el cebollense, pero algo sucedió."""|978-889121101902|1|FALSE
Gantz #3|3|3|/panini-manga-mx/gantz/gantz-03.jpg|224|99|MXN|2015-11-18|Después de acabar con el cebollense y salir con vida, Kurono empezaba a acostumbrarse a su vida diaria. Sin embargo, vuelve a ser llamado por Gantz. Nuevamente, se reúne un grupo de personas que deberían estar muertas: motociclistas asesinados en una riña de pandillas, una abuela y su nieta fallecidas en un accidente y una pareja llamada Hojo y Sadako. Otra vez, Nishi, Kurono y los demás son transportados a esa misteriosa habitación. Una vez ahí recibirán, junto con los recién llegados, la misión de ¡acabar con el alien Tanaka!|978-889121101903|1|FALSE
Gantz #4|4|4|/panini-manga-mx/gantz/gantz-04.jpg|224|99|MXN|2015-12-16|"Kurono y los demás reciben instrucciones para capturar al alienígena Tanaka. Inmediatamente después de ser enviado por Gantz, Kurono se encuentra con él, quien, con un semblante macabro y acompañado de pequeñas criaturas, continúa su camino ignorando a Kurono. ""¿Yuzo-Kun?"" es la misteriosa palabra que pronuncia al encontrarse con Kurono y los demás. Por otra parte, vemos como Nishi, aun en su estado invisible, es atacado por el alien Tanaka. Este último contraataca con un increíble ataque sonoro. ¡Además muchos de los misterios que guarda Nishi finalmente son develados!"|978-889121101904|1|FALSE
Gantz #5|5|5|/panini-manga-mx/gantz/gantz-05.jpg|224|99|MXN|2016-01-20|Amenazado por los motociclistas y obligado a buscar a los alienígenas, Kurono entra a unos departamentos abandonados en busca de los alienígenas Tanaka. Allí encuentra a un alienígena Tanaka gigante. Al intentar huir es capturado por este, pero al final obtiene la victoria en los cielos. Por otra parte, el motociclista sobreviviente es eliminado a su regreso a la realidad por usar el arma de Gantz. Y, nuevamente, son llamados a la habitación junto con nuevos participantes.|978-140124750805|1|FALSE
Gantz #6|6|6|/panini-manga-mx/gantz/gantz-06.jpg|224|99|MXN|2016-02-17|Kishimoto, Kato y Kurono junto con un grupo de novatos desconcertados deben enfrentar a unos alienígenas con apariencia de enormes estatuas de Buda mientras su trabajo es entorpecido por un monje que afirma que todo lo que están viviendo es una experiencia de transito entre vidas. Por otro lado, Kurono sufre el rechazo de Kishimoto lo que lo empuja a actuar de una manera impulsiva tanto en sus relaciones con los demás como en el ataque contra los alienígenas, Kato nota lo anterior y se preocupa porque Kato se parece cada vez más a Nishi.|978-140124750806|1|FALSE
Gantz #7|7|7|/panini-manga-mx/gantz/gantz-07.jpg|224|99|MXN|2016-03-16|El grupo es aplastado por el abrumador y gigantesco alienígena con forma de Buda. Incluso esto sobrepasa la capacidad del trabajo en equipo, pero Kurono acaba con el buda gigante de un solo golpe. Sin embargo, cuando creían que habían eliminado al jefe, inmediatamente después aparece un enemigo aún más poderoso frente a Houjou y Sadako. Por otro lado, Kishimoto pierde la vida protegiendo a Kato. ¡Kurono enfurece y ataca al enemigo, pero es derrotado!|978-140124750807|1|FALSE
Gantz #8|8|8|/panini-manga-mx/gantz/gantz-08.jpg|224|99|MXN|2016-04-20|"Al regresar a la habitación, Kurono se encuentra solo y se da cuenta de que todos sus compañeros murieron. De regreso a su vida normal, Kurono empieza a relacionarse con un estudiante transferido recientemente a su escuela, el cual se parece mucho a Kato y además parece saber sobre Gantz. Este chico le muestra a Kurono un sitio de Internet en el que se discute la existencia de una extraña ""habitación con una esfera negra""."|978-140124750808|1|FALSE
Gantz #9|9|9|/panini-manga-mx/gantz/gantz-09.jpg|224|99|MXN|2016-05-18|"Kurono se enfrenta a un nuevo desafío y es transportado completamente solo a una misión en la azotea de un edificio. Es la primera vez que no completa una misión debido a la gran fuerza del alienígena enanense, quien persigue a Kurono hasta su escuela e inicia una masacre con el fin de exterminarlo. Kurono logra reunir valor de nuevo para enfrentar al alienígena después de ver como eran asesinados sus compañeros. ""Gantz me matará tarde o temprano"" - Kurono""Solo estaba impartiendo justicia"" - Alienígena enanense""Esto parece salido de una pesadilla"" - Kurono"|978-140124750809|1|FALSE
Gantz #10|10|10|/panini-manga-mx/gantz/gantz-10.jpg|108|99|MXN|2016-06-15|"Kurono, quien protege a Kojima, logra acabar con el alienígena enanense en medio del cerco policiaco. Sin embargo, a pesar de que todo el equipo de operaciones táctica atestiguó la existencia del alienígena, no revelan información sobre la existencia del mismo. Además, hay gente nueva: Sakurai, un chico que intentaba suicidarse, se hace con una nueva habilidad; y Kaze, un hombre que busca ser el más fuerte de todo el mundo. ¡¿Acaso su destino es formar parte del mundo de Gantz?!""Gantz va a matarme."" - Kurono""A pesar de haberlo visto, la policía guarda silencio"". - Kurono""¿Tú eres el más fuerte de esta escuela?"" - Kaze""Vine para darte este poder."" - Sakata"|978-140124750810|1|FALSE
Gantz #11|11|11|/panini-manga-mx/gantz/gantz-11.jpg|224|99|MXN|2016-07-27|Izumi, el estudiante transferido, muestra gran interés en Kurono. Le confiesa que desea entrar nuevamente en el mundo de Gantz y llevarse consigo nuevos reclutas por orden de la esfera negra. La manera de cumplir con los deseos de Gantz es llevar a cabo una gran matanza en Shinjuku en un día domingo. Kurono hace caso omiso, pero cuando se entera de que Kojima, su novia, se encuentra en Shinjuku, no le queda otra que dirigirse hasta ahí. Mientras tanto, ¡Izumi convierte el distrito de Shinjuku en un mar de sangre! ¡Volveré a la habitación el próximo domingo! - Izumi a KuronoSerás culpable de muertes inocentes. - Izumi a Kurono¡Sal de Shinjuku! - Kurono a Kojima¡¿Espera que me vengue y lo mate?!|978-140124750811|1|FALSE
Gantz #12|12|12|/panini-manga-mx/gantz/gantz-12.jpg|224|99|MXN|2016-08-17|"Izumi perpetra la masacre y toma a Kojima como rehén para atraer a Kurono. Ambos se baten en un duelo, pero son transportados a la habitación. Esta vez, la misión es acabar con dinosaurios. Una vez más, Kurono se encuentra en una situación difícil, ya que debe juntar al menos quince puntos para sobrevivir a la misión; y por si fuera poco, no lleva su traje. De regreso al mundo de Gantz, ¡Izumi deberá enfrentarse nuevamente a alienígenas!Frases""¿Has visto ""westerns""? Resolvamos esto como en las películas"" - Izumi a Kurono""Finalmente estoy en la habitación de Gantz"" - Izumi""Decidí traer personas fuertes."" - Gantz"|978-140124750812|1|FALSE
