NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Golden Kamuy #1|1|1|/panini-manga-mx/golden-kamuy/golden-kamuy-01.jpg|188|109.0|MXN|2019-05-08|Saichi Sugimoto, veterano de la guerra rusojaponesa, se instala en Hokkaidô con la intención de cumplir el último deseo de su mejor amigo, fallecido en la contienda: hacerse cargo de su viuda y el hijo de ambos. Para lograrlo, se une a la fiebre del oro que se extiende por las norteñas tierras de Japón, pero al poco tiempo llega a sus oídos la historia de un fabuloso tesoro robado al pueblo aynu. Uniendo fuerzas a una joven aynu, se embarca en la búsqueda del tesoro sin sospechar que otras fueras ansían esa riqueza.|978-6-075-48930-8|1|false
Golden Kamuy #2|2|2|/panini-manga-mx/golden-kamuy/golden-kamuy-02.jpg|192|109.0|MXN|2019-07-03|Perseguidos por miembros de la séptima división del ejército japonés, Sugimoto y Ashirpa se ven obligados a separarse. Tras burlar a sus perseguidores, ambos se reúnen de nuevo y visitan el poblado aynu de donde proviene Ashirpa. Ahí Sugimoto conoce la familia de la joven y se rodea de sus costumbre y ritos. Temiendo por Ashirpa, decide partir solo en busca de las pieles tatuadas, pero es capturado por el loco teniente Tsurumi, de la primera división. Ashirpa decide partir en su búsqueda con la ayuda de Retar.|978-6-076-34053-0|1|false
Golden Kamuy #3|3|3|/panini-manga-mx/golden-kamuy/golden-kamuy-03.jpg|200|109.0|MXN|2019-09-04|Ashirpa y Shiraishi unen fuerzas para rescatar a Sugimoto, capturado por la poderosa séptima división del ejército imperial a las órdenes del loco teniente Tsurumi.|978-6-076-34175-9|1|false
Golden Kamuy #4|4|4|/panini-manga-mx/golden-kamuy/golden-kamuy-04.jpg|200|109.0|MXN|2019-11-06|Tras enfrentarse a Tetsuzo Nihei, Sugimoto, Ashirpa y Shiraishi regresan al poblado aynu llevando consigo a un malherido Tanigaki. Una vez allí, la abuela de Ashirpa les explica la leyenda del oro aynu y descubren que el tesoro es mucho mayor de lo que imaginaban.|978-6-076-34384-5|1|false
Golden Kamuy #5|5|5|/panini-manga-mx/golden-kamuy/golden-kamuy-05.jpg|208|119.0|MXN|2020-01-15|Sugimoto, Ashirpa y Shiraishi se desplazan hasta la costa de Hokkaido, centro de una frenética actividad pesquera. Entre los pescadores de arenque se esconde Kazuo Henmi, uno de los prisioneros que, tras fugarse de la prisión, no ha dejado de matar.|978-6-076-34519-1|1|false
Golden Kamuy #6|6|6|/panini-manga-mx/golden-kamuy/golden-kamuy-06.jpg|208|119.0|MXN|2020-03-04|De camino a la prisión de Abashiri, Sugimoto y los demás deciden hacer una parada en Sapporo. Sin saberlo, se hospedan en el mismo hotel que Ushiyama el Invencible, hotel que además es propiedad de uno de los presos que se fugaron. Mientras tanto, Toshizo Hijikata y los suyos llegan a Barato, un pueblo que se volvió una tierra sin ley debido al conflicto entre dos bandas que luchan por su control.|978-6-076-34672-3|1|false
Golden Kamuy #7|7|7|/panini-manga-mx/golden-kamuy/golden-kamuy-07.jpg|208|119.0|MXN|2020-07-01|Tras el enfrentamiento en Barato entre dos grupos rivales, Sugimoto y los demás se dirigen al oeste. De camino, se detienen en el pueblo de la tía abuela de Ashirpa, donde conocen a una misteriosa mujer que puede ver el futuro. Shiraishi ve su oportunidad y la acompaña hasta el hipódromo para usar sus dones para la adivinación y hacer una fortuna. Entretanto, Ashirpa está decidida a ayudar a su tía abuela a recuperar un tesoro familiar: un vestido de piel de foca malvendido a un ranchero americano.|978-6-076-34789-8|1|false
Golden Kamuy #8|8|8|/panini-manga-mx/golden-kamuy/golden-kamuy-08.jpg|208|119.0|MXN|2020-08-05|La pista del mapa tatuado en la piel de los presos lleva a Sugimoto y a los demás a Yubari, un pueblo minero. Pero no son los únicos que van tras él. El teniente Tsurumi también llega a Yubari en su búsqueda por el origen del libro. Allí se encuentra con Edogai, un disecador perturbado que roba cuerpos recién fallecidos para satisfacer sus extraños apetitos de taxidermista. Con la ayuda de Edogai, el teniente Tsurumi pretende crear falsificaciones de los tatuajes con la ruta hacia el escondite del oro, y confundir a sus rivales.|978-6-076-34949-6|1|false
Golden Kamuy #9|9|9|/panini-manga-mx/golden-kamuy/golden-kamuy-09.jpg|210|119.0|MXN|2020-10-07|Tras descubrir que el teniente Tsurumi, con la ayuda de Edogai, fabricó varias pieles tatuadas falsas, Sugimoto y Hijikata deciden unir fuerzas e ir a buscar a un famoso falsificador para que los ayude y les permita distinguir los tatuajes auténticos. Deciden separarse en dos grupos y reunirse de nuevo en Tsukigata, en cuya prisión de Kabato está encarcelado Kumagishi el falsificador.|978-6-075-68035-4|1|false
Golden Kamuy #10|10|10|/panini-manga-mx/golden-kamuy/golden-kamuy-10.jpg|194|119.0|MXN|2020-12-02|Shiraishi es capturado por miembros de la séptima división, que se lo llevan a su cuartel general en Asahikawa.Viendo que tras la muerte de Choan Kumagishi no van a poder distinguir los tatuajes falsos de los auténticos, el grupo de Sugimoto decide rescatar a Shiraishi para que los ayude a entrar en contacto con el hombre sin rostro, preso en Abashiri.|978-6-075-68129-0|1|false
Golden Kamuy #11|11|11|/panini-manga-mx/golden-kamuy/golden-kamuy-11.jpg|202|119.0|MXN|2021-02-03|¡Sangre y pasión en este nuevo tomo de Golden Kamuy, cortesía de una inseparable pareja de bandidos adictos a la adrenalina! Cada vez son más los que siguen la pista de las pieles tatuadas y mayores los riesgos para Sugimoto y sus amigos. ¿Quién va a obtener el tatuaje de Kushiro? ¿Y por qué huye Tanigaki? ¡El viaje por las montañas de Hokkaido continúa!|978-6-075-68187-0|1|false
Golden Kamuy #12|12|12|/panini-manga-mx/golden-kamuy/golden-kamuy-12.jpg|202|119.0|MXN|2021-03-03|Shiton Anehata, el profesor zoófilo, está decidido a hacer realidad su fantasía y no se detendrá ante nada, ni siquiera ante un oso pardo capaz de arrancarle la cabeza de un solo zarpazo. El violador de kamuy no es santo de su devoción, pero, si quieren obtener su tatuaje intacto, Sugimoto y los demás deberán llegar a él antes de que él llegue al oso... ¿Lo conseguirán? Osos, langostas y un nuevo grupo de bandidos un poco peculiares... ¿¡Qué otros peligros esperan a nuestros cazadores de tesoros!?|978-6-075-68232-7|1|false
Golden Kamuy #13|13|13|/panini-manga-mx/golden-kamuy/golden-kamuy-13.jpg|202|119.0|MXN|2021-04-07|¡¡Desnudos, desarmados y desorientados!! ¡Así es como deberán pelear Sugimoto y su equipo si quieren salir vivos de la emboscada que les tendió el grupo de Anji Toni, el bandido ciego! ¿Lograrán sobrevivir hasta el amanecer? La prisión de Abashiri está cada vez más cerca... ¡¡Un último esfuerzo!!|978-6-075-68297-6|1|false
Golden Kamuy #14|14|14|/panini-manga-mx/golden-kamuy/golden-kamuy-14.jpg|208|129.0|MXN|2021-05-05|"Sugimoto, Shiraishi y Ashirpa consiguen entrar a la celda del hombre sin rostro, pero en cuanto la joven aynu cruza la mirada con él y este empieza a gritar, se dan cuenta de que les tendieron una trampa. Entrar fue ""fácil"", pero ahora deben salir y enfrentarse al ejército personal de Inudo y a una séptima división a la que nadie esperaba y que está dispuesta a arrasar con todo lo que se cruce en su camino... Una noche de duelos a muerte, traiciones y pérdidas de la que nadie saldrá ileso. ¡El rumbo de nuestros protagonistas está a punto de cambiar!"|978-6-075-68376-8|1|false
