NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Hell's Paradise #1|1|1|/panini-manga-mx/hells-paradise/hells-paradise-01.jpg|208|119.0|MXN|2021-06-16|Gabimaru es un shinobi que ha dedicado su vida al asesinato y al crimen; ahora, aparentemente apático y decepcionado, se prepara para morir. pero la verdugo Sagiri Yamada reconoce cierta voluntad de vivir en el joven y le propone un trato: recuperará su libertad si viaja a una extraña isla distante y se apodera del Elixir de la Inmortalidad. Gabimaru acepta, pero no estará solo, pues la misión también le fue encomendada a muchos otros peligrosos individuos.|978-6-075-68402-4|1|false
Hell's Paradise #2|2|2|/panini-manga-mx/hells-paradise/hells-paradise-02.jpg|208|119.0|MXN|2021-08-18|Tras un peligroso ataque por parte de los aberrantes seres de la isla, Gabimaru y Sagiri deciden hacer equipo con la kunoichi Yuzuriha y sus guardianes, Genji y Senta. No obstante, los monstruos no son la única amenaza que acecha: Rokurota, gigante poseedor de una fuerza inmensa, los ataca repentinamente y los somete con facilidad. En esta situación desesperada, Gabimaru idea un plan que consiste en utilizar el terreno a su favor, pero es sumamente arriesgado. ¿Podrán sobrevivir a esta sangrienta batalla?|978-6-075-68541-0|1|false
Hell's Paradise #3|3|3|/panini-manga-mx/hells-paradise/hells-paradise-03.jpg|208|119.0|MXN|2021-11-03|Gabimaru y compañía libran un combate contra un extraño hombre árbol, pero, para sorpresa de todos, este decide invitarlos a su aldea para que coman y descansen. Ahí conviven con Mei, una niña humana, y se enteran de muchos detalles esenciales sobre la isla. Mientras tanto, Tenza y Nurugai son salvados de morir a manos de un extraño ser inmortal por Shion, maestro espadachín de los Yamada Asaemon, pero las cosas no serán tan sencillas. Por su parte, Gabimaru enfrenta a un enemigo letal.|978-6-075-68698-1|1|false
Hell's Paradise #4|4|4|/panini-manga-mx/hells-paradise/hells-paradise-04.jpg|208|119.0|MXN|2022-01-05|Justo después de establecer una alianza con Gantetsusai y su guardián, Fuchi, Gabimaru es atacado por dos doshi, una nueva clase de monstruos con inteligencia, pero gracias a Mei, comprende cómo manipular el tao y obtiene información muy importante. Mientras tanto, los hermanos Aza, Shion y Nurugai también libran batallas para sobrevivir y, por si fuera poco, conoceremos más a fondo a los Tensen, seres iluminados que en realidad son uno mismo.|978-6-075-68808-4|1|false
Hell's Paradise #5|5|5|/panini-manga-mx/hells-paradise/hells-paradise-05.jpg|208|129.0|MXN|2022-02-16|Sagiri y sus compañeros finalmente llegan a Horai, pero un terrible oponente los espera: Mu Dan, un Tensen que domina el poder del Tao y que planea usarlos para hacer experimentos. La batalla no tarda en iniciar: Sagiri y Yuzuriha sorprenden a su rival, sin embargo, él esgrime un poder demasiado grande. Mientras tanto, Gabimaru recupera la consciencia, aunque parece que perdió parte de su memoria.|978-6-075-68880-0|1|false
Hell's Paradise #6|6|6|/panini-manga-mx/hells-paradise/hells-paradise-06.jpg|208|129.0|MXN|2022-03-16|Una vez que concluye su combate contra Chobee, Gabimaru finalmente se reúne con sus compañeros, pero sus recuerdos aún no están en orden, así que Sagiri intenta ayudarlo a recordar por medio del Tao. Ahora los Yamada Azaemon y los criminales sobrevivientes intentarán escapar de la isla. Mientras tanto, Chobee libra una batalla contra Rien, uno de los Tensen, pero la conclusión es inesperada. ¿Formarán una alianza?|978-6-075-68934-0|1|false
Hell's Paradise #7|7|7|/panini-manga-mx/hells-paradise/hells-paradise-07.jpg|208|129.0|MXN|2022-04-20|El grupo adicional enviado por el Shogunato finalmente arriba a la isla, y cuando Shugen se entera de que sus compañeros del clan fueron asesinados, decide aniquilar a todos los sobrevivientes. Mientras tanto, Gabimaru y los demás trazan un plan para combatir contra los Tensen y hallar una vía de escape, pero Chobee los delata con los inmortales. ¡Una terrible batalla está a punto de comenzar!|978-6-076-36000-2|1|false
Hell's Paradise #8|8|8|/panini-manga-mx/hells-paradise/hells-paradise-08.jpg|208|129.0|MXN|2022-06-08|Gabimaru y Yuzuriha continúan combatiendo contra Ran, quien asumió su forma de kishikai, pero no logran detener su regeneración aunque lo atacan una y otra vez, así que ponen en práctica una técnica sumamente arriesgada. Por su parte, Gantetsusai, Fuchi y Toma se encuentran con Ju Hua, Tao Hua y Chobee, pero un movimiento súbito de los hermanos Aza le da un giro inesperado a los acontecimientos.|978-6-076-36140-5|1|false
Hell's Paradise #9|9|9|/panini-manga-mx/hells-paradise/hells-paradise-09.jpg|208|129.0|MXN|2022-07-06|Tao Hua y Ju Hua están a punto de ser derrotados por Gantetsusai, Fuchi y los hermanos Aza, así que deciden fusionarse en un solo kishikai para multiplicar sus poderes. Mientras tanto, Shion y Nurugai combaten contra Zhu Jin. Finalmente, Gui Hua, un Tensen que no tiene interés en combatir, les revela a Sagiri y a Mei el espantoso plan de Rien: ¡convertir en Tan a todos los habitantes de Japón por medio de las mariposas de la isla!|978-6-076-36160-3|1|false
Hell's Paradise #10|10|10|/panini-manga-mx/hells-paradise/hells-paradise-10.jpg|208|129.0|MXN|2022-08-03|"Las diversas facciones se enfrascan en más y más combates caóticos, y la aparición del gigantesco monstruo producto de la fusión de Banko con el Tensen Zhu Jin no hace sino aumentar el caos que impera en la isla. En medio de esta tormenta mortal, Shija finalmente se reúne con Gabimaru y Sagiri y se dispone a aniquilarlos, pero ""el Vacío"" está dispuesto a todo para averiguar la verdad sobre su esposa."|978-6-076-36276-1|1|false
