NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
High School DxD #1|1|1|/panini-manga-mx/high-school-dxd/high-school-dxd-01.jpg|192|99.0|MXN|2015-10-28|"Issei Hyoudou, un estudiante de preparatoria sin éxito con las mujeres, ¡milagrosamente consiguió su primera novia! O al menos eso creía. De repente, ¡¿su novia lo asesinó?! Parecía que Issei tenía muy mala suerte, pero fue rescatado de las garras de la muerte por Rias, la chica más bella de la Academia. Lo que Rias le contó después fue de verdad impactante: ""¡Renacerás como demonio y trabajarás para mí!"" ¡Aquí comienza la vida de Issei como demonio esclavizado! ¿Logrará tener su harén?"|000-0000000000|1|false
High School DxD #2|2|2|/panini-manga-mx/high-school-dxd/high-school-dxd-02.jpg|192|99.0|MXN|2015-11-25|"Issei volvió a la vida como esclavo de Rias-senpai, la belleza número uno de la Academia y miembro de una importante familia demoniaca. Después de su regreso a la vida, Issei se hizo ""amigo"" de la hermana Asia, quien se supone debería ser enemiga de los demonios. ¿La monja y el demonio, se encaminan hacia un trágico amor prohibido? La Academia está llena de chicas guapas, fantasía, comedia, y amor. ¡Las batallas también son fascinantes!"|000-0000000000|1|false
High School DxD #3|3|3|/panini-manga-mx/high-school-dxd/high-school-dxd-03.jpg|192|99.0|MXN|2015-12-16|El estudiante convertido en demonio, Issei Hyoudou, entrena diario y arduamente a fin de alcanzar su futuro ideal: ser el rey de un harén. Mientras tanto, su ama, la presidenta Rias, lo sorprende ¡con el anuncio de su compromiso matrimonial! Está comprometida con un atractivo hombre llamado Riser Phoenix.|000-0000000000|1|false
High School DxD #4|4|4|/panini-manga-mx/high-school-dxd/high-school-dxd-04.jpg|192|139.0|MXN|2016-01-27|-|000-0000000000|1|false
High School DxD #5|5|5|/panini-manga-mx/high-school-dxd/high-school-dxd-05.jpg|192|99.0|MXN|2016-03-02|Issei no puede creer su buena suerte: ahora, además de Asia, Rias también vive en su su casa. Akeno parece sentirse un poco excluida de la convivencia y le lanza una propuesta explosiva a Issei. Se puede sentir en el aire que una batalla sangrienta se aproxima por el control de las espadas sagradas, Yuuto parece ser el más afectado, ¿algún oscuro secreto del pasada está por salir a la luz? ¡Continúa la explosiva comedia escolar de batallas y fantasía!|000-0000000000|1|false
High School DxD #6|6|6|/panini-manga-mx/high-school-dxd/high-school-dxd-06.jpg|192|99.0|MXN|2016-03-23|¡Los deseos carnales de Issei se calientan tanto como la disputa que rodea a las espadas sagradas! ¡Las excalibur robadas han sido traídas a la ciudad! Los demonios, la iglesia, los ángeles caídos, se complican las expectativas de cada uno de los poderes. Justo entonces, el oscuro pasado de Kiba, portador de las espadas demoniacas, se esclarece.|000-0000000000|1|false
High School DxD #7|7|7|/panini-manga-mx/high-school-dxd/high-school-dxd-07.jpg|192|99.0|MXN|2016-04-27|"¡¿Los demonios, ángeles y ángeles caídos se reúnen en la Academia?! ¡Sirzechs-Sama, el rey demonio, llega a la casa de los Hyoudou! ¡La familia de Issei está perpleja y más aún por la sorprendente noticia que trae! Además, Xenovia -la hermosa espadachín- guarda un deseo oculto en su pecho: ¡¿Dijiste ""hagamos un bebé juntos""?!"|000-0000000000|1|false
High School DxD #8|8|8|/panini-manga-mx/high-school-dxd/high-school-dxd-08.jpg|192|99.0|MXN|2016-05-25|"""¡Quiero hacer obscenidades con la presidenta!"" ¡¿Issei lanza una ""bola salvaje"" durante la importante reunión?! Arcángeles, demonios y ángeles caídos, todos presentes en una ""reunión de alto nivel con triple punto estable"", pero ¡¿la reunión que busca la paz a tientas será el objetivo del ataque de una misteriosa fuerza?! ""No quiero volver a ver las lágrimas de la presidenta"" - Issei""Los celos de la presidenta Rias están a tope"" - Akeno""Como Emperador Dragón Rojo, ¿qué quieres hacer con el mundo?"" - Vaali"|000-0000000000|1|false
High School DxD #9|9|9|/panini-manga-mx/high-school-dxd/high-school-dxd-09.jpg|192|99.0|MXN|0000-00-00|¡Es verano! Durante su visita a las tierras del inframundo, ¡surge repentinamente el plan de un Rating Game que enfrente a los Gremory contra los Sitri! Issei y los demás han comenzado a entrenar con fuerza pero, por algún motivo, la condición de Koneko-Chan se torna muy extraña. ¡Comienza una nueva historia de combate, fantasía y amor escolar!|000-0000000000|1|false
High School DxD #10|10|10|/panini-manga-mx/high-school-dxd/high-school-dxd-10.jpg|212|99.0|MXN|0000-00-00|"Bikou, también conocido como ""Songoku"" en la ""Brigada Khaos"", y Kuroka, la hermana mayor de Kaneko-Chan, atacan a los miembros del Club de Investigación de lo Oculto, quienes acaban de concluir con su duro entrenamiento. Issei es víctima de una poderosa técnica llamada ""Senjutsu"", y tal parece que las siguientes palabras son la clave para alcanzar el Balance Breaker: ""¡PRESIDENTA, DÉJAME PRESIONAR TUS PEZONES, POR FAVOR!"""|000-0000000000|1|false
High School DxD #11|11|11|/panini-manga-mx/high-school-dxd/high-school-dxd-11.jpg|192|99.0|MXN|0000-00-00|"El fatídico ""Rating Game"" finalmente ha comenzado. A pesar de que Rias cuenta con un gran equipo, se enfrentan contra los miembros del equipo de Souna, a quienes no les importa arriesgar su vida. Cuando la situación se vuelve desesperada, ¡se activa la técnica más poderosa de Issei! ¡Ahora su objetivo son los pechos de Souna y de las chicas de su equipo!"|000-0000000000|1|false
