NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
I am a Hero #1|1|1|/panini-manga-mx/i-am-a-hero/i-am-a-hero-01.jpg|200|69|MXN|2015-01-21|¿Qué se necesita para ser un héroe? Sea cual sea la respuesta, Hideo Suzuki no parece serlo. Y es que, entre sus reflexiones sobre su mediocre vida como ayudante y las alucinaciones que lo persiguen, sin duda no es el indicado para actuar cuando el mundo se vuelva un lugar aterrador. Pero a veces no hay elección: el caos se desata y solo puedes dejarte vencer… o ponerte una gorra, cargar tu escopeta y gritar I am a HERO!|977-112000000000|1|FALSE
I am a Hero #2|2|2|/panini-manga-mx/i-am-a-hero/i-am-a-hero-02.jpg|200|69|MXN|2015-03-04|Qué harías si al llegar a casa de tu novia, en lugar de a ella encontraras a un terrorífico monstruo que derribara la puerta para alcanzarte? Esto es lo que le pasó al mangaka Hideo Suzuki, aunque él, entre sus alucinaciones y lo terrible que puede ser el mundo, ya no sabe si lo ocurre es real o una más de sus visiones. ¡Enfréntate al holocausto zombie más terrorífico que puedas imaginar, en este magistral I am a HERO #2!|977-112000000000|1|FALSE
I am a Hero #3|3|3|/panini-manga-mx/i-am-a-hero/i-am-a-hero-03.jpg|200|69|MXN|2015-03-25|Para ser sólo un “personaje secundario”, Hideo Suzuki ha sobrevivido a bastantes cosas en esta mañana en la que un monstruoso caos de gente comiéndose entre sí se ha desatado y todas las personas con las que interactuaba han muerto. Sin embargo, no es tiempo de descansar: en el tren en el que subió hay peligro, pues un pasajero ha empezado a morder a otros. Descubre al héroe que llevas dentro en el fenomenal I am a Hero #3.|977-112000000000|1|FALSE
I am a Hero #4|4|4|/panini-manga-mx/i-am-a-hero/i-am-a-hero-04.jpg|200|69|MXN|2015-05-06|Hideo y Hiromi han tenido un abrupto primer día juntos, escapando del bosque de los suicidas, donde los monstruos del refugio, entre los que estaban las amigas de Hiromi, los persiguieron. Ahora, luego de enterarse de que todo se debe a una enfermedad, probarán suerte en la quinta estación del Monte Fuji, donde –se dice– los monstruos no llegan.|977-112000000000|1|FALSE
I am a Hero #5|5|5|/panini-manga-mx/i-am-a-hero/i-am-a-hero-05.jpg|200|69|MXN|2015-05-27|Hideo y Hiromi han tenido un abrupto primer día juntos, escapando del bosque de los suicidas, donde los monstruos del refugio, entre los que estaban las amigas de Hiromi, los persiguieron. Ahora, luego de enterarse de que todo se debe a una enfermedad, probarán suerte en la quinta estación del Monte Fuji, donde –se dice– los monstruos no llegan. El problema es que para alcanzar ese lugar deben viajar con cientos de personas. Y donde hay cientos de personas puede haber cientos de monstruos.|977-112000000000|1|FALSE
I am a Hero #6|6|6|/panini-manga-mx/i-am-a-hero/i-am-a-hero-06.jpg|200|69|MXN|2015-06-24|Hideo ha encontrado un compañero de fatigas en Araki, un fotógrafo que desea inmortalizar los sucesos que están sacudiendo al país. Pero el camino hacia el centro comercial donde, según los foros de Internet, se concentran los supervivientes está plagado de peligros… sin contar con el que llevan en el coche.|977-112000000000|1|FALSE
I am a Hero #7|7|7|/panini-manga-mx/i-am-a-hero/i-am-a-hero-07.jpg|200|69|MXN|2015-08-05|Aunque Hiromi fue mordida, su transformación no ha sido peligrosa para Hideo. Al contrario: siempre que la mantenga calmada, ella lo defiende de todos los monstruos con los que se cruzan. Sin embargo, ahora que han llegado al centro comercial donde se ha organizado un grupo de sobrevivientes, nadie debe saber de la condición de Hiromi, sobre todo porque no es claro si han llegado a un lugar seguro o a un sitio mucho peor que estar afuera. Descubre qué es peor, los monstruos o los humanos, en I am a Hero #7.|977-112000000000|1|FALSE
I am a Hero #8|8|8|/panini-manga-mx/i-am-a-hero/i-am-a-hero-08.jpg|200|69|MXN|2015-09-02|Los “líderes” del centro comercial se han apoderado de la escopeta de Hideo y lo han arrastrado a una peligrosa misión para buscar comida en el área de restaurantes. Sin embargo, las cosas se están poniendo mal, pues con cada disparo llegan más monstruos. Ahora dependerá de Hideo retomar el control de su escopeta para escapar de ahí, pero para eso debe enfrentar sus miedos. Además, Hiromi, quien podría ser la clave para entender a los ZQN, ha sido atacada y deben sacarla del edificio antes de que muera. ¡Descubre si tienes lo necesario para ser un héroe en I am Hero!|977-112000000000|1|FALSE
I am a Hero #9|9|9|/panini-manga-mx/i-am-a-hero/i-am-a-hero-09.jpg|200|69|MXN|2015-10-07|Impulsado por la urgencia de los monstruos, Hideo por fin se atrevió a disparar su escopeta, y gracias a eso Yabu, Hiromi y él escaparon del centro comercial. Ahora el problema es encontrar un hospital para sacar el clavo que está alojado en el cráneo de Hiromi antes de que la herida se infecte. Además, vemos qué pasó con el editor que tanto rechazó el trabajo de Hideo. ¡Atrévete a explorar un mundo lleno de monstruos con reloj como tu enemigo en este fenomenal I am a Hero #9.|977-112000000000|1|FALSE
I am a Hero #10|10|10|/panini-manga-mx/i-am-a-hero/i-am-a-hero-10.jpg|200|69|MXN|2015-11-04|Gracias a Internet varios sobrevivientes entran en contacto, como resultado sienten esperanza pero también terror al conocer el alcance de la epidemia. Hideo, (quien busca ayudar a Hiromi junto con Yabu) recorre nuevamente las calles de Tokio con su rifle de confianza, allá afuera, la esperanza de vida cae drásticamente con cada día que pasa.|977-112000000000|1|FALSE
