NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Super Once: Inazuma Eleven #1|1|1|/panini-manga-mx/inazuma-eleven/inazuma-eleven-01.jpg|200|89.0|MXN|2018-06-20|Mark Evans, el portero de un equipo que ha perdido todos los partidos, entrena durísimo para convertir al conjunto de la secundaria Raimon en la gran leyenda de Inazuma Eleven: un súper equipo que usaba supertécnicas para ganar. El problema es que intentan disolver al equipo porque es una vergüenza para la secundaria. Solo les darán una oportunidad: si pierden el próximo partido, están acabados. Lo grave es que se enfrentarán contra los ganadores del campeonato nacional. Solamente un milagro los salvará, eso o invocar a Inazuma Eleven.|978-6-075-48230-9|1|false
Super Once: Inazuma Eleven #2|2|2|/panini-manga-mx/inazuma-eleven/inazuma-eleven-02.jpg|200|89.0|MXN|2018-08-29|Mark Evans, el portero de un equipo que ha perdido todos los partidos, entrena durísimo para convertir al conjunto de la secundaria Raimon en la gran leyenda de Inazuma Eleven: un súper equipo que usaba supertécnicas para ganar. El problema es que intentan disolver al equipo porque es una vergüenza para la secundaria. Solo les darán una oportunidad: si pierden el próximo partido, están acabados. Lo grave es que se enfrentarán contra los ganadores del campeonato nacional. Solamente un milagro los salvará, eso o invocar a Inazuma Eleven.|978-6-075-48389-4|1|false
Super Once: Inazuma Eleven #3|3|3|/panini-manga-mx/inazuma-eleven/inazuma-eleven-03.jpg|186|89.0|MXN|2018-10-10|El equipo entero se esfuerza en el partido contra el Instituto Wild, y recordar a Paul les da fortaleza, pero las ganas no serán suficientes contra ese equipo de gigantes. Hay un secreto detrás del accidente de Paul y otro misterio con el equipo de los Cíborgs: ¿podrán los del Instituto Raimon descubrir qué sucedió y por qué los tienen bien vigilados hasta con estadísticas? Deben esforzarse demasiado para llegar a convertirse en lo que tanto anhelan: ¡la leyenda de Inazuma Eleven!|978-6-075-48526-3|1|false
Super Once: Inazuma Eleven #4|4|4|/panini-manga-mx/inazuma-eleven/inazuma-eleven-04.jpg|200|89.0|MXN|2018-12-12|Después de ganar tres partidos en las preliminares regionales, el enfrentamiento más esperado se dará por fin, y será contra Royal Academy. Sabiendo ya de las acciones nefastas del director del equipo enemigo, Ray Dark, se empeñarán más en derrotar al que ha sido hasta ahora el gran rival en su camino a la victoria. No será fácil, menos cuando un director como ese, quien no se detiene ante nada y hace lo que sea para ganar, incluso si debe hacer trampa o delinquir, será muy difícil llegar a ser leyenda.|978-6-075-48556-0|1|false
Super Once: Inazuma Eleven #5|5|5|/panini-manga-mx/inazuma-eleven/inazuma-eleven-05.jpg|192|89.0|MXN|2019-02-13|"Después de la gran exhibición del Instituto Zeus, quienes dicen tener la ""Fuerza de Dios"", Raimon se prepara para continuar con el torneo Futbol Frontier. Mark, como acostumbra, visita la tumba de su abuelo David para platicarle cómo va todo; allí le presentan a alguien que los ayudará en su gran anhelo de convertirse en los Inazuma Eleven, la gran leyenda. Tendrán que enfrentarse a enemigos poderosos, pero, quien más les preocupa es el Instituto Zeus y su director, que resulta ser un antiguo conocido."|978-6-075-48720-5|1|false
Super Once: Inazuma Eleven #6|6|6|/panini-manga-mx/inazuma-eleven/inazuma-eleven-06.jpg|192|89.0|MXN|2019-04-10|Debido a las habilidades del astuto clan del Predicador, se crearon muchos malentendidos, y causaron que dos grandes héroes se enfrentaran. ¿Qué sucederá en una confrontación en la que ninguno de los dos se rendirá? Además del ejército enemigo que llega continuamente, el pueblo de Asakusa cae en un caos. ¿Qué harán el séptimo y octavo cuerpos en un pueblo en llamas y contra los feroces ataques de los encapuchados blancos? ¿Tendrán Shinra y compañía alguna técnica para ponerle fin al enfrentamiento?|978-6-075-48861-5|1|false
Super Once: Inazuma Eleven #7|7|7|/panini-manga-mx/inazuma-eleven/inazuma-eleven-07.jpg|192|89.0|MXN|2019-06-12|Comenzará la Batalla de Rojo y Blanco, una lucha en la que se decidirá quiénes formarán parte de la selección que representará a Japón en el Futbol Frontier Internacional. Todos los integrantes del Instituto Raimon quieren jugar en la selección japonesa, pero. ¿lograrán vencer a tantos rivales poderosos para ser seleccionados? Un nuevo entrenador los prepara, una sorpresiva salida del equipo y muchos enemigos por vencer, todo está en el campo de juego para demostrar quién merece la copa mundial.|978-6-076-34029-5|1|false
Super Once: Inazuma Eleven #8|8|8|/panini-manga-mx/inazuma-eleven/inazuma-eleven-08.jpg|192|89.0|MXN|2019-08-14|Restan pocos minutos para que termine el partido contra Catar, y todos lucen exhaustos. Mientras Axel está tendido en el campo de juego, el equipo debe resolver la situación, pero este delantero tiene un plan para derrotar a los Leones del Desierto. Nada puede parar a Inazuma Japón, excepto por el mejor equipo de la sección de Asia: Corea. ¡¿Cuánto desea la selección japonesa ese mundial?! Mark, Axel, Austin, Caleb y todos los seleccionados tendrán que demostrar de qué está hecho su futbol.|978-6-076-34193-3|1|false
Super Once: Inazuma Eleven #9|9|9|/panini-manga-mx/inazuma-eleven/inazuma-eleven-09.jpg|192|89.0|MXN|2019-10-09|Inazuma Japón acaba de empatar a Corea, y se juega su futuro en el mundial, debe ganar a toda costa, tanto para asistir al FFI como para que Mark pueda llegar a la cima del mundo, sin saber que la cima está en la Isla Liocott: un lugar especialmente preparado para los amantes del futbol. ¿Qué nuevas supertécnicas necesitarán para ganar este partido? ¿Serán suficientes la voluntad y el entrenamiento contra el conjunto más poderoso de Asia? ¡Un enemigo con siglos de historia y de tradiciones los espera en el Futbol Frontier Internacional!|978-6-076-34255-8|1|false
Super Once: Inazuma Eleven #10|10|10|/panini-manga-mx/inazuma-eleven/inazuma-eleven-10.jpg|192|89.0|MXN|2019-12-11|Después de ganarle a la gran selección de Argentina, un equipo poderoso y de gran tradición futbolera, Inazuma Japón se entera de que Italia avanzó a la semifinal ganando contra Estados Unidos: así que el siguiente rival en la semifinal del mundial será Italia, uno de los equipos que siempre ganan los mundiales. Este es el último volumen para llegar a la cima y las sorpresas, tanto para Mark como para el resto del equipo, ¡serán devastadoras!|978-6-076-34465-1|1|false
