NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Inuyashiki #1|1|1|/panini-manga-mx/inuyashiki/inuyashiki-01.jpg|204|119.0|MXN|2018-12-19|Ichiro Inuyashiki sabe que se acerca al final de su vida. No tiene trabajo ni amigos, su familia lo detesta y el único ser que lo quiere es el cachorro que recién compró. Además, acaba de recibir un diagnóstico de cáncer terminal. En eso, es víctima de una explosión en un parque. ¿Por qué su vida está a punto de cambiar?|978-6-075-48616-1|1|false
Inuyashiki #2|2|2|/panini-manga-mx/inuyashiki/inuyashiki-02.jpg|194|119.0|MXN|2019-02-13|Hiro Shishigami fue víctima de la misma “explosión” que Inuyashiki. Pero su enfoque es distinto: ahora que puede hacer todo lo que desee, su único objetivo es matar sin motivo alguno. ¿Qué ocurrirá cuando Inuyashiki descubra que él no es el único que renació?|978-6-075-48707-6|1|false
Inuyashiki #3|3|3|/panini-manga-mx/inuyashiki/inuyashiki-03.jpg|194|119.0|MXN|2019-04-10|Una joven pareja vive feliz y enamorada. hasta que los Yakuza locales deciden que ella será la próxima amante de su líder. Cuando parece que todo está perdido, aparece un anciano frágil que sólo busca hacer el bien. ¿Tendrá Inuyashiki la fuerza suficiente para salvarla?|978-6-075-48849-3|1|false
Inuyashiki #4|4|4|/panini-manga-mx/inuyashiki/inuyashiki-04.jpg|194|119.0|MXN|2019-06-26|Mientras Naoyuki e Inuyashiki siguen buscando opciones para encontrar a Shishigami, este empieza a formar una amistad con Shion, una chica que siempre ha estado enamorada de él. ¿Y qué ocurrirá cuando alguien descubra los actos heroicos de Inuyashiki?|978-6-076-34002-8|1|false
Inuyashiki #5|5|5|/panini-manga-mx/inuyashiki/inuyashiki-05.jpg|200|119.0|MXN|2019-08-14|Mientras Naoyuki e Inuyashiki siguen buscando opciones para encontrar a Shishigami, este empieza a formar una amistad con Shion, una chica que siempre ha estado enamorada de él. ¿Y qué ocurrirá cuando alguien descubra los actos heroicos de Inuyashiki?|978-6-076-34161-2|1|false
Inuyashiki #6|6|6|/panini-manga-mx/inuyashiki/inuyashiki-06.jpg|194|119.0|MXN|2019-10-09|Cuando la tragedia alcanza a Shion y a su abuela, las únicas personas que han sido amables con él a pesar de todo, Shishigami llega al límite. ¡y empieza una venganza que, ha decidido, podría acabar con todo Japón! Mientras tanto, ¡Mari descubre el secreto que su padre les ha ocultado!|978-6-076-34240-4|1|false
Inuyashiki #7|7|7|/panini-manga-mx/inuyashiki/inuyashiki-07.jpg|192|119.0|MXN|2019-12-11|¡Masacre en Shinjuku! Hiro ha decidido vengarse del país completo, así que empieza a matar aleatoriamente a quienes se encuentran en la calle. Cuando decide escalar su ataque a algo inimaginable, ¿habrá algo que Inuyashiki pueda hacer para detenerlo? ¿Y, peor, ahora que su hija Mari se encuentra en peligro?|978-6-076-34436-1|1|false
Inuyashiki #8|8|8|/panini-manga-mx/inuyashiki/inuyashiki-08.jpg|192|119.0|MXN|2020-02-03|¡Inuyashiki logró interrumpir la masacre aérea de Shishigami, y ahora el joven quiere vengarse! Quizá nuestro héroe estaría dispuesto a enfrentarlo en una batalla en el aire, cada uno mostrando de lo que es capaz, ¡de no ser porque su hija Mari está atrapada en un incendio y podría morir! ¿Logrará Inuyashiki vencer a su enemigo y, más importante, llegar a tiempo para salvar a su amada hija?|978-6-076-34628-0|1|false
Inuyashiki #9|9|9|/panini-manga-mx/inuyashiki/inuyashiki-09.jpg|192|119.0|MXN|2020-04-08|Después de salvar a Mari, la familia de Inuyashiki descubre la verdad. ¿Cómo cambiará la relación con sus seres más queridos? Mientras tanto, una visita de Shishigami a Ando le revelará lo mucho que ha perdido. Pero todo cambia cuando se anuncia que un meteorito chocará contra la Tierra, destruyéndola, y afloran los peores instintos de la humanidad. ¿Qué puede hacer un hombre bueno ante eso?|978-6-076-34733-1|1|false
Inuyashiki #10|10|10|/panini-manga-mx/inuyashiki/inuyashiki-10.jpg|192|119.0|MXN|2020-07-01|¡Llega el último capítulo de esta espectacular narración de Hiroya Oku! Inuyashiki por fin tiene todo lo que deseaba: recuperó el amor y respeto de su familia, rescató a su hija Mari, y ha usado sus nuevos poderes para salvar muchísimas vidas. Pero un meteorito destruirá a la Tierra, e Inuyashiki se pregunta si fue por eso que se convirtió en un robot. ¡No te pierdas el final de esta historia!|978-6-076-34859-8|1|false
