NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Jagaaan #1|1|1|/panini-manga-mx/jagaaan/jagaaan-01.jpg|192|139.0|MXN|2019-10-09|"Un trabajo estable, una novia estable, un futuro estable. Eso es lo que tiene Shintaro Jagasaki, un agente de la policía local, y lo odia. Aborrece el hombre en el que se convirtió y no parece poder huir de él. Hasta que un día, durante una de las guardias en la estación, Shintaro ve como, delante de sus narices, la cabeza de un hombre se transforma en una boca gigante con trillones de dientes y una lengua... mortífera. Es un ""metamórfico"", el primero de los miles con quienes Shintaro deberá enfrentarse a partir de ahora. ¿Qué tal se tomará nuestro oscuro héroe este nuevo y aterrador futuro?"|978-6-076-34244-2|1|false
Jagaaan #2|2|2|/panini-manga-mx/jagaaan/jagaaan-02.jpg|192|99.0|MXN|2019-12-11|"Shintaro por fin encontró un sentido a su vida: ahora es un héroe y lo hace increíble. Lo que todavía no sabe es que él no es el único ""héroe"", por así decirlo, y los metamórficos no le van a poner las cosas fáciles. ¿Hasta dónde puede desquiciarse un ser humano? Un árbol que camina, un maestro del espionaje porno y, ¿por qué no? Colmillos. Muchos colmillos. Jagan, ¡tienes trabajo!"|978-6-076-34374-6|1|false
Jagaaan #3|3|3|/panini-manga-mx/jagaaan/jagaaan-03.jpg|192|109.0|MXN|2020-02-05|Jagan no está solo, hay más como él. En contra de la opinión de su camarada, Doku, y quizá también de su instinto, Jagan decide unirse a los Tripe H, guerreros semimetamórficos decididos a luchar por la paz. Pero, ¿qué intereses esconde esa pandilla? ¿Y el mismo Jagasaki? Entretanto, Roba parece haber descubierto el alcance de su nuevo poder y está dispuesto a aprovecharse de él... ¿Son Roba y Jagasaki más parecidos de lo que podría pensarse?|978-6-076-34629-7|1|false
Jagaaan #4|4|4|/panini-manga-mx/jagaaan/jagaaan-04.jpg|224|109.0|MXN|2020-04-01|A los Triple H les queda gusta ser héroes, aunque no todos comparten las mismas intenciones. El grupo es cada día más popular, pero no todos sus miembros se sienten a gusto formando parte de él: algunos quieren más. Otros, en cambio, desearían ir más despacio, como nuestro héroe, pero, al parecer, la transformación empieza a actuar por cuenta propia... Mientras, las investigaciones de Misogi empiezan a dar sus frutos y conoceremos un detalle alarmante sobre las ranas xenófobas.|978-6-076-34734-8|1|false
Jagaaan #5|5|5|/panini-manga-mx/jagaaan/jagaaan-05.jpg|224|109.0|MXN|2020-07-01|Después de que Chiharu esparciera centenares de ranas xenófobas en plena manifestación, los Triple H tienen que luchar con una multitud de metamórficos justo enfrente del Palacio de la Dieta. Son sus propios fans, los seguidores que minutos antes los aclamaban y vitoreaban. Nuestros héroes tendrán que demostrar su valor, y es posible que alguno se quede por el camino. Al fin y al cabo, ellos también son metamórficos... ahora más que nunca.|978-6-076-34860-4|1|false
Jagaaan #6|6|6|/panini-manga-mx/jagaaan/jagaaan-06.jpg|192|109.0|MXN|2020-09-02|El mundo es un lugar diferente después de la muerte de Misogi, o al menos eso parece. Gracias a las bolitas genéricas, los metamórficos están bajo control y poco a poco todo vuelve a la normalidad. Pero Jagasaki pronto descubrirá que sus actividades no pasaron tan desapercibidas como él creía... Alguien lo estuvo vigilando muy de cerca todo este tiempo. Puertas que se cierran y puertas que se abren, como las de la casa compartida donde ahora vive la nueva Airi, que literalmente no es... lo que parece. ¡Nuevas alianzas y giros del destino! ¡Adaptarse o morir!|978-6-076-34984-7|1|false
Jagaaan #7|7|7|/panini-manga-mx/jagaaan/jagaaan-07.jpg|224|109.0|MXN|2020-11-04|Jagasaki y Mikazuchi vuelven a trabajar juntos para atrapar a los semimetamórficos responsables de unos misteriosos y escalofriantes asesinatos en serie. Saben quién será su próxima víctima y su deber es protegerla, pero la vida no es siempre blanco o negro... Los remordimientos vuelven a sacudir a nuestro oscuro protagonista, que cada vez se siente menos héroe y más villano... ¿¡Qué decisión tomará Jagan!?|978-6-075-68102-3|1|false
Jagaaan #8|8|8|/panini-manga-mx/jagaaan/jagaaan-08.jpg|224|109.0|MXN|2021-02-03|Con el propósito de despejar la mente después del último caso de la SKAT, Jagasaki y Bell se disponen a pasársela en grande en un siniestro parque de diversiones, Deader Land. Sin embargo, lejos del descanso que buscaban, la pareja se verá envuelta en los malvados planes de cuatro semimetamórficos, los guardianes de Deader Land. ¿Qué elegirá Jagasaki: salvar al mundo o salvar a Bell?|978-6-075-68193-1|1|false
Jagaaan #9|9|9|/panini-manga-mx/jagaaan/jagaaan-09.jpg|224|109.0|MXN|2021-04-07|Después de fracasar en su intento por salvar a Bell y escapar por muy poco de la muerte, Jagasaki tiene otra oportunidad para vencer a los guardianes de Deader Land enfrentándose al Conejo degollador, ¡aunque este no se lo pondrá nada fácil! A su vez, Mikazuchi se las verá con Hoichi el Loco, el guardián del área A, un individuo tranquilo y aparentemente inofensivo, pero que cuenta con una misteriosa y letal habilidad. Dos enfrentamientos que no solo pondrán a prueba las capacidades de la SKAT, sino también su moral... ¡El pasado no descansa nunca!|978-6-075-68299-0|1|false
Jagaaan #10|10|10|/panini-manga-mx/jagaaan/jagaaan-10.jpg|224|119.0|MXN|2021-07-14|Cinco meses después del catastrófico enfrentamiento en Deader Land, Jagasaki continúa decidido a llevar a cabo su venganza, esta vez por sí solo. Aun así, Nomen y su organización son demasiado poderosos, por lo que tendrá que tener nuevas armas... y soldados. Cuando la amistad y la confianza dejan de ser una opción, tal vez el vínculo más fuerte sea el de la venganza, pero... ¿estará dispuesto a entregar su vida solo para quitar otra?|978-6-075-68444-4|1|false
