NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
JoJo's Bizarre Adventure - Parte 4: Diamond Is Unbreakable #1|1|1|/panini-manga-mx/jojos-bizarre-adventure-diamond-is-unbreakable/jojos-bizarre-adventure-diamond-is-unbreakable-01.jpg|312|149|MXN|2019-12-25|Josuke Higashikata es un estudiante de preparatoria que vive en la pequeña ciudad de Morio. A primera vista es un chico tímido; no le teme a desplegar todo el poder de su Stand si alguien se burla de su cabello que luce con tanto orgullo. Josuke lleva la sangre de Jonathan, y es visitado por Jotaro Kujo, quien al ver el Stand de Josuke se pregunta sobre el peligro que se cierne sobre la ciudad de Morio.|978-6-076-34365-4|1|FALSE
JoJo's Bizarre Adventure - Parte 4: Diamond Is Unbreakable #2|2|2|/panini-manga-mx/jojos-bizarre-adventure-diamond-is-unbreakable/jojos-bizarre-adventure-diamond-is-unbreakable-02.jpg|312|149|MXN|2020-01-29|Josuke logra derrotar a Keicho Nijimura a pesar de las serias heridas causadas por su Stand: Bad Company. Luego intenta destruir el Arco y la Flecha, un arma capaz de despertar el poder para manifestar Stands en cualquier persona a la que se le dispare, pero en ese instante un Stand desconocido los roba. Y una vez más, un hombre que fue convertido en usuario de Stand por el Arco y la Flecha hace aparición frente a Koichi.|978-6-076-34570-2|1|FALSE
JoJo's Bizarre Adventure - Parte 4: Diamond Is Unbreakable #3|3|3|/panini-manga-mx/jojos-bizarre-adventure-diamond-is-unbreakable/jojos-bizarre-adventure-diamond-is-unbreakable-03.jpg|312|149|MXN|2020-03-11|Yukako Yamagishi, una mujer muy hermosa, pone en un grave aprieto a Koichi al declararle su amor inesperadamente. Ella resulta ser una usuaria de Stand sin malas intenciones, sin embargo, vive en su propio mundo y sus acciones se tornan más extremas a cada segundo hasta el grado de intentar algo excesivo con Koichi. Josuke y compañía sienten que su pequeño amigo está en peligro y crean un plan para sacarlo del aprieto, pero. ¿funcionará? Y el retorno de un enemigo pasado reúne a los usuarios más experimentados.|978-6-076-34630-3|1|FALSE
JoJo's Bizarre Adventure - Parte 4: Diamond Is Unbreakable #4|4|4|/panini-manga-mx/jojos-bizarre-adventure-diamond-is-unbreakable/jojos-bizarre-adventure-diamond-is-unbreakable-04.jpg|312|149|MXN|2020-03-25|¡Solo faltan 20 minutos para que Joseph llegue a la bahía! Okuyasu intenta vengar a su hermano, sin embargo, termina cayendo en la trampa de Red Hot Chili Pepper. Luego Chili Pepper logra escapar hasta la bahía, pero Josuke y compañía lo siguen y se prepararan para el combate. Justo cuando el barco de Joseph se ve en el horizonte, ¡el usuario de Chili Pepper muestra su rostro convencido de la victoria! Además, un mangaka famoso decide vivir en Morio para alejarse de la ajetreada ciudad de Tokio, pero Koichi y Hazamada, grandes admiradores del manga, no se resistirán a invadir su privacidad.|978-6-076-34688-4|1|FALSE
JoJo's Bizarre Adventure - Parte 4: Diamond Is Unbreakable #5|5|5|/panini-manga-mx/jojos-bizarre-adventure-diamond-is-unbreakable/jojos-bizarre-adventure-diamond-is-unbreakable-05.jpg|312|149|MXN|2020-07-15|Los dos hermanos deben marchar a una cacería inaudita: ¡en busca de una rata! Este roedor fue herido por el arma que convierte a los seres normales en seres con Stand, el Arco y la Flecha esta vez transforman a una rata, cuyas habilidades se potencian increíblemente. Después, Koichi se reencuentra con el mangaka Rohan Kishibe, pero esta vez no pelean porque ambos deben superar una prueba de un mundo extraño. También otros heridos por el Arco y la Flecha recuerdan a antiguos bobos con poderes. ¡Morio se ha convertido en un lugar atestado de Stands!|978-6-076-34735-5|1|FALSE
JoJo's Bizarre Adventure - Parte 4: Diamond Is Unbreakable #6|6|6|/panini-manga-mx/jojos-bizarre-adventure-diamond-is-unbreakable/jojos-bizarre-adventure-diamond-is-unbreakable-06.jpg|312|149|MXN|2020-08-19|Josuke y Okuyasu se enfrentan en una encarnizada batalla contra Shigechi por los cinco millones de yenes que ganaron en la lotería. La batalla se torna muy difícil ante la superioridad numérica del Stand Harvest, sin embargo, logran derrotarlo utilizando la cabeza. Después de una ligera charla, logran hacer las paces con Shigechi, quien siempre ha sido un chico tranquilo. Cierto día, Shigechi toma por error una bolsa que no era suya, sin saber del horrible secreto que se oculta en ella. También otros personajes reaparecen, como Yukako, quien entra en escena para insistir en su gran amor; el mangaka Rohan Kishibe retorna, y hasta el chef del restaurante italiano regresa, todos enmarcando la búsqueda de un asesino serial.|978-6-076-34794-2|1|FALSE
JoJo's Bizarre Adventure - Parte 4: Diamond Is Unbreakable #7|7|7|/panini-manga-mx/jojos-bizarre-adventure-diamond-is-unbreakable/jojos-bizarre-adventure-diamond-is-unbreakable-07.jpg|312|149|MXN|2020-09-16|Hay que hallar con urgencia al asesino de la sastrería, pero el único rastro que ha dejado, ¡es su stand bomba indestructible!, un arma invencible que puede acabar fácilmente con la vida de quienes lo enfrentan. Por fortuna, el stand ralentizador logra detenerlo... pero por muy poco tiempo, porque entonces aparece el impecable y elegante asesino, dispuesto a fulminar a cualquiera que se le interponga. ¿Este día habrá dos héroes asesinados que no pudieron cumplir con su misión? ¡Entra a las páginas del palpitante tomo 24 de Jojo´s Bizarre Adventure!|978-6-076-34884-0|1|FALSE
JoJo's Bizarre Adventure - Parte 4: Diamond Is Unbreakable #8|8|8|/panini-manga-mx/jojos-bizarre-adventure-diamond-is-unbreakable/jojos-bizarre-adventure-diamond-is-unbreakable-08.jpg|312|149|MXN|2020-10-21|Joestar, Rohan, Tamami y los demás investigan en la casa del asesino Yoshikage Kira para dar con alguna pista que les permita hallar su paradero. De pronto, la foto de un anciano siniestro comienza a cobrar vida y a tenderles trampas mortales por todo el lugar. Es el fantasma del padre de Yoshikage, cuyo stand le permite atacar a cualquiera que mire la foto. Desde ese inverosímil sitio, el anciano logra apoderarse de una flecha capaz de convertir a cualquiera en usuario de stand, lo que representará un peligro para Joseph y sus amigos. ¡Súmate a estas riesgosas aventuras en el tomo 25 de Jojo's Bizarre Adventure!|978-6-075-68017-0|1|FALSE
JoJo's Bizarre Adventure - Parte 4: Diamond Is Unbreakable #9|9|9|/panini-manga-mx/jojos-bizarre-adventure-diamond-is-unbreakable/jojos-bizarre-adventure-diamond-is-unbreakable-09.jpg|322|149|MXN|2020-11-18|Tras el fallido juego de dados, en el que Josuke empleó ayuda alienígena para ganar a Rohan, ambos se ven enfrascados en una pelea contra un veloz stand que es capaz de absorber los nutrientes de sus víctimas. ¿Obra de la flecha que posee el padre de Yoshikage Kira? ¡Por supuesto! Pero ese poder también afecta al mismo Yoshikage Kira, quien recibe la visita de un gato siniestro que ha sido tocado por la flecha. ¿Logrará el padre de Kira salvar a su hijo de Joseph y los demás, o lo ha condenado a una muerte segura a manos del stand que él mismo creó? ¡Únete a las trepidantes páginas del tomo 26 de Jojo's Bizarre Adventure!|978-6-075-68103-0|1|FALSE
JoJo's Bizarre Adventure - Parte 4: Diamond Is Unbreakable #10|10|10|/panini-manga-mx/jojos-bizarre-adventure-diamond-is-unbreakable/jojos-bizarre-adventure-diamond-is-unbreakable-10.jpg|290|149|MXN|2021-01-20|Okuyasu y Josuke son advertidos por Mikitaka, el alienígena, de los inusuales movimientos que se desarrollan en una torre de electridad. Cuando se acercan a la estructura, se dan cuenta de que, en lo alto de ella, habita un sujeto sospechoso con el que hubiera sido mejor nunca ponerse en contacto, ya que les tiende una trampa por la que nunca podrían abandonar la torre. ¿Detrás de esa fechoría se encontrará el siniestro padre de Yoshikage Kira? ¡Adéntrate en las intrépidas páginas de Jojo's Bizarre Adventure 27!|978-6-075-68167-2|1|FALSE
