NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Jojo's Bizarre Adventure - Parte 5: Golden Wind #1|1|1|/panini-manga-mx/jojos-bizarre-adventure-golden-wind/jojos-bizarre-adventure-golden-wind-01.jpg|322|159|MXN|2021-04-21|Por encargo de Jotaro, Koichi Hirose viaja a Italia para buscar al joven Haruno Shiobana, pero se topa con un ladronzuelo singular llamado Giorno Giovanna, un joven que ignora el poder de los stands, pero que posee uno muy potente. Armado con una gran confianza, Giorno trata de ingresar a una banda criminal para evitar que siga distribuyendo droga a chicos inocentes. ¿Quién es este sujeto y qué importancia tendrá para Jotaro?|978-6075683447|1|FALSE
Jojo's Bizarre Adventure - Parte 5: Golden Wind #2|2|2|/panini-manga-mx/jojos-bizarre-adventure-golden-wind/jojos-bizarre-adventure-golden-wind-02.jpg|322|159|MXN|2021-05-19|Giorno giovanna consigue que el gánster polpo muera en su celda de la prisión. De inmediato se corre el rumor por toda la organización passione de que polpo ocultaba una enorme fortuna en un sitio secreto y que el único que lo conocía era bucciarati, el nuevo jefe de giorno. Se desata entonces una trepidante carrera que los conducirá a la isla de capri, en medio de ataques traicioneros, stands ocultos y la enorme posibilidad de morir.|978-6075684000|1|FALSE
Jojo's Bizarre Adventure - Parte 5: Golden Wind #3|3|3|/panini-manga-mx/jojos-bizarre-adventure-golden-wind/jojos-bizarre-adventure-golden-wind-03.jpg|322|159|MXN|2021-06-23|Escondidos con la hija del jefe mientras esperan instrucciones, Bucciarati y sus compañeros envían a Narancia en una misión secreta para hacer compras básicas. Sin embargo, un poderoso usuario de stand lo ataca con un poder que disminuye el tamaño de la gente hasta hacerla desaparecer. Desesperado, Bucciarati ordena a Giorno, Fugo y Abbacchio que vaya a Pompeya para recoger la llave de un transporte seguro, pero también se topan con un adversario ingenioso que pondrá en juego sus vidas.|978-6075684277|1|FALSE
Jojo's Bizarre Adventure - Parte 5: Golden Wind #4|4|4|/panini-manga-mx/jojos-bizarre-adventure-golden-wind/jojos-bizarre-adventure-golden-wind-04.jpg|330|159|MXN|2021-07-21|Pesci Y Fratello Son Dos Perversos Usuarios De Stand Que Abordan Un Tren Donde Están Seguros Que Viajan Ocultos Bucciarati Y Sus Compañeros. Sin Embargo, Cuando No Los Encuentran, Activan Un Stand Capaz De Envejecer A Las Personas Hasta Matarlas. Pero La Ausencia De Sus Víctimas Los Hace Buscar Con Detenimiento Hasta Que Dan Con Un Animalito Y Una Extraña Hendidura, Lo Cual Les Hace Comprender Que Asesinar A Sus Adversarios Será Más Fácil De Lo Que Piensan.|978-6075685021|1|FALSE
Jojo's Bizarre Adventure - Parte 5: Golden Wind #5|5|5|/panini-manga-mx/jojos-bizarre-adventure-golden-wind/jojos-bizarre-adventure-golden-wind-05.jpg|338|159|MXN|2021-08-18|Luego de enfrentar al stand autónomo que Melone crea a partir del ADN de Bucciarati, la valiente banda solo tiene que entregar a Trish con su padre, el jefe de la Organización. Sin embargo, Giorno se da cuenta de que las intenciones del jefe podrían no ser sinceras, pero un enemigo invisible le arrebata la voz y hace imposible que Bucciarati y sus compañeros se percaten del peligro.|978-6075685847|1|FALSE
Jojo's Bizarre Adventure - Parte 5: Golden Wind #6|6|6|/panini-manga-mx/jojos-bizarre-adventure-golden-wind/jojos-bizarre-adventure-golden-wind-06.jpg|330|159|MXN|2021-09-15|Luego de tantos peligros, Bucciarati entrega a Trish a su padre, el jefe de la Organización. Pero cuando se da cuenta de que quiere asesinarla, de inmediato huye con ella para ponerla a salvo. En el camino se topa con King Crimson, un poderoso stand que podría arrebatarle la vida. Y cuando todo parece mejorar, Narancia se percata de otros peligros, pero es silenciado por un stand que se mete a su boca y lo obliga a mentir todo el tiempo.|978-6075686318|1|FALSE
Jojo's Bizarre Adventure - Parte 5: Golden Wind #7|7|7|/panini-manga-mx/jojos-bizarre-adventure-golden-wind/jojos-bizarre-adventure-golden-wind-07.jpg|338|159|MXN|2021-10-27|Trish descubre que el pasado de su padre, el líder de la organización criminal, se encuentra en Cala di Volpe, territorio de Cerdeña. Para llegar allá, Bucciarati y sus amigos roban un avión sin que, aparentemente, nadie se entere. Sin embargo, en pleno vuelo encuentran el peor stand enemigo al que se han enfrentado, ¡pues su usuário ya está muerto. Ante la amenaza de ser devorados lenta y dolorosamente, Trish hace un descubrimiento que podría salvarlos a todos.|978-6075687070|1|FALSE
Jojo's Bizarre Adventure - Parte 5: Golden Wind #8|8|8|/panini-manga-mx/jojos-bizarre-adventure-golden-wind/jojos-bizarre-adventure-golden-wind-08.jpg|322|159|MXN|2021-11-24|En la playa de Cala di Volpe, Cerdeña, Buciaratti y sus compañeros quieren reactivar una foto de Trish de hace 15 años para dar con el paradero del jefe, quien envía a sus secuaces para evitarlo. Más tarde, un extraño hombre le propone a Buciaratti que vaya al Coliseo de Roma para descubrir el secreto de las flechas que convierten a humanos normales en usuários de stand. Advertidos de ello, los enemigos quieren detenerlo soltando un moho corrosivo y mortal.|978-6075687643|1|FALSE
Jojo's Bizarre Adventure - Parte 5: Golden Wind #9|9|9|/panini-manga-mx/jojos-bizarre-adventure-golden-wind/jojos-bizarre-adventure-golden-wind-09.jpg|322|159|MXN|2021-12-22|El avance hacia el Coliseo se ha convertido en una verdadera batalla para Bucciarati y su equipo, pues los enemigos saben que ahí se reunirán con un informante que conoce cómo vencer al jefe de la Organización Passione. Un helicóptero, un enemigo que detecta el movimiento bajo la tierra, asesinos letales e incluso un stand que intercambia los cuerpos de la gente son algunos de los peligros que encontrarán. ¿Podrán descubrir el secreto de las flechas y la manera de vencer al temible jefe?|978-6075688091|1|FALSE
Jojo's Bizarre Adventure - Parte 5: Golden Wind #10|10|10|/panini-manga-mx/jojos-bizarre-adventure-golden-wind/jojos-bizarre-adventure-golden-wind-10.jpg|322|159|MXN|2022-01-19|Con la imposibilidad de tocar la escurridiza flecha, Giorno y sus compañeros buscan la manera de atraparla para que deje de espacir su energía tóxica. La otra gran amenaza es todavía más difícil de vencer: el stand Réquiem, capaz de intercambiar las almas de los cuerpos. ¿Podrá el equipo de Bucciarati encontrar la debilidad de este perverso stand para desactivar su poder mortal?|978-6075688817|1|FALSE
