NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
JoJo's Bizarre Adventure - Parte 3: Stardust Crusaders #1|1|1|/panini-manga-mx/jojos-bizarre-adventure-stardust-crusaders/jojos-bizarre-adventure-stardust-crusaders-01.jpg|322|149|MXN|2019-02-27|"Jotaro Kujo, de 17 años, es el nieto de Joseph Joestar. De repente, como si de un ""espíritu maligno"" se tratase, adquiere un poder muy peculiar que surge a voluntad y, sobre todo, de un modo extraño. También la madre de Jotaro tiene problemas y Joseph acude en su ayuda, además de que la aparición del poder llamado Stand lo afianza en cierta conexión. Y dicha conexión tiene mucho que ver con alguien que usurpó el cuerpo de Jonathan hace 100 años para sobrevivir: Dio Brando."|978-6-075-48716-8|1|FALSE
JoJo's Bizarre Adventure - Parte 3: Stardust Crusaders #2|2|2|/panini-manga-mx/jojos-bizarre-adventure-stardust-crusaders/jojos-bizarre-adventure-stardust-crusaders-02.jpg|306|149|MXN|2019-03-13|Jotaro y el resto del grupo son atacados por el hombre que controla a Dark Blue Moon en camino a Singapur. De alguna forma logran contener la batalla en el mar pero, a cambio, el barco se destruye en su totalidad. Tras naufragar, Jotaro y los demás son rescatados por una embarcación, pero esta evoca un aura siniestra. En conjunto con Dio, ¿cuáles serán los siguientes usuarios stand que la anciana Enya envíe tras ellos?|978-6-075-48739-7|1|FALSE
JoJo's Bizarre Adventure - Parte 3: Stardust Crusaders #3|3|3|/panini-manga-mx/jojos-bizarre-adventure-stardust-crusaders/jojos-bizarre-adventure-stardust-crusaders-03.jpg|314|149|MXN|2019-04-24|Polnareff derrota al asesino de su hermana menor y de Abdul: J. Guile. Sin embargo, eso solo aviva más la llama de la venganza de la anciana Enya. En la ciudad sagrada de Benarés, la usuaria Stand Emperatriz es enviada tras Jotaro y compañía. Esta logra parasitar el brazo de Joseph y comienza a crecer para poder matarlo. ¡A Joseph solo le queda deambular por la ciudad sin saber dónde se encuentra la usuaria!|978-6-075-48843-1|1|FALSE
JoJo's Bizarre Adventure - Parte 3: Stardust Crusaders #4|4|4|/panini-manga-mx/jojos-bizarre-adventure-stardust-crusaders/jojos-bizarre-adventure-stardust-crusaders-04.jpg|306|149|MXN|2019-05-22|"Jotaro y los demás derrotan a la anciana Enya, portadora del Stand Justicia. Por medio de su Stand, Joseph intenta adentrarse en la mente de ella para averiguar qué habilidades posee Dio. Pero justo antes de eso, un hombre que se hace llamar Steely Dan le da el golpe de gracia a la anciana. ¿Cuál es la verdadera habilidad de ""El Amante"", el Stand más débil de todos los tiempos? ¡Sus pesadillas los acosarán hasta el borde de la muerte!"|978-6-075-48910-0|1|FALSE
JoJo's Bizarre Adventure - Parte 3: Stardust Crusaders #5|5|5|/panini-manga-mx/jojos-bizarre-adventure-stardust-crusaders/jojos-bizarre-adventure-stardust-crusaders-05.jpg|306|149|MXN|2019-06-26|"La muerte de Abdul, ocurrida en la India, resulta confusa para casi todos; pero, cuando Polnareff es atacado por el Stand ""El Juicio"" en una isla frente a la costa de Egipto, para su buena fortuna, quien lo termina salvando es el mismísimo Abdul. Ahora, con este gran amigo de regreso y un nuevo y pequeño ayudante, Jotaro y compañía se dirigen con paso firme hacia El Cairo. En todos los lugares hay enemigos acechando: ""La Sacerdotisa"", ""Geb"" y un infalible destino que lo tuerce todo."|978-6-075-48984-1|1|FALSE
JoJo's Bizarre Adventure - Parte 3: Stardust Crusaders #6|6|6|/panini-manga-mx/jojos-bizarre-adventure-stardust-crusaders/jojos-bizarre-adventure-stardust-crusaders-06.jpg|200|149|MXN|2019-07-31|"¿Jotaro termina hecho pedazos debido a una bomba? Según la predicción de un extraño manga que dicta el futuro, cuyas páginas en blanco se van dibujando para predecir lo que ocurrirá pronto, Jotaro morirá debido a una bomba con apariencia de naranja que Oiongo y Boingo, el dueño del manga, preparan para acabar con el grupo. No obstante, dicha predicción tendrá un final inesperado. Tras eso, los misteriosos ""nueve dioses egipcios"" continúan su feroz ataque."|978-6-076-34040-0|1|FALSE
JoJo's Bizarre Adventure - Parte 3: Stardust Crusaders #7|7|7|/panini-manga-mx/jojos-bizarre-adventure-stardust-crusaders/jojos-bizarre-adventure-stardust-crusaders-07.jpg|149|149|MXN|2019-09-04|Aparece Alessi, usuario del Stand Sethan, cuya habilidad puede hacer rejuvenecer a sus oponentes con tan solo tocar su sombra. Desafortunadamente, Polnareff baja la guardia, ¡y es convertido en un niño! Por si fuera poco, sus recuerdos ahora también son confusos, lo cual hace que olvide a Jotaro. Además, el grupo por fin logra llegar a El Cairo e investiga por todas partes acerca de la foto que tienen para encontrar a Dio, hasta que se encuentran con un apostador de almas y con un conocido enemigo.|978-6-076-34134-6|1|FALSE
JoJo's Bizarre Adventure - Parte 3: Stardust Crusaders #8|8|8|/panini-manga-mx/jojos-bizarre-adventure-stardust-crusaders/jojos-bizarre-adventure-stardust-crusaders-08.jpg|200|149|MXN|2019-10-02|"El manga de Boingo predijo bien el accidente de Jotaro y los demás, así que fueron atropellados; una predicción más le dará el tiro de gracia a Jotaro justo en medio de la frente. Luego, el perro que los ha acompañado, Iggy, se encuentra con un halcón usuario de Stand, cuya ocupación es matar a todos los que se acerquen a la mansión: Iggy muestra sus habilidades en una pelea sin tregua. Además, aparece el hermano de D'Arby ""El Apostador"", el enemigo derrotado por Jotaro en los naipes. Dio está tan cerca que pueden sentir su densa presencia."|978-6-076-34215-2|1|FALSE
JoJo's Bizarre Adventure - Parte 3: Stardust Crusaders #9|9|9|/panini-manga-mx/jojos-bizarre-adventure-stardust-crusaders/jojos-bizarre-adventure-stardust-crusaders-09.jpg|200|149|MXN|2019-10-30|"Jotaro y Joseph se encuentran luchando contra D'Arby ""El Jugador"", quien ya tiene en su poder a muchas almas y quiere, más que ninguna otra, la de Jotaro: la astucia y la sangre fría serán decisivas en esta pelea. Entre tanto, los demás siguen el camino en el interior de la mansión para encontrar a Dio, pero se encuentran con Vanilla Ice, cuyo Stand es una dimensión oscura que se traga todo lo que toca. Para Polnareff es demasiado ver cómo sus amigos se van extinguiendo poco a poco mientras le llega su turno."|978-6-076-34258-9|1|FALSE
JoJo's Bizarre Adventure - Parte 3: Stardust Crusaders #10|10|10|/panini-manga-mx/jojos-bizarre-adventure-stardust-crusaders/jojos-bizarre-adventure-stardust-crusaders-10.jpg|312|149|MXN|2019-11-27|The World, el grandioso Stand de Dio, tiene el poder para dominar al mundo entero. Jotaro y compañía se encuentran indefensos ante el enemigo con la habilidad de manipular a voluntad el tiempo. Después de que sus compañeros cayeran uno tras otro en la lucha contra Dio, Jotaro al fin le hace frente, ¡soltando una lluvia de golpes infundidos con ira! Luego de una larga travesía llena de dolor y terribles pérdidas, ha llegado el momento de que este fantástico viaje llegue a su fin.|978-6-076-34310-4|1|FALSE
