NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
JoJo's Bizarre Adventure - Parte 6: Stone Ocean #1|1|1|/panini-manga-mx/jojos-bizarre-adventure-stone-ocean/jojos-bizarre-adventure-stone-ocean-01.jpg|314|169|MXN|2/16/2022|Estados Unidos aÃ±o 2011, Jolyne Cujoh y su novio, Romeo, tiene un desafortunado accidente automovilÃ­stico. Ella es apresada tras ser incriminada por Romeo y su abogado y es sentenciada a 15 aÃ±os de prisiÃ³n. a peticiÃ³n de su madre, Jolyne recibe un amuleto que su padre querÃ­a que tuviera, pero al tocarlo, algo extraÃ±o sucede.|978-6075689524|1|FALSE
JoJo's Bizarre Adventure - Parte 6: Stone Ocean #2|2|2|/panini-manga-mx/jojos-bizarre-adventure-stone-ocean/jojos-bizarre-adventure-stone-ocean-02.jpg|314|169|MXN|3/16/2022|Johngalli A, un usuario de stand, comienza su ataque contra Jolyne y Jotaro, quienes se encuentran en el cuarto de visitas a varios cientos de metros de distancia. Sin embargo, un niÃ±o misterioso les muestra un camino por el que pueden escapar, por lo que Ã©l termina convirtiÃ©ndose en el blanco de Johngalli A. Jolyne sigue al niÃ±o hasta el sÃ³tano para salvarlo, pero. Â¿Acaso Jolyne estÃ¡ cayendo en una trampa?|978-6076360156|1|FALSE
JoJo's Bizarre Adventure - Parte 6: Stone Ocean #3|3|3|/panini-manga-mx/jojos-bizarre-adventure-stone-ocean/jojos-bizarre-adventure-stone-ocean-03.jpg|322|169|MXN|4/20/2022|Jolyne y Ermes descubren que el disco de stand de Jotaro podrÃ­a estar oculto en uno de los tractores de la granja. Tras unirse al grupo de bÃºsqueda de un par de prisioneros desaparecidos, se encuentran con un organismo misterioso llamado Foo Fighters que protege los discos. Â¡Un poderoso enemigo se lanza al ataque de Jolyne!|978-6076360620|1|FALSE
JoJo's Bizarre Adventure - Parte 6: Stone Ocean #4|4|4|/panini-manga-mx/jojos-bizarre-adventure-stone-ocean/jojos-bizarre-adventure-stone-ocean-04.jpg|298|169|MXN|5/25/2022|Siguiendo la propuesta de la FundaciÃ³n Speedwagon, Jolyne y Weather Report se dirigen al patio interno de la prisiÃ³n para entregar el disco que contiene la memoria de Jotaro. Sin embargo, en el camino se encuentran con un asesino enviado por un sujeto misterioso. Jolyne y Weather Report se encuentran en una situaciÃ³n desesperada debido a un poderoso stand que puede anular la gravedad. Â¿LograrÃ¡n llegar al patio?|978-6076361412|1|FALSE
JoJo's Bizarre Adventure - Parte 6: Stone Ocean #5|5|5|/panini-manga-mx/jojos-bizarre-adventure-stone-ocean/jojos-bizarre-adventure-stone-ocean-05.jpg|322|169|MXN|6/29/2022|Jolynee se entera de que existe un hueso con el que podrÃ­a recuperar las memorias de su padre, asÃ­ que decide obtenerlo aunque para ello tenga que ingresar al pabellÃ³n de ultraseguridad. White Snake quiere impedirlo, asÃ­ que busca a toda costa la manera de eliminarla. El asesino Narciso Annasui se ofrece a protegerla, pero exige un alto precio a cambio: casarse con ella. Â¡Pon a prueba todas tus habilidades con las pÃ¡ginas de Jojo's Bizarre Adventure 44!|978-6076361627|1|FALSE
JoJo's Bizarre Adventure - Parte 6: Stone Ocean #6|6|6|/panini-manga-mx/jojos-bizarre-adventure-stone-ocean/jojos-bizarre-adventure-stone-ocean-06.jpg|290|169|MXN|7/27/2022|En un hueso que contiene restos de las memorias de Jotaro Kujo se encuentra la clave para devolverle completamente la vida al padre de Jolyne, pero ella encuentra un obstÃ¡culo tras otro para obtenerlo. En particular, el anciano Kenzo se revela como un experto asesino del que tal vez no sea posible librarse. AdemÃ¡s, White Snake descubre su identidad real y su oscura motivaciÃ³n para apoderarse del hueso. Â¿QuiÃ©n lo obtendrÃ¡ primero? Â¡Descubre el poder de tu stand con las pÃ¡ginas de Jojo's Bizarre Adventure 45!|978-6076362600|1|FALSE
JoJo's Bizarre Adventure - Parte 6: Stone Ocean #7|7|7|/panini-manga-mx/jojos-bizarre-adventure-stone-ocean/jojos-bizarre-adventure-stone-ocean-07.jpg|314|169|MXN|8/1/2022|Conseguir las memorias de su padre no fue el mayor reto de Jolyne. SÃ³lo tuvo que perseguir a un bebÃ© color verde, ser reducida a casi el tamaÃ±o de un Ã¡tomo y enfrentarse con el ambicioso White Snake. Ahora el desafÃ­o consistirÃ¡ en vencer a una guardia que tiene el poder de impedir que cualquiera traspase hacia afuera los muros de la prisión. ¿Jolyne llegará a tiempo para entregar las memorias a la Fundación Speedwagon y así salvar a su padre? ¡Sortea cualquier límite con las páginas de Jojo's Bizarre Adventure 46!|978-6076363102|1|FALSE
JoJo's Bizarre Adventure - Parte 6: Stone Ocean #8|8|8|/panini-manga-mx/jojos-bizarre-adventure-stone-ocean/jojos-bizarre-adventure-stone-ocean-08.jpg|296|169|MXN|9/28/2022|Luego de tantos peligros, Bucciarati entrega a Trish a su padre, el jefe de la OrganizaciÃ³n. Pero cuando se da cuenta de que quiere asesinarla, de inmediato huye con ella para ponerla a salvo. En el camino se topa con King Crimson, un poderoso stand que podrÃ­a arrebatarle la vida. Y cuando todo parece mejorar, Narancia se percata de otros peligros, pero es silenciado por un stand que se mete a su boca y lo obliga a mentir todo el tiempo. ¡Súmate al poder que emana Jojo's Bizarre Adventure 47!|978-6076363799|1|FALSE
JoJo's Bizarre Adventure - Parte 6: Stone Ocean #9|9|9|/panini-manga-mx/jojos-bizarre-adventure-stone-ocean/jojos-bizarre-adventure-stone-ocean-09.jpg|290|169|MXN|10/26/2022|Llevando al lÃ­mite sus capacidades, Ermes y Jolyne logran vencer a Rykiel, segundo hijo de Dio, y siguen persiguendo al padre Pucci. Inesperadamente, Versace, el tercer hijo de Dio, les tiende una trampa, mientras que Weather Report logra obtener las memorias que habÃ­a perdido, lo que le permite descubrir la terrible verdad que el Padre Pucci le ha ocultado por mucho tiempo. Acompaña a Jolyne en su trepidante aventura dentro de las páginas de Jojo's Bizarre Adventure 48.|978-6076364383|1|FALSE
JoJo's Bizarre Adventure - Parte 6: Stone Ocean #10|10|10|/panini-manga-mx/jojos-bizarre-adventure-stone-ocean/jojos-bizarre-adventure-stone-ocean-10.jpg|314|169|MXN|12/7/2022|Weather recobra su memoria y consigue despertar su verdadero poder. Tal vez por eso, todas las personas, incluyendo a Jolyne, comienzan a convertirse en caracoles. Mientras tanto, Wheater Report deja ciego al padre Pucci con ondas de sonido y logra atraparlo, pero aÃºn no sabe si podrÃ¡ liberarse de su terrible destino. Pucci logra poner en grave peligro a Jolyne, pero de repente llega una ayuda inesperada para ella. ¿Se tratará del mismísimo Jotaro? ¡No te pierdas el penúltimo tomo de la saga de Jolyne Cujoh, Jojo's Bizarre Adventure 49!|978-6076365137|1|FALSE
