NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Jujutsu Kaisen #0|0|0|/panini-manga-mx/jujutsu-kaisen/jujutsu-kaisen-00.jpg|192|139.0|MXN|2021-04-21|Yuta Okkotsu es un estudiante de preparatoria poseído por Rika, un espíritu maldito. Después de causar un incidente con unos compañeros, Satoru Gojo decide traerlo a la Escuela de Bachillerato Técnico de Brujería de Tokio para que aprenda a controlar la maldición. Va haciendo amistad con sus compañeros de primer año, Maki, Toge y Panda, con quienes aprende a exorcizar maldiciones. Pero, de repente, se aparece Suguru Geto, un hechicero maléfico, con la intención de apoderarse de Rika, la maldición de Yuta.|978-6-075-68340-9|1|false
Jujutsu Kaisen #1|1|1|/panini-manga-mx/jujutsu-kaisen/jujutsu-kaisen-01.jpg|200|119.0|MXN|2020-09-09|Yuji Itadori es un joven con habilidades físicas excepcionales que se une al club de ocultismo de la escuela porque le permite salir temprano y visitar a su abuelo en el hospital. Este, antes de morir, le pide que use su fuerza para ayudar a las personas. Ahí se aparece un estudiante de hechicero, Fushiguro, y le pide a Yuji el objeto maldito que encontró. Él le dice que sus compañeros del club van a abrirlo en la escuela, y ambos corren a rescatarlos. Al llegar, están rodeados de maldiciones (monstruos), y para salvar a sus compañeros, Yuji se traga el objeto maldito y se convierte en Sukuna.|978-6-076-34969-4|1|false
Jujutsu Kaisen #2|2|2|/panini-manga-mx/jujutsu-kaisen/jujutsu-kaisen-02.jpg|200|109.0|MXN|2020-11-11|En medio de la misión, Yuji cambia de lugar con Sukuna, quien derrota con facilidad a la maldición de grado especial. Sin embargo, este se sale de control y ataca a Fushiguro. Sukuna se arranca él mismo el corazón para que Yuji no pueda regresar, pero aun así vuelve para salvar a Fushiguro, y muere. Gojo cree que esa misión fue un plan de los altos mandos para deshacerse de una vez de Sukuna. De vuelta en la escuela, los de segundo invitan a Fushiguro y Kugisaki a un evento con los del plantel de Kioto, en parte para que se sobrepongan del fallecimiento de Yuji. En otro lado, otras maldiciones de grado especial comienzan a conspirar contra Gojo.|978-6-076-34995-3|1|false
Jujutsu Kaisen #3|3|3|/panini-manga-mx/jujutsu-kaisen/jujutsu-kaisen-03.jpg|192|119.0|MXN|2021-02-10|Fushiguro y Nobara tienen un enfrentamiento con los del plantel de Kioto, pero estos se retiran cuando los compañeros de segundo se presentan. No pinta bien para el evento de los dos planteles. Por otro lado, tres jóvenes mueren deformes en un cine a manos de Mahito, mientras Junpei, un chico normal, es testigo. Itadori y Nanami, un hechicero de primer grado, investigan el caso, y el rastro los lleva hasta Mahito y Junpei, quien manifiesta poder maldito.|978-6-075-68177-1|1|false
Jujutsu Kaisen #4|4|4|/panini-manga-mx/jujutsu-kaisen/jujutsu-kaisen-04.jpg|200|119.0|MXN|2021-03-10|Yuji llega a detener el ataque de Junpei a su escuela. Este le cuenta lo que ocurrió con su madre, y Yuji lo invita a unirse a la Escuela de Brujería. Se aparece Mahito y provoca una desgracia al mismo tiempo que ataca a Yuji con el propósito de hacer que Sukuna salga. Nanami llega a apoyar a Yuji, y se libra una batalla épica contra la maldición. Por otro lado, por fin comienza el evento con el plantel de Kioto.!|978-6-075-68202-0|1|false
Jujutsu Kaisen #5|5|5|/panini-manga-mx/jujutsu-kaisen/jujutsu-kaisen-05.jpg|192|119.0|MXN|2021-04-14|El evento de intercambio entre los planteles de Tokio y Kioto ha comenzado, y el equipo de Kioto se reúne para asesinar a Itadori, pero Todo interfiere y hace que los dejen solos en su pelea. Ambas escuelas se movilizan y se desatan combates por doquier: Fushiguro contra Kamo, Panda contra Mechamaru y Maki contra Miwa. Sin embargo, aparte de que ocurren sucesos sospechosos en el evento, este es interrumpido por un visitante inesperado.|978-6-075-68284-6|1|false
Jujutsu Kaisen #6|6|6|/panini-manga-mx/jujutsu-kaisen/jujutsu-kaisen-06.jpg|192|119.0|MXN|2021-05-12|El evento de intercambio es interrumpido por el ataque de los espíritus malditos de grado especial. Fushiguro y Maki se enfrentan a Hanami, pero su resistencia y poder de invocación de plantas son demasiado para ellos. Ahí se aparecen Todo e Itadori, quien arremete contra la maldición con una nueva y poderosa técnica. Los maestros se apresuran a salvarlos, pero unos hechiceros maléficos se interponen. ¿Cuál es su objetivo en la Escuela de Brujería?|978-6-075-68285-3|1|false
Jujutsu Kaisen #7|7|7|/panini-manga-mx/jujutsu-kaisen/jujutsu-kaisen-07.jpg|192|119.0|MXN|2021-06-09|Gojo logra ahuyentar a Hanami del evento de intercambio, pero no se dan cuenta de que el verdadero objetivo del ataque es que Mahito robe unos objetos malditos de la escuela: dedos de Sukuna y unos fetos de maldición, pero ¿con qué propósito? Por otro lado, Itadori, Fushiguro y Kugisaki son enviados a investigar unos asesinatos causados por maldiciones, lo que está relacionado con la secundaria de Fushiguro y su hermana mayor.|978-6-075-68314-0|1|false
Jujutsu Kaisen #8|8|8|/panini-manga-mx/jujutsu-kaisen/jujutsu-kaisen-08.jpg|192|119.0|MXN|2021-07-14|Toji Fushiguro, el asesino de hechiceros, pone en marcha su plan para matar al Cuerpo de Plasma Celestial. Su formidable fuerza y velocidad le permiten derrotar a Gojo y Geto. Sin embargo, Gojo logra despertar nuevos poderes al borde de la muerte y derrota al padre de Megumi. Las repercusiones de este caso marcan a Geto para siempre, quien decide pelear para crear un mundo formado solo por hechiceros, lo que abre una brecha entre él y Gojo.|978-6-075-68363-8|1|false
Jujutsu Kaisen #9|9|9|/panini-manga-mx/jujutsu-kaisen/jujutsu-kaisen-09.jpg|192|119.0|MXN|2021-08-11|Toji Fushiguro, el asesino de hechiceros, pone en marcha su plan para matar al Cuerpo de Plasma Celestial. Su formidable fuerza y velocidad le permiten derrotar a Gojo y Geto. Sin embargo, Gojo logra despertar nuevos poderes al borde de la muerte y derrota al padre de Megumi. Las repercusiones de este caso marcan a Geto para siempre, quien decide pelear para crear un mundo formado solo por hechiceros, lo que abre una brecha entre él y Gojo.|978-6-075-68436-9|1|false
