NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Katekyo Hitman ¡Reborn! #1|1|1|/panini-manga-mx/katekyo-hitman-reborn/katekyo-hitman-reborn-01.jpg|192|99.0|MXN|2016-07-12|"Todos los compañeros de Tsuna lo consideran un perdedor: es malo en los estudios, en los deportes y con las mujeres. Lo que nadie sabía es que él es el heredero legítimo del liderazgo de los Vongola, una familia mafiosa. Reborn llega para entrenar a Tsuna para que pueda cumplir con su destino. Aunque Reborn parece un bebé, es un sicario de primer nivel que no dudará en poner en peligro la vida de Tsuna para educarlo.Frases:""Mi verdadero trabajo es convertirte en un jefe de la mafia."" - Reborn""Tu complejo de perdedor es increíble."" - Reborn ""Nuestra relación es la de un asesino y su blanco"" - Rebor""Soy patético. Cuando muera me arrepentiré de no haber hecho muchas cosas.""- Tsuna"|978-6-079-72129-9|1|false
Katekyo Hitman ¡Reborn! #2|2|2|/panini-manga-mx/katekyo-hitman-reborn/katekyo-hitman-reborn-02.jpg|192|99.0|MXN|2016-08-03|"Una misteriosa mujer aparece frente a Tsuna. ¡es la asesina Bianchi, ""el Escorpión venenoso""! Bianchi desea que su amado Reborn regrese a su antiguo territorio, su objetivo es terminar con su único impedimento: ¡la vida de Tsuna! ¡Este es el segundo tomo, lleno de sujetos extremadamente peligrosos pero divertidos!""Reborn me necesita"" - Bianchi""Decidí hacerle el examen de entrada en la Familia a Yamamoto"" - Reborn""Protegiste a la Familia, eso te hace un buen jefe"" - Reborn"|978-6-075-28028-8|1|false
Katekyo Hitman ¡Reborn! #3|3|3|/panini-manga-mx/katekyo-hitman-reborn/katekyo-hitman-reborn-03.jpg|208|99.0|MXN|2016-09-07|"La organización del festival deportivo está en curso. Tsuna está en el mismo equipo que Ryohei, el hermano de Kyoko. Ryohei está que arde con una ""voluntad de victoria extrema"". Un día antes del festival, Ryohei renuncia a su posición de líder del equipo y sugiere que Tsuna tome su lugar. ¿Qué hará Tsuna al recibir tan inesperada responsabilidad? ""Estoy impreisonada, ya eres un adulto"" - Bianchi""Los que no trabajan, no deben comer"" - Reborn""Cumplí un año de edad"" - Reborn""¡Si Kyoko me ve, creerá que Haru es mi novia!"" - Tsuna"|978-6-075-28113-1|1|false
Katekyo Hitman ¡Reborn! #4|4|4|/panini-manga-mx/katekyo-hitman-reborn/katekyo-hitman-reborn-04.jpg|176|99.0|MXN|2016-10-05|"Dino, el ""Caballo Bronco"", décimo jefe de la familia Cavallone fue de visita al hogar de la familia Sawada. Él se siente como el hermano mayor de Tsuna debido a que es exalumno de Reborn. Dino rescata siempre a sus subordinados usando su magnífico látigo, ¿cuál es el secreto detrás de su fuerza? ""Antes de conocer a Reborn, mis capacidades de liderazgo también eran nulas"" - Dino""Necesitas un exorcismo, Tsuna. Últimamente has sufrido muchos accidentes"" - Reborn""Mi propósito para este año es vivir al extremo"" - Ryohei"|978-6-075-28189-6|1|false
Katekyo Hitman ¡Reborn! #5|5|5|/panini-manga-mx/katekyo-hitman-reborn/katekyo-hitman-reborn-05.jpg|200|99.0|MXN|2016-11-02|"¿Ese ranking es correcto? Futa, ""el Clasificador"", está siendo perseguido por la mafia y acudió a Tsuna para pedirle ayuda. Tsuna está clasificado en último lugar de ""inteligencia y fuerza"", pero tiene el primer lugar en ""personas que no pueden rechazar favores"". Así que, ¿ayudará a Futa?"|978-6-075-28247-3|1|false
Katekyo Hitman ¡Reborn! #6|6|6|/panini-manga-mx/katekyo-hitman-reborn/katekyo-hitman-reborn-06.jpg|200|99.0|MXN|2016-12-07|Tsuna tiene un nuevo compañero de clase: el frívolo y jovial Longchamp Naito. Él es el candidato a convertirse en el octavo jefe de la Familia Tomaso. ¡Esta familia siempre entra en conflicto con los Vongola! Tsuna no quería involucrarse pero, ¿terminará compitiendo por el puesto de jefe de grupo?|978-6-075-28306-7|1|false
Katekyo Hitman ¡Reborn! #7|7|7|/panini-manga-mx/katekyo-hitman-reborn/katekyo-hitman-reborn-07.jpg|192|99.0|MXN|2017-01-04|Giannini, un especialista en armamento de la Familia Vongola, ha viajado a Japón. Modifica las armas de Reborn y los demás, pero provoca que la Bala de la Última Voluntad pierda su poder y que cuando las bombas estallen solo aparezcan palomas. Para complicar más la situación, la bazuka de los diez años se descompone. ¡Y Gokudera se convierte en niño! ¿Por qué siempre hay gente rara en la mafia? - TsunaModificar no siempre significa mejorar - GianniniGokudera, te ganaste mi respeto - Reborn|978-6-075-28354-8|1|false
Katekyo Hitman ¡Reborn! #8|8|8|/panini-manga-mx/katekyo-hitman-reborn/katekyo-hitman-reborn-08.jpg|216|99.0|MXN|2017-02-01|Se ha desatado una serie de ataques contra alumnos de la secundaria Namimori. Ryohei también es atacado, y Hibari decide ir solo a la base de los responsables, quienes usan su punto débil y lo capturan. El responsable dice ser de la secundaria Kokuyo, ¡y su objetivo es encontrar a quien se convertirá en el futuro Vongola Décimo!|978-6-075-28393-7|1|false
Katekyo Hitman ¡Reborn! #9|9|9|/panini-manga-mx/katekyo-hitman-reborn/katekyo-hitman-reborn-09.jpg|200|99.0|MXN|2017-03-01|Conocer un poco más a fondo la relevancia de poseer la sangre de los Vongola será solo una parte de lo que deberá hacer Tsuna, en su intento por derrotar a un enemigo verdaderamente temible. ¿Acaso la última bala de la última voluntad será suficiente para derrotar a Mukuro? Todo estará en manos del Décimo, pues llegado el momento de la verdad, Reborn estará ahí, ¡Pero no para ayudarlo!|978-6-075-28419-4|1|false
Katekyo Hitman ¡Reborn! #10|10|10|/panini-manga-mx/katekyo-hitman-reborn/katekyo-hitman-reborn-10.jpg|216|99.0|MXN|2017-04-05|Tras el encuentro contra Mukuro Rokudo, Tsuna cree que podrá volver a disfrutar de ciertos momentos de paz. No obstante, una gran amenaza se cierne sobre su vida, pues algunos integrantes de la familia Vongola desean que sea otro mafioso quien suceda al Noveno, por lo que intentarán todo para eliminarlo. Quizá esto guarde relación con el sorpresivo ataque de un pelilargo desconocido, pero ¿también con el regreso a casa del inútil padre de Tsuna?|978-6-075-28452-1|1|false
