NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Kimi ni Todoke #1|1|1|/panini-manga-mx/kimi-ni-todoke/kimi-ni-todoke-01.jpg|208|99|MXN|2016-06-08|"Sawako es una chica amable que desea hacerse amiga de todos en la escuela, pero sus intenciones son rechazadas debido a su parecido físico con Sadako, la protagonista de la película de terror ""El Aro"". Shota, un chico atractivo y popular, logra ver más allá de las apariencias y así comienza una dulce y accidentada historia de amor escolar donde el amor le ayuda a los protagonista a ir más allá de sus limitaciones.Soy Sawako. Mi lema favorito es ""hacer una buena obra al día"". Desde la primaria me han dicho Sadako, como la de ""El aro""... Y todos se asustan al verme. No tengo poderes psíquicos, pero ojalá pudiera tenerlos para que no se decepcionaran de mí."|978-6079718824|1|FALSE
Kimi ni Todoke #2|2|2|/panini-manga-mx/kimi-ni-todoke/kimi-ni-todoke-02.jpg|192|99|MXN|2016-07-06|"Después de cambiar de lugar en el salón, ahora Sawako se sienta junto a Kazehaya. Poco a poco les ha hablado a sus compañeros de clase. Entre ellos están Yano y Yoshida. Como se han acercado a ella, Sawako se siente feliz de estar viviendo tantas cosas nuevas. Pero, ¿qué pasará con el rumor sobre Yano y Yoshida, que supuestamente propagó Sawako?""Ahora tengo una probada de la felicidad verdadera"" - Sawako""¿Estás saliendo con Kuronuma?"" - Pin ""Nos agradas Sadako, ¿y nosotras a ti?"" - Yoshida y Yano"|978-6079721244|1|FALSE
Kimi ni Todoke #3|3|3|/panini-manga-mx/kimi-ni-todoke/kimi-ni-todoke-03.jpg|184|99|MXN|2016-07-27|Sawako salió el sábado por la noche a comer ramen con Yano y Yoshida. Más tarde, se reunieron todos y pasaron un rato muy agradable. El festival deportivo se acerca y se siente tan nerviosa que apenas si puede hablar con Kazehaya. Luego, Kurumi, la niña bonita, se acerca a Sawako para platicar.|978-6075280233|1|FALSE
Kimi ni Todoke #4|4|4|/panini-manga-mx/kimi-ni-todoke/kimi-ni-todoke-04.jpg|208|99|MXN|2016-08-17|"A Kurumi le gusta Kazehaya y busca a Sawako para pedirle ayuda. Sawako no puede ayudarle porque Kazehaya es alguien muy especial para ella. ¿Por qué sentirá ese sentimiento tan ""especial"" por Kazehaya.? Durante el festival deportivo, Sawako está decidida a descubrir el significado de la palabra ""especial""."|978-6075280745|1|FALSE
Kimi ni Todoke #5|5|5|/panini-manga-mx/kimi-ni-todoke/kimi-ni-todoke-05.jpg|192|99|MXN|2016-09-21|Gracias a sus charlas con Kurumi, Sawako se da cuenta de que lo que siente por Kazehaya es amor. Ahora se lleva de otra forma con Kurumi. En su día libre, Yano y Yoshida van a visitar a Sawako y ella se emociona muchísimo mientras hace los preparativos. Ya hay más historias de amor. Más tarde, salen con Kazehaya y con Ryu.|978-6075281407|1|FALSE
Kimi ni Todoke #6|6|6|/panini-manga-mx/kimi-ni-todoke/kimi-ni-todoke-06.jpg|184|99|MXN|2016-10-19|Volvió el hermano mayor de Ryu y Yoshida sigue sintiendo algo por él. Cuando vieron que los sentimientos de Yoshida no eran correspondidos, Sawako y Yano no dejaban de pensar en ella. También Ryu sentía que debía ser amable con ella. Habrá una fiesta de Navidad al terminar el segundo semestre y Sawako está ansiosa porque llegue esa fecha.|978-6075282084|1|FALSE
Kimi ni Todoke #7|7|7|/panini-manga-mx/kimi-ni-todoke/kimi-ni-todoke-07.jpg|176|99|MXN|2016-11-23|Pasaron varias cosas y el segundo periodo de clases llegó a su fin. Sawako va a reunirse con Yoshida, Yano y Kazehaya en la víspera de Año Nuevo para hacer juntos su primera visita al templo. El 31 de diciembre es el cumpleaños de Sawako. Yoshida y Yano se preparan para darle un regalo sorpresa. El cumpleaños número 16 de Sawako está por llegar y será uno que nunca olvidará.|978-6075282640|1|FALSE
Kimi ni Todoke #8|8|8|/panini-manga-mx/kimi-ni-todoke/kimi-ni-todoke-08.jpg|160|99|MXN|2016-12-21|Sawako y sus amigos ya son estudiantes de segundo año. Todos están felices porque les tocó en el mismo salón. Sawako conoce a kento, un chico muy agradable. Kazehaya tiene sentimientos encontrados porque Sawako comienza a dar clases a sus compañeros y porque ese chico Kento la cuida mucho. La distancia entre los dos cada vez se hace más grande.|978-6075283258|1|FALSE
Kimi ni Todoke #9|9|9|/panini-manga-mx/kimi-ni-todoke/kimi-ni-todoke-09.jpg|176|99|MXN|2017-01-25|Sawako no puede expresar sus sentimientos porque no deja de pensar en que a Kazehaya le gusta alguien más. Los dos tuvieron una oportunidad para hablar de lo que sentían mientras se preparaban para el festival escolar pero terminaron malinterpretando sus palabras. ¿Conseguirán acercarse más cuando comience el festival?|978-6075283661|1|FALSE
Kimi ni Todoke #10|10|10|/panini-manga-mx/kimi-ni-todoke/kimi-ni-todoke-10.jpg|176|99|MXN|2017-02-15|Gracias a sus miedos y sus propias ideas, Sawako ha puesto un muro entre ella y Kazehaya. Al final del primer día del festival escolar, ella va al salón de clases donde se encuentra a Kazehaya para declararle sus sentimientos. ¿Qué efecto tendrá esto en los dos? ¡El desfile de disfraces del segundo día del festival se animará con el disfraz de Sawako!|978-6075284064|1|FALSE
