NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Knights of Sidonia #1|1|1|/panini-manga-mx/knights-of-sidonia/knights-of-sidonia-01.jpg|180|99.0|MXN|2016-09-01|"Más allá del siglo XXXII la humanidad ha sido capaz de modificar sus genes para poder realizar fotosíntesis y volverse andrógina. Sin embargo, se encuentra vagando por el espacio en una estación espacial llamada ""Sidonia"" tras la destrucción de la Tierra a manos de los gauna, una raza alienígena de cambiaformas. Tras localizar un nido de gauna, Nagate Tanikaze, un habitante de los niveles inferiores de Sidonia, ha sido convertido en piloto de Guardián, los robots de combate creados para lidiar con los gauna."|978-6-075-28143-8|1|false
Knights of Sidonia #2|2|2|/panini-manga-mx/knights-of-sidonia/knights-of-sidonia-02.jpg|184|99.0|MXN|2016-10-01|"En la noche del festival gravitacional, los cuatro más fuertes de Sidonia despegan. Para evitar que el ""GAUNA"" llegue a Sidonia, la capitán, sin tomar en cuenta el gran número de víctimas, hace que Sidonia acelere de emergencia. ¡Tanikaze, el joven que creció en el subterráneo, atraviesa el espacio para salvar a Shizuka Hoshijiro!"|978-6-075-28212-1|1|false
Knights of Sidonia #3|3|3|/panini-manga-mx/knights-of-sidonia/knights-of-sidonia-03.jpg|184|99.0|MXN|2016-11-01|Hasta ahora los humanos siguen sin poder comunicarse. Y la némesis implacable de la humanidad intenta interactuar en una forma que solo puede ser considerada como horriblemente familiar. Además, algunos de los secretos más profundos de Sidonia salen a relucir en este tomo lleno de acción y suspenso...|978-6-075-28272-5|1|false
Knights of Sidonia #4|4|4|/panini-manga-mx/knights-of-sidonia/knights-of-sidonia-04.jpg|184|99.0|MXN|2016-12-01|Sidonia no ha podido repeler más el ataque de los gauna, pero la capitana al fin decide atacar y eliminar por completo la amenaza. Lo que le ha ayudado a tomar esta decisión es el progreso del piloto de guardia proclamado héroe, Nagate. Por otro lado, poco a poco se revela la investigación que realizó el científico Ochiai.¡Ahora la batalla está dando un nuevo giro!|978-6-075-28330-2|1|false
Knights of Sidonia #5|5|5|/panini-manga-mx/knights-of-sidonia/knights-of-sidonia-05.jpg|180|99.0|MXN|2017-01-01|"Gracias a la fabricación de la munición capaz de atravesar el núcleo de los gauna, la humanidad parece dirigirse hacia la victoria.Sin embargo, frente a ellos aparece un asteroide que supera en tamaño incluso a la nave colonia Sidonia. Junto con el asteroide aparece Benisuzume, el gauna altamente inteligente, y destruye un pelotón entero. ¡La gravedad y el tiempo son los nuevos enemigos de Sidonia! ¿Cómo los superarán? ¡Descúbrelo en el tomo 5 de ""Knights of Sidonia""."|978-6-075-28370-8|1|false
Knights of Sidonia #6|6|6|/panini-manga-mx/knights-of-sidonia/knights-of-sidonia-06.jpg|184|99.0|MXN|2017-02-01|¡La batalla con el gauna que se unió al asteroide y el gauna altamente inteligente, Benisuzume, al fin se acerca a su conclusión! Durante la crisis por la pérdida de muchos de los pilotos, Desarrollos Kunato comenzó a proceder con acciones extremas. ¿Qué resultados traerán? Además, entre la inseguridad y las expectativas dentro de Sidonia, Industrias Pesadas Toha desarrolló un nuevo modelo de Guardián. ¿Será suficiente para defender a la humanidad? Conoce las respuestas en el número 6 de Knights of Sidonia.|978-6-075-28390-6|1|false
Knights of Sidonia #7|7|7|/panini-manga-mx/knights-of-sidonia/knights-of-sidonia-07.jpg|176|99.0|MXN|2017-03-01|"¡¿Gauna contra gauna?! Aparece una nueva criatura sospechosa, le dará un giro a la batalla y a la sociedad humana. Tanikaze y los demás pilotos deben superar un obstáculo como nunca hasta ahora, las defensas se ven sobrepasadas y ¡deciden enfrentar a la pequeña colonia Ocarina cara a cara! ¿lograrán vencer? ¡No te pierdas esa batalla en el tomo 7 de ""Knights of Sidonia""! ¡Búscalo ya!"|978-6-075-28427-9|1|false
Knights of Sidonia #8|8|8|/panini-manga-mx/knights-of-sidonia/knights-of-sidonia-08.jpg|172|99.0|MXN|2017-04-01|"Ha aparecido un organismo que posee el poder de un gauna y la personalidad de un humano: un híbrido que lucha del lado de los humanos. Gracias a la participación en batalla del híbrido Tsumugi Shiraui, Sidonia ha logrado la destrucción de la pequeña colonia Ocarina. El siguiente objetivo es la Gran Colonia y para hacerle frente Sidonia planea aumentar su capacidad de ataque. ¡Despega un nuevo equipamiento al oscuro espacio! No te pierdas el tomo 8 de ""Knoghts of Sidonia"", a la venta con tu distribuidor favorito."|978-6-075-28468-2|1|false
Knights of Sidonia #9|9|9|/panini-manga-mx/knights-of-sidonia/knights-of-sidonia-09.jpg|192|99.0|MXN|2017-05-01|Sidonia comienza la ofensiva para derrotar a la gran colonia y se prepara para la batalla. Tanikaze y Tsumugi se apresuran a rescatar a Izana, quien durante la misión de reconocimiento terminó en medio de un gran número de gauna, pero en su camino se interpone un enemigo muy singular. ¡¡Un enorme peligro se cierne sobre Sidonia!! ¿Cómo lograrán evadirlo? ¡Descúbrelo en el tomo 9 de Knights of Sidonia! ¡A la venta ya!|978-6-075-28492-7|1|false
Knights of Sidonia #10|10|10|/panini-manga-mx/knights-of-sidonia/knights-of-sidonia-10.jpg|176|99.0|MXN|2017-06-01|Sidonia logró eliminar al gauna supermasivo a costa de graves heridas para Izana. Gracias a estas batallas, Nagate, Yuhata, Izana y Tsumugi estrecharon más sus lazos y se han convertido en compañeros muy unidos. Sin embargo, a la sombra de los días tranquilos y sin que los tripulantes lo sepan, Ochiai se aproxima cada vez más a su objetivo... ¿Lo conseguirá? ¡Descúbrelo en el tomo 10 de Knights of Sidonia! A la venta ya.|978-6-075-28575-7|1|false
